DateTime,AddedIPs,RemovedIPs
1564661199,1,0
1564671998,0,1
1564675605,1,0
1564679199,1,2
1564682797,7,0
1564697201,0,5
1564700790,5,0
1564765602,0,1
1564769202,1,0
1564776408,0,3
1564779996,3,0
1564790797,0,3
1564794395,1,1
1564797996,1,0
1564801597,1,0
1564805195,1,21
1564812401,2,0
1564826814,0,1
1564830397,1,0
1564848399,0,1
1564851980,1,0
1564880798,7,0
1564895196,0,2
1564898800,0,4
1564902402,0,4
1564905999,1,0
1564909603,3,0
1564952781,0,1
1564956392,1,0
1564967184,5,0
1564970791,5,3
1564974388,3,2
1564978001,5,5
1564981576,1,1
1564985196,6,1
1564988799,3,0
1564992382,2,1
1564999594,0,1
1565003195,0,2
1565006798,4,0
1565010385,0,3
1565013977,2,0
1565021197,1,2
1565028393,0,1
1565035578,0,2
1565039203,2,0
1565042783,0,1
1565046402,0,4
1565049978,4,0
1565053576,0,4
1565057185,6,1
1565060791,6,1
1565064383,2,15
1565067972,1,0
1565071590,3,12
1565075184,1,7
1565078782,4,2
1565082389,3,1
1565089595,1,0
1565096776,0,2
1565104002,0,3
1565107597,2,1
1565111174,2,0
1565114804,2,0
1565122007,1,0
1565125613,0,4
1565129214,4,1
1565136399,1,1
1565140008,1,0
1565150801,1,0
1565154397,0,1
1565179606,0,1
1565186802,0,3
1565190399,0,3
1565194005,4,1
1565197612,4,0
1565222763,1,0
1565226392,7,1
1565233590,1,0
1565237198,0,1
1565240791,0,4
1565244407,0,2
1565262392,1,0
1565266009,0,1
1565269588,1,0
1565280409,0,1
1565283992,1,0
1565291199,0,1
1565294804,1,1
1565312807,15,0
1565316400,3,0
1565323594,1,0
1565327214,2,1
1565330803,1,1
1565338001,0,1
1565341605,1,1
1565366794,1,0
1565377604,0,2
1565381196,1,0
1565384805,1,0
1565392009,0,1
1565395585,1,0
1565399200,0,1
1565402793,1,2
1565406400,0,1
1565410004,0,18
1565413599,1,0
1565424379,1,0
1565427994,0,1
1565442410,1,0
1565449600,0,1
1565453193,1,0
1565463986,0,1
1565474805,0,2
1565478385,2,0
1565481969,1,0
1565496408,2,1
1565500006,1,0
1565507215,0,1
1565510809,0,2
1565514398,1,1
1565521609,1,0
1565528806,0,1
1565536000,0,1
1565539601,1,0
1565546815,1,0
1565568395,0,1
1565572004,5,0
1565575592,2,0
1565589994,0,6
1565597223,0,1
1565600815,1,0
1565658401,13,0
1565662000,2,2
1565665603,5,0
1565669212,1,4
1565672792,0,3
1565676405,8,1
1565680006,0,1
1565683616,1,1
1565690807,0,1
1565698004,2,0
1565708802,0,1
1565730407,0,2
1565734003,2,0
1565748408,0,3
1565752016,3,1
1565755598,3,20
1565762796,0,1
1565834803,1,2
1565838397,3,0
1565842001,1,1
1565845601,0,1
1565849200,1,1
1565906797,0,2
1565910396,0,1
1565913981,3,0
1565917594,6,0
1565924770,1,0
1565935600,0,6
1565942779,0,1
1565946395,0,1
1565949996,2,0
1565960795,1,0
1565964389,0,1
1565967992,0,4
1565971602,5,1
1566003978,15,1
1566007575,2,1
1566011176,1,1
1566014787,8,0
1566018376,0,4
1566021962,2,3
1566029168,0,1
1566032772,1,0
1566047174,0,2
1566050769,1,4
1566054381,1,0
1566061566,1,2
1566065182,5,0
1566079583,0,2
1566083177,0,7
1566086798,3,7
1566090383,10,1
1566093988,0,1
1566097567,0,2
1566101175,0,14
1566140778,0,1
1566144394,0,4
1566147986,4,0
1566151575,1,0
1566176793,1,0
1566183970,12,0
1566191187,0,1
1566194781,0,12
1566223587,0,1
1566227172,1,7
1566245188,0,1
1566248801,0,3
1566252381,2,3
1566255988,2,0
1566259560,3,0
1566273977,0,3
1566277579,0,1
1566281194,1,3
1566295585,0,1
1566302786,1,0
1566331587,0,3
1566335190,2,1
1566338769,2,0
1566349583,8,0
1566353176,2,0
1566356800,3,4
1566360385,4,3
1566363991,4,4
1566367580,5,1
1566371195,1,1
1566374788,2,2
1566378394,3,0
1566381983,0,1
1566389195,0,2
1566392791,0,1
1566396382,0,5
1566399976,4,0
1566403582,2,2
1566407185,1,0
1566410776,3,0
1566414480,1,2
1566418070,2,1
1566425173,2,1
1566428790,1,0
1566439594,0,4
1566443198,0,7
1566446777,3,4
1566461186,0,1
1566464781,1,0
1566482797,0,1
1566493563,1,0
1566500791,0,1
1566504382,1,1
1566507995,0,2
1566511581,3,0
1566525971,1,6
1566529589,7,0
1566533171,0,3
1566536774,3,1
1566540376,0,2
1566547566,1,0
1566551175,0,1
1566558374,0,1
1566561973,2,5
1566565567,2,0
1566569176,0,1
1566572771,1,2
1566576378,0,1
1566579966,6,1
1566590767,1,0
1566594366,0,3
1566605199,0,5
1566608771,5,1
1566612376,2,0
1566615980,4,1
1566619575,4,0
1566623175,1,0
1566626789,1,1
1566630366,1,1
1566633980,2,1
1566637570,1,1
1566641177,1,0
1566644796,0,1
1566648371,0,2
1566651976,2,1
1566659180,1,0
1566662769,0,3
1566666378,0,8
1566669964,3,0
1566673579,8,1
1566684380,1,1
1566695179,4,1
1566698776,2,0
1566702374,8,7
1566705980,2,2
1566709588,4,0
1566713173,0,1
1566716777,1,5
1566720377,3,4
1566723976,0,4
1566727574,10,0
1566731182,4,1
1566734783,0,1
1566745577,0,7
1566749184,1,0
1566752765,1,1
1566756386,4,0
