DateTime,AddedIPs,RemovedIPs
1543288058,0,1
1543363887,1,0
1543378073,0,1
1543421282,1,0
1543536503,2,0
1543633663,0,1
1543723679,0,1
1543799267,4,0
1543824465,0,1
1543828066,1,0
1543882104,3,0
1543979287,0,1
1544144869,1,0
1544324889,0,3
1544486905,1,0
1544584059,0,1
1544684867,0,1
1544702881,1,0
1544821655,0,1
1544828853,1,0
1544832477,1,0
1544929655,0,2
1544990867,0,1
1544998059,1,0
1545073677,1,0
1545138476,0,1
1545142073,1,0
1545178098,1,0
1545192478,0,1
1545199669,1,0
1545275272,0,1
1545437290,1,0
1545458867,0,1
1545462476,1,0
1545617257,0,1
1545624449,0,1
1545628072,1,0
1545631672,1,0
1545642458,0,1
1545696880,4,0
1545869306,1,0
1545880138,0,1
1545890857,1,0
1545901673,0,1
1545952061,0,1
1545955696,2,0
1546139271,0,4
1546236469,1,0
1546247267,0,1
1546312091,0,1
1546398490,0,1
1546474106,2,0
1546495668,1,0
1546506462,0,1
1546618077,1,0
1546628865,0,1
1546636069,1,0
1546646977,3,0
1546736857,0,1
1546830473,1,0
1546841270,0,1
1546916893,0,2
1546967266,1,0
1547086066,0,1
1547089665,2,3
1547100447,0,1
1547125675,0,1
1547338476,2,0
1547352478,0,1
1547424504,2,0
1547435275,1,0
1547446062,0,1
1547694475,1,0
1547705268,0,1
1547780882,0,1
1547867271,0,2
1548040082,1,0
1548047264,0,1
1548115700,2,0
1548288495,2,0
1548299273,1,0
1548310055,0,1
1548461308,1,0
1548472087,0,3
1548547711,2,0
1548558483,0,2
1548623272,0,1
1548626855,1,0
1548634118,1,0
1548720697,1,0
1548727757,0,2
1548731278,0,1
1548738486,1,0
1548749287,1,0
1548770879,1,0
1548781671,0,1
1548893307,1,0
1548904078,0,1
1548950880,0,1
1548954469,1,0
1548990466,0,2
1549073285,0,1
1549076881,0,1
1549080463,1,0
1549152503,1,0
1549163270,0,1
1549260476,1,0
1549271274,0,1
1549336074,0,1
1549346868,0,1
1549350479,1,0
1549519662,1,0
1549530472,0,1
1549595270,0,1
1549865277,1,0
1549876081,0,1
1550124476,1,0
1550135255,0,1
1550470072,1,0
1550480871,0,1
1550668086,0,1
1550675283,2,0
1550686073,0,1
1550794092,1,0
1550880495,1,0
1551092882,0,1
1551096480,1,0
1551110866,1,0
1551114474,0,1
1551236877,0,1
1551251283,0,1
1551258474,1,0
1551290885,0,1
1551294473,1,0
1551323300,0,1
1551334091,1,0
1551344880,0,1
1551917314,1,0
1551928080,0,1
1552093674,1,0
1552111683,0,1
1552122483,1,0
1552360088,0,1
1552522112,1,0
1552532898,0,1
1552781767,1,0
1552867702,1,0
1552910879,0,1
1552918073,1,0
1552954112,1,0
1552964889,0,1
1553040513,1,0
1553127105,1,0
1553213312,1,0
1553216874,0,1
1553303263,1,0
1553310473,0,1
1553386112,2,0
1553396883,0,1
1553483293,0,1
1553569675,0,1
1553656074,0,1
1553731709,1,0
1553742470,0,1
1553828907,0,2
1553904503,1,0
1553972877,1,0
1553990910,1,0
1554026863,1,0
1554037687,0,1
1554163716,1,0
1554174490,0,1
1554347259,0,1
1554390484,1,0
1554422901,1,0
1554433702,0,1
1554455292,0,1
1554458863,1,0
1554520085,0,1
1554606460,0,1
1554768500,1,0
1554865689,0,1
1555211269,0,1
1555384070,0,1
1555459702,1,0
1555520851,0,1
1555531680,1,0
1555546092,1,0
1555564083,0,1
1555589270,1,0
1555740451,0,1
1555758470,1,0
1555902496,0,1
1555978083,1,0
1556406484,0,1
1556410071,1,0
1556420874,0,1
1556582897,1,0
1557014871,1,0
1557025665,0,1
1557101295,1,0
1557169658,0,1
1557176870,1,0
1557187636,1,0
1557331679,1,0
1557374884,1,0
1557385681,0,1
1557457692,0,1
1557544097,0,1
1557601685,0,1
1557605290,1,0
1557630504,0,1
1557677298,0,1
1557684486,1,0
1557720493,1,0
1557731285,0,1
1557796074,1,0
1557850076,3,0
1557878892,1,0
1557979677,1,0
1557990475,0,1
1558080485,0,1
1558138084,1,0
1558166875,0,1
1558170464,1,0
1558224481,1,0
1558235270,0,1
1558310878,2,0
1558321695,0,1
1558325277,2,0
1558336091,0,2
1558339692,1,0
1558375692,0,1
1558386470,0,3
1558397289,2,0
1558454908,1,0
1558458495,2,0
1558483697,2,0
1558498056,0,1
1558537683,0,1
1558541271,1,0
1558552086,0,1
1558573669,1,0
1558580870,1,1
1558584476,1,0
1558591671,0,1
1558595265,0,1
1558642070,1,0
1558645678,0,1
1558667269,0,1
1558670876,0,1
1558674472,1,0
1558685278,0,1
1558742904,1,0
1558753680,0,2
1558840085,0,2
1558915688,1,0
1558926462,1,2
1558937276,0,1
1559088475,8,0
1559092338,6,0
1559099403,7,0
1559102877,4,5
1559106498,7,0
1559110143,3,4
1559113680,0,5
1559117285,6,4
1559120893,5,6
1559124479,3,0
1559128084,3,5
1559131698,3,3
1559135283,0,5
1559138881,6,3
1559142489,6,5
1559146095,5,0
1559149697,3,5
1559153288,0,5
1559156891,5,6
1559160486,4,3
1559164093,6,0
1559167700,4,4
1559171284,0,5
1559174878,4,6
1559178484,4,3
1559182080,5,0
1559185679,1,5
1559189272,3,4
1559192868,6,5
1559196494,5,1
1559200074,0,6
1559203685,0,6
1559207254,6,6
1559210866,6,0
1559214482,5,5
1559221673,0,7
1559225268,6,5
1559228880,6,0
1559232484,2,2
1559239687,5,6
1559243275,5,4
1559246878,2,0
1559250475,5,3
1559254066,0,3
1559257694,3,5
1559261260,3,3
1559264877,3,5
1559268490,4,0
1559272095,0,1
1559275672,5,3
1559279272,4,6
1559282877,6,0
1559286475,3,5
1559290080,4,3
1559293683,5,4
1559297284,0,5
1559300877,4,6
1559304476,0,6
1559308073,7,0
1559311678,6,5
1559315281,0,6
1559318887,5,0
1559322472,5,5
1559326077,3,0
1559329683,4,2
1559333262,0,6
1559336891,5,5
1559340485,4,5
1559344094,5,0
1559347691,0,4
1559351293,2,4
1559355029,5,4
1559358560,6,1
1559362083,6,2
1559365680,0,5
1559369269,5,6
1559372893,3,4
1559380089,0,7
1559383687,4,4
1559387288,5,0
1559390879,0,6
1559394478,5,0
1559398079,6,4
1559401682,6,0
1559405280,0,5
1559408891,6,5
1559412494,2,4
1559416086,5,0
1559419686,0,5
1559423279,6,5
1559426909,3,5
1559430484,5,3
1559434079,7,0
1559437693,0,6
1559441252,6,6
1559444869,4,5
1559448481,5,4
1559455692,3,7
1559459270,4,2
1559462880,2,0
1559466473,0,4
1559470075,6,3
1559473676,6,5
1559477290,5,0
1559480893,3,5
1559484454,0,4
1559488080,0,6
1559491683,5,6
1559495279,8,0
1559498870,5,4
1559502489,6,0
1559506071,0,6
1559509674,0,6
1559513271,6,7
1559516872,8,0
1559520484,2,7
1559527664,0,8
1559531268,0,8
1559534865,1,0
1559545659,0,1
1559606888,2,0
1559693275,1,0
1559794077,1,0
1559804863,0,1
1559876872,0,1
1559963269,0,2
1559977679,0,1
1559988472,1,0
1560049689,0,2
1560136070,0,1
1560182866,0,1
1560190072,1,0
1560305275,0,1
1560316084,1,0
1560388073,1,0
1560470874,1,0
1560568084,0,1
1560730085,2,0
1560902876,1,0
1560913656,0,1
1560989258,1,0
1561082886,1,0
1561172887,0,2
1561334879,3,0
1561345671,0,1
1561370890,0,1
1561374487,1,0
1561381679,1,0
1561392480,0,1
1561432105,0,1
1561518474,0,1
1561680459,1,0
1561702084,0,1
1561723688,1,0
1561777693,0,3
1561936070,0,1
1561939697,1,0
1562026311,2,0
1562047667,0,1
1562058470,1,0
1562123253,0,1
1562292478,1,0
1562296090,0,1
1562458087,1,1
1562468873,0,1
1562490477,0,1
1562540859,1,0
1562630889,2,0
1562681295,0,1
1562684867,1,0
1562692089,0,1
1562695694,1,0
1562803667,1,0
1562901010,0,1
1563062853,1,0
1563073673,0,2
1563235681,1,0
1563246444,0,1
1563505650,0,1
1563678477,0,1
1563754077,1,0
1563926888,1,0
1564024055,0,1
1564099671,1,0
1564186085,3,0
1564196853,0,1
1564200465,1,0
1564240067,0,1
1564243672,1,0
1564272722,1,0
1564358870,1,0
1564369673,0,1
1564445254,1,0
1564531690,1,0
1564542482,0,1
1564614499,0,1
1564628904,0,3
1564715292,0,1
1564790889,1,0
1564801689,0,1
1564888101,0,1
1564999686,1,0
1565010484,0,1
1565050069,1,0
1565136491,1,0
1565233683,0,1
1565309284,1,0
1565492893,0,1
1565568488,1,0
1565575806,1,0
1565579297,0,1
1565752108,0,2
1565946485,1,0
1565957289,0,1
1566011261,0,1
1566176885,1,0
1566187670,0,1
1566234482,0,4
1566346073,2,0
1566518895,1,0
