DateTime,AddedIPs,RemovedIPs
1564639780,0,4
1564643328,4,4
1564646929,8,0
1564650544,0,4
1564654153,4,0
1564664959,1,0
1564668528,0,8
1564672126,4,0
1564675728,8,4
1564679412,4,0
1564683226,0,4
1564686524,0,8
1564690111,0,4
1564693729,4,0
1564697325,4,4
1564700917,4,0
1564704555,23,0
1564708142,1,4
1564711730,7,0
1564715334,0,20
1564718937,0,5
1564722539,0,8
1564729743,4,0
1564733340,0,4
1564736935,8,0
1564747756,0,3
1564751358,3,0
1564754937,0,8
1564758550,0,1
1564762155,0,4
1564780132,4,0
1564790928,1,0
1564794527,18,4
1564801741,0,1
1564805326,0,28
1564834135,1,0
1564837731,1,0
1564844933,0,1
1564848523,0,1
1564877316,1,0
1564881373,16,0
1564888137,0,1
1564891714,0,6
1564920545,1,0
1564927736,1,0
1564931318,0,1
1564938514,0,2
1564967320,13,0
1564970933,1,0
1564974522,1,0
1564978119,0,17
1564999742,1,0
1565003322,1,0
1565010518,1,1
1565014129,0,1
1565021323,0,1
1565024933,0,1
1565028521,0,1
1565053724,10,0
1565060915,1,0
1565064535,0,15
1565071718,0,1
1565122128,0,1
1565140149,11,0
1565150934,0,16
1565154543,0,1
1565158136,1,0
1565201301,2,0
1565212134,0,1
1565226951,9,0
1565230140,3,0
1565233734,1,0
1565237320,0,12
1565240919,1,0
1565244551,3,1
1565248118,1,1
1565251702,1,1
1565255324,1,3
1565258940,1,1
1565262511,1,1
1565266137,1,1
1565273341,1,1
1565276929,1,1
1565280539,1,1
1565284120,0,1
1565287759,2,1
1565291325,1,1
1565298527,0,2
1565302143,1,2
1565309319,1,0
1565312971,16,1
1565316531,1,0
1565320157,1,1
1565323734,0,12
1565327359,1,1
1565330931,2,1
1565334530,2,0
1565338125,1,1
1565341751,1,1
1565345340,1,1
1565348910,0,1
1565352527,1,1
1565356139,0,1
1565359748,2,0
1565363324,0,1
1565366937,1,1
1565370549,0,1
1565377752,1,0
1565381333,1,0
1565384937,0,1
1565388517,0,1
1565395713,1,0
1565399333,8,0
1565402921,0,1
1565406539,1,0
1565410132,1,12
1565413722,1,1
1565417359,1,1
1565420937,1,1
1565424507,1,1
1565428112,1,1
1565431739,0,2
1565435325,0,1
1565438921,1,0
1565442557,1,0
1565446135,1,1
1565449724,1,1
1565453320,1,1
1565456955,1,1
1565460530,0,1
1565464112,2,1
1565467709,1,0
1565474934,0,1
1565482097,1,0
1565485731,34,1
1565489330,0,1
1565492927,0,1
1565496542,0,11
1565507356,1,0
1565518120,0,1
1565561351,0,1
1565572452,23,0
1565575838,1,0
1565579326,1,0
1565582921,1,15
1565586557,1,1
1565590117,1,1
1565593731,2,1
1565597358,2,1
1565600959,1,1
1565604528,1,2
1565608136,1,1
1565611759,1,1
1565615324,1,1
1565618990,1,1
1565622514,1,1
1565626136,1,1
1565629731,1,1
1565633329,1,1
