DateTime,AddedIPs,RemovedIPs
1557590482,1,0
1557597681,0,4
1557601281,4,1
1557604882,1,1
1557619283,1,1
1557626483,1,0
1557633681,0,1
1557644481,1,0
1557684082,0,1
1557691282,1,0
1557694884,0,1
1557705683,0,1
1557709282,1,0
1557730883,3,0
1557745281,0,4
1557756081,1,4
1557759681,4,0
1557766882,3,0
1557770481,1,0
1557784882,0,3
1557792084,3,0
1557799282,0,1
1557806482,0,1
1557810081,2,0
1557824481,0,1
1557831682,1,0
1557835281,0,3
1557842481,3,0
1557849682,0,1
1557856880,0,7
1557864081,4,0
1557871282,1,0
1557878483,0,1
1557885681,1,1
1557889281,3,0
1557900082,0,1
1557903681,0,3
1557914482,1,0
1557918082,3,0
1557932483,0,1
1557943281,1,0
1557964884,1,0
1557979279,0,1
1557986477,0,3
1558000877,1,1
1558011679,1,0
1558015278,0,1
1558018877,1,0
1558026079,0,1
1558029679,1,0
1558033277,0,1
1558044079,3,0
1558047677,0,1
1558058476,1,3
1558069276,1,0
1558072878,0,1
1558076476,4,0
1558112480,0,1
1558130477,0,4
1558137679,5,3
1558141282,0,1
1558144880,1,0
1558152081,0,1
1558155692,1,0
1558159281,0,4
1558162882,3,0
1558206091,0,3
1558220481,0,1
1558224082,1,1
1558227682,4,0
1558242081,0,1
1558249281,1,0
1558252881,0,1
1558256472,1,0
1558270882,0,3
1558278081,0,1
1558281680,1,0
1558303281,0,1
1558306881,0,1
1558314080,2,0
1558328491,0,1
1558335681,1,0
1558353682,0,1
1558360881,1,0
1558375281,0,1
1558443682,0,1
1558454481,1,0
1558479681,0,1
1558483281,1,0
1558504882,0,1
1558508483,1,0
1558548082,0,1
1558551683,1,0
1558580477,0,1
1558609277,1,0
1558634477,0,1
1558641677,1,0
1558659677,0,1
1558663277,1,0
1558681277,0,1
1558684877,1,0
1558699278,0,1
1558702878,1,0
1558839681,0,1
1558843280,1,0
1558904481,0,1
1558915283,1,0
1558944082,0,1
1558958480,1,0
1558972881,0,1
1558976480,1,0
1559080882,0,1
1559084481,1,0
1559098884,0,1
1559102485,1,0
1559185280,0,1
1559188881,1,0
1559203281,0,1
1559206882,1,0
1559235681,0,1
1559242882,1,0
1559257282,0,1
1559271682,1,0
1559293281,0,1
1559296881,1,0
1559347286,0,1
1559368881,1,0
1559415681,0,1
1559433683,1,0
1559448081,0,1
1559451681,1,0
1559466082,0,1
1559473281,1,0
1559494882,0,1
1559502080,1,0
1559566879,0,1
1559574079,1,0
1559638880,0,1
1559649684,1,0
