DateTime,AddedIPs,RemovedIPs
1524560407,290,0
1524646806,361,0
1524733207,393,0
1524819606,325,0
1524906005,268,0
1524992406,225,0
1525078806,188,0
1525165206,212,0
1525251606,211,0
1525338006,216,0
1525424407,177,0
1525510806,227,0
1525597206,161,0
1525683606,209,0
1525770006,182,0
1525856406,234,0
1525942805,447,0
1526029206,324,0
1526115605,341,0
1526202005,226,0
1526288406,320,0
1526392805,434,0
1526479206,241,8340
1526565605,507,40
1526652006,360,0
1526738406,376,0
1526824805,279,0
1526911206,284,0
1526997607,317,0
1527084007,395,0
1527170406,431,0
1527256806,378,0
1527344240,298,62
1527429606,285,0
1527516005,247,0
1527602408,260,0
1527688808,441,0
1527775206,348,0
1527861605,263,0
1527948005,0,0
1528034406,237,0
1528120806,215,0
1528207205,228,0
1528293606,306,0
1528380009,325,0
1528466405,269,0
1528552808,231,0
1528639205,170,0
1528725606,194,0
1528812006,190,0
1528898407,227,0
1528984806,229,0
1529071205,269,0
1529157606,193,0
1529244005,224,8934
1529330406,469,0
1529416809,315,0
1529503207,379,0
1529589613,394,0
1529676008,279,0
1529762412,339,0
1529848806,223,0
1529935205,235,0
1530021605,260,0
1530108005,246,0
1530194405,263,0
1530280805,213,0
1530367205,309,0
1530453605,202,0
1530540005,174,0
1530626405,306,0
1530712810,278,0
1530799205,245,0
1530885605,207,0
1530972009,241,0
1531058406,196,0
1531144812,208,0
1531231205,223,0
1531317605,221,0
1531404005,220,104
1531490406,240,0
1531576806,221,0
1531663206,225,0
1531749606,247,0
1531836006,257,0
1531922408,246,242
1532008812,197,8116
1532095205,292,0
1532181605,352,0
1532268005,309,0
1532354405,299,0
1532440805,318,0
1532527212,273,0
1532613606,320,0
1532700005,269,0
1532786405,267,0
1532872806,192,0
1532959206,234,0
1533045606,269,0
1533132006,216,0
1533218405,274,0
1533304806,244,0
1533391213,228,0
1533477606,250,0
1533564006,233,0
1533650407,259,0
1533736805,237,0
1533823209,232,0
1533909606,237,0
1533996013,178,0
1534082406,174,0
1534168806,193,0
1534255205,289,0
1534341605,288,0
1534428006,276,0
1534514407,261,231
1534600813,228,0
1534687214,148,7739
1534773605,381,0
1534860006,359,0
1534946405,323,48
1535032805,386,0
1535119207,400,0
1535205606,336,0
1535292007,303,0
1535378406,360,0
1535464805,380,0
1535551207,328,0
1535637609,443,0
1535724006,385,0
1535810406,363,0
1535896807,286,0
1535983206,324,0
1536069605,330,0
1536156005,386,0
1536242407,332,0
1536328805,317,0
1536415209,341,0
1536588006,557,0
1536674406,239,0
1536760806,286,0
1536847207,269,0
1536933606,250,0
1537020006,93,8850
1537106406,458,0
1537192805,344,0
1537279206,330,68
1537365607,285,0
1537452009,423,0
1537538409,423,0
1537624805,334,0
1537711205,318,0
1537797609,309,0
1537884006,328,0
1537970406,271,0
1538056806,91,3369
1538143205,403,0
1538229606,464,0
1538316005,346,0
1538402431,337,0
1538488813,160,2093
1538575206,333,0
1538661606,305,2
1538748013,286,0
1538834406,290,0
1538920805,254,0
1539007207,280,0
1539093606,296,0
1539180006,334,0
1539266407,325,0
1539352806,285,0
1539439217,238,0
1539525606,200,0
1539612025,218,0
1539698407,261,0
1539784810,319,0
1539871206,300,0
1539957605,267,0
1540044008,288,0
1540130406,227,0
1540216807,300,0
1540303206,220,0
1540389606,242,0
1540476006,237,0
1540562406,225,0
1540648813,202,0
1540735207,155,6667
1540821605,347,0
1540908007,314,0
1540994406,317,0
1541080813,348,0
1541167207,288,0
1541253606,245,0
1541340006,246,0
1541426414,228,0
1541512805,261,0
1541599206,294,0
1541685606,292,0
1541772006,232,0
1541858408,228,0
1541944809,191,0
1542031213,277,0
1542117606,294,2
1542204007,248,0
1542290406,230,0
1542376806,192,0
1542463211,188,0
1542549606,187,0
1542636006,210,0
1542722405,195,0
1542808806,191,0
1542895207,160,0
1542981606,181,0
1543068013,202,0
1543154406,10,6970
1543240806,334,0
1543327206,337,0
1543413607,251,0
1543500006,255,0
1543586407,267,0
1543672813,253,0
1543759206,230,0
1543845606,218,0
1543932006,302,0
1544018406,349,0
1544104810,447,0
1544191206,360,0
1544277606,348,0
1544364006,319,0
1544450407,320,0
1544536807,350,0
1544623206,334,0
1544709607,334,0
1544796009,346,0
1544882408,318,0
1544968805,318,0
1545055207,272,0
1545141619,315,0
1545228007,336,0
1545314406,518,7243
1545400806,759,0
1545487209,539,0
1545573609,700,0
1545660007,671,0
1545746406,555,0
1545832807,515,0
1545919206,424,0
1546005607,432,0
1546092009,525,0
1546178406,381,5381
1546264806,699,0
1546351206,754,0
1546437606,763,0
1546524007,657,0
1546610409,427,0
1546696806,351,0
1546783206,294,0
1546869606,407,0
1546956013,452,0
1547042406,450,0
1547128806,434,0
1547215206,383,0
1547301611,356,0
1547388012,370,0
1547474406,237,7376
1547560807,592,378
1547647206,626,0
1547733605,394,0
1547820006,406,0
1547906406,332,0
1547992806,299,0
1548079206,352,0
1548165607,368,0
1548252007,359,0
1548338406,285,0
1548424806,307,0
1548511206,305,0
1548597606,234,0
1548684006,296,0
