DateTime,AddedIPs,RemovedIPs
1566854437,840,197
1566856344,772,198
1566858284,204,184
1566860176,164,185
1566862092,246,207
1566864086,212,794
1566865961,178,1530
1566867893,201,1719
1566869795,233,1742
1566871712,195,1392
1566873612,225,1396
1566875560,223,1336
1566877462,249,1556
1566879645,292,1401
1566881550,215,1313
1566883509,765,1285
1566885415,672,1166
1566887296,1743,1160
1566889287,3339,1153
1566891148,2667,1025
1566893577,3941,1417
1566895481,3339,1264
1566897386,2999,1068
1566899310,3333,958
1566901267,2532,266
1566903147,3263,186
1566905081,2736,215
1566907251,3423,246
1566909166,2675,229
1566911324,2870,280
1566913222,2633,272
1566915164,2354,211
1566917067,2624,197
1566919014,1982,232
1566920902,723,246
1566922852,264,205
1566924755,175,262
1566926692,255,204
1566928587,275,260
1566930499,422,265
1566933380,405,445
1566935302,251,255
1566937235,270,255
1566939172,338,301
1566941056,291,967
1566942971,261,651
1566944919,261,243
1566947821,447,327
1566949964,420,257
1566951862,302,201
1566953784,256,198
1566955703,207,235
1566958580,332,328
1566960741,249,261
1566962682,210,198
1566964578,233,238
1566966743,263,311
1566968681,252,243
1566970596,306,613
1566972525,286,811
1566974413,306,2919
1566976382,300,3115
1566978276,241,3178
1566980195,571,3019
1566982124,286,2977
1566984046,270,3046
1566985932,1066,3249
1566987871,4288,2558
1566989801,1677,3579
1566991721,1309,2393
1566994842,869,4144
1566996733,492,2768
1566998745,505,2169
1567000848,324,2640
1567002769,305,2144
1567004707,340,2038
1567006596,220,1351
1567008524,258,324
1567010413,234,217
1567012378,260,295
1567014501,335,244
1567016676,243,601
1567018595,206,245
1567020768,223,310
1567022950,293,237
1567024832,229,285
1567026780,267,283
1567028673,188,249
1567030821,263,277
1567032746,204,271
1567034684,241,221
1567036595,208,300
1567038768,244,344
1567040698,197,246
1567042596,214,206
1567044501,238,236
1567046451,219,232
1567048594,230,217
1567050765,205,208
1567052662,265,234
1567054578,280,201
1567056526,1099,341
1567059387,364,398
1567061564,1056,334
1567063506,2746,281
1567065406,4441,216
1567067544,2868,311
1567069720,2544,308
1567071623,1603,183
1567073585,1565,1682
1567075479,1755,2482
1567077652,1782,1311
1567079553,2103,1007
1567081457,1554,461
1567083689,1404,643
1567085831,1330,412
1567087729,1216,271
1567089657,1372,312
1567091560,1294,299
1567093484,2049,220
1567095422,1730,240
1567097306,1901,233
1567099221,2626,261
1567101168,3558,260
1567103057,2620,192
1567105006,3637,196
1567107179,1033,184
1567109093,224,190
1567110997,230,188
1567112958,254,242
1567114819,204,183
1567116998,243,244
1567118920,224,195
1567121094,735,242
1567122997,325,203
1567124903,223,199
1567126863,209,189
1567128765,227,176
1567131630,298,320
1567133547,256,175
1567135735,233,188
1567137655,192,181
1567139567,205,271
1567141718,244,244
1567143635,1013,1012
1567145565,232,184
1567147483,217,735
1567149636,317,2943
1567151558,319,4689
1567153719,355,3665
1567155634,310,2902
1567157561,321,1559
1567159978,362,2166
1567161871,336,1887
1567164064,420,1783
1567166196,1539,2348
1567168371,346,1609
1567170288,282,1047
1567172425,292,1251
1567174346,205,1066
1567176526,257,1442
1567178446,211,1530
1567180349,244,2002
1567182270,238,1620
1567184223,227,2361
1567186122,210,3091
1567188186,261,3854
1567190418,829,4007
1567192599,355,2962
1567194518,289,477
1567196436,288,214
1567198348,271,325
1567200254,243,251
1567202186,252,235
1567204107,249,253
1567206100,251,268
1567207971,195,1125
1567209856,216,243
1567212037,314,274
1567214186,619,254
1567216105,213,258
1567218027,634,225
1567219951,1034,226
1567221860,213,187
1567223791,278,313
1567225943,259,277
1567228124,229,307
1567230022,965,616
1567231963,375,646
1567233863,212,284
1567235804,224,317
1567237738,209,307
1567239906,188,374
1567241771,189,421
1567243945,323,622
1567245890,266,506
1567248033,233,746
1567250212,695,457
1567252128,239,1287
1567254037,255,763
1567255986,232,322
1567257856,202,303
1567260071,231,275
1567261965,451,249
1567263942,204,266
1567266128,232,291
1567267975,205,261
1567269881,218,251
1567272037,240,243
1567273952,196,232
1567275888,191,537
1567277777,179,545
1567279736,229,326
1567281680,204,259
1567283570,228,310
1567285490,163,252
1567287402,243,244
1567289324,230,259
1567291216,256,254
1567293398,240,273
1567295299,214,213
1567297229,237,417
1567299168,302,246
1567301058,242,553
1567302994,226,219
1567304905,213,1002
1567308028,348,1036
1567309965,1722,328
1567311856,1065,228
1567315227,1628,371
1567317176,508,990
1567319058,241,429
1567321263,2298,206
1567323169,1377,215
1567325308,1368,228
1567327244,1297,147
1567329391,1038,249
1567331325,959,283
1567333465,754,236
1567335381,482,380
1567337296,661,297
1567339273,475,215
1567341163,432,197
1567343352,414,225
1567345218,263,176
1567347156,236,189
1567349079,286,342
1567350997,499,203
1567353172,272,199
1567355060,164,164
1567356983,196,168
1567358913,217,171
1567361782,311,241
1567363697,205,182
1567365608,191,186
1567367561,196,167
1567369462,189,205
1567371403,176,215
1567373294,203,204
1567376180,612,285
1567378101,309,235
1567380016,476,184
1567381955,213,173
1567383855,1061,196
1567385792,1477,206
1567387697,1307,190
1567390577,1685,318
1567392495,1099,162
1567394428,1153,163
1567396346,1188,747
1567398260,962,481
1567400189,1071,829
1567402093,1638,794
1567404984,1382,465
1567406901,1021,421
1567408834,928,202
1567410767,880,191
1567412657,849,175
1567414578,796,215
1567416525,686,374
1567419395,1073,324
1567421298,854,220
1567423220,574,310
1567425148,358,243
1567427076,362,198
1567428991,377,194
1567430913,302,176
1567433804,443,269
1567435699,291,275
1567437637,241,420
1567439548,239,235
1567441528,253,158
1567443400,201,182
1567445315,244,190
1567447247,319,186
1567449160,283,157
1567452030,433,260
1567453957,261,169
1567455866,235,176
1567457771,203,191
1567459938,1568,253
1567461866,205,309
1567463795,163,453
1567465721,197,169
1567467613,227,438
1567469536,210,618
1567471476,221,1408
1567473386,167,1359
1567475298,179,1460
1567477238,178,998
1567479154,237,1151
1567481052,245,1124
1567482970,222,1224
1567484913,213,989
1567486839,247,1023
1567488765,1059,1658
1567490924,254,994
1567492817,198,1129
1567494738,228,1196
1567496673,291,1187
1567498841,1282,1216
1567500736,266,889
1567502655,346,849
1567504578,251,856
1567506522,325,831
1567508439,356,954
1567510360,439,628
1567512269,735,369
1567514172,684,425
1567516133,413,381
1567518012,310,343
1567519937,350,320
1567521875,317,334
1567523774,887,284
1567525698,1668,246
1567527627,257,284
1567529531,254,223
1567531453,235,278
1567533427,224,363
1567535301,246,305
1567537373,249,381
1567539372,1669,358
1567541322,1523,268
1567543211,1833,263
1567545140,532,467
1567547076,697,1347
1567548975,311,175
1567550895,201,168
1567552834,199,226
1567554754,231,214
1567556673,226,226
1567558571,197,210
1567560501,197,183
1567562436,203,182
1567564373,173,297
1567566260,195,232
1567568413,244,251
1567570344,151,247
1567572259,203,208
1567574218,339,283
1567576100,291,996
1567578019,247,219
1567580200,245,345
1567582100,212,238
1567585007,331,902
1567586932,907,363
1567589060,401,267
1567592205,501,498
1567594100,185,329
1567596046,201,442
1567597946,175,826
1567599886,199,747
1567601801,195,292
1567603975,827,334
1567605882,1624,288
1567607804,2717,318
1567609729,210,479
1567611651,230,1640
1567613660,211,651
1567615586,189,225
1567617644,236,225
1567619536,181,203
1567621457,240,232
1567623392,224,245
1567625546,279,239
1567627477,639,660
1567629416,1009,1437
1567631320,518,493
1567633216,393,649
1567635149,313,884
1567637082,233,1142
1567639020,170,228
1567640897,230,319
1567642837,420,206
1567644744,298,211
1567646663,216,203
1567648596,195,192
1567650508,249,197
1567652459,275,203
1567654370,210,204
1567656296,269,153
1567658176,227,180
1567660365,231,228
1567662285,315,486
1567664190,237,274
1567666110,183,381
1567668065,276,327
1567669962,246,366
1567671863,230,342
1567673773,253,1145
1567675692,186,477
1567677655,207,393
1567679559,202,193
1567681487,204,223
1567683403,193,206
1567685327,937,193
1567687229,317,225
1567689169,225,210
1567691082,344,2045
1567692985,520,2580
1567695146,285,1915
1567697054,893,217
1567699003,3393,254
1567700890,240,199
1567703806,4538,361
1567705713,3328,191
1567707625,2968,259
1567709578,3603,235
1567711458,2844,241
1567713377,3057,367
1567715315,2692,1080
1567717261,284,569
1567719172,208,282
1567721081,231,238
1567723002,248,216
1567724906,240,227
1567726828,219,200
1567728742,519,386
1567730672,712,321
1567732583,265,224
