DateTime,Entries,UniqueIPs
1556730288,17093,17093
1556752330,16813,16813
1556774438,16814,16814
1556796284,16812,16812
1556818341,15942,15942
1556840199,15910,15910
1556862270,15895,15895
1556884256,15957,15957
1556906174,15950,15950
1556928035,14920,14920
1556950113,13414,13414
1556971961,13419,13419
1556994026,15171,15171
1557016110,15850,15850
1557038187,15819,15819
1557060048,15729,15729
1557082111,16764,16764
1557104178,17532,17532
1557126032,17669,17669
1557148117,17689,17689
1557170198,17703,17703
1557192497,17740,17740
1557214352,17719,17719
1557236209,17717,17717
1557258278,17732,17732
1557280351,17782,17782
1557302450,17767,17767
1557324309,17743,17743
1557346345,17731,17731
1557368203,17730,17730
1557390253,17708,17708
1557412109,17706,17706
1557434202,17691,17691
1557456279,20109,20109
1557478340,20789,20789
1557500428,20782,20782
1557522521,21051,21051
1557544580,21053,21053
1557566430,21138,21138
1557588508,21139,21139
1557610578,21096,21096
1557632433,21076,21076
1557654281,21084,21084
1557676355,20328,20328
1557698205,17248,17248
1557720281,17212,17212
1557742351,17179,17179
1557764322,17174,17174
1557786261,17094,17094
1557808373,17028,17028
1557830416,17046,17046
1557852293,17058,17058
1557874382,17023,17023
1557896442,17016,17016
1557918527,16915,16915
1557940582,16933,16933
1557962664,16938,16938
1557984517,16969,16969
1558006372,17097,17097
1558028417,18098,18098
1558050265,18058,18058
1558072365,18080,18080
1558094492,18140,18140
1558116526,16952,16952
1558138579,17486,17486
1558160459,17501,17501
1558182524,17490,17490
1558204579,18725,18725
1558226686,19980,19980
1558248757,19950,19950
1558270600,19922,19922
1558292708,19997,19997
1558314739,19754,19754
1558336835,19877,19877
1558358892,20007,20007
1558380757,20013,20013
1558402844,20039,20039
1558424894,20113,20113
1558446783,20113,20113
1558468854,20126,20126
1558490901,20110,20110
1558512747,20097,20097
1558534606,20028,20028
1558556652,20024,20024
1558578764,20344,20344
1558600846,22035,22035
1558622902,22055,22055
1558645007,21265,21265
1558666875,21220,21220
1558688927,21150,21150
1558710997,21171,21171
1558732840,20815,20815
1558754889,20810,20810
1558776735,21124,21124
1558798590,21047,21047
1558820444,20045,20045
1558842519,20020,20020
1558864576,20277,20277
1558886479,20830,20830
1558908503,21255,21255
1558930388,21249,21249
1558952434,21218,21218
1558975093,21193,21193
1558997060,21181,21181
1559018902,21167,21167
1559040986,21155,21155
1559063116,21102,21102
1559085164,18259,18259
1559107255,18249,18249
1559129289,18340,18340
1559151144,18352,18352
1559173245,18344,18344
1559195321,16780,16780
1559217369,15883,15883
1559239236,15852,15852
1559261094,16306,16306
1559283175,16312,16312
1559305211,16365,16365
1559327078,16430,16430
1559349174,17062,17062
1559371221,16874,16874
1559393084,16887,16887
1559415138,16833,16833
1559436997,16774,16774
1559459108,16790,16790
1559481381,16494,16494
1559503241,16508,16508
1559525312,16560,16560
1559547175,16573,16573
1559569241,16577,16577
1559591085,16884,16884
1559613130,16901,16901
1559634972,16825,16825
1559656890,16862,16862
1559678928,16618,16618
1559701010,15209,15209
1559723080,15123,15123
1559744926,14245,14245
1559766970,14243,14243
1559788814,14251,14251
1559810656,14278,14278
1559832509,14271,14271
1559854569,14275,14275
1559876439,13690,13690
1559898502,13522,13522
1559920575,13484,13484
1559942430,12816,12816
1559964489,12819,12819
1559986379,12795,12795
1560008423,12089,12089
1560030274,12768,12768
1560052330,12768,12768
1560074178,12800,12800
1560096056,12762,12762
1560118091,12729,12729
1560139932,12690,12690
1560161774,12672,12672
1560183619,12685,12685
1560205687,12354,12354
1560227545,12359,12359
1560249610,12485,12485
1560271508,11278,11278
1560294031,11400,11400
1560316127,11396,11396
1560338177,14320,14320
1560360053,14311,14311
1560382099,14372,14372
1560403944,14386,14386
1560426020,14359,14359
1560448111,15493,15493
1560469955,15830,15830
1560492058,15841,15841
1560514114,15846,15846
1560535968,15893,15893
1560558266,15380,15380
1560580345,13816,13816
1560602283,13840,13840
1560624264,13856,13856
1560646333,13855,13855
1560668197,13844,13844
