DateTime,AddedIPs,RemovedIPs
1544077697,0,1
1544120434,1,0
1544126680,1,0
1544142756,0,1
1544168440,1,0
1544206366,0,1
1544214278,0,1
1544252927,0,1
1544260126,1,0
1544292672,1,0
1544339793,1,0
1544347703,0,1
1544351566,1,0
1544380374,0,1
1544427171,0,1
1544434819,0,1
1544450930,1,0
1544498925,1,0
1544501089,1,0
1544526515,1,0
1544538761,0,1
1544544985,1,0
1544585073,0,1
1544587274,1,0
1544589159,0,1
1544612927,0,1
1544630955,0,1
1544663063,1,0
1544675561,0,1
1544707622,1,0
1544721648,1,0
1544750418,0,1
1544768442,1,0
1544782140,1,0
1544793866,0,1
1544807790,1,1
1544818124,1,0
1544855545,0,1
1544869938,0,1
1544893699,0,1
1544901384,1,0
1544905478,0,1
1544919149,1,0
1544944357,1,0
1544955875,1,0
1544988504,0,1
1545006278,0,1
1545030999,0,1
1545040594,0,1
1545088131,1,0
1545147141,1,0
1545174745,0,1
1545231390,0,1
1545305304,1,0
1545336760,1,0
1545340599,1,0
1545392173,0,1
1545423405,1,0
1545427226,0,2
1545463210,1,0
1545510252,0,1
1545548172,0,1
1545646830,1,0
1545690281,1,0
1545733695,0,1
1545751457,1,0
1545776675,0,1
1545786300,1,0
1545833054,1,0
1545837131,0,1
1545849144,1,0
1545874101,0,1
1545919481,0,1
1545933155,0,1
1546088653,1,0
1546108360,1,0
1546118180,1,0
1546175850,1,1
1546187543,1,0
1546193534,0,1
1546205054,0,1
1546218505,2,0
1546236278,1,0
1546261938,0,1
1546273450,0,1
1546285485,1,0
1546305383,0,2
1546312608,1,0
1546316417,1,0
1546324339,1,1
1546326264,1,0
1546334220,1,0
1546338289,1,0
1546345941,1,0
1546372355,0,1
1546392288,1,0
1546399942,0,1
1546401877,0,1
1546409782,0,1
1546413851,1,1
1546421557,0,1
1546423484,1,0
1546427314,0,1
1546431152,0,1
1546457384,1,0
1546473145,1,0
1546479155,0,1
1546499079,0,1
1546506732,1,0
1546510589,0,1
1546542287,0,1
1546560106,0,1
1546590999,0,1
1546643329,1,0
1546729258,0,1
1546733086,1,0
1546807225,1,0
1546821151,0,1
1546860491,1,0
1546882127,1,0
1546893886,0,1
1546917408,1,0
1546946892,0,1
1546956996,1,0
1546968763,0,1
1546974762,1,0
1546996389,1,0
1547004256,0,1
1547029725,1,0
1547043388,0,1
1547065947,0,1
1547080406,1,0
1547082532,1,1
1547100296,1,0
1547116591,0,1
1547130740,1,0
1547163150,1,0
1547168915,0,2
1547186547,0,1
1547210204,1,0
1547216206,0,1
1547249586,0,1
1547273821,1,0
1547295640,1,0
1547297570,0,1
1547313892,1,0
1547332407,1,0
1547338623,1,0
1547350097,1,0
1547360446,0,1
1547364278,1,0
1547382516,0,1
1547386347,1,0
1547392373,1,0
1547400275,1,1
1547410370,1,0
1547418273,0,1
1547426174,0,1
1547436293,0,1
1547450431,0,1
1547454870,1,0
1547471098,0,1
1547479002,0,1
1547486670,0,1
1547497484,0,1
1547538730,0,1
1547618699,1,0
1547626593,1,0
1547677720,1,0
1547703400,1,0
1547705553,0,1
1547711319,1,0
1547713228,0,1
1547763858,0,1
1547790992,0,1
1547793167,1,0
1547796974,0,1
1547803238,1,0
1547810897,1,0
1547879292,1,1
1547893243,1,1
1547897052,0,1
1547961867,1,0
1547965693,0,1
1547979156,0,1
1548046348,0,1
1548195371,1,0
1548253507,1,0
1548281545,0,1
1548337935,0,1
1548417849,1,0
1548501386,1,0
1548505240,0,1
1548576291,1,0
1548587807,0,1
1548597890,1,0
1548663160,0,1
1548682823,0,1
1548957171,1,0
1549041882,0,1
1549222820,1,0
1549309034,0,1
1549618334,5,0
1549754716,1,5
1549762340,1,0
1549766195,1,0
1549816107,1,0
1549841083,0,1
1549848767,1,1
1549852592,0,1
1549872503,1,0
1549897969,1,0
1549901782,1,1
1549919556,1,0
1549936871,0,1
1549958687,0,1
1549983757,0,1
1549986800,0,1
1550002343,0,1
1550598507,1,0
1550600409,24,0
1550707240,1,25
1550792478,0,1
1550838260,1,0
1550852169,1,0
1550927292,0,1
1550939082,1,1
1550958506,1,0
1550999785,1,0
1551023771,0,1
1551043969,0,1
1551083295,0,1
1551202361,1,0
1551212202,1,0
1551271003,1,0
1551290190,0,1
1551298818,0,1
1551355946,0,1
1551358847,1,0
1551446894,1,1
1551531132,0,1
1551633859,1,0
1551655469,1,0
