DateTime,AddedIPs,RemovedIPs
1565226740,1,0
1565228667,1,0
1565259383,3,1
1565263230,1,0
1565268977,0,1
1565286502,0,1
1565288421,0,2
1565292258,4,0
1565306204,1,0
1565312306,0,1
1565314356,0,1
1565316252,0,1
1565344502,4,3
1565348466,1,0
1565350350,0,1
1565364033,1,0
1565367857,1,0
1565371688,1,0
1565373702,1,0
1565377725,3,3
1565383453,1,0
1565391393,0,1
1565400969,1,0
1565430775,0,1
1565432658,3,3
1565434577,0,1
1565450179,0,1
1565454043,1,1
1565457851,0,1
1565459767,0,1
1565461718,0,1
1565463657,3,3
1565469615,0,1
1565486179,3,0
1565488103,0,1
1565518959,0,3
1565520984,1,0
1565530833,1,0
1565540658,0,1
1565551455,3,3
1565559152,5,0
1565561326,18,0
1565573052,0,3
1565606918,1,0
1565616745,0,1
1565622754,1,0
1565636189,0,3
1565638124,1,0
1565645773,0,10
1565647705,1,13
1565651788,1,0
1565667157,1,0
1565673138,1,0
1565690705,1,0
1565692850,0,1
1565708196,0,1
1565710091,0,1
1565724489,0,1
1565736739,0,1
1565740593,1,0
1565750209,1,0
1565754012,0,1
1565755940,1,0
1565760042,1,1
1565773718,1,0
1565775610,0,1
1565787670,0,1
1565826495,0,1
1565836093,1,0
1565839044,0,1
1565842812,0,1
1565846659,0,1
1565848890,1,0
1565854837,1,0
1565860579,0,1
1565864663,1,0
1565866599,1,0
1565868435,1,0
1565871401,1,0
1565877160,1,0
1565883140,1,0
1565890822,1,0
1565892768,1,0
1565908346,1,0
1565922254,1,1
1565931874,1,0
1565935713,0,1
1565939534,0,1
1565949418,1,0
1565951309,0,1
1565953260,0,1
1565955144,0,1
1565963078,0,1
1565969053,0,1
1565974881,4,0
1565976752,1,0
1565978686,0,2
1565992091,1,0
1565994038,0,1
1566001695,0,1
1566003679,4,0
1566007503,1,0
1566009377,0,1
1566011317,2,0
1566013239,2,0
1566019003,0,1
1566020896,1,0
1566030509,1,0
1566033392,3,0
1566035293,0,1
1566043165,2,0
1566047076,1,0
1566054758,1,0
1566060732,0,1
1566062681,3,4
1566076606,3,0
1566078492,0,1
1566080414,1,0
1566087385,1,0
1566089300,0,1
1566091255,3,3
1566093143,2,1
1566096995,0,1
1566098892,0,3
1566104921,1,0
1566106814,1,1
1566116692,0,1
1566118581,0,3
1566122475,2,0
1566128187,0,1
1566130122,0,1
1566133945,0,1
1566139952,1,0
1566141893,0,1
1566148576,0,3
1566162977,0,3
1566172585,0,1
1566177395,3,3
1566179317,0,2
1566186992,0,1
1566192037,1,1
1566193969,0,1
1566199708,1,0
1566208361,0,1
1566210269,0,1
1566229956,1,0
1566237704,1,0
1566239559,1,0
1566243402,1,0
1566247216,1,0
1566249149,1,0
1566262899,0,3
1566264758,1,0
1566270756,1,0
1566276502,0,1
1566286094,1,1
1566294018,3,0
1566298348,1,0
1566300279,0,1
1566317376,0,1
1566324973,0,2
1566329101,0,1
1566332894,0,1
1566336975,0,1
1566350691,3,0
1566352567,0,1
1566356692,0,1
1566373956,1,0
1566377790,3,0
1566379693,0,3
1566381678,1,0
1566383610,0,1
1566387388,1,0
1566407783,3,0
1566429183,1,0
1566437052,1,3
1566447650,0,1
1566463219,16,0
1566465144,28,3
1566474737,0,1
1566494464,0,3
1566496366,1,0
1566508124,1,0
1566510038,1,0
1566514135,0,1
1566517967,0,2
1566523741,0,1
1566535476,1,0
1566549138,0,8
1566551143,0,36
1566574097,6,0
1566577167,34,0
1566579389,1,0
1566583386,0,1
1566595235,0,1
1566597153,0,1
1566606769,1,0
1566614655,2,0
1566616602,3,0
1566620452,0,1
1566634102,2,0
1566640118,1,0
1566642048,1,0
1566653549,1,0
1566657390,1,0
1566661483,0,20
1566663417,0,20
1566665302,0,1
1566669168,1,0
1566671068,3,0
1566686663,1,0
1566694366,0,1
1566696260,3,0
1566702981,2,4
1566720057,0,1
1566721974,2,1
1566723897,5,0
1566725770,1,0
1566727729,0,1
1566733966,1,0
1566735852,1,1
1566739940,0,1
1566743790,0,1
1566755795,1,1
1566757962,0,3
1566759873,1,0
1566767561,1,0
1566771380,1,0
1566773301,0,1
1566782897,0,3
1566787719,2,0
1566789614,1,2
1566795377,1,0
1566797567,1,0
1566803562,1,0
1566805484,1,0
1566807632,1,2
1566809562,0,1
1566811477,3,3
1566813383,1,1
1566815290,1,0
1566817294,1,0
1566819164,1,0
1566821123,0,2
1566824938,1,0
1566831137,1,0
1566834980,1,0
1566836922,1,0
1566838943,1,1
1566840761,3,1
1566842925,1,0
1566846791,0,1
1566852522,0,1
1566856346,0,1
1566865251,3,0
1566869065,3,0
1566874945,0,2
1566876751,0,1
1566880813,1,1
1566882764,1,0
1566884689,1,1
1566890683,0,1
1566894040,2,1
1566897900,1,3
1566899815,0,1
1566901704,0,1
1566904835,0,1
1566906770,1,1
1566908660,1,0
1566910911,0,1
1566916846,0,1
1566922853,1,2
1566924757,1,0
1566926694,5,4
1566928588,1,1
1566930500,1,0
1566932473,1,0
1566936288,3,0
1566943944,2,0
1566947824,1,0
1566949967,1,1
1566951875,0,2
1566955706,0,3
1566963400,1,0
1566965573,1,0
1566967457,0,3
1566971535,1,1
1566975396,1,0
1566979509,1,1
1566981403,0,1
1566983316,0,1
1566985236,4,0
1566987172,1,0
1566991229,1,0
1566993163,0,1
1566995090,0,1
1567003254,2,0
1567007057,1,0
1567009013,1,1
1567010949,0,1
1567012821,0,5
1567014767,0,1
1567016677,0,1
1567018596,0,1
1567022952,0,3
1567028674,0,1
1567030822,0,1
1567034684,0,2
1567038768,1,0
1567042597,2,0
1567048595,1,0
1567050766,0,1
1567052663,0,1
1567059387,1,1
1567061565,0,1
1567067545,1,0
1567069722,1,0
1567071641,1,4
1567073595,1,1
1567077653,0,1
1567081466,1,0
1567085833,1,0
1567087731,1,0
1567089659,0,2
1567091561,1,0
1567093486,0,1
1567095424,0,1
1567097308,1,0
1567099223,1,0
1567105007,1,0
1567107235,1,0
1567112960,0,1
1567114821,1,0
1567117000,1,0
1567121095,1,0
1567124906,0,1
1567128766,1,1
1567130689,1,1
1567136670,0,1
1567146787,0,1
1567150649,1,0
1567154675,0,1
1567156605,0,1
1567158765,1,2
1567166714,1,0
1567168869,2,1
1567172688,0,1
1567174581,0,1
1567176528,0,1
1567180351,2,0
1567182291,1,0
1567184224,0,2
1567186125,1,0
1567198349,1,0
1567202187,1,1
1567204108,0,1
1567206149,1,0
1567207973,0,1
1567214188,3,0
1567216107,0,1
1567218029,0,1
1567223793,2,0
1567230044,1,1
1567233864,1,0
1567235806,0,1
1567237740,1,0
1567243947,3,0
1567245893,0,1
1567252131,0,1
1567254040,1,1
1567255988,0,1
1567257858,1,0
1567260101,2,0
1567266130,0,2
1567267976,0,1
1567272039,4,1
1567273953,0,1
1567283572,0,1
1567289326,0,1
1567291217,2,1
1567295301,1,0
1567297231,1,0
1567301059,3,3
1567302995,1,0
1567308988,0,1
1567311153,1,2
1567315245,0,1
1567317178,1,0
1567319060,0,1
1567324098,0,1
1567328475,0,2
1567330344,0,1
1567332505,1,0
1567340196,0,1
1567344324,3,1
1567346521,2,2
1567358659,0,3
1567360579,1,0
1567364674,2,0
1567368519,1,0
1567378102,0,1
1567381956,0,1
1567383856,0,1
1567387697,3,3
1567390577,1,2
1567392496,1,0
1567396347,1,0
1567398261,0,1
1567404040,0,1
1567415541,3,0
1567419397,0,1
1567430914,0,4
1567433805,0,2
1567441529,1,0
1567445316,1,0
1567448436,1,1
1567450336,0,1
1567452512,0,1
1567455399,1,1
1567457321,1,0
1567461144,1,0
1567472925,0,3
1567476735,0,1
1567478662,1,1
1567484425,0,1
1567496171,1,0
1567502177,3,3
1567504092,1,0
1567512979,1,0
1567514966,34,0
1567532452,3,1
1567536268,1,1
1567540108,0,1
1567544183,1,1
1567546096,0,1
1567549961,1,0
1567559637,3,0
1567561501,1,0
1567565552,0,1
1567571323,1,1
1567573288,1,0
1567578978,1,0
1567581165,0,1
1567586934,2,0
1567589080,3,3
1567592207,1,1
1567599888,0,12
1567601803,0,23
1567603981,1,0
1567617646,0,3
1567619538,1,0
1567623394,1,0
1567629418,1,1
1567637083,0,1
1567646670,0,3
1567648597,0,1
1567658178,1,2
1567660367,0,1
1567662287,1,0
1567664192,1,1
1567673775,0,1
1567675694,1,3
1567678581,0,1
1567684335,1,0
1567688199,1,0
1567690104,0,1
1567703807,3,0
1567705715,0,1
1567707626,6,0
1567709580,1,1
1567722019,2,0
1567729711,1,1
1567735495,5,0
1567737382,2,1
1567739321,1,0
1567745053,0,1
1567747246,0,1
1567751102,0,1
1567752975,1,0
1567758763,1,0
1567762850,2,0
1567766902,1,0
1567770740,0,1
1567774582,0,1
1567790432,0,3
1567792335,0,1
1567794290,0,5
1567796176,2,1
1567802195,1,0
1567809883,0,2
1567813960,1,0
1567815864,0,1
1567821686,1,5
1567823572,0,2
1567825460,0,1
1567831971,1,0
1567840609,1,1
1567844436,1,0
1567846360,0,1
1567848263,0,2
