DateTime,AddedIPs,RemovedIPs
1556661683,0,1
1556668070,0,1
1556673857,1,0
1556689466,0,1
1556700987,1,1
1556714428,1,0
1556735553,0,1
1556739378,0,1
1556741292,0,1
1556743161,1,0
1556760259,1,1
1556773709,1,0
1556787376,0,1
1556800829,0,1
1556804739,1,0
1556829882,0,1
1556845325,1,0
1556847156,0,1
1556860574,0,1
1556875957,1,0
1556890579,0,1
1556931154,1,0
1556933060,0,1
1556942675,1,0
1556946531,1,0
1556979388,0,1
1556990912,1,0
1557000518,2,0
1557017781,1,1
1557028371,0,1
1557034130,0,1
1557042034,1,0
1557043962,1,0
1557045855,1,0
1557076831,0,1
1557082598,1,0
1557086491,1,1
1557088360,0,1
1557103716,0,1
1557127715,0,1
1557129666,0,1
1557133481,0,1
1557137329,1,0
1557141162,1,0
1557143058,1,0
1557152675,1,0
1557160363,1,0
1557162289,1,0
1557168042,0,1
1557173778,0,1
1557202100,1,0
1557207872,1,0
1557223471,0,1
1557227306,0,1
1557229215,0,1
1557240739,0,1
1557246491,1,1
1557248468,0,1
1557288747,0,1
1557294502,0,1
1557302173,1,0
1557333380,0,1
1557348775,1,0
1557355546,1,0
1557375164,1,0
1557388955,0,1
1557435136,0,1
1557442383,0,1
1557458679,0,1
1557464469,1,0
1557549392,0,1
1557562604,1,0
1557619488,1,0
1557648745,0,1
1557704903,0,1
1557716178,1,0
1557720041,1,0
1557799556,1,0
1557803332,0,1
1557805221,1,0
1557807136,0,1
1557816998,1,0
1557846334,1,0
1557852295,1,0
1557873886,1,0
1557887304,0,1
1557889254,1,0
1557893099,0,1
1557898844,1,0
1557900781,1,0
1557902660,1,1
1557919944,1,0
1557925731,1,0
1557927619,1,0
1557933405,0,1
1557939156,0,1
1557960281,0,1
1557975864,0,1
1557985460,0,1
1557987411,0,1
1557989309,0,1
1558007324,0,1
1558011140,0,1
1558013059,0,1
1558017859,1,0
1558034413,1,0
1558042109,1,0
1558098052,1,0
1558101823,1,0
1558105701,0,1
1558109788,1,0
1558123724,1,0
1558129452,0,1
1558172183,1,0
1558181792,0,1
1558183696,0,1
1558189457,0,1
1558193303,1,0
1558197140,0,1
1558210585,0,1
1558214687,1,0
1558231946,1,0
1558247300,1,0
1558259061,0,1
1558280197,0,1
1558299383,1,1
1558305189,2,0
1558307085,1,0
1558316910,0,1
1558334186,0,1
1558378361,1,0
1558386087,0,1
1558391778,0,2
1558393730,0,1
1558432128,1,0
1558462963,0,1
1558466891,1,0
1558483700,1,0
1558518515,0,1
1558554017,0,1
1558557886,1,0
1558569691,0,1
1558642844,0,1
1558647371,1,0
1558687489,1,0
1558699291,1,0
1558720361,1,0
1558733782,0,1
1558743879,1,0
1558753516,1,0
1558772677,0,1
1558785652,0,1
1558807003,0,1
1558830280,0,1
1558834138,1,0
1558839908,0,1
1558864869,1,0
1558913577,1,0
1558919325,1,0
1558921242,0,1
1558944541,1,0
1558950506,0,1
1558965889,1,0
1559001158,0,1
1559004979,0,1
1559020367,1,0
1559031864,0,1
1559051296,0,1
1559066909,1,0
1559106749,0,1
1559150920,0,1
1559181929,1,0
1559267299,0,1
1559338357,1,0
1559422881,0,1
1559450408,1,0
1559508257,1,0
1559537564,0,1
1559551242,1,0
1559595918,0,1
1559624191,2,0
1559635702,1,0
1559637641,0,1
1559683720,1,0
1559710586,0,2
1559721403,0,1
1559769614,0,1
1559853380,1,0
1559923702,1,0
1559940976,0,1
1559951837,1,0
1559995258,1,0
1560011072,0,1
1560038431,0,1
1560069370,1,0
1560080892,0,1
1560115965,1,0
1560127464,1,0
1560147644,1,0
1560155292,0,1
1560202577,0,1
1560214378,0,1
1560216252,1,0
1560232577,0,1
1560236455,1,0
1560238347,1,0
1560244105,1,0
1560297919,1,0
1560301718,0,1
1560322906,0,1
1560324755,0,1
1560330496,0,1
1560351855,1,0
1560383075,1,1
1560402291,1,0
1560437091,0,1
1560445008,1,0
1560468258,1,1
1560488475,0,1
1560531385,0,1
1560539078,1,0
1560553943,1,1
1560602910,1,0
1560624028,1,0
1560625973,0,1
1560640590,1,1
1560689431,0,1
1560710683,0,1
1560724097,0,1
1560737789,1,0
1560768745,1,0
1560824924,0,1
1560854196,0,1
1560883714,1,0
1560921401,1,0
1560935339,1,0
1560970097,0,1
1560987396,1,0
1560997002,1,0
1561006600,0,1
1561008497,1,0
1561020051,0,1
1561061773,1,0
1561073315,0,1
1561082927,0,1
1561094434,0,1
1561111746,1,0
1561123249,1,0
1561148178,0,1
1561199066,0,1
1561207707,0,1
1561241797,1,0
1561280167,1,0
1561291721,1,0
1561328172,0,1
1561366855,0,1
1561368752,1,0
1561378358,0,1
1561448905,1,0
1561454663,0,1
1561467134,1,0
1561494032,1,0
1561536768,0,1
1561552378,0,1
1561577563,0,1
1561778446,1,0
1561862179,0,1
1561891692,1,0
1561919569,1,0
1561967797,1,0
1561977401,2,0
1561979338,0,1
1562000697,1,0
1562006417,0,1
1562008345,1,0
1562014106,1,0
1562055136,0,1
1562063058,0,2
1562088520,0,1
1562094293,0,1
1562098132,0,1
1562106258,1,0
1562190762,0,1
1562232254,1,0
1562261807,1,0
1562282448,1,0
1562310079,1,0
1562319899,0,1
1562331683,1,0
1562345070,1,0
1562349148,0,1
1562369051,0,1
1562393051,1,0
1562394968,1,0
1562396921,0,1
1562414495,1,0
1562418519,0,1
1562430254,0,1
1562480193,0,1
1562482101,0,1
1562498656,0,1
1562521226,1,0
1562592269,1,0
1562603779,1,0
1562607631,0,1
1562678897,0,1
1562686600,0,1
1562695472,1,0
1562718775,1,0
1562738173,1,0
1562782607,0,1
1562803987,0,1
1562809725,1,0
1562825109,0,1
1562893479,0,1
1562957316,1,0
1563043473,0,1
1563049947,1,0
1563054034,1,0
1563077324,1,0
1563136089,1,0
1563139240,0,2
1563162499,0,1
1563214589,1,0
1563222279,0,1
1563232586,1,0
1563234528,1,0
1563251773,1,0
1563292330,1,0
1563301954,0,1
1563317773,0,1
1563319698,0,1
1563325486,1,0
1563337236,0,1
1563346854,2,0
1563368195,1,0
1563377789,0,1
1563410688,0,1
1563432048,0,1
1563433931,0,1
1563451959,0,1
1563517221,1,0
1563596435,1,0
1563604344,0,1
1563646592,1,0
1563683562,0,1
1563716675,1,0
1563732073,0,1
1563737775,1,0
1563801893,0,1
1563825389,1,1
1563910620,0,1
1563940090,1,0
1563980195,1,0
1564026731,0,1
1564063282,0,1
1564125857,1,0
1564213702,1,1
1564298423,0,1
1564428497,1,0
1564512986,0,1
1564554271,1,0
1564560497,1,0
1564611380,1,0
1564625813,1,0
1564641191,0,1
1564646920,0,1
1564656993,1,0
1564697797,0,1
1564712653,0,1
1564734279,1,0
1564743931,0,1
1564767383,1,0
1564817060,1,0
1564820889,0,1
1564853561,0,1
1564900570,0,1
1565011227,1,0
1565096518,0,1
1565116845,1,0
1565132524,1,0
1565167937,1,0
1565177553,1,0
1565203212,0,1
1565212846,1,0
1565218584,0,1
1565235871,1,0
1565238060,1,0
1565241856,1,0
1565252424,1,0
1565254330,0,1
1565262986,0,1
1565288911,1,0
1565298753,0,1
1565322278,0,1
1565324183,0,1
1565329944,0,1
1565333796,1,0
1565337684,0,1
1565374343,0,1
1565418253,0,1
1565475134,1,0
1565498673,1,0
1565500585,1,0
1565563213,0,1
1565585796,0,1
1565648913,1,1
1565733698,0,1
1565782824,1,0
1565796250,1,0
1565798222,1,0
1565832265,2,0
1565854855,1,0
1565870506,0,1
1565876175,1,0
1565883865,0,2
1565889875,1,0
1565898730,1,0
1565906478,1,0
1565910296,1,0
1565918182,0,2
1565941477,0,1
1565963079,0,1
1565976032,0,1
1565985693,0,1
1565993326,0,1
1565997388,1,1
1566067948,1,0
1566069861,1,0
1566082358,0,1
1566154338,0,1
1566188189,1,1
1566206433,1,0
1566226341,1,0
1566270756,1,0
1566274579,0,1
1566292136,0,1
1566308524,1,0
1566312414,0,1
1566325962,1,0
1566335804,1,0
1566347563,1,0
1566357161,0,1
1566395294,0,1
1566413543,0,1
1566423150,0,1
1566433014,0,1
1566479974,1,0
1566564512,0,1
1566568131,1,0
1566587560,1,0
1566589470,1,0
1566595236,1,0
1566600981,1,0
1566630296,1,0
1566654975,1,1
1566672493,0,1
1566676380,0,1
1566682120,0,1
1566689070,0,1
1566699851,1,0
1566718096,0,1
1566741882,0,1
1566782898,0,1
1566809562,1,0
1566811478,1,0
1566836922,1,0
1566865961,1,0
1566897387,0,2
1566924281,0,1
1566942046,1,0
1566951876,0,1
1566958583,1,0
1567026781,0,1
1567036596,1,0
1567044503,0,1
1567121096,0,1
1567160935,1,0
1567243948,1,0
1567272039,0,1
1567304908,1,0
1567346556,0,1
1567387698,0,1
1567401635,1,0
1567486359,0,1
1567491628,1,0
1567499296,1,0
1567510818,1,0
1567578020,0,1
1567585940,0,1
1567596048,0,1
1567602298,1,0
1567617866,1,0
1567688671,0,1
1567692986,1,0
1567702871,0,1
1567710737,1,0
1567778938,0,1
1567794764,0,1
1567826454,1,0
