DateTime,AddedIPs,RemovedIPs
1566372032,1,0
1566373981,0,1
1566381722,2,1
1566383611,0,1
1566385591,0,1
1566387622,1,1
1566389560,0,1
1566393382,1,0
1566395294,0,1
1566402974,1,0
1566404897,0,1
1566406857,2,0
1566410707,0,2
1566412575,1,0
1566418340,0,2
1566433975,1,0
1566435892,2,0
1566439725,0,1
1566443542,1,1
1566447651,1,0
1566451472,0,1
1566453730,1,0
1566457484,1,0
1566459384,1,1
1566461331,1,0
1566463221,1,0
1566465145,1,0
1566469013,0,2
1566470933,1,0
1566474738,0,1
1566478576,3,0
1566480693,0,1
1566482950,2,0
1566488681,2,0
1566490640,1,1
1566492532,0,2
1566496367,1,0
1566498280,1,1
1566502116,1,0
1566510038,1,0
1566512222,6,0
1566521806,1,1
1566523742,1,2
1566529751,0,1
1566533559,2,1
1566535477,1,0
1566541223,0,1
1566545054,9,1
1566547324,4,2
1566549139,0,1
1566551148,1,0
1566552988,0,1
1566559026,0,1
1566563072,1,0
1566565001,0,3
1566569312,1,2
1566571460,2,0
1566573648,0,1
1566575541,0,1
1566577480,1,1
1566579390,1,0
1566581321,1,0
1566583388,0,2
1566589470,1,1
1566593294,3,0
1566595236,1,0
1566597154,1,6
1566599076,6,1
1566602909,1,0
1566604847,1,0
1566606769,0,1
1566608710,1,1
1566616603,2,0
1566618502,0,2
1566620453,2,0
1566622350,0,1
1566632229,0,13
1566638197,0,1
1566649709,1,1
1566653084,1,0
1566656905,0,2
1566658870,0,1
1566664841,4,2
1566668691,0,1
1566670591,1,0
1566674416,1,0
1566676380,2,1
1566678284,1,0
1566680174,1,3
1566682120,1,1
1566685005,1,7
1566686891,1,0
1566689071,0,1
1566690971,1,1
1566692920,1,0
1566695821,0,1
1566697963,4,0
1566703696,1,2
1566706603,0,2
1566718096,1,0
1566723914,1,0
1566725771,1,0
1566727730,1,0
1566735852,0,1
1566738094,0,1
1566743791,1,0
1566750046,1,1
1566752061,0,3
1566757963,2,1
1566761786,0,2
1566763735,1,2
1566765635,1,0
1566767562,0,1
1566769465,0,1
1566771381,1,1
1566773302,0,1
1566777155,1,1
1566779063,1,1
1566782898,0,2
1566784884,0,2
1566788675,1,0
1566790594,3,1
1566798256,1,0
1566800194,1,0
1566802107,1,0
1566805944,0,1
1566809779,1,0
1566811691,0,2
1566813675,2,1
1566821570,1,0
1566823458,1,0
1566825453,2,0
1566829744,0,1
1566835483,1,0
1566837639,1,1
1566839549,1,0
1566843375,0,2
1566845304,2,0
1566849175,0,1
1566851072,1,0
1566853003,0,1
1566854897,1,0
1566856897,0,1
1566862812,0,1
1566866657,0,1
1566868836,1,0
1566874960,0,1
1566877243,0,3
1566883227,5,0
1566885161,0,1
1566887073,1,2
1566889331,2,0
1566891203,1,0
1566897387,1,1
1566899312,1,2
1566905083,1,0
1566908192,0,2
1566910362,2,0
1566912275,4,2
1566915649,1,0
1566919460,1,0
1566921373,3,1
1566923298,0,1
1566926304,1,1
1566928145,2,0
1566930035,4,1
1566931955,0,1
1566935791,1,0
1566937946,0,1
1566940118,1,0
1566942046,0,1
1566947825,2,0
1566951876,2,0
1566953787,3,1
1566968734,1,5
1566970599,2,0
1566972529,1,0
1566974416,0,2
1566976385,1,1
1566978279,1,1
1566984050,0,1
1566985935,0,1
1566989805,2,0
1566991724,1,1
1566994844,1,1
1566996778,1,1
1566998746,0,4
1567000884,0,1
1567002791,2,0
1567004722,1,0
1567006597,2,0
1567008525,3,3
1567010414,2,0
1567012378,2,1
1567014502,1,2
1567016677,1,3
1567018597,1,0
1567020769,0,1
1567026781,1,1
1567032747,1,0
1567034685,1,2
1567038769,0,3
1567040699,0,2
1567046452,0,2
1567048595,1,0
1567054579,1,1
1567056527,0,2
1567060401,0,1
1567062570,1,1
1567064428,0,1
1567066371,1,0
1567075941,0,2
