DateTime,AddedIPs,RemovedIPs
1566846790,2,5
1566848675,4,2
1566850580,3,4
1566852521,5,5
1566854438,4,4
1566856345,4,4
1566858285,4,2
1566860177,5,2
1566862094,3,3
1566865250,5,8
1566867157,6,1
1566869064,5,3
1566871001,1,3
1566872895,2,4
1566874897,6,4
1566876750,2,7
1566878922,1,1
1566880812,6,9
1566882763,8,9
1566884688,1,3
1566886607,4,5
1566888763,5,5
1566890683,3,1
1566894040,98,7
1566895951,4,5
1566897871,2,6
1566899796,5,6
1566901703,0,5
1566904834,3,1
1566906770,2,4
1566908659,3,6
1566910858,4,1
1566912747,10,7
1566914684,0,4
1566916845,4,2
1566919015,4,6
1566920902,3,3
1566922853,9,4
1566924756,2,2
1566926693,9,6
1566928587,5,2
1566930500,5,3
1566933381,7,4
1566935303,5,3
1566937252,8,5
1566939173,4,5
1566941057,4,4
1566942971,4,5
1566944920,1,2
1566947823,11,6
1566949966,2,3
1566951874,3,6
1566953785,6,4
1566955705,3,4
1566958582,7,2
1566960743,2,3
1566962684,1,5
1566964581,5,2
1566966744,5,4
1566968699,4,9
1566970597,5,2
1566972527,3,2
1566974415,2,5
1566976383,4,2
1566978277,3,10
1566980213,2,92
1566982142,2,3
1566984048,4,4
1566985933,2,5
1566987872,5,0
1566989803,5,1
1566991722,5,4
1566993692,3,2
1566995547,1,2
1566997976,3,10
1566999855,0,5
1567001808,5,1
1567003723,7,2
1567005621,2,1
1567007774,8,5
1567009945,5,6
1567012105,8,10
1567014040,8,7
1567016199,5,3
1567018365,5,5
1567020270,2,4
1567022472,7,8
1567024364,7,6
1567026314,6,5
1567028206,5,4
1567030377,8,4
1567032264,3,1
1567034425,4,8
1567036331,5,2
1567038262,1,6
1567040217,2,6
1567042102,2,2
1567044294,4,7
1567046172,0,4
1567048141,2,3
1567050265,4,4
1567052451,2,6
1567054356,2,2
1567056257,2,4
1567058171,2,4
1567060091,3,2
1567062054,173,5
1567063966,2,3
1567065907,2,1
1567067802,3,5
1567069721,2,0
1567071641,3,5
1567073592,4,3
1567075480,3,4
1567077653,6,4
1567079554,4,3
1567081466,4,2
1567083742,3,4
1567085832,7,1
1567087730,6,4
1567089658,1,7
1567091561,3,4
1567093486,3,6
1567095423,3,8
1567097307,3,5
1567099222,4,7
1567101170,3,6
1567103058,5,2
1567105007,3,6
1567107218,8,3
1567109094,7,8
1567110998,4,7
1567112959,10,5
1567114820,15,4
1567116999,33,9
1567118921,1,3
1567121095,7,3
1567122998,5,4
1567124905,3,1
1567127797,3,1
1567129697,3,4
1567131631,7,1
1567133549,6,1
1567135736,6,3
1567138591,2,3
1567140532,3,2
1567142687,1,2
1567144588,2,2
1567146786,2,2
1567148695,3,173
1567151559,7,4
1567153720,0,3
1567155661,6,3
1567157562,1,2
1567159978,2,5
1567161872,4,3
1567164067,3,3
1567166204,9,5
1567168372,6,4
1567170291,1,3
1567172427,2,10
1567174348,1,4
1567176528,1,2
1567178447,0,4
1567180350,10,2
1567182290,5,3
1567184224,0,5
1567186124,2,2
1567188220,2,6
1567190421,2,4
1567192600,2,5
1567194518,5,6
1567196437,1,3
1567198349,2,9
1567200255,7,16
1567202187,2,35
1567204108,2,5
1567206131,3,4
1567207973,1,5
1567209867,5,4
1567212037,4,5
1567214187,5,2
1567216106,1,2
1567218028,5,6
1567219952,4,7
1567221861,3,7
1567223792,3,1
1567225944,0,4
1567228125,9,2
1567230044,4,5
1567231964,3,0
1567233864,5,4
1567235805,1,3
1567237739,2,3
1567239908,1,1
1567241772,2,5
1567243946,8,1
1567245892,5,2
1567248034,1,2
1567250233,3,3
1567252131,2,6
1567254038,5,7
1567255987,6,2
1567257857,8,2
1567260089,2,2
1567261966,4,1
1567263943,3,0
1567266129,0,10
1567267975,3,3
1567269882,5,2
1567272038,8,3
1567273953,0,3
1567275888,0,3
1567277778,3,1
1567279737,2,2
1567281694,2,2
1567283571,3,3
1567285510,1,6
1567287403,3,4
1567289325,2,2
1567291217,5,3
1567293399,5,1
1567295300,2,1
1567297230,3,6
1567299169,1,2
1567301059,5,4
1567302995,11,1
1567304906,6,5
1567306870,1,3
1567308987,1,4
1567311153,2,3
1567313097,4,1
1567315228,1,11
1567317177,3,2
1567319059,3,6
1567322186,4,3
1567324098,6,3
1567326258,1,1
1567329392,4,5
1567331326,7,6
1567333466,1,4
1567335381,0,2
1567337297,3,1
1567340195,3,7
1567342110,2,2
1567344323,5,10
1567347644,4,4
1567349532,3,6
1567351477,2,0
1567353375,2,0
1567355314,3,6
1567357490,1,7
1567359388,4,3
1567361320,5,0
1567363227,3,0
1567365153,4,4
1567367054,1,2
1567368988,11,5
1567370924,4,0
1567372828,4,3
1567374739,3,2
1567376652,4,4
1567378596,4,3
1567380513,9,1
1567382443,4,2
1567384358,2,2
1567386300,4,4
1567388190,6,1
1567390121,6,12
1567392014,4,2
1567393959,2,1
1567395874,1,2
1567397783,3,0
1567399699,4,5
1567401635,5,1
1567403536,4,5
1567405470,6,4
1567407391,5,3
1567409295,2,2
1567412186,4,5
1567414102,4,2
1567416032,7,3
1567417966,1,6
1567419852,1,1
1567421771,2,0
1567423695,3,4
1567425671,6,3
1567427539,4,1
1567430459,2,5
1567432357,2,4
1567434268,1,2
1567436197,2,4
1567438091,7,2
1567441011,4,3
1567442897,5,2
1567444832,7,2
1567446730,0,5
1567448652,5,2
1567450589,5,4
1567452511,3,3
1567455398,15,14
1567457318,10,4
1567459212,5,5
1567461144,5,3
1567463071,0,3
1567466184,4,9
1567468094,3,7
1567470030,3,4
1567471936,11,3
1567473861,2,7
1567475790,3,3
1567477712,5,6
1567479672,2,3
1567481545,2,1
1567483503,2,4
1567485371,1,4
1567487324,2,3
1567489212,2,5
1567491133,10,5
1567493075,2,6
1567494985,4,4
1567496893,2,3
1567498842,3,4
1567500737,6,2
1567502656,1,7
1567504579,5,1
1567506523,1,2
1567509649,2,4
1567511560,5,6
1567513469,12,3
1567515372,26,4
1567517563,2,2
1567520429,4,2
1567522340,2,2
1567524253,3,7
1567526192,5,2
1567528090,4,6
1567530080,3,2
1567532189,3,4
1567534100,2,0
1567536009,9,10
1567537828,16,0
1567539872,165,5
1567541772,4,10
1567543733,4,8
1567545633,6,6
1567547532,4,5
1567549456,3,1
1567551399,0,4
1567553291,4,1
1567555270,4,5
1567557162,2,3
1567559331,6,5
1567561230,2,3
1567563384,1,3
1567565552,5,8
1567567472,2,1
1567569405,3,2
1567571323,4,3
1567573267,3,1
1567575150,2,2
1567577092,3,10
1567578978,4,3
1567581164,3,2
1567583054,1,3
1567585008,4,0
1567586933,4,5
1567589079,8,4
1567592206,11,5
1567594101,1,1
1567596047,1,3
1567597947,2,4
1567599887,1,12
1567601802,2,26
1567603981,104,2
1567605885,9,2
1567607806,1,3
1567609731,4,2
1567611652,5,5
1567613662,8,5
1567615587,4,5
1567617645,4,4
1567619537,2,1
1567621458,4,6
1567623393,2,2
1567625547,4,6
1567627480,3,7
1567629417,5,3
1567631340,5,5
1567633217,4,6
1567635150,5,176
1567637083,1,1
1567639021,1,4
1567640898,3,5
1567642838,2,2
1567644765,4,2
1567646664,3,5
1567648597,2,2
1567650524,4,3
1567652496,5,4
1567654371,8,2
1567656309,3,4
1567658177,5,3
1567660366,4,3
1567662286,3,3
1567664191,9,2
1567666111,2,3
1567668066,5,3
1567669964,0,1
1567671864,5,5
1567673774,3,2
1567675693,4,8
1567678580,7,11
1567680537,2,1
1567682444,2,1
1567684335,5,2
1567686281,7,1
1567688199,6,3
1567690104,12,58
1567692985,7,56
1567695146,3,1
1567697054,5,6
1567699003,4,5
1567700909,3,5
1567702841,2,7
1567704743,8,3
1567706667,9,2
1567708839,7,5
1567710736,5,0
1567712668,6,2
1567714593,3,2
1567716495,5,5
1567718421,1,3
1567720332,3,5
1567722282,7,1
1567724185,2,2
1567726093,7,2
1567728071,1,3
1567729937,4,2
1567732122,7,4
1567734014,2,2
1567735950,7,2
1567737876,6,8
1567739788,5,6
1567741702,3,4
