DateTime,Entries,UniqueIPs
1566133484,60,60
1566135373,63,63
1566137330,64,64
1566143074,68,68
1566145238,72,72
1566147142,73,73
1566151003,74,74
1566152900,75,75
1566155786,78,78
1566157704,76,76
1566159632,77,77
1566161532,80,80
1566163470,82,82
1566166609,78,78
1566168502,80,80
1566170434,80,80
1566172356,74,74
1566174265,73,73
1566176197,72,72
1566178101,71,71
1566181004,71,71
1566183164,70,70
1566185081,69,69
1566186993,68,68
1566188893,65,65
1566190945,69,69
1566192978,69,69
1566194889,70,70
1566196811,68,68
1566198992,67,67
1566200909,68,68
1566202831,65,65
1566204755,65,65
1566208575,69,69
1566210507,73,73
1566214368,72,72
1566216523,71,71
1566218418,70,70
1566220343,60,60
1566222285,61,61
1566224179,60,60
1566226342,62,62
1566228149,62,62
1566229958,59,59
1566231885,56,56
1566233832,56,56
1566235696,58,58
1566237794,57,57
1566239777,57,57
1566241740,62,62
1566243628,72,72
1566247467,70,70
1566249395,68,68
1566251320,71,71
1566253252,72,72
1566255134,70,70
1566257090,68,68
1566260901,69,69
1566262973,72,72
1566264995,71,71
1566268827,73,73
1566270757,73,73
1566272671,74,74
1566276504,71,71
1566278432,70,70
1566280332,71,71
1566282259,70,70
1566284202,74,74
1566286095,76,76
1566288164,79,79
1566290187,80,80
1566292137,86,86
1566294019,82,82
1566296198,79,79
1566298350,78,78
1566303637,79,79
1566305559,80,80
1566307475,79,79
1566309516,78,78
1566311528,76,76
1566313509,75,75
1566315404,76,76
1566317378,76,76
1566319230,74,74
1566321154,72,72
1566323072,77,77
1566324974,84,84
1566326903,82,82
1566329102,64,64
1566330990,65,65
1566332896,67,67
1566334923,71,71
1566336976,77,77
1566338946,75,75
1566340824,77,77
1566346848,76,76
1566348730,74,74
1566350692,73,73
1566352568,74,74
1566354747,73,73
1566356694,72,72
1566358611,72,72
1566364333,71,71
1566366268,70,70
1566368187,69,69
1566370121,65,65
1566372033,62,62
1566373982,58,58
1566375885,59,59
1566377792,58,58
1566379695,55,55
1566383611,52,52
1566389560,50,50
1566391456,49,49
1566393383,49,49
1566395295,48,48
1566401075,46,46
1566402975,46,46
1566408758,45,45
1566410708,39,39
1566412575,35,35
1566416448,34,34
1566418341,33,33
1566420268,28,28
1566422196,23,23
1566424100,18,18
1566427938,31,31
1566433975,30,30
1566439726,30,30
1566445463,28,28
