DateTime,Entries,UniqueIPs
1566640121,76,76
1566642050,74,74
1566645886,74,74
1566647778,76,76
1566649711,76,76
1566651759,75,75
1566653795,74,74
1566655718,75,75
1566657620,74,74
1566659564,72,72
1566661484,71,71
1566663418,71,71
1566665304,71,71
1566667238,75,75
1566669169,76,76
1566671069,78,78
1566672980,84,84
1566677835,83,83
1566679735,81,81
1566681613,79,79
1566683557,82,82
1566685453,82,82
1566687653,81,81
1566689537,80,80
1566691513,82,82
1566693388,83,83
1566695349,84,84
1566702998,81,81
1566707076,79,79
1566709295,78,78
1566711146,79,79
1566713324,80,80
1566715213,81,81
1566719068,79,79
1566721004,78,78
1566722897,79,79
1566724819,80,80
1566726745,81,81
1566728680,80,80
1566730597,78,78
1566732496,79,79
1566735381,79,79
1566741395,81,81
1566743300,80,80
1566745261,84,84
1566749079,85,85
1566750987,86,86
1566752920,86,86
1566754812,87,87
1566758669,87,87
1566760843,90,90
1566762740,88,88
1566764657,89,89
1566766597,90,90
1566768500,92,92
1566770517,94,94
1566772358,100,100
1566774295,101,101
1566776189,105,105
1566778129,100,100
1566780015,102,102
1566781948,103,103
1566783874,112,112
1566785807,114,114
1566789615,113,113
1566793486,115,115
1566795378,116,116
1566797568,115,115
1566805485,114,114
1566807634,114,114
1566809563,116,116
1566815291,115,115
1566817323,115,115
1566819165,115,115
1566821126,114,114
1566822975,113,113
1566827062,114,114
1566829287,111,111
1566831139,109,109
1566834981,110,110
1566836923,112,112
1566838977,111,111
1566840976,110,110
1566842926,110,110
1566844815,108,108
1566846792,106,106
1566848677,107,107
1566850582,102,102
1566852523,101,101
1566854440,98,98
1566856347,95,95
1566858287,98,98
1566860179,98,98
1566862095,96,96
1566865251,91,91
1566867158,88,88
1566869066,88,88
1566871002,81,81
1566872897,78,78
1566874980,81,81
1566877244,82,82
1566881076,80,80
1566883228,81,81
1566885161,80,80
1566887074,80,80
1566889369,78,78
1566891205,79,79
1566893579,77,77
1566895484,74,74
1566897388,73,73
1566899313,72,72
1566903150,73,73
1566905084,72,72
1566907269,76,76
1566909167,77,77
1566911325,82,82
1566913223,82,82
1566915165,83,83
1566920903,82,82
1566922854,82,82
1566924757,83,83
1566926694,83,83
1566928588,83,83
1566932486,82,82
1566934363,80,80
1566936291,84,84
1566938201,86,86
1566940119,87,87
1566942047,86,86
1566943946,89,89
1566945864,88,88
1566947826,87,87
1566949969,90,90
1566951877,90,90
1566955708,89,89
1566957691,90,90
1566961508,89,89
1566963401,90,90
1566965573,87,87
1566967458,89,89
1566969621,88,88
1566979514,87,87
1566981403,88,88
1566987173,88,88
1566989322,89,89
1566991229,87,87
1566993163,85,85
1566995090,83,83
1566997294,82,82
1566999176,82,82
1567001352,80,80
1567003254,79,79
1567005174,78,78
1567009014,77,77
1567010950,78,78
1567012822,78,78
1567014768,78,78
1567018597,78,78
1567020770,81,81
1567022953,79,79
1567024834,79,79
1567026782,80,80
1567028675,82,82
1567030823,81,81
1567032748,81,81
1567034686,78,78
1567038770,70,70
1567042598,69,69
1567044504,69,69
1567050767,67,67
1567052664,66,66
1567054580,66,66
1567059636,67,67
1567067545,67,67
1567069723,70,70
1567071642,71,71
1567073595,71,71
