DateTime,AddedIPs,RemovedIPs
1566856347,54,35
1566858288,65,33
1566860180,97,43
1566862096,44,36
1566864122,43,32
1566865962,29,36
1566867906,22,30
1566869796,30,34
1566871713,24,35
1566873613,36,34
1566875561,41,35
1566877463,41,33
1566879646,58,54
1566881552,41,37
1566883510,555,206
1566885416,462,66
1566887297,60,46
1566889385,78,61
1566891222,61,46
1566893580,51,60
1566895485,732,56
1566897389,50,79
1566899314,37,44
1566901274,55,53
1566903151,41,46
1566905085,48,61
1566908193,60,107
1566910364,42,48
1566912277,33,49
1566914482,28,71
1566916350,17,48
1566918526,21,38
1566920442,14,50
1566922371,62,26
1566924282,15,25
1566926306,136,36
1566928147,11,35
1566930036,10,19
1566931956,24,35
1566933866,18,36
1566935793,17,28
1566937948,27,49
1566940120,38,106
1566942048,36,63
1566943947,24,59
1566945865,31,92
1566947827,29,75
1566949969,58,35
1566951878,41,34
1566953792,48,33
1566955708,50,24
1566958834,90,51
1566960746,71,37
1566962686,58,40
1566964584,33,46
1566966747,32,54
1566968737,23,42
1566970600,75,416
1566972530,41,619
1566974418,54,73
1566976387,51,56
1566978280,57,62
1566980216,72,64
1566982183,67,44
1566984051,48,42
1566985936,1101,41
1566987876,5131,49
1566989821,3260,608
1566991726,2373,36
1566993774,507,34
1566995803,270,27
1566997977,338,30
1566999874,81,19
1567001816,14,17
1567003725,18,14
1567005623,22,14
1567007776,18,14
1567009947,16,17
1567012106,21,128
1567014042,12,13
1567016201,12,19
1567018367,24,19
1567020272,13,16
1567022549,19,15
1567024366,23,25
1567026316,17,25
1567028208,22,29
1567030379,32,22
1567032266,18,25
1567034427,21,23
1567036332,19,41
1567038264,13,31
1567040218,15,36
1567042104,18,43
1567044297,20,46
1567046174,22,52
1567048144,21,44
1567050266,26,41
1567052453,26,24
1567054357,8,23
1567056277,838,55
1567058173,95,33
1567060093,34,35
1567062071,124,52
1567063967,594,49
1567065910,30,49
1567067803,23,42
1567069723,33,42
1567071643,18,46
1567073596,30,3547
1567075482,14,4516
1567077655,27,2298
1567079555,18,1500
1567081468,25,393
1567083886,91,550
1567085870,402,221
1567087733,334,18
1567089660,362,25
1567091583,23,27
1567093488,27,18
1567095426,43,22
1567097310,29,26
1567099225,162,20
1567101172,239,13
1567103060,29,20
1567105009,25,27
1567107237,27,20
1567109096,30,17
1567111000,32,28
1567112962,22,22
1567114823,33,27
1567117002,25,37
1567118923,26,14
1567121097,23,23
1567123000,24,22
1567124907,25,20
1567126964,30,22
1567128767,21,22
1567130716,25,25
1567132608,21,21
1567134780,27,29
1567136671,27,24
1567138593,32,28
1567140534,23,60
1567142690,364,852
1567144590,557,85
1567146789,33,82
1567148725,41,196
1567150668,25,602
1567152803,34,36
1567154678,31,25
1567156607,34,42
1567158767,36,36
1567160936,31,23
1567164068,58,38
1567166205,1735,28
1567168373,42,28
1567170295,31,15
1567172427,31,37
1567174348,30,21
1567176537,39,24
1567178450,25,22
1567180353,43,44
1567182293,17,23
1567184226,26,35
1567186127,22,25
1567188283,34,25
1567190423,666,27
1567192603,45,26
1567194521,40,28
1567196440,34,27
1567198352,26,22
1567200257,30,27
1567202189,24,26
1567204110,25,29
1567206219,45,30
1567208419,39,29
1567210590,39,42
1567212495,34,27
1567214436,480,24
1567216350,26,25
1567218267,29,18
1567220179,35,26
1567222360,44,24
1567224336,67,34
1567226208,16,23
1567228129,20,22
1567230047,821,444
1567231968,215,441
1567233868,38,31
1567235808,43,43
1567237744,49,22
1567239912,36,28
1567241776,31,223
1567243951,48,421
1567245896,44,411
1567248037,35,475
1567250238,41,49
1567252134,23,1190
1567254042,33,568
1567255990,34,29
1567257861,32,29
1567260117,46,43
1567261969,345,31
1567263948,34,29
1567266132,55,43
1567267979,40,36
1567269891,35,22
1567272041,32,30
1567273956,26,18
1567275892,47,381
1567277782,39,349
1567279740,63,45
1567281745,58,37
1567283575,53,40
1567285529,34,31
1567287406,46,29
1567289328,40,33
1567291219,36,38
1567293403,83,43
1567295304,102,34
1567297233,44,300
1567299172,61,37
1567301062,44,521
1567302998,47,38
1567304909,32,38
1567307009,64,42
1567308991,360,37
1567311156,3227,63
1567313156,697,21
1567315285,908,20
1567317181,413,817
1567319062,55,239
1567322189,3685,59
1567324101,1573,35
1567326261,1438,27
1567328552,1120,37
1567330597,1083,29
1567332507,735,30
1567334424,488,26
1567336400,491,18
1567338271,510,21
1567340198,298,25
1567342113,306,18
1567344326,225,26
1567346590,112,29
1567348587,83,244
1567350523,432,19
1567352417,119,27
1567354612,67,35
1567356759,32,10
1567358661,38,16
1567360582,34,15
1567362869,45,31
1567364677,29,23
1567366596,37,35
1567368522,39,22
1567370451,23,29
1567372356,35,12
1567374278,209,21
1567376186,124,25
1567378105,172,24
1567380022,39,51
1567381959,60,41
1567383859,39,27
1567385795,43,32
1567387700,22,16
1567390580,23,46
1567392499,15,20
1567394432,9,27
1567396350,13,689
1567398283,19,382
1567400193,17,715
1567402097,906,709
1567404118,32,252
1567405971,38,240
1567407869,62,150
1567409786,31,36
1567411718,42,33
1567413655,37,50
1567415544,49,233
1567417454,39,113
1567419401,61,71
1567421302,77,67
1567423223,36,146
1567425158,44,224
1567427081,48,52
1567428994,55,59
1567430925,36,50
1567432867,43,61
1567434788,36,32
1567436668,33,298
1567438571,59,212
1567440533,32,41
1567442417,52,14
1567444338,28,14
1567446271,56,15
1567448438,64,12
1567450338,65,11
1567452514,31,17
1567455401,42,24
1567457323,29,9
1567459217,883,14
1567461147,662,271
1567463074,12,143
1567465323,32,92
1567467164,15,15
1567469074,15,15
1567470976,22,17
1567472927,22,25
1567474849,33,18
1567476737,24,14
1567478665,25,14
1567480603,39,13
1567482501,19,11
