DateTime,Entries,UniqueIPs
1556437947,5870,5870
1556460126,5807,5807
1556482088,5818,5818
1556503958,5822,5822
1556525804,5612,5612
1556547879,5637,5637
1556569947,5635,5635
1556592029,5634,5634
1556614090,5639,5639
1556635960,5658,5658
1556669088,5659,5659
1556691145,5699,5699
1556713236,5956,5956
1556735307,5688,5688
1556757171,5307,5307
1556779220,5306,5306
1556801298,5262,5262
1556823396,5301,5301
1556845358,5298,5298
1556867297,5294,5294
1556889372,5431,5431
1556911247,5388,5388
1556933322,3161,3161
1556955397,2129,2129
1556977464,2289,2289
1556999533,5211,5211
1557032672,5195,5195
1557054763,5045,5045
1557076834,5048,5048
1557098890,5189,5189
1557120746,5190,5190
1557142591,5212,5212
1557164656,5211,5211
1557186643,5195,5195
1557208573,5193,5193
1557230457,5168,5168
1557252339,5204,5204
1557274354,5285,5285
1557296433,5334,5334
1557318515,5227,5227
1557340567,5226,5226
1557362655,5227,5227
1557384770,5225,5225
1557406833,5176,5176
1557428926,5167,5167
1557450999,5168,5168
1557473057,5172,5172
1557494911,4957,4957
1557516982,5344,5344
1557539060,5429,5429
1557561138,5437,5437
1557583395,5599,5599
1557605291,5590,5590
1557649241,5492,5492
1557671314,4438,4438
1557693391,2828,2828
1557715457,2882,2882
1557737565,2850,2850
1557759629,2848,2848
1557781724,2849,2849
1557804056,2873,2873
1557826089,2876,2876
1557847957,2899,2899
1557869803,2927,2927
1557891866,2844,2844
1557913954,2846,2846
1557936048,2898,2898
1557958118,2900,2900
1557980446,2904,2904
1558002501,2956,2956
1558024363,2993,2993
1558046457,2992,2992
1558068504,2987,2987
1558090374,3064,3064
1558112445,3057,3057
1558134431,1912,1912
1558156591,1914,1914
1558178443,1906,1906
1558200498,3066,3066
1558222378,5329,5329
1558244417,5328,5328
1558266275,5328,5328
1558288463,5326,5326
1558310436,5278,5278
1558332296,5281,5281
1558354356,5280,5280
1558376310,5279,5279
1558398502,5277,5277
1558442434,5350,5350
1558464286,5335,5335
1558486341,5336,5336
1558508194,5332,5332
1558530151,5175,5175
1558552357,5129,5129
1558574412,5129,5129
1558596260,5096,5096
1558618109,5082,5082
1558640175,5006,5006
1558662284,5010,5010
1558684361,4915,4915
1558706434,4921,4921
1558728523,4923,4923
1558750603,4924,4924
1558772680,4929,4929
1558794766,4928,4928
1558816822,2136,2136
1558838908,1413,1413
1558860985,1414,1414
1558882907,3549,3549
1558904898,5166,5166
1558927001,5165,5165
1558949077,5114,5114
1558972223,4979,4979
1558994172,4979,4979
1559016040,4980,4980
1559037902,4890,4890
1559060205,4818,4818
1559082258,4822,4822
1559104363,4823,4823
1559126666,4972,4972
1559148769,4971,4971
1559170844,4972,4972
1559192689,4973,4973
1559214750,4959,4959
1559236830,4959,4959
1559259673,6116,6116
1559281718,6117,6117
1559303781,6188,6188
1559325764,6188,6188
1559347730,7007,7007
1559369781,7037,7037
1559391660,7095,7095
1559413688,7144,7144
1559435561,7137,7137
1559457645,7132,7132
1559479690,6882,6882
1559501793,6881,6881
1559523776,6893,6893
1559545729,6888,6888
1559567773,6887,6887
1559589645,7286,7286
1559611961,7322,7322
1559633810,7324,7324
1559655858,7355,7355
1559677964,7573,7573
1559700052,7572,7572
1559722135,7555,7555
1559744210,7419,7419
1559766253,7416,7416
1559788096,7417,7417
1559809937,7441,7441
1559831781,7440,7440
1559853856,7445,7445
1559875697,6281,6281
1559897775,6325,6325
1559919632,6275,6275
1559941487,5464,5464
1559963787,5462,5462
1559985864,5403,5403
1560007930,5319,5319
1560029784,5292,5292
1560051859,5294,5294
1560073964,5337,5337
1560096073,5336,5336
1560117921,5330,5330
1560139933,5319,5319
1560161775,5315,5315
1560183622,5313,5313
1560205688,4905,4905
1560227546,4904,4904
1560249612,4902,4902
1560271509,4625,4625
1560294038,4701,4701
1560316128,4703,4703
1560338183,4879,4879
1560360055,4893,4893
1560382101,5000,5000
1560403946,5020,5020
1560426021,4969,4969
1560448113,5033,5033
1560469956,5426,5426
1560503310,5420,5420
1560547694,5420,5420
1560569773,3734,3734
1560591620,2877,2877
1560613719,2882,2882
1560635773,2888,2888
1560657709,2887,2887
1560679711,2887,2887
1560701775,2892,2892
1560723644,2900,2900
1560745704,2904,2904
1560767578,2908,2908
1560789615,2907,2907
1560811461,2905,2905
1560833361,2943,2943
1560855378,3010,3010
1560877330,3027,3027
1560899243,3493,3493
1560921401,3493,3493
1560943256,3402,3402
1560965292,3372,3372
1560987133,3361,3361
1561008978,3354,3354
1561031071,3355,3355
1561053157,3201,3201
1561075241,3300,3300
1561097326,3299,3299
1561119399,3231,3231
1561141471,3318,3318
1561185380,3315,3315
1561207239,3286,3286
1561229294,3272,3272
1561273002,3270,3270
1561295079,3272,3272
1561317166,3270,3270
1561339227,3266,3266
1561361307,3226,3226
1561383194,3423,3423
1561405221,3496,3496
1561427073,3446,3446
1561449165,3278,3278
1561471225,3261,3261
1561493079,3106,3106
1561514926,2575,2575
1561536771,3034,3034
1561558807,3039,3039
1561580679,3041,3041
1561624836,3341,3341
1561646924,3387,3387
1561669001,3386,3386
1561690884,3467,3467
1561712901,3487,3487
1561734743,3502,3502
1561756604,3429,3429
1561800512,3486,3486
1561844433,3469,3469
1561866516,3470,3470
1561888377,3471,3471
1561910433,3472,3472
1561932291,3486,3486
1561954445,3519,3519
1561976428,3682,3682
1561998524,3731,3731
1562022194,3749,3749
1562044126,3745,3745
1562066208,3770,3770
1562110347,3702,3702
1562132407,3700,3700
1562154274,3598,3598
1562176363,3600,3600
1562198457,3601,3601
1562220522,3587,3587
1562242572,3612,3612
1562264441,3600,3600
1562286769,3541,3541
1562308830,3535,3535
1562331177,3541,3541
1562353300,3458,3458
1562397398,3457,3457
1562419465,3453,3453
1562441562,3453,3453
1562463613,3483,3483
1562485477,3484,3484
1562507542,3486,3486
1562551710,3481,3481
1562573772,3443,3443
1562595619,3077,3077
1562617487,2366,2366
1562639554,3126,3126
1562661664,3090,3090
1562683717,3046,3046
1562705786,3045,3045
1562727700,3047,3047
1562749724,3043,3043
1562771851,3135,3135
1562793867,3134,3134
1562815962,3134,3134
1562838043,3104,3104
1562860121,3082,3082
1562882197,3078,3078
1562904289,4742,4742
1562926369,5564,5564
1562948407,5553,5553
1562970275,5555,5555
1562992342,5559,5559
1563014183,5564,5564
1563036273,5521,5521
1563058347,5514,5514
1563091472,5509,5509
1563113552,5512,5512
1563135634,5420,5420
1563157692,5420,5420
1563179536,5419,5419
1563201397,5377,5377
1563223452,5225,5225
1563245294,4836,4836
1563267392,4706,4706
1563289295,4696,4696
1563311323,4715,4715
1563333371,4713,4713
1563355211,4641,4641
1563377054,4547,4547
1563399161,4552,4552
1563421211,4550,4550
1563443080,4552,4552
1563465129,4565,4565
1563486998,4564,4564
1563509060,4556,4556
1563530921,4586,4586
1563553248,4590,4590
1563575325,4591,4591
1563597376,4996,4996
1563619218,4987,4987
1563641061,4992,4992
1563662941,5009,5009
1563684994,5031,5031
1563718129,4965,4965
1563740184,5017,5017
1563762040,5075,5075
1563784090,5076,5076
1563805945,4349,4349
1563828017,2540,2540
1563849861,2535,2535
1563871945,2533,2533
1563894132,2705,2705
1563916128,3727,3727
1563949258,3719,3719
1563971307,3719,3719
1564004179,3733,3733
1564026256,3737,3737
1564048120,3731,3731
1564070194,3724,3724
1564092073,3724,3724
1564113920,3717,3717
1564136199,3738,3738
1564158049,3802,3802
1564180826,3696,3696
1564202690,2730,2730
1564224532,2863,2863
1564246593,5262,5262
1564268502,5953,5953
1564290525,5946,5946
1564312576,5939,5939
1564334443,6161,6161
1564356512,6044,6044
1564378584,6173,6173
1564400685,6208,6208
1564422754,6203,6203
1564444616,6204,6204
1564466689,6202,6202
1564488531,6145,6145
1564510792,4953,4953
1564532651,4953,4953
1564554826,4953,4953
1564576816,4955,4955
1564598677,4962,4962
1564620759,4958,4958
1564642620,4994,4994
1564664685,5602,5602
1564686536,5560,5560
1564708577,5564,5564
1564730432,5560,5560
1564752494,5496,5496
1564774358,5480,5480
1564818265,5478,5478
1564840331,5480,5480
1564862199,5408,5408
1564884067,5409,5409
1564906131,5412,5412
1564928174,4588,4588
1564950028,2187,2187
1564971869,1745,1745
1564993947,1694,1694
1565016033,1691,1691
1565037882,1679,1679
1565059951,1681,1681
1565081794,2015,2015
1565103658,2078,2078
1565125523,2032,2032
1565169773,2028,2028
1565191690,2081,2081
1565213541,2066,2066
1565235384,2064,2064
1565257472,1927,1927
1565279563,1899,1899
1565312705,1893,1893
1565334731,1892,1892
1565356838,1834,1834
1565378906,1846,1846
1565400763,1861,1861
1565422813,1702,1702
1565444688,1572,1572
1565466770,1608,1608
