DateTime,Entries,UniqueIPs
1566855633,2796,2796
1566857565,2821,2821
1566859455,2867,2867
1566861377,2894,2894
1566863332,2901,2901
1566865252,2903,2903
1566867158,2899,2899
1566869066,2890,2890
1566871003,2878,2878
1566872897,2880,2880
1566874982,2893,2893
1566877245,2906,2906
1566879152,2895,2895
1566881077,2890,2890
1566883228,3001,3001
1566885162,3648,3648
1566887074,3648,3648
1566889403,3663,3663
1566891223,3675,3675
1566893580,3661,3661
1566895485,4333,4333
1566897389,4295,4295
1566899314,4286,4286
1566901274,4281,4281
1566903151,4270,4270
1566905085,4254,4254
1566908194,4202,4202
1566910364,4194,4194
1566912278,4178,4178
1566914498,4134,4134
1566916351,4101,4101
1566918527,4085,4085
1566920443,4049,4049
1566922372,4087,4087
1566924283,4076,4076
1566926306,4178,4178
1566928147,4154,4154
1566930053,4145,4145
1566931957,4126,4126
1566933867,4105,4105
1566935793,4090,4090
1566937948,4068,4068
1566940120,3996,3996
1566942048,3968,3968
1566943948,3931,3931
1566945866,3869,3869
1566947828,3825,3825
1566949970,3847,3847
1566951878,3851,3851
1566953793,3865,3865
1566955709,3888,3888
1566958835,3922,3922
1566960747,3954,3954
1566962687,3971,3971
1566964584,3956,3956
1566966748,3932,3932
1566968737,3910,3910
1566970601,3567,3567
1566972531,2988,2988
1566974418,2969,2969
1566976388,2963,2963
1566978281,2958,2958
1566980216,2967,2967
1566982184,2990,2990
1566984052,2998,2998
1566985937,4058,4058
1566987877,9142,9142
1566989822,11796,11796
1566991727,14132,14132
1566993792,14604,14604
1566995820,14839,14839
1566997978,15151,15151
1566999884,15213,15213
1567001817,15210,15210
1567003727,15213,15213
1567005623,15223,15223
1567007777,15227,15227
1567009948,15228,15228
1567012107,15123,15123
1567014043,15119,15119
1567016202,15112,15112
1567018367,15117,15117
1567020272,15115,15115
1567023634,15119,15119
1567025537,15114,15114
1567027499,15104,15104
1567029395,15110,15110
1567031543,15109,15109
1567033459,15113,15113
1567035410,15106,15106
1567037307,15075,15075
1567039223,15063,15063
1567041157,15036,15036
1567043060,15017,15017
