DateTime,AddedIPs,RemovedIPs
1555313563,8,5
1555335645,6,8
1555357701,6,5
1555379550,12,2
1555401657,8,10
1555423722,7,3
1555445781,11,6
1555467626,9,2
1555489714,3,1
1555511566,5,4
1555533623,10,4
1555555966,6,7
1555589098,16,2
1555611159,8,5
1555633218,4,2
1555655058,4,1
1555676915,4,1
1555698972,9,0
1555720836,6,2
1555742681,4,5
1555764531,7,7
1555786599,2,7
1555808542,2,5
1555830517,6,1
1555852602,2,6
1555874661,5,6
1555896747,3,5
1555918833,2,7
1555940908,2,4
1555962994,4,5
1555984885,2,10
1556006900,4,5
1556029003,2,6
1556051052,2,14
1556072909,4,8
1556094758,1,9
1556116847,5,3
1556138895,11,6
1556160747,4,7
1556193884,3,13
1556215833,6,10
1556237775,4,4
1556259625,5,4
1556281469,3,1
1556303561,2,13
1556325623,3,9
1556347693,5,6
1556369555,2,6
1556391649,1,3
1556413702,1,5
1556435797,5,6
1556457861,4,3
1556479718,1,10
1556501572,0,9
1556523616,1,7
1556545458,0,5
1556567554,0,11
1556589651,2,3
1556611531,0,4
1556633803,1,5
1556655912,2,3
1556677937,0,8
1556699784,3,0
1556721867,2,6
1556743966,0,14
1556766146,3,2
1556788341,4,4
1556810192,2,6
1556832043,3,6
1556854090,4,8
1556875961,0,5
1556898034,4,7
1556920093,5,3
1556942195,3,8
1556975065,2,8
1556996912,1,3
1557019001,5,5
1557041059,1,4
1557062906,2,7
1557085015,2,1
1557107083,1,1
1557129150,2,1
1557151286,2,2
1557173326,1,0
1557195180,2,2
1557217245,1,0
1557239299,1,1
1557261379,3,2
1557283455,1,0
1557305302,1,3
1557327380,1,2
1557349241,1,0
1557371341,4,3
1557393370,0,1
1557415397,3,2
1557459138,2,4
1557481240,1,3
1557503338,1,3
1557525396,5,5
1557547471,3,5
1557569331,3,2
1557591378,0,1
1557613461,1,7
1557635534,9,3
1557657635,1,2
1557679739,0,1
1557702954,2,1
1557724826,3,1
1557746918,1,1
1557768767,4,1
1557790813,2,2
1557812663,1,0
1557834779,2,1
1557856837,0,3
1557878916,1,3
1557900785,3,0
1557922839,2,0
1557944916,1,0
1557967006,2,4
1557989051,2,1
1558010914,4,0
1558032998,0,1
1558054912,3,1
1558077139,0,2
1558099036,3,0
1558121067,0,4
1558143013,1,3
1558164977,0,4
1558186841,0,2
1558208683,2,2
1558230754,1,4
1558252829,1,4
1558274678,0,1
1558296733,3,1
1558318587,0,2
