DateTime,AddedIPs,RemovedIPs
1562242163,2,0
1562245948,0,3
1562247882,0,1
1562251706,0,1
1562255780,0,4
1562263730,2,1
1562265617,2,0
1562267789,1,0
1562269941,1,0
1562278598,1,0
1562280504,0,1
1562282453,1,0
1562284356,1,3
1562286281,0,1
1562288200,1,0
1562303541,0,1
1562309307,1,0
1562320950,0,2
1562322786,0,1
1562328538,0,2
1562340040,1,0
1562350130,0,2
1562352029,0,2
1562353937,0,1
1562355881,0,1
1562363778,0,1
1562367887,0,1
1562371714,0,1
1562375549,0,1
1562394772,0,1
1562424259,0,1
1562449218,1,0
1562534659,0,1
1562602099,1,0
1562609795,2,0
1562611694,1,0
1562626606,3,0
1562628755,1,0
1562644369,1,0
1562646281,1,0
1562688772,0,1
1562694513,4,0
1562696460,0,2
1562698342,0,1
1562706168,1,0
1562712478,1,2
1562716376,2,1
1562730035,0,1
1562733861,0,1
1562741548,2,0
1562754972,1,0
1562763172,1,0
1562778741,2,1
1562780677,0,4
1562784499,2,0
1562790280,1,0
1562794121,0,1
1562800146,1,1
1562802022,1,1
1562803994,0,1
1562805860,1,0
1562827467,0,2
1562840935,0,1
1562842864,2,0
1562850750,0,1
1562856532,1,0
1562862283,2,0
1562866134,0,2
1562869977,0,2
1562877900,0,1
1562881703,1,0
1562885562,1,1
1562889380,1,1
1562893490,0,1
1562928276,0,2
1562944357,0,1
1562948192,0,2
1562952013,1,0
1562967393,0,1
1562972179,0,1
1562976200,0,1
1563034354,1,0
1563038279,0,1
1563137295,1,0
1563139242,0,1
1563222283,0,1
1563268827,1,0
1563328957,1,0
1563355727,0,1
1563414501,0,1
1563704432,1,0
1563745952,1,0
1563791068,0,1
1563830255,0,1
1563854205,1,0
1563891423,1,0
1563940582,0,1
1563975873,0,1
1564014499,1,0
1564034173,1,0
1564044735,2,0
1564092736,1,0
1564127553,0,1
1564142916,1,0
1564168350,1,0
1564177952,0,3
1564180829,0,1
1564229310,0,1
1564252353,0,1
1564289544,1,0
1564331789,1,0
1564375728,0,1
1564416779,0,1
1564432571,1,0
1564484697,1,0
1564521404,0,1
1564523328,1,0
1564538215,1,0
1564570118,0,1
1564624359,0,1
1564646199,1,0
1564658899,1,0
1564665133,1,0
1564733352,0,1
1564750593,0,1
1564763291,1,0
1564765500,3,0
1564769580,2,0
1564771455,1,0
1564786942,0,1
1564796670,0,1
1564798582,1,0
1564808188,1,0
1564849242,0,1
1564851146,1,3
1564854972,1,0
1564856893,0,1
1564860030,0,2
1564895780,0,1
1564918352,1,0
1564935633,1,0
1564937532,0,1
1564941388,0,1
1564947160,1,0
1564956742,1,0
1564960580,1,0
1564962518,1,0
1565003107,0,1
1565022492,0,1
1565034278,0,1
1565042194,1,0
1565044136,0,1
1565047943,0,1
1565049910,1,1
1565057542,1,0
1565059465,1,0
1565127141,0,1
1565132916,1,0
1565134833,0,1
1565144445,0,1
1565146342,0,1
1565171799,1,0
1565220493,1,1
1565258185,0,1
1565306659,1,1
1565318430,1,1
1565320341,1,0
1565349882,1,0
1565379152,1,0
1565392580,0,1
1565427884,0,1
1565435551,0,1
1565465554,0,1
1565469619,1,0
1565605014,1,0
1565630470,0,1
1565646266,1,0
1565652033,1,0
1565690193,0,1
1565696174,1,0
1565738184,0,1
1565795322,0,1
1565824644,1,0
1565847853,1,0
1565849791,1,0
1565855542,0,1
1565863389,1,0
1565865376,1,0
1565867576,1,0
1565869452,1,0
1565881261,4,0
1565883141,1,0
1565900665,1,0
1565911463,0,1
1565938601,2,0
1565948176,1,0
1565952073,1,1
1565953943,0,1
1565965459,1,0
1565967411,1,1
1565971394,1,0
1565975331,1,0
1565977216,2,0
1565979158,1,0
1565983008,2,0
1565986835,1,0
1565992596,1,0
1565998601,2,0
1566000507,1,0
1566006271,1,0
1566008440,0,9
1566018072,2,0
1566025712,0,2
1566035296,0,1
1566039132,0,1
1566052812,0,1
1566054762,1,1
1566056653,1,1
1566060735,0,1
1566062685,0,2
1566066494,0,1
1566068522,1,0
1566070363,0,2
1566072286,0,1
1566074447,1,0
1566080199,0,1
1566084039,1,2
1566085991,0,1
1566087855,1,0
1566091691,0,1
1566105642,0,2
1566125792,2,0
1566141156,0,1
1566143089,0,1
1566154897,0,1
1566160819,0,1
1566170436,0,1
1566174266,0,1
1566212566,0,2
1566249399,1,0
1566257093,2,0
1566258978,1,0
1566288203,1,0
1566296202,1,0
1566300283,1,0
1566308527,1,0
1566316343,2,0
1566330027,2,0
1566335807,0,1
1566341546,1,0
1566343458,2,2
1566345399,2,1
1566381825,0,1
1566387629,0,1
1566391473,1,0
1566393386,1,1
1566395298,1,0
1566399171,2,0
1566402978,0,2
1566408762,1,0
1566412596,2,0
1566416450,0,2
1566426078,1,0
1566427941,0,1
1566429872,3,2
1566432175,1,2
1566439728,1,0
1566441637,1,0
1566445465,1,1
1566447654,1,0
1566455598,1,0
1566469017,0,1
1566478580,0,1
1566482986,0,1
1566486805,0,2
1566490643,0,1
1566494470,0,1
1566500204,1,2
1566510042,3,0
1566512226,0,1
1566516077,0,2
1566517970,1,1
1566519885,0,1
1566521809,1,0
1566527921,1,1
1566529755,0,1
1566533564,0,1
1566539300,1,0
1566541227,0,1
1566547419,1,0
1566565339,2,0
1566581326,1,0
1566587565,1,1
1566597158,0,3
1566602913,2,0
1566604858,0,1
1566606773,1,0
1566608716,0,1
1566614660,0,1
1566624262,0,1
1566632234,0,1
1566640899,1,0
1566650658,0,1
1566652589,0,1
1566656428,1,0
1566666768,0,1
1566674418,1,1
1566689072,2,2
1566692922,1,1
1566699852,1,0
1566701795,1,0
1566703698,1,0
1566726987,0,1
1566742400,0,1
1566761789,0,1
1566775257,2,2
1566779066,1,1
1566784973,0,1
1566786989,0,1
1566789164,0,2
1566791061,1,0
1566820347,1,0
1566827571,4,0
1566829747,1,0
1566850583,2,0
1566862097,2,2
1566864161,1,1
1566867908,1,0
1566907340,1,1
1566915167,0,4
1566917070,1,0
1566920905,0,1
1566932579,1,0
1566936772,0,2
1566938651,1,0
1566940613,1,0
1566946358,5,0
1566948254,2,2
1566950177,0,1
1566955962,0,1
1566963860,1,1
1566966044,1,0
1566969878,1,0
1566984052,2,0
1566985937,3,0
1566993835,0,1
1566999888,1,0
1567003728,0,1
1567016203,1,0
1567018368,0,1
1567024569,0,1
1567026783,3,0
1567028677,2,1
1567030824,3,0
1567032750,0,4
1567034687,0,2
1567050770,0,1
1567054594,1,0
1567056529,0,1
1567059637,1,0
1567067547,1,0
1567069725,1,0
1567071644,0,5
1567075483,2,0
1567085872,0,1
1567087750,1,0
1567101177,1,1
1567103062,1,0
1567112964,0,2
1567114825,0,1
1567117003,0,4
1567118925,1,0
1567121099,2,0
1567123001,1,0
1567124909,1,0
1567129234,1,0
1567131164,3,0
1567133054,2,0
1567143163,0,1
1567145116,1,1
1567153254,2,1
1567157094,0,1
1567161405,2,2
1567169352,1,0
1567173147,0,1
1567175081,1,0
1567178916,1,0
1567184929,1,0
1567187104,2,0
1567188997,2,3
1567191142,1,0
1567198943,1,0
1567202719,0,1
1567204843,1,0
1567206738,1,1
1567208681,0,1
1567218269,1,3
1567220181,0,1
1567222362,0,1
1567228131,0,1
1567230050,0,1
1567239917,0,3
1567243954,2,1
1567248040,0,2
1567255993,0,2
1567261972,0,1
1567266134,0,1
1567272043,0,3
1567275894,0,3
1567279743,2,0
1567284019,0,1
1567289775,0,1
1567293877,0,1
1567299703,1,0
1567305382,0,1
1567307574,1,0
1567315726,1,0
1567330599,0,2
1567364680,0,2
1567374280,1,0
1567378122,1,0
1567385798,0,1
1567392501,1,1
1567398285,1,0
1567402099,0,1
1567408112,1,0
1567419630,1,0
1567421556,1,0
1567443871,1,0
1567455868,1,0
1567457773,1,0
1567459942,0,1
1567463798,1,1
1567471479,1,0
1567479155,0,1
1567481054,1,0
1567482972,0,1
1567506565,1,2
1567518015,2,0
1567527630,1,0
1567529535,0,1
1567539378,1,0
1567543249,0,1
1567545158,0,1
1567547082,0,1
1567548979,0,1
1567550900,2,0
1567552839,2,0
1567558576,0,1
1567566986,0,1
1567586419,1,0
1567594590,0,1
1567604417,0,1
1567608261,2,0
1567614045,0,1
1567615964,1,0
1567624699,0,2
1567636090,1,1
1567639047,2,2
1567640904,0,1
1567648603,1,0
1567654577,0,1
1567656516,1,0
1567660373,2,0
1567673781,0,1
1567687721,1,0
1567691540,3,0
1567693458,0,1
1567695399,0,1
1567701168,1,0
1567702990,1,1
1567714598,1,0
1567722287,0,1
1567724229,1,1
1567726098,2,1
1567735955,0,1
1567737881,1,0
1567743655,1,0
1567745802,0,1
1567747718,0,1
1567757803,1,0
1567773402,0,1
1567775566,1,0
1567777467,0,1
1567779658,0,1
1567783458,1,0
1567785396,1,0
1567787296,1,1
1567789483,0,1
1567795238,1,0
1567799195,1,0
1567802921,1,0
1567807972,1,0
1567809888,0,1
1567811823,3,3
1567817818,1,0
1567824024,0,1
1567829804,0,1
1567835799,1,0
1567843964,0,1
