DateTime,AddedIPs,RemovedIPs
1566320081,2,1
1566322097,2,1
1566324155,0,2
1566325965,1,2
1566328125,0,3
1566330028,0,1
1566331957,1,4
1566333874,1,0
1566335808,2,2
1566337697,1,3
1566339645,1,0
1566341547,0,1
1566343459,0,4
1566345400,0,2
1566347567,0,2
1566349481,0,1
1566353311,0,1
1566359097,0,1
1566361000,0,1
1566362924,0,2
1566364843,0,1
1566366748,0,5
1566368682,0,1
1566370886,0,4
1566372789,0,5
1566374937,0,4
1566378746,1,0
1566380681,1,2
1566382625,1151,0
1566388597,0,1
1566419802,1,0
1566421719,1,0
1566435429,1,0
1566439348,1,0
1566441371,1,0
1566447654,1,0
1566449566,1,0
1566453786,1,0
1566465150,0,1
1566467160,0,1
1566469018,0,1179
1566484824,1,0
1566486806,1,0
1566492536,2,0
1566500204,2,0
1566506211,1,1
1566508129,0,1
1566517971,1,0
1566521810,0,1
1566523747,1,0
1566525818,0,1
1566527922,0,1
1566529756,1,0
1566531618,2,0
1566533565,0,1
1566535481,0,1
1566539301,0,1
1566543161,1,0
1566545058,3,0
1566549400,3,0
1566555651,2,0
1566559477,1,0
1566561403,1,0
1566563305,2,0
1566565365,1,0
1566569316,1,0
1566571474,2,1
1566573651,1,1
1566577484,0,1
1566579395,0,1
1566583394,3,0
1566585395,2,2
1566587566,5,0
1566589475,1,0
1566591411,3,0
1566593298,3,1
1566595242,1,0
1566597159,4,0
1566599081,3,0
1566600986,3,0
1566602914,4,1
1566604862,6,0
1566606774,5,0
1566608716,2,0
1566610606,0,1
1566616608,0,1
1566618506,3,2
1566620457,3,0
1566622354,3,0
1566624263,2,0
1566626206,5,0
1566628104,7,0
1566630306,5,2
1566632235,5,2
1566634109,4,0
1566636424,9,3
1566638673,5,0
1566640931,9,1
1566642737,5,1
1566644684,10,1
1566646870,5,1
1566648762,9,1
1566650659,6,2
1566652590,11,0
1566654532,4,0
1566656429,9,1
1566658363,8,2
1566660577,12,1
1566662529,12,0
1566664534,8,0
1566666769,9,0
1566668693,6,0
1566670594,3,4
1566672495,15,2
1566674419,11,4
1566676401,17,1
1566678287,8,3
1566680176,15,4
1566682124,8,1
1566685007,17,5
1566686892,8,2
1566689073,18,4
1566690973,13,7
1566692923,16,5
1566695823,15,1
1566697965,11,0
1566699853,10,0
1566701796,10,0
1566703698,15,2
1566705752,14,1
1566707788,15,5
1566709712,12,2
1566711640,11,2
1566713546,11,9
1566715473,11,4
1566717385,10,4
1566719309,18,4
1566721230,13,6
1566723141,17,7
1566725081,9,5
1566726988,12,8
1566728894,10,5
1566730980,12,10
1566733223,14,5
1566735141,11,10
1566737087,5,6
1566739003,6,12
1566740922,3,4
1566742821,7,9
1566744746,6,6
1566746687,7,13
1566748573,8,13
1566750500,7,6
1566752496,9,7
1566754364,7,10
1566756303,5,1
1566758186,12,12
1566760116,17,11
1566762293,4,16
1566764187,4,13
1566766115,7,14
1566768049,1,9
1566769948,7,8
1566771866,5,11
1566773800,7,11
1566775716,3,16
1566777702,6,13
1566779561,2,18
1566781483,8,9
1566783386,7,10
1566785323,5,8
1566787235,4,10
1566789164,6,15
1566791062,4,12
1566793009,4,13
1566794930,1,13
1566796825,3,13
1566798741,3,11
1566800668,7,11
1566802598,0,11
1566804772,3,16
1566806699,3,14
1566808598,2,17
1566810513,3,12
1566812427,2,9
1566814609,5,13
1566816528,2,10
1566818453,1,13
1566820348,1,14
1566822255,4,8
1566825495,6,7
1566827571,2,7
1566829747,2,4
1566831714,2,7
1566833551,3,6
1566835493,7,10
1566837642,2,8
1566839552,1,6
1566841466,4,6
1566843376,1,11
1566845307,3,16
1566847252,1,9
1566849177,4,4
1566851074,0,2
1566853005,1,7
1566854899,2,3
1566858019,3,10
1566859934,3,7
1566861904,4,3
1566863777,2,4
1566865693,4,4
1566867670,3,7
1566869563,1,8
1566871498,3,4
1566873382,5,5
1566875308,0,5
1566877246,0,4
1566879154,3,4
1566881079,1,0
1566883230,1,3
1566885163,0,4
1566887077,2,7
1566889499,3,0
1566891670,1,4
1566893585,1,3
1566895489,1,3
1566897391,2,1
1566899317,2,2
1566901278,3,5
1566903154,1,2
1566905088,0,1
1566907381,0,3
1566909641,1,3
1566911798,0,5
1566913720,0,2
1566915650,0,1
1566917579,0,3
1566919462,0,3
1566921374,0,7
1566923301,1,3
1566926308,1,2
1566928149,0,3
1566930054,0,1
1566931958,1,3
1566933868,1,1
1566935794,0,4
1566937949,0,1
1566940123,1,0
1566942051,0,3
1566943951,2,2
1566945868,0,3
1566947830,1,4
1566949972,0,1
1566951880,0,2
1566953795,1,5
1566955711,0,2
1566957770,0,2
1566959577,0,5
1566961527,0,1
1566965575,1,3
1566967460,0,1
1566969623,0,1
1566973529,0,2
1566975399,0,1
1566977306,0,2
1566979532,0,2
1566981406,0,1
1566983318,1,2
1566985240,0,1
1566987176,1,3
1566989325,2,1
1566995093,0,2
1566997362,1,0
1567009015,1,1
1567010952,0,1
1567012823,1,0
1567018599,1,1
1567020773,0,1
1567024570,1,0
1567026784,0,1
1567028678,1,0
1567030825,3,2
1567034688,0,1
1567040702,0,1
1567046456,1,0
1567052685,1,1
1567070195,0,1
1567074049,1,2
1567075961,2,1
1567083894,0,1
1567087752,1,0
1567089666,1,0
1567095429,2,1
1567097313,1,0
1567099228,0,1
1567103063,1,0
1567105012,0,1
1567111003,2,1
1567114826,1,1
1567117004,2,1
1567118925,1,2
1567123002,1,0
1567131165,0,1
1567137163,1,0
1567139068,1,1
1567143164,2,0
1567149171,1,0
1567153255,2,0
1567155177,1,0
1567159395,1,1
1567163371,1,2
1567165254,4,0
1567171271,1,0
1567173148,1,0
1567175082,0,1
1567177011,1,1
1567178917,1,0
1567181010,0,2
1567182979,1,0
1567184930,0,1
1567187106,2,0
1567188998,0,1
1567193083,1,0
1567196895,1,2
1567198978,1,0
1567200970,1,1
1567203152,0,2
1567205051,0,1
1567209151,1,1
1567212995,1,0
1567214889,1,0
1567224777,0,2
1567228595,1,0
1567230517,0,2
1567232434,2,0
1567234366,1,1
1567238201,1,2
1567242508,2,1
1567246368,1,1
1567248271,1,1
1567252138,0,4
1567257864,1,1
1567260121,1,1
1567261973,2,1
1567263953,1,0
1567266135,0,1
1567267981,2,0
1567269894,3,1
1567273960,0,2
1567279744,0,1
1567282833,0,1
1567284742,1,1
1567286665,2,0
1567288589,0,1
1567296376,0,1
1567300117,0,1
1567302030,0,1
1567303950,1,0
1567315287,0,1
1567319065,1,3
1567323621,0,1
1567327704,0,1
1567329893,0,1
1567331785,0,1
1567335894,0,1
1567337791,1,0
1567345710,0,1
1567347646,1,3
1567351479,1,0
1567355315,2,2
1567357492,1,3
1567361323,1,0
1567370926,0,1
1567372830,0,2
1567376672,1,0
1567378598,1,0
1567382483,0,1
1567392016,0,1
