DateTime,Entries,UniqueIPs
1554111881,75,75
1554133945,73,73
1554156068,74,74
1554178088,73,73
1554199940,76,76
1554221798,77,77
1554245349,76,76
1554267372,14,14
1554289249,14,14
1554311111,16,16
1554333143,20,20
1554355230,22,22
1554399157,23,23
1554421230,25,25
1554498301,27,27
1554520345,26,26
1554564259,27,27
1554586343,29,29
1554608412,31,31
1554630281,33,33
1554652356,34,34
1554674576,32,32
1554696542,33,33
1554718635,34,34
1554740680,36,36
1554762767,34,34
1554784814,37,37
1554806671,33,33
1554828738,35,35
1554862135,40,40
1554884224,39,39
1554906264,42,42
1554928116,37,37
1554950199,36,36
1555016182,37,37
1555038072,39,39
1555060116,41,41
1555104037,41,41
1555147958,42,42
1555170024,43,43
1555192093,44,44
1555214191,39,39
1555247324,39,39
1555269375,44,44
1555291496,42,42
1555335646,44,44
1555357702,43,43
1555379550,41,41
1555401671,41,41
1555423723,39,39
1555445781,37,37
1555467627,34,34
1555511567,32,32
1555555968,31,31
1555611159,30,30
1555633219,28,28
1555655059,26,26
1555676916,24,24
1555720838,23,23
1555742682,24,24
1555764532,21,21
1555786601,18,18
1555808553,17,17
1555830518,16,16
1555852603,14,14
1555874662,8,8
1555896749,9,9
1555940909,5,5
1555962995,6,6
1556006900,5,5
1556072909,5,5
1556237776,8,8
1556259627,11,11
1556281470,13,13
1556303562,14,14
1556325624,15,15
1556347694,18,18
1556369556,20,20
1556413704,22,22
1556435798,24,24
1556479719,25,25
1556501573,24,24
1556567555,24,24
1556655914,24,24
1556677938,23,23
1556699785,24,24
1556832044,25,25
1556920094,26,26
1557030012,25,25
1557073958,24,24
1557118102,25,25
1557250370,24,24
1557272418,23,23
1557294506,21,21
1557316357,22,22
1557361321,23,23
1557427484,22,22
1557471687,1525,1525
1557647803,1531,1531
1557669652,1530,1530
1557713785,1529,1529
1557757721,1528,1528
1557779573,1537,1537
1557801616,1540,1540
1557823743,1538,1538
1557845749,1538,1538
1557867656,1545,1545
1557889737,1546,1546
1557911801,1547,1547
1557933910,1552,1552
1557955965,1556,1556
1557978039,1562,1562
1558000091,1566,1566
1558022972,1579,1579
1558045002,1582,1582
1558067071,1582,1582
1558088934,1586,1586
1558111242,1588,1588
1558133842,1591,1591
1558155859,1601,1601
1558177714,1607,1607
1558199559,1609,1609
1558221627,1621,1621
1558243471,1622,1622
1558265559,1621,1621
1558287632,1627,1627
1558309479,1633,1633
1558331533,1638,1638
1558353396,1642,1642
1558375590,1644,1644
1558397548,1643,1643
1558419395,1645,1645
1558441238,1646,1646
1558463297,1646,1646
1558485167,1649,1649
1558507022,1646,1646
1558529080,1643,1643
1558550931,1649,1649
1558572975,1644,1644
1558594946,1641,1641
1558616904,1642,1642
1558639012,1633,1633
1558661086,1636,1636
1558683142,1633,1633
1558705212,1641,1641
1558727079,1639,1639
1558749160,1637,1637
1558782287,1632,1632
1558804338,1635,1635
1558826196,1623,1623
1558848252,1621,1621
1558870115,1620,1620
1558891968,1629,1629
1558914014,1625,1625
1558936100,1622,1622
1558957961,1623,1623
1558980604,1614,1614
1559002578,1620,1620
1559024685,1624,1624
1559046740,1623,1623
1559068596,1293,1293
1559090654,128,128
1559112528,132,132
1559134584,135,135
1559156463,135,135
1559178326,135,135
1559200377,133,133
1559222447,131,131
1559244422,129,129
1559266361,129,129
1559310303,127,127
1559332350,128,128
1559365525,129,129
1559387532,131,131
1559409401,125,125
1559431457,126,126
1559453563,126,126
1559475623,123,123
1559497481,117,117
1559519550,116,116
1559541412,116,116
1559563485,115,115
1559585571,114,114
1559607637,108,108
1559629713,101,101
1559651791,103,103
1559673641,101,101
1559695712,94,94
1559717569,92,92
1559739708,86,86
1559761732,79,79
1559783781,82,82
1559805863,80,80
1559827947,77,77
1559850038,76,76
1559872104,75,75
1559893945,77,77
1559916192,67,67
1559938100,70,70
1559959949,68,68
1559982008,64,64
1560003862,63,63
1560025943,59,59
1560047801,58,58
1560069862,56,56
1560091721,52,52
1560113770,50,50
1560135663,47,47
1560157712,48,48
1560179781,48,48
1560201849,48,48
1560223695,48,48
1560245546,48,48
1560267623,47,47
1560289730,49,49
1560311788,50,50
1560344901,1557,1557
1560366984,1559,1559
1560388829,1558,1558
1560410903,1558,1558
1560432747,1557,1557
1560454823,1555,1555
1560476899,1556,1556
1560498752,1555,1555
1560520858,1553,1553
1560542913,1550,1550
1560564981,1549,1549
1560587077,1553,1553
1560609146,1553,1553
1560631232,1552,1552
1560653549,1552,1552
1560686934,1554,1554
1560708989,1554,1554
1560730834,1555,1555
1560752926,1555,1555
1560774986,1558,1558
1560797080,1555,1555
1560819162,1555,1555
1560841259,1554,1554
1560863290,1561,1561
1560907244,1557,1557
1560929317,982,982
1560951410,46,46
1560973476,43,43
1560995541,42,42
1561028672,42,42
1561050745,43,43
1561072588,44,44
1561094458,44,44
1561116516,46,46
1561138605,47,47
1561160699,49,49
1561182750,49,49
1561215888,48,48
1561238009,48,48
1561260032,48,48
1561282094,46,46
1561303942,48,48
1561326017,46,46
1561347867,47,47
1561369953,46,46
1561392030,47,47
1561414164,46,46
1561436211,46,46
1561458252,47,47
1561480128,42,42
1561502219,43,43
1561546104,44,44
1561567960,45,45
1561590083,46,46
1561612121,1553,1553
1561633994,1557,1557
1561656011,1559,1559
1561677873,1557,1557
1561699740,1557,1557
1561721808,1556,1556
1561743875,1554,1554
1561765746,1552,1552
1561787776,1554,1554
1561820676,1554,1554
1561842516,1552,1552
1561864607,1553,1553
1561886654,1554,1554
1561908510,1553,1553
1561930360,1554,1554
1561952435,1550,1550
1561974519,1552,1552
1561996594,1549,1549
1562029489,1551,1551
1562051549,1551,1551
1562073407,1552,1552
1562095473,1549,1549
1562117559,1550,1550
1562139645,1552,1552
1562161718,1552,1552
1562183566,1554,1554
1562205668,620,620
1562227713,43,43
1562249810,42,42
1562271863,43,43
1562293995,43,43
1562316021,44,44
1562337880,46,46
1562359723,50,50
1562381770,48,48
1562403865,48,48
1562425954,48,48
1562448035,50,50
1562470119,48,48
1562491962,48,48
1562514032,48,48
1562535885,49,49
1562557951,52,52
1562579801,50,50
1562601888,52,52
1562645789,50,50
1562667887,48,48
1562689944,47,47
1562734347,50,50
1562756208,48,48
1562778067,47,47
1562800147,48,48
1562822200,47,47
1562844251,46,46
1562866135,47,47
1562888196,46,46
1562910043,43,43
1562931884,41,41
1562953943,39,39
1562975787,40,40
1563008920,41,41
1563031011,41,41
1563053059,39,39
1563074929,42,42
1563096782,42,42
1563118866,41,41
1563141141,39,39
1563162995,38,38
1563184920,40,40
1563206933,39,39
1563229146,41,41
1563251051,39,39
1563273171,39,39
1563295214,37,37
1563317337,36,36
1563339384,32,32
1563361274,31,31
1563383302,31,31
1563405381,29,29
1563427236,30,30
1563449304,28,28
1563471177,25,25
1563515293,24,24
1563537135,26,26
1563558995,26,26
1563581335,24,24
1563603412,22,22
1563625463,21,21
1563647313,20,20
1563669386,17,17
1563691484,15,15
1563768523,12,12
1563790576,11,11
1563812445,11,11
1563834504,9,9
1563856362,17,17
1563878416,16,16
1563922331,15,15
1563966178,18,18
1563988122,17,17
1564010182,18,18
1564032022,17,17
1564142188,15,15
1564164078,45,45
1564186145,75,75
1564208181,76,76
1564252096,81,81
1564273951,105,105
1564296009,135,135
1564317868,147,147
1564339947,173,173
1564361794,201,201
1564383889,218,218
1564405735,235,235
1564427813,244,244
1564449859,246,246
1564472136,248,248
1564494032,253,253
1564571071,251,251
1564593141,252,252
1564614989,263,263
1564636835,276,276
1564658900,286,286
1564702810,314,314
1564724683,338,338
1564746760,346,346
1564769052,340,340
1564790921,315,315
1564812974,314,314
1564834836,330,330
1564856893,342,342
1564878733,333,333
1564900829,318,318
1564922690,307,307
1564944740,281,281
1564966586,262,262
1564988439,253,253
1565010290,249,249
1565032340,252,252
1565054187,244,244
1565076051,240,240
1565098108,238,238
1565120185,242,242
1565142274,246,246
1565164123,249,249
1565219088,238,238
1565241141,223,223
1565262987,212,212
1565307161,184,184
1565329210,160,160
1565351051,153,153
1565372904,134,134
1565394991,123,123
1565416880,124,124
1565438930,108,108
1565461003,91,91
1565483058,77,77
1565505153,63,63
1565582693,45,45
1565605014,33,33
1565627063,20,20
1565648914,19,19
1565692853,18,18
1565714896,15,15
1565736742,10,10
1565758587,6,6
1565780585,5,5
1565868743,7,7
1565890595,8,8
1565912665,9,9
1565934758,12,12
1565978910,16,16
1566000972,21,21
1566022813,24,24
1566044683,30,30
1566066760,36,36
1566088829,40,40
1566110675,44,44
1566132782,49,49
1566154945,62,62
1566176923,67,67
1566198996,69,69
1566220870,72,72
1566242914,76,76
1566308920,78,78
1566330992,80,80
1566352861,81,81
1566374937,82,82
1566440916,81,81
1566462782,80,80
1566484823,78,78
1566506680,79,79
1566528742,78,78
1566550585,80,80
1566572523,81,81
1566594526,78,78
1566616607,73,73
1566638673,68,68
1566660576,66,66
1566682569,58,58
1566704432,56,56
1566726273,52,52
1566748116,42,42
1566770170,36,36
1566792213,33,33
1566814134,31,31
1566836211,26,26
1566858290,25,25
1566880357,27,27
1566902209,27,27
1566924286,25,25
1566946360,21,21
1567067805,28,28
1567111710,27,27
1567133550,25,25
1567155703,23,23
1567177722,21,21
1567210838,18,18
1567232902,16,16
1567277054,15,15
1567320773,14,14
1567364899,13,13
1567386761,12,12
1567408838,10,10
1567474852,9,9
1567496914,8,8
1567518998,7,7
1567640419,8,8
1567772441,10,10
1567794293,11,11
