DateTime,AddedIPs,RemovedIPs
1559788099,0,1
1559790151,0,1
1559815310,0,1
1559822903,1,0
1559824821,5,0
1559851967,1,0
1559853860,0,1
1559859870,1,0
1559865767,1,0
1559868016,1,0
1559871868,1,0
1559910498,0,1
1559912460,0,5
1559937692,0,1
1559947221,1,1
1559957541,0,1
1559965220,1,0
1560010126,1,0
1560021615,1,0
1560033653,0,1
1560050901,0,1
1560090022,0,1
1560095776,0,1
1560107546,0,1
1560127935,0,1
1560137545,1,0
1560145211,2,0
1560160578,1,0
1560197304,1,0
1560224172,0,1
1560231868,0,2
1560247493,0,1
1560269773,0,1
1560287321,1,0
1560313241,1,0
1560315159,1,0
1560355720,1,0
1560369381,0,1
1560371308,1,0
1560379273,0,1
1560398599,0,1
1560400835,0,1
1560420264,1,0
1560433952,1,0
1560453150,2,0
1560456972,7,1
1560474994,1,0
1560480756,0,1
1560539081,0,1
1560540985,0,1
1560542928,0,5
1560544822,0,2
1560561630,0,1
1560636500,1,0
1560665543,1,0
1560680912,1,0
1560683805,1,0
1560708739,0,1
1560718377,1,0
1560722183,0,1
1560752928,0,1
1560766357,1,1
1560770193,0,1
1560852891,0,2
1560854919,1,0
1560886841,1,0
1560890709,1,0
1560903168,1,0
1560910844,1,0
1560922579,1,0
1560924494,1,1
1560940386,0,1
1560942289,1,0
1560973240,4,1
1560975150,0,1
1560977067,0,1
1560981141,1,0
1560989328,0,1
1561008516,0,1
1561027712,2,0
1561058931,0,4
1561067579,0,1
1561071407,0,1
1561079114,2,0
1561084843,1,0
1561109804,1,0
1561113623,0,2
1561128976,1,0
1561166680,0,1
1561186886,1,0
1561196414,0,1
1561202174,0,1
1561216586,0,1
1561251396,0,1
1561253296,1,0
1561274441,0,1
1561278267,0,1
1561303483,1,0
1561316899,1,0
1561328443,2,0
1561338988,0,1
1561354379,0,1
1561356286,1,0
1561369700,1,0
1561385084,1,0
1561388912,1,0
1561390843,0,1
1561402348,0,1
1561414348,0,1
1561443141,0,1
1561448912,1,0
1561454671,0,1
1561472187,0,1
