DateTime,AddedIPs,RemovedIPs
1566860910,3,3
1566862814,7,6
1566864756,7,3
1566866660,4,12
1566868838,13,11
1566870735,8,3
1566872670,16,12
1566874988,14,12
1566877247,12,13
1566879155,11,6
1566881081,10,9
1566883231,8,9
1566885164,14,10
1566887079,6,9
1566889502,12,9
1566891672,7,10
1566893594,6,14
1566895490,9,8
1566897392,9,11
1566899319,12,3
1566901280,6,6
1566903155,6,7
1566905089,4,4
1566907404,9,5
1566909642,3,2
1566911799,3,2
1566913721,3,2
1566915652,3,2
1566919475,1,2
1566921376,2,2
1566923302,2,0
1566925262,2,0
1566927142,1,2
1566929099,8,2
1566930990,2,2
1566932924,0,2
1566934814,3,4
1566936775,3,2
1566938653,0,90
1566940615,2,1
1566942503,5,5
1566944428,6,2
1566946360,3,3
1566948255,1,5
1566950179,7,6
1566952108,8,1
1566954122,9,9
1566955964,4,7
1566957817,9,9
1566960018,18,10
1566961981,9,7
1566963862,6,10
1566966045,8,7
1566967931,8,7
1566969880,8,8
1566971772,6,13
1566973980,13,9
1566975925,7,8
1566977803,9,7
1566979964,8,9
1566981859,8,11
1566984054,14,14
1566985952,11,11
1566987880,7,6
1566989825,6,6
1566991730,8,7
1566993904,4,11
1566995882,2,3
1566997980,7,4
1566999890,9,5
1567001821,4,3
1567003731,4,1
1567005626,1,1
1567007780,1,3
1567009951,4,2
1567012109,0,2
1567014046,0,1
1567016206,3,6
1567018390,6,2
1567020276,1,4
1567022676,4,3
1567024573,3,3
1567026786,5,2
1567028680,4,5
1567030827,3,7
1567032752,4,2
1567034689,4,2
1567036599,6,4
1567038773,7,8
1567040703,8,4
1567042609,9,4
1567044508,9,8
1567046458,14,11
1567048601,5,9
1567050773,9,6
1567052686,6,7
1567054596,11,8
1567056531,10,11
1567058582,12,7
1567060404,10,13
1567062574,87,7
1567064432,482,5
1567066375,9,5
1567068271,7,7
1567070197,10,11
1567072173,17,7
1567074069,2,7
1567075980,8,5
1567077870,5,8
1567079791,5,6
1567081732,2,4
1567083896,1,3
1567085889,8,8
1567087754,4,10
1567089668,1,2
1567091587,2,3
1567093492,1,2
1567095431,5,2
1567097314,2,2
1567099229,2,0
1567101179,0,2
1567103083,5,4
1567105014,3,4
1567107242,5,4
1567109100,2,1
1567111004,4,5
1567112968,2,4
1567114827,2,3
1567117006,4,5
1567118927,3,3
1567121101,3,2
1567123003,8,6
1567124911,9,3
1567126981,3,10
1567129236,12,9
1567131166,5,6
1567133056,13,8
1567135243,8,6
1567137164,8,8
1567139075,11,8
1567141014,9,9
1567143165,9,11
1567145168,12,11
1567147002,8,9
1567149172,8,175
1567151091,17,420
1567153271,14,13
1567155178,11,11
1567157096,4,10
1567159474,4,13
1567161421,8,2
1567163388,4,11
1567165256,8,7
1567167468,9,6
1567169355,5,5
1567171273,1,5
1567173150,2,5
1567175083,1,3
1567177012,2,3
1567178919,6,1
1567181082,7,6
1567182980,2,1
1567184932,1,3
1567187108,1,3
1567189002,3,6
1567191144,2,5
1567193084,3,2
1567194975,1,1
1567196896,3,4
1567199018,5,2
1567200970,5,4
1567203152,10,3
1567205052,1,6
1567206998,4,3
1567209152,8,5
1567211053,5,10
1567212996,5,6
1567214890,5,8
1567216928,12,5
1567218750,6,3
1567220733,9,10
1567222590,10,10
1567224778,15,12
1567226675,7,14
1567228596,8,6
1567230518,7,11
1567232435,7,8
1567234367,9,4
1567236303,10,11
1567238203,11,10
1567240343,8,11
1567242510,5,8
1567244472,5,6
1567246369,3,6
1567248272,4,8
1567250244,3,6
1567252139,3,6
1567254047,4,9
1567255996,5,4
1567257865,3,3
1567260123,2,1
1567261974,2,2
1567263955,1,4
1567266136,1,6
1567267982,4,3
1567269896,5,1
1567272045,4,2
1567273962,4,2
1567275895,4,2
1567277786,2,2
1567279745,6,1
1567282834,2,5
1567284742,2,4
1567286667,2,4
1567288590,1,5
1567290493,5,5
1567293406,4,5
1567295307,4,6
1567297237,4,5
1567299175,6,5
1567301065,10,4
1567303002,6,12
1567304912,7,2
1567307097,12,9
1567308993,7,7
1567311160,8,13
1567313194,11,6
1567315288,7,5
1567317184,7,9
1567319066,6,7
1567321416,8,14
1567323622,8,8
1567325818,9,13
1567327706,7,5
1567329894,11,7
1567331786,7,3
1567333729,3,5
1567335895,7,3
1567337791,4,6
1567339738,2,4
1567341627,5,6
1567343805,5,6
1567345712,3,3
1567347647,4,3
1567349555,4,3
1567351481,1,1
1567353378,0,2
1567355317,1,5
1567357494,1,9
1567359391,6,1
1567361324,4,3
1567363231,4,7
1567365155,3,6
1567367057,6,2
1567368991,1,3
