DateTime,AddedIPs,RemovedIPs
1556743968,11,10
1556766154,5,12
1556788343,5,8
1556810200,22,11
1556832045,3,51
1556854093,11,26
1556875970,5,6
1556898036,4,22
1556920094,4,18
1556942197,6,15
1556964063,10,8
1556986106,8,11
1557007971,48,74
1557030013,24,24
1557051864,13,2
1557073959,9,2
1557096042,27,31
1557118103,26,31
1557140223,10,8
1557162297,17,7
1557184368,40,16
1557206421,35,11
1557228269,19,23
1557250372,13,6
1557272421,5,5
1557294507,9,4
1557316358,6,37
1557339108,14,19
1557361325,4,5
1557383318,7,4
1557405372,9,3
1557427486,6,21
1557449549,10,6
1557471756,6295,6
1557493708,4,13
1557516029,3,7
1557537901,0,3
1557559946,2,9
1557581855,2,10
1557603851,2,25
1557625700,2,62
1557647804,5,13
1557669669,4,4
1557691756,6,16
1557713788,1,79
1557735655,8,8
1557757723,4,30
1557779574,5,88
1557801619,3,69
1557823750,6,34
1557845751,6,13
1557867659,8,26
1557889739,6,4
1557911802,5,8
1557933913,2,4
1557955967,4,8
1557978046,6,8
1558000093,20,4
1558022976,9,3
1558045005,10,6
1558067075,10,9
1558088936,7,4
1558111243,3,0
1558133845,4,3
1558155863,5,4
1558177717,6,1
1558199562,4,4
1558221630,4,3
1558243472,2,6
1558265560,1,8
1558287633,5,9
1558309480,3,7
1558331538,4,9
1558353398,4,1
1558375591,0,5
1558397550,3,3
1558419397,6,2
1558441240,4,8
1558463299,8,6
1558485168,5,6
1558518030,8,4
1558539896,3,3
1558561941,3,4
1558583791,8,744
1558605886,8,7
1558629274,42,7
1558651216,1,9
1558673306,6,11
1558695169,7,11
1558717302,3,1
1558739317,9,3
1558761395,4,3
1558783256,2,4
1558805297,6,5
1558827142,3,4
1558848983,5,0
1558870839,1,4
1558892699,7,5
1558914757,5,3
1558936999,3,4
1558958965,4,4
1558982443,3,1
1559004778,3,4
1559026867,3,2
1559048913,2,5
1559071025,1,1572
1559093098,3,4007
1559115165,4,3
1559137212,5,6
1559159061,4,1
1559180905,2,4
1559202967,8,7
1559224866,2,45
1559246929,4,10
1559268774,0,21
1559290846,4,11
1559312919,6,7
1559335008,6,7
1559356856,11,8
1559378907,7,6
1559400760,2,7
1559422981,4,7
1559444957,1,8
1559466979,3,6
1559488840,1,7
1559510913,5,17
1559532973,5,10
1559554817,1,6
1559576672,7,7
1559598772,18,5
1559620844,8,6
1559642917,6,1
1559664983,8,3
1559686847,2,2
1559708698,10,1
1559730763,4,5
1559752818,1,4
1559774706,5,5
1559796731,21,6
1559829889,4,4
1559851969,2,5
1559874022,1,1
1559896091,5,3
1559917951,2,3
1559940014,4,2
1559961862,5,11
1559983935,3,9
1560005784,2,2
1560027637,8,2
1560049701,3,1
1560071779,3,0
1560093653,4,1
1560115967,1,2
1560138012,6,2
1560159862,3,2
1560181938,1,5
1560204120,6,19
1560226108,16,7
1560248172,10,4
1560270025,5,2
1560292102,3,3
1560313954,1,8
1560336014,5589,2
1560358109,8,1
1560380447,0,8
1560402306,2,3
1560424344,2,5
1560446451,1,4
1560468499,5,7
1560490342,1,1
1560512184,1,2
1560534279,0,1
1560556361,2,4
1560578494,2,2
1560600506,3,1
1560622374,6,5
1560644425,4,4
1560666518,5,1
1560688596,12,4
1560710690,5,0
1560732764,3,3
1560754958,4,5
1560776936,2,2
1560799006,2,2
1560821066,5,12
1560843155,18,12
1560865228,16,8
1560887073,3,6
1560909168,2,1
1560931284,6,1709
1560953325,8,3886
1560975390,4,5
1560997238,3,1
1561019308,6,11
1561041391,8,1
1561063473,3,4
1561085562,2,7
1561107647,2,3
1561129727,5,0
1561151778,8,1
1561173647,2,3
1561195692,4,4
1561217773,4,5
1561239873,4,5
1561261958,3,9
1561284163,3,8
1561306117,2,14
1561327967,5,5
1561350016,2,7
1561372118,1,2
1561394174,8,3
1561416392,11,2
1561438366,5,3
1561460502,6,7
1561482506,6,2
1561504840,12,3
1561526887,2,2
1561548759,3,26
1561570824,2,2
1561592672,1,2
1561614545,5592,2
1561636567,3,4
1561658529,2,4
1561680513,5,0
1561702603,2,5
1561724720,2,2
1561747008,0,5
1561769093,2,2
1561791159,2,1
1561813012,2,4
1561834887,8,6
1561856935,3,1
1561878975,2,5
1561901076,2,2
1561923167,4,1
1561945251,6,5
1561967302,0,5
1561989410,7,14
1562011271,1,13
1562033294,1,7
1562055138,0,2
1562076992,5,3
1562098837,2,5
1562120910,0,13
1562142802,5,1
1562164838,9,3
1562186897,9,6
1562209012,0,2747
1562231085,2,2857
1562253135,3,6
1562275236,6,6
1562297298,2,7
1562319188,1,5
1562341225,2,2
1562363324,0,4
1562385168,4,0
1562407011,4,1
1562429098,2,1
1562451134,2,6
1562473245,1,1
1562495300,2,0
1562517155,6,4
1562539224,5,4
1562561069,8,3
1562583160,5,6
1562605330,2,1
1562627300,1,1
1562649149,2,1
1562671238,0,4
1562693292,6,2
1562715146,8,0
1562736989,3,4
1562759078,4,8
1562781161,4,12
1562803299,3,6
1562825580,1,1
1562847653,4,2
1562869693,7,6
1562891586,2,6
1562913643,1,3
1562935712,1,1
1562957645,2,4
1562990653,2,6
1563012508,3,3
1563034360,1,3
1563056211,5,7
1563078256,1,0
1563100107,5,0
1563121967,6,6
1563144027,6,1
1563165881,3,7
1563187723,3,4
1563209773,11,3
1563231680,1,3
1563253709,2,2
1563275776,4,2
1563297632,3,4
1563319474,3,6
1563341556,0,5
1563363434,1,4
1563385472,2,4
1563407320,1,5
1563429404,4,1
1563451278,11,4
1563473317,4,4
1563495386,6,9
1563517499,3,1
1563539542,1,1
1563561382,0,1
1563583474,2,2
1563605327,2,3
1563627414,1,3
1563649385,9,2
1563671319,2,1
1563693386,3,5
1563715244,1,4
1563737315,6,3
1563759210,7,5
1563781226,2,0
1563803333,6,2
1563825393,2,7
1563847488,7,0
1563869550,2,4
1563891424,3,6
1563913461,6,6
1563935318,3,0
1563957179,1,1
1563979236,5,1
1564001313,7,2
1564023162,7,2
1564056297,3,13
1564078346,9,4
1564100207,1,4
1564122264,3,3
1564144362,1,2
1564166415,0,1
1564188268,5,4
1564210133,0,2
1564232172,3,2
1564254202,3,3
1564276121,4,2
1564298179,3,1
1564320047,8,1
1564342093,2,4
1564363978,4,4
1564386014,1,1
1564407888,2,5
1564429950,3,1
1564451805,4,9
1564473898,8,2
1564495942,8,2
1564518471,8,3
1564540378,4,1
1564562415,2,2
1564584282,1,12
1564606333,4,8
1564628177,1,6
1564650159,5,4
1564672139,5,3
1564694197,7,4
1564716043,3,2
1564738098,5,5
1564760214,4,0
1564782272,5,5
1564804345,6,2
1564826261,3,2
1564848292,4,5
1564870383,2,3
1564892435,6,3
1564914494,7,6
1564936355,8,1
1564958428,9,1
1564980273,2,2
1565002378,10,1
1565024562,1,2
1565046758,2,2
1565068837,2,7
1565090891,5,10
1565112764,4,7
1565134834,2,8
1565156684,4,5
1565178729,1,3
1565200597,2,2
1565222594,5,2
1565244524,1,2
1565266574,2,4
1565288422,3,5
1565310555,5,6
1565332572,2,3
1565354414,8,7
1565376274,2,12
1565398344,5,4
1565420201,3,10
1565442103,2,3
1565464102,4,2
1565486184,1,3
1565508261,3,11
1565530362,2,8
1565552428,2,10
