DateTime,AddedIPs,RemovedIPs
1559411063,0,1
1559414930,1,0
1559422981,1,0
1559426937,1,1
1559434588,1,0
1559446362,1,0
1559448347,1,0
1559452132,1,0
1559461709,1,0
1559463631,1,0
1559467484,0,1
1559482869,1,0
1559484772,0,1
1559488587,0,1
1559494351,0,1
1559500104,0,1
1559504191,1,0
1559508264,0,1
1559512381,0,1
1559522199,0,1
1559531806,0,1
1559535662,0,1
1559537572,0,1
1559539468,1,0
1559549357,0,1
1559551249,0,1
1559555306,1,0
1559568795,0,1
1559584365,1,0
1559590102,0,1
1559626112,0,1
1559633816,1,0
1559641460,0,1
1559647241,1,0
1559670520,0,1
1559716815,1,0
1559720709,0,1
1559726427,2,0
1559730267,1,0
1559732179,1,0
1559734096,0,1
1559743950,2,0
1559757406,1,0
1559803701,0,1
1559809474,1,0
1559811369,0,1
1559813340,0,1
1559817152,0,1
1559819092,0,1
1559830591,0,2
1559844173,0,1
1559857939,1,0
1559897071,0,1
1559902835,1,0
1559904739,1,0
1559910500,1,0
1559927776,1,0
1559943414,0,1
1559988752,0,1
1559990666,0,1
1559996669,0,1
1560012048,0,1
1560055467,1,0
1560071780,1,0
1560075619,1,0
1560142581,0,1
1560158892,0,1
1560160841,0,1
1560215310,1,0
1560217210,2,0
1560246017,1,0
1560249887,1,0
1560301726,0,1
1560303626,0,2
1560332440,0,1
1560334358,0,1
1560339141,1,0
1560348762,1,0
1560366062,1,0
1560423425,1,0
1560428200,0,1
1560435860,0,1
1560451215,0,1
1560474141,1,0
1560485552,1,0
1560491310,1,0
1560509083,0,1
1560528286,1,0
1560557798,1,0
1560559706,0,1
1560571354,0,1
1560578919,0,1
1560615386,0,1
1560642255,0,1
1560666251,1,0
1560709459,2,0
1560741402,1,0
1560752929,0,1
1560766358,1,0
1560793222,2,0
1560795172,0,2
1560827811,0,1
1560852893,0,1
1560861864,2,0
1560863909,1,0
1560873387,1,0
1560879168,0,2
1560894523,1,0
1560908920,2,0
1560910847,1,0
1560930256,1,0
1560946364,1,0
1560948282,0,2
1560950200,1,1
1560955970,1,0
1560959779,0,1
1560975152,1,0
1560981142,0,1
1560995089,0,2
1560997010,0,1
1561018107,0,1
1561031583,0,1
1561037540,0,1
1561041636,0,1
1561058933,0,1
1561073882,1,0
1561108351,1,0
1561147272,1,0
1561160436,0,1
1561185615,1,0
1561195235,0,1
1561213483,1,0
1561226912,4,0
1561232924,0,1
1561272517,0,1
1561299611,0,1
1561301537,1,0
1561313084,0,4
1561379301,1,0
1561386986,0,1
1561388914,1,0
1561400444,1,0
1561464519,0,1
1561474349,0,1
1561484922,0,1
1561553067,1,0
1561583071,1,0
1561639459,0,1
1561666869,0,1
1561705432,1,0
1561790676,0,1
1561802937,1,0
1561872292,1,0
1561889830,0,1
1561956498,0,1
1562027543,1,0
1562029490,1,0
1562048915,1,0
1562080120,1,0
1562102448,1,0
1562113967,0,1
1562115881,0,1
1562133656,1,0
1562135564,0,1
1562154992,1,0
1562162549,1,0
1562168199,1,1
1562179728,1,0
1562187423,0,1
1562201316,1,0
1562203249,1,0
1562207064,1,0
1562220752,0,1
