DateTime,Entries,UniqueIPs
1566854444,6889,6889
1566856351,6861,6861
1566858292,6873,6873
1566860183,6843,6843
1566862100,6907,6907
1566864176,6894,6894
1566866181,6858,6858
1566868374,6793,6793
1566870272,6761,6761
1566872441,6716,6716
1566874359,6715,6715
1566876530,6736,6736
1566879650,6734,6734
1566881555,6742,6742
1566883515,6713,6713
1566885422,6647,6647
1566887303,6572,6572
1566889505,6562,6562
1566891673,6509,6509
1566893595,6556,6556
1566895492,6584,6584
1566897393,6612,6612
1566899320,6624,6624
1566901281,6608,6608
1566903156,6671,6671
1566905090,6742,6742
1566907418,6850,6850
1566909644,6926,6926
1566911801,6899,6899
1566913723,6914,6914
1566915653,6947,6947
1566917593,6994,6994
1566919484,7076,7076
1566921385,7188,7188
1566923322,7217,7217
1566925340,7182,7182
1566927144,7183,7183
1566929118,7188,7188
1566931007,7226,7226
1566932926,7210,7210
1566934815,7233,7233
1566936784,7313,7313
1566938655,7426,7426
1566940616,7529,7529
1566942504,7611,7611
1566944429,7643,7643
1566946362,7741,7741
1566948257,7720,7720
1566950188,7725,7725
1566952109,7784,7784
1566954183,7821,7821
1566956174,7847,7847
1566958128,7908,7908
1566960038,7907,7907
1566961991,7953,7953
1566963864,7936,7936
1566966046,7906,7906
1566967933,7929,7929
1566969882,7977,7977
1566971773,8019,8019
1566973982,8166,8166
1566975940,8208,8208
1566977804,8229,8229
1566979965,8260,8260
1566981861,8238,8238
1566984055,8289,8289
1566985953,8282,8282
1566987881,8277,8277
1566989827,8328,8328
1566991731,8332,8332
1566993947,8364,8364
1566995883,8411,8411
1566997982,8502,8502
1566999949,8566,8566
1567001823,8661,8661
1567003733,8763,8763
1567005628,8732,8732
1567007802,8597,8597
1567009952,8547,8547
1567012111,8557,8557
1567014047,8591,8591
1567016208,8535,8535
1567018391,8483,8483
1567020277,8406,8406
1567022692,8388,8388
1567024574,8289,8289
1567026787,8246,8246
1567028682,8204,8204
1567030829,8188,8188
1567032754,8122,8122
1567034716,8139,8139
1567036601,8108,8108
1567038774,8041,8041
1567040705,8009,8009
1567042611,8006,8006
1567044510,8000,8000
1567046459,8009,8009
1567048611,8030,8030
1567050774,8025,8025
1567052687,8075,8075
1567054598,8165,8165
1567056533,8110,8110
1567058609,8071,8071
1567060823,8173,8173
1567062997,8484,8484
1567064933,10105,10105
1567066824,11909,11909
1567068799,13270,13270
1567070668,14159,14159
1567073008,15204,15204
1567074997,16357,16357
1567076920,17354,17354
1567078843,19115,19115
1567080740,20734,20734
1567082663,21676,21676
1567085175,22733,22733
1567087003,23612,23612
1567089176,24479,24479
1567091097,25286,25286
1567092984,27048,27048
1567094928,28568,28568
1567096843,30253,30253
1567098744,31627,31627
1567100663,33414,33414
1567102854,35268,35268
1567104765,37602,37602
1567106683,38522,38522
1567108576,38623,38623
1567110517,38659,38659
1567112581,38677,38677
1567114588,38671,38671
1567116524,38655,38655
1567118443,38660,38660
1567120610,38666,38666
1567122507,38678,38678
1567124436,38730,38730
1567126353,38756,38756
1567128290,38776,38776
1567130211,38781,38781
1567132104,38804,38804
1567134091,38847,38847
1567136212,38886,38886
1567138145,38845,38845
1567140021,38826,38826
1567142197,38801,38801
1567144094,38813,38813
1567146047,38919,38919
1567149174,38701,38701
1567151135,37667,37667
1567153273,35395,35395
1567155180,34064,34064
1567157111,33277,33277
1567159508,32429,32429
1567161423,31459,31459
1567163390,30510,30510
1567165259,28867,28867
1567167470,27110,27110
1567169391,26226,26226
1567171274,25446,25446
1567173152,24479,24479
1567175085,23583,23583
1567177014,22654,22654
1567178920,21133,21133
1567181098,19344,19344
1567182982,17737,17737
1567184934,16188,16188
1567187110,14120,14120
1567189003,12576,12576
1567191145,10051,10051
1567193086,9206,9206
1567194976,9040,9040
1567196897,9120,9120
1567199076,9107,9107
1567200972,9119,9119
1567203153,9163,9163
1567205053,9142,9142
1567207000,9099,9099
1567209154,9049,9049
1567211054,9026,9026
1567212997,9005,9005
1567214891,9003,9003
1567216968,8965,8965
1567219003,8936,8936
1567221157,8957,8957
1567223099,8867,8867
1567225229,8863,8863
1567227139,8859,8859
1567229079,8844,8844
1567230980,8822,8822
1567232910,8804,8804
1567235813,8630,8630
1567237748,8519,8519
1567239926,8348,8348
1567241781,8221,8221
1567243969,8143,8143
1567245900,8083,8083
1567248041,7886,7886
1567250245,7765,7765
1567252141,7619,7619
1567254048,7511,7511
1567255997,7407,7407
1567257867,7290,7290
1567260124,7231,7231
1567261975,7161,7161
1567263956,7111,7111
1567266137,7059,7059
1567267983,7003,7003
1567269897,6923,6923
1567272046,6906,6906
1567273964,6863,6863
1567275896,6823,6823
1567277787,6751,6751
1567279746,6636,6636
1567281888,6551,6551
1567284021,6471,6471
1567285973,6432,6432
1567287909,6398,6398
1567289777,6362,6362
1567291707,6366,6366
1567293880,6361,6361
1567295791,6343,6343
1567297733,6329,6329
1567299782,6320,6320
1567301770,6322,6322
1567303952,6336,6336
1567305861,6349,6349
1567308031,6334,6334
1567309969,6291,6291
1567311859,6286,6286
1567315304,6324,6324
1567317185,6334,6334
1567319068,6332,6332
1567321435,6390,6390
1567323623,6429,6429
1567325821,6426,6426
1567327707,6435,6435
1567329895,6405,6405
1567331787,6344,6344
1567333730,6338,6338
1567335897,6320,6320
1567337792,6218,6218
1567339747,6190,6190
1567341628,6191,6191
1567343806,6173,6173
1567345713,6186,6186
1567347649,6203,6203
1567349555,6204,6204
1567351482,6211,6211
1567353378,6209,6209
