DateTime,AddedIPs,RemovedIPs
1564385064,1,0
1564386993,1,0
1564393221,2,0
1564395435,3,0
1564399239,2,0
1564401183,1,1
1564403057,1,0
1564405012,1,0
1564406902,1,0
1564420585,1,0
1564430193,1,0
1564435033,1,0
1564436925,0,1
1564438823,1,0
1564444622,1,0
1564460259,0,1
1564462112,1,0
1564472139,0,1
1564503175,1,0
1564507051,0,1
1564511063,0,1
1564519234,3,0
1564521415,1,0
1564527742,1,1
1564547295,1,0
1564550550,0,1
1564554278,0,1
1564562418,1,0
1564577796,0,1
1564583825,1,0
1564587630,0,1
1564597232,1,1
1564604937,0,1
1564606979,0,3
1564608998,1,0
1564610921,1,1
1564616669,1,1
1564618586,1,0
1564620495,0,2
1564628179,0,1
1564632225,1,1
1564644258,2,0
1564648115,0,1
1564650259,5,1
1564652170,5,0
1564671748,0,2
1564677403,1,0
1564683156,0,1
1564694658,1,0
1564698521,0,1
1564702367,0,1
1564706424,1,0
1564714347,0,1
1564729931,0,1
1564731889,2,0
1564737654,0,4
1564745360,1,0
1564751546,1,0
1564761385,1,0
1564765503,1,0
1564769583,1,0
1564771471,1,0
1564792821,0,1
1564814189,1,0
1564818034,0,1
1564819949,0,2
1564821874,0,4
1564831494,0,1
1564835311,1,0
1564837361,0,1
1564846828,0,1
1564852601,0,1
1564856443,0,1
1564858362,0,1
1564860260,2,0
1564870385,1,0
1564872264,1,0
1564874187,1,0
1564878288,0,1
1564884245,1,0
1564888122,2,0
1564897942,1,0
1564899860,0,1
1564901797,1,0
1564903718,1,0
1564905802,1,0
1564909711,1,0
1564923416,0,1
1564927506,1,0
1564929386,2,0
1564937091,0,1
1564938999,0,1
1564942845,0,2
1564944743,0,1
1564948598,0,1
1564950500,0,1
1564953384,0,1
1564955318,0,1
1564957238,0,2
1564959143,0,1
1564961081,0,1
1564963010,0,1
1564967029,1,1
1564970925,0,1
1564974749,0,2
1564984391,1,1
1564988215,0,1
1564990114,0,1
1564992275,0,1
1564996391,0,1
1564998259,1,0
1565008365,0,1
1565010306,1,0
1565014126,2,3
1565016041,0,1
1565032841,2,0
1565036659,1,0
1565040758,1,0
1565048653,1,0
1565052760,1,1
1565072189,0,1
1565074098,1,0
1565079862,2,0
1565085773,0,1
1565087615,1,0
1565097393,0,1
1565099582,1,2
1565114192,1,0
1565116114,1,0
1565122347,0,1
1565126184,1,0
1565128113,2,1
1565135783,1,1
1565137844,0,1
1565149217,1,0
1565160771,0,1
1565164598,1,0
1565166501,0,1
1565168588,0,1
1565174410,2,0
1565176344,0,1
1565185932,0,1
1565199393,1,0
1565201323,1,0
1565208996,1,0
1565210908,0,1
1565216672,0,1
1565218610,0,1
1565220496,1,0
1565226516,0,1
1565236135,0,1
1565250507,0,3
1565252437,3,1
1565260102,0,1
1565262185,0,1
1565287690,0,1
1565293450,0,1
1565295624,0,1
1565299486,1,0
1565333542,0,1
1565337379,0,2
1565339304,0,4
1565348503,2,0
1565350352,2,0
1565356109,1,0
1565359946,2,0
1565361871,1,0
1565365935,0,1
1565402927,2,0
1565432208,1,0
1565436066,0,2
1565445772,2,2
1565449732,0,1
1565453587,1,0
1565465065,0,1
1565479471,1,0
1565481398,1,0
1565489306,0,2
1565513560,1,0
1565517395,0,1
1565525327,1,0
1565532985,0,1
1565537065,1,0
1565539000,3,0
1565540898,1,1
1565544801,0,1
1565546701,1,0
1565560359,1,0
1565566100,0,3
1565568190,1,0
1565599476,0,2
1565601394,2,0
1565607770,1,0
1565610043,0,1
1565617732,1,0
1565637164,0,1
1565640981,0,2
1565643165,0,2
1565646996,0,1
1565654697,0,1
1565683715,1,0
1565687789,0,1
1565691895,1,0
1565693699,1,1
1565705327,2,0
1565727388,2,0
1565770353,0,2
1565772260,2,1
1565774465,2,0
1565782582,0,1
1565802288,1,0
1565804178,2,0
1565809949,1,0
1565813803,2,1
1565824647,0,1
1565857471,1,1
1565859407,0,2
1565889160,1,0
1565891050,0,2
1565896825,0,1
1565900669,0,1
1565907689,0,1
1565925176,1,0
1565942612,1,0
1565944820,1,3
1565972214,1,0
1565977938,1,0
1565985766,0,1
1566012780,0,1
1566036145,1,0
1566041773,0,6
1566059563,0,1
1566063406,0,1
1566065322,1,0
1566067221,7,0
1566120032,1,0
1566147149,2,0
1566149096,2,0
1566152908,0,1
1566154995,0,1
1566164677,1,0
1566205390,1,0
1566207618,1,3
1566209804,0,3
1566228989,1,0
1566234761,0,3
1566238581,1,0
1566248226,1,0
1566250100,2,0
1566252141,4,0
1566253959,2,0
1566259696,2,0
1566261614,0,1
1566267636,1,0
1566290659,1,2
1566292625,1,0
1566302774,1,0
1566308532,0,1
1566316369,0,1
1566322100,1,0
1566326178,0,1
1566328129,1,0
1566333877,0,2
1566335825,2,0
1566337704,1,0
1566390512,0,1
1566408280,0,2
1566410201,2,0
1566412102,0,1
1566422200,0,2
1566424104,0,1
1566433979,1,0
1566439730,1,1
1566483060,1,0
1566510048,0,1
1566519889,0,1
1566545064,0,1
1566549404,1,0
1566551561,1,0
1566563376,1,0
1566569321,1,1
1566573655,1,0
1566591415,0,2
1566624267,0,1
1566626209,0,1
1566630310,0,1
1566632239,0,1
1566636429,1,1
1566638677,3,0
1566640981,1,0
1566648766,1,0
1566670606,0,1
1566672499,1,0
1566682127,0,2
1566686896,1,0
1566702744,0,1
1566735857,0,1
1566742403,1,0
1566757993,1,0
1566767569,0,1
1566769471,1,0
1566785075,0,1
1566802601,1,0
1566812430,1,0
1566814613,1,0
1566824553,0,1
1566828318,0,1
1566834024,1,0
1566842185,1,0
1566852529,0,1
1566856352,1,1
1566860184,1,0
1566888014,0,1
1566889982,0,1
1566915655,1,0
1566939174,1,0
1566941059,1,0
1566942974,0,1
1566944923,1,1
1566950696,0,1
1566974420,0,1
1566997984,1,0
1567003734,4,0
1567007803,1,0
1567012112,1,0
1567026789,1,0
1567046460,0,1
1567048612,0,1
1567066826,0,1
1567068800,2,0
1567070669,0,1
1567100664,1,0
1567102855,1,0
1567104766,0,1
1567112609,0,1
1567116525,1,0
1567151174,1,1
1567155181,0,2
1567181104,1,0
1567182983,0,1
1567184947,1,0
1567187112,1,1
1567189005,1,1
1567193087,1,0
1567196898,1,0
1567203155,0,1
1567223100,1,0
1567230981,1,0
1567235814,1,0
1567237750,0,1
1567239927,1,0
1567252156,1,0
1567266138,1,0
1567269898,1,0
1567273965,1,1
1567284023,0,1
1567308032,0,1
1567309970,1,0
1567311860,3,0
1567315305,2,1
1567317187,0,1
1567321469,0,1
1567325822,1,1
1567327708,1,0
1567333731,1,0
1567345714,1,0
1567351483,0,1
1567361326,0,1
1567363233,1,0
1567367059,2,0
1567372833,1,2
1567384571,1,1
1567396355,0,1
1567398289,0,3
1567400208,0,2
1567402103,1,1
1567404290,1,0
1567411942,1,1
1567417714,1,0
1567419634,1,0
