DateTime,AddedIPs,RemovedIPs
1566850585,4,3
1566852530,2,0
1566854446,2,6
1566856352,0,1
1566858297,24,2
1566860185,2,1
1566862102,63,1
1566864179,1,1
1566868379,1,2
1566870274,1,6
1566872442,6,1
1566874363,1,8
1566876532,5,3
1566878573,1,1
1566880581,1,1
1566882766,2,14
1566884691,1,10
1566886610,5,9
1566888767,2,2
1566890687,2,4
1566892994,10,0
1566894988,3,2
1566897158,15,1
1566899084,9,1
1566901282,10,0
1566903157,12,1
1566905091,8,2
1566907428,18,4
1566909646,8,5
1566911803,18,2
1566913725,11,2
1566915656,8,2
1566917602,6,8
1566919494,14,9
1566921387,10,18
1566923326,9,9
1566925405,11,8
1566927408,11,11
1566929564,7,9
1566931475,11,9
1566933385,9,9
1566935326,11,2
1566937258,32,5
1566939175,8,0
1566941060,12,1
1566942975,11,0
1566944924,7,24
1566946916,15,22
1566948753,7,40
1566950705,5,0
1566952571,12,1
1566954559,12,1
1566956411,9,3
1566958357,7,8
1566960286,4,1
1566962437,14,2
1566964336,4,2
1566966288,10,1
1566968181,8,1
1566970361,9,1
1566972533,12,4
1566974421,12,1
1566976390,10,2
1566978287,4,2
1566980219,9,10
1566982276,9,12
1566984272,6,6
1566986190,9,9
1566988363,16,14
1566990297,10,9
1566992187,11,10
1566994397,11,16
1566996260,9,11
1566998751,11,22
1567001035,8,8
1567003258,14,8
1567005178,12,10
1567007061,12,17
1567009017,4,9
1567010957,11,9
1567012826,14,8
1567014771,10,8
1567016683,12,5
1567018601,10,14
1567020775,9,15
1567022700,11,10
1567024576,12,28
1567026789,11,10
1567028686,7,12
1567030830,10,7
1567032758,12,17
1567034718,7,6
1567036603,5,10
1567038776,14,10
1567040707,8,13
1567042612,5,11
1567044511,10,8
1567046469,12,4
1567048613,15,11
1567050778,10,11
1567052692,8,9
1567054602,4,8
1567056535,9,6
1567058659,14,12
1567060824,104,12
1567062999,378,10
1567064935,1614,8
1567066827,1882,4
1567068801,1468,5
1567070670,792,3
1567073068,844,10
1567075982,1351,14
1567077872,1420,7
1567079793,1795,9
1567081735,1217,5
1567083898,909,6
1567085891,860,5
1567087756,764,6
1567089670,982,2
1567091589,1020,7
1567093495,1858,6
1567095433,1489,3
1567097316,1714,4
1567099231,1425,9
1567101181,1965,2
1567103085,1509,6
1567105017,2440,1
1567107244,733,4
1567109102,21,2
1567111007,11,2
1567112972,8,5
1567114830,6,0
1567117008,10,2
1567118929,7,3
1567121105,9,2
1567123006,10,1
1567124914,5,4
1567126984,7,1
1567129239,12,1
1567131168,6,3
1567133059,6,2
1567135246,16,2
1567137167,4,2
1567139079,11,3
1567141020,10,1
1567143169,6,2
1567145197,5,3
1567147017,14,15
1567149192,10,263
1567151176,8,1305
1567153275,12,2324
1567155183,2,1468
1567157114,9,830
1567159569,13,841
1567161439,8,1002
1567163393,11,966
1567165323,7,1760
1567167473,8,1740
1567169394,16,907
1567171277,4,818
1567173154,14,910
1567175088,9,841
1567177016,13,847
1567178923,12,1509
1567181106,7,1822
1567182984,24,1674
1567184948,9,1566
1567187115,8,2116
1567189006,20,1573
1567191147,17,2569
1567193088,19,1009
1567194987,6,88
1567196899,15,9
1567199089,10,15
1567200973,6,8
1567203155,10,13
1567205055,10,6
1567207002,6,9
1567209158,4,12
1567211056,3,8
1567212999,0,5
1567214893,2,15
1567217048,0,5
1567219005,2,8
1567221159,3,15
1567223105,1,7
1567225231,1,10
1567227143,1,9
1567229080,3,6
1567230982,0,9
1567232913,1,14
1567235814,1,13
1567237752,0,8
1567239928,8,11
1567241784,3,2
1567243971,0,11
1567245902,1,13
1567248046,3,8
1567250250,3,10
1567252157,12,7
1567254053,11,6
1567256002,5,16
1567257871,6,4
1567260127,6,13
