DateTime,Entries,UniqueIPs
1566854446,2513,2513
1566856352,2511,2511
1566858297,2508,2508
1566860185,2485,2485
1566862102,2488,2488
1566864178,2464,2464
1566866183,2446,2446
1566868379,2416,2416
1566870274,2396,2396
1566872442,2383,2383
1566874363,2380,2380
1566876531,2393,2393
1566878557,2429,2429
1566880359,2444,2444
1566882278,2453,2453
1566884203,2451,2451
1566886113,2450,2450
1566888015,2433,2433
1566889985,2397,2397
1566892102,2376,2376
1566894047,2373,2373
1566895955,2373,2373
1566897902,2369,2369
1566899817,2344,2344
1566901707,2360,2360
1566903712,2365,2365
1566905564,2382,2382
1566907426,2412,2412
1566909645,2401,2401
1566911803,2394,2394
1566913724,2363,2363
1566915655,2368,2368
1566917602,2356,2356
1566919486,2336,2336
1566921386,2337,2337
1566923325,2333,2333
1566925393,2317,2317
1566927407,2313,2313
1566929563,2315,2315
1566931474,2294,2294
1566933384,2295,2295
1566935326,2297,2297
1566937258,2300,2300
1566939175,2330,2330
1566941060,2365,2365
1566942974,2375,2375
1566944923,2406,2406
1566946900,2419,2419
1566948752,2416,2416
1566950702,2405,2405
1566952570,2396,2396
1566954558,2358,2358
1566956410,2355,2355
1566958356,2356,2356
1566960286,2352,2352
1566962436,2348,2348
1566964335,2331,2331
1566966287,2305,2305
1566968181,2306,2306
1566970360,2314,2314
1566972532,2344,2344
1566974420,2397,2397
1566976390,2409,2409
1566978287,2414,2414
1566980219,2475,2475
1566982239,2496,2496
1566984057,2514,2514
1566985954,2509,2509
1566987883,2476,2476
1566989829,2542,2542
1566991733,2589,2589
1566993968,2658,2658
1566995884,2735,2735
1566998006,2823,2823
1566999971,2910,2910
1567001825,2999,2999
1567003735,3096,3096
1567005630,3124,3124
1567007803,3150,3150
1567009954,3162,3162
1567012112,3176,3176
1567014052,3179,3179
1567016210,3164,3164
1567018393,3138,3138
1567020279,3122,3122
1567022699,3126,3126
1567024575,3124,3124
1567026789,3123,3123
1567028686,3108,3108
1567030830,3101,3101
1567032758,3088,3088
1567034717,3105,3105
1567036602,3111,3111
1567038775,3125,3125
1567040707,3129,3129
1567042612,3140,3140
1567044511,3149,3149
1567046463,3132,3132
1567048612,3131,3131
1567050778,3105,3105
1567052691,3105,3105
1567054602,3110,3110
1567056534,3104,3104
