DateTime,AddedIPs,RemovedIPs
1556743972,5,4
1556766159,3,2
1556788345,19,5
1556810201,8,3
1556832048,2,3
1556854095,7,2
1556875975,8,5
1556898037,11,1
1556920097,5,4
1556942201,2,3
1556975066,1,1
1556996917,1,4
1557019010,5,5
1557041063,1,2
1557062908,2,6
1557085021,10,5
1557107087,4,3
1557129154,4,7
1557151339,5,14
1557173328,7,5
1557195195,4,11
1557217247,5,7
1557239301,9,13
1557261382,1,2
1557283457,4,9
1557305305,5,5
1557327381,6,3
1557349281,3,1
1557371358,10,1
1557393372,5,29
1557415401,12,6
1557437290,2,3
1557459141,2,9
1557481247,1,15
1557503339,4,10
1557525397,4,7
1557547475,2,2
1557569334,6,4
1557591380,40,7
1557613463,2,3
1557635303,6,3
1557657375,2,1
1557679451,4,3
1557702961,6,8
1557724829,4,2
1557746920,6,4
1557768770,4,5
1557790816,3,2
1557812669,4,4
1557834782,9,10
1557856845,6,2
1557878923,2,3
1557900789,8,7
1557922842,3,6
1557944919,4,6
1557967008,9,11
1557989053,1,5
1558010916,3,12
1558033000,6,2
1558054941,2,1
1558077145,8,2
1558099048,11,0
1558121074,3,1
1558143021,2,6
1558164983,3,9
1558186843,4,7
1558208685,5,58
1558230756,42,6
1558252865,5,3
1558274917,4,5
1558296998,1,5
1558318853,5,6
1558340899,6,3
1558362758,7,2
1558384830,6,2
1558406674,5,4
1558428763,12,5
1558450951,14,6
1558472935,19,6
1558495002,2,2
1558517063,5,8
1558539272,5,2
1558561225,6,5
1558583091,3,5
1558605161,9,0
1558627363,10,3
1558649335,4,5
1558671415,1,1
1558693451,9,9
1558715319,3,2
1558738203,4,2
1558760180,4,1
1558793060,1,5
1558814944,2,1
1558837008,5,13
1558859083,4,4
1558881169,4,5
1558903227,10,0
1558925343,5,4
1558947404,6,6
1558970435,6,7
1558992539,2,3
1559014579,6,7
1559036434,8,50
1559058287,11,24
1559080593,5,7
1559102462,6,3
1559124510,6,6
1559146603,4,5
1559168669,9,3
1559190776,4,5
1559212852,4,7
1559234901,4,7
1559256763,3,3
1559278972,3,2
1559300928,6,6
1559322973,87,4
1559344831,99,3
1559366899,4,3
1559388770,4,0
1559410831,8,3
1559432672,3,6
1559454737,5,4
1559476588,5,6
1559498688,4,6
1559520536,7,9
1559542576,5,4
1559564448,6,9
1559586513,10,2
1559608361,9,2
1559630441,9,9
1559652499,11,9
1559674361,5,7
1559696534,5,6
1559718525,3,9
1559740577,7,3
1559762418,34,5
1559784320,14,10
1559806338,3,2
1559828206,7,5
1559850254,4,5
1559872106,4,2
1559893947,5,6
1559916215,3,12
1559938101,3,142
1559959950,8,26
1559982009,17,3
1560003863,7,2
1560025945,2,5
1560047803,1,4
1560069863,8,4
1560091722,3,4
1560113772,4,4
1560135723,5,9
1560157714,5,5
1560179783,5,7
1560201852,5,12
1560223696,7,6
1560245550,6,12
1560267625,4,6
1560289732,4,3
1560311789,4,2
1560333692,4,2
1560355725,2,16
1560378850,5,2
1560400843,9,14
1560422906,6,5
1560445014,6,4
1560467146,3,4
1560489139,2,2
1560510986,3,11
1560533095,3,1
1560555145,7,3
1560577001,7,8
1560599057,3,10
1560620906,4,4
1560642981,6,2
1560675881,9,7
1560697963,2,2
1560720024,2,4
1560742125,0,7
1560764192,28,3
1560786273,20,2
1560808367,17,5
1560830445,9,4
1560852291,2,5
1560874348,4,4
1560896470,4,6
1560918512,8,4
1560940391,3,2
1560962436,4,6
1560984522,6,3
1561006619,3,11
1561028683,8,40
1561050746,2,7
1561072589,8,2
1561094463,5,3
1561116518,5,3
1561138606,8,5
1561160702,8,11
1561182752,11,8
1561204861,11,6
1561226915,8,3
1561248987,10,5
1561270834,6,7
1561292911,6,3
1561314998,6,3
1561337061,5,4
1561359183,8,3
1561381460,24,35
1561403338,7,19
1561425403,7,17
1561447459,6,7
1561469567,4,2
1561491658,5,5
1561513727,5,5
1561535788,7,7
1561557653,7,7
1561579744,9,8
1561601782,6,1
1561623870,6,4
1561645943,10,6
1561668011,10,2
1561689885,5,8
1561711970,5,6
1561734080,6,5
1561756135,9,6
1561778449,14,10
1561800520,9,3
1561822365,4,5
1561844435,9,12
1561866534,11,3
1561888381,3,5
1561921490,8,8
1561943549,7,6
1561965394,10,10
1561987269,8,16
1562009291,5,6
1562031141,6,5
1562053219,4,4
1562075129,6,8
1562097137,5,1
1562130551,4,10
1562152883,8,8
1562174924,3,6
1562197005,9,7
1562219080,4,6
1562240922,3,7
1562262978,10,11
1562284890,3,7
1562306903,4,5
1562328988,7,8
1562350832,7,6
1562372914,42,9
1562394778,4,6
1562417081,6,7
1562439171,1,2
1562461298,7,15
1562483310,1,3
1562505379,2,4
1562527221,4,5
1562549079,4,7
1562571172,4,12
1562593238,6,9
1562615080,7,3
1562637154,4,6
1562659297,2,10
1562681570,3,11
1562703634,15,3
1562725693,4,4
1562747564,3,6
1562769634,6,5
1562791716,4,4
1562813567,4,5
1562835665,12,5
1562857693,4,5
1562879540,4,10
1562901383,4,5
1562923228,8,7
1562945068,5,5
1562966918,7,14
1562988765,6,9
1563010820,6,6
1563032923,10,4
1563054984,4,8
1563076964,44,2
1563098905,8,2
1563120763,9,12
1563142839,5,7
1563164907,5,4
1563186998,17,6
1563208871,8,8
1563230784,4,4
1563252750,16,5
1563285894,14,4
1563307955,6,15
1563330012,6,2
1563351888,4,5
1563373972,14,3
1563396031,6,4
1563417896,8,4
1563439954,4,9
1563462191,6,3
1563484124,2,2
1563506208,5,0
1563528272,12,6
1563550393,13,4
1563572438,52,11
1563594280,62,44
1563616337,48,7
1563638201,57,9
1563660214,11,3
1563682154,6,45
1563704184,4,6
1563726036,2,6
1563748116,5,2
1563769962,6,3
1563792026,7,16
1563813915,5,8
1563835950,4,3
1563857804,7,17
1563879884,5,4
1563901936,2,9
1563923835,9,5
1563945676,14,3
1563967714,37,11
1563989578,4,7
1564011624,4,10
1564033720,15,5
1564055798,7,5
1564077886,3,7
1564099938,3,5
1564121782,2,4
1564143898,4,18
1564165954,4,25
1564188012,1,36
1564209864,1,59
1564231953,2,70
1564254204,3,64
1564276141,1,12
1564298181,3,5
1564320052,6,5
1564342095,6,6
1564363981,6,3
1564386015,8,9
1564407893,4,5
1564429951,8,7
1564451807,6,6
1564473900,3,5
1564495944,3,4
1564518473,5,2
1564540380,3,5
1564562418,4,15
1564584285,2,35
1564606335,3,2
1564628181,8,4
1564650285,1,6
1564672141,1,8
1564694205,12,1
1564716065,1,4
1564738100,5,8
1564760215,4,2
1564782274,1,2
1564804356,5,0
1564826262,6,2
1564848306,5,3
1564870386,4,5
1564892437,2,2
1564914495,1,2
1564936357,4,7
1564958430,1,6
1564980275,7,9
1565002381,14,3
1565024592,7,6
1565046779,1,5
1565068839,1,6
1565090900,4,1
1565112766,2,7
1565134836,1,2
1565156687,7,2
1565178731,3,6
1565200604,3,2
1565222597,3,4
1565244525,10,6
1565266576,6,2
1565288423,10,3
1565310557,4,3
1565332574,5,2
1565354422,3,3
1565376276,1,2
1565398346,1,3
1565420203,2,3
1565442151,32,3
1565464104,1,5
1565486185,0,2
1565508263,1,4
1565530364,6,2
1565552433,2,2
1565574284,5,5
1565596352,3,5
1565629720,2,10
1565651792,2,3
1565673646,2,1
1565695706,4,2
1565717573,4,2
1565739618,6,1
1565761703,7,5
1565783794,8,2
1565805760,2,2
1565827705,4,3
1565849794,2,7
1565871876,1,7
1565893934,9,8
1565915788,3,1
1565937899,10,6
1565959956,7,3
1565981811,10,3
1566003759,1,0
1566025717,11,5
1566047606,7,42
1566069642,1,3
1566091694,3,1
1566113560,1,1
1566135611,1,4
1566157480,2,1
1566179322,7,3
1566201372,2,4
1566223361,7,1
1566245326,2,2
1566267644,4,3
1566289965,4,3
1566312020,0,4
1566333878,5,4
1566355729,2,6
1566377797,0,8
1566410729,4,5
1566433016,6,4
1566455098,4,2
1566477184,3,1
1566499242,8,7
1566521363,0,2
1566543388,0,5
1566565390,3,6
1566587574,5,12
1566609615,2,11
1566631468,2,2
1566653557,2,6
1566675637,2,5
1566697481,4,4
1566719540,2,3
1566741402,5,4
1566763278,1,2
1566785329,4,15
1566807636,1,2
1566829749,9,8
1566851808,2,3
1566873889,0,4
1566895956,5,7
1566918113,7,3
1566940125,3,5
1566961996,3,2
1566984057,10,2
1567006344,3,3
1567028210,5,7
1567050273,3,5
1567072178,4,4
1567094171,4,5
1567127328,14,7
1567149179,5,2
1567171277,7,2
1567193551,2,3
1567215639,8,2
1567237752,8,4
1567259630,5,1
1567281895,3,3
1567303954,3,7
1567325828,4,4
1567347865,6,5
1567369958,3,2
1567392019,12,3
1567413874,3,4
1567435973,4,6
1567458057,3,3
1567479907,7,0
1567501935,4,3
1567523781,5,6
1567545659,4,2
1567567690,5,2
1567589541,4,6
1567611662,4,4
1567633715,7,5
1567655574,4,2
1567677793,5,2
1567699740,4,4
1567722033,5,12
1567744122,3,3
1567766234,3,5
1567788305,4,3
1567810345,2,6
1567843524,3,7
