DateTime,AddedIPs,RemovedIPs
1561761472,1,0
1561828099,1,0
1561833894,0,4
1561847310,0,1
1561851194,1,0
1561885943,1,0
1561914511,0,1
1561937792,0,1
1561947865,1,0
1561959381,2,0
1561961548,1,0
1561973083,0,1
1562008134,2,0
1562010015,1,0
1562019623,1,0
1562026382,1,0
1562030479,1,0
1562032387,1,0
1562034300,0,1
1562046045,0,2
1562047955,0,1
1562051785,1,0
1562065498,1,0
1562069320,1,0
1562091411,1,0
1562095247,0,3
1562104973,0,1
1562112751,0,1
1562116572,0,1
1562120421,0,1
1562137948,0,1
1562151374,0,1
1562155368,0,1
1562161005,1,0
1562166763,1,0
1562178283,0,1
1562191735,1,0
1562216906,1,0
1562224916,1,0
1562245970,1,0
1562247890,0,1
1562253886,0,1
1562278604,0,1
1562303547,0,1
1562311252,0,1
1562331184,1,1
1562383455,1,0
1562387295,1,0
1562418531,0,1
1562424266,1,0
1562430284,1,0
1562468908,0,1
1562472763,0,1
1562490178,1,0
1562499876,1,0
1562507840,1,0
1562511670,0,1
1562517370,0,1
1562530878,1,0
1562561559,1,0
1562576949,0,1
1562582690,1,0
1562586502,0,1
1562596099,0,1
1562617247,0,1
1562646292,0,1
1562667443,0,1
1562672919,1,0
1562676730,1,0
1562680589,1,0
1562755219,1,0
1562760996,0,1
1562763181,0,1
1562766996,0,1
1562805880,1,0
1562811642,1,0
1562821381,1,0
1562840957,0,1
1562844810,1,0
1562930464,1,0
1562940177,1,0
1562944367,1,0
1562948200,1,4
1562989939,1,0
1563007481,1,0
1563017085,1,1
1563022930,1,0
1563100112,1,0
1563108035,0,6
1563109941,0,1
1563113801,1,0
1563117648,1,0
1563146483,1,0
1563179844,1,0
1563187471,0,1
1563201170,0,1
1563203085,0,1
1563228194,1,0
1563232598,1,1
1563248189,1,0
1563265477,0,1
1563280839,1,0
1563315668,0,1
1563319718,0,1
1563333379,0,1
1563354771,1,0
1563366281,0,1
1563437875,0,1
1563460833,1,0
1563476547,1,0
1563496575,1,0
1563525612,1,0
1563527542,1,0
1563548922,0,1
1563558506,1,0
1563562369,0,1
1563568112,1,0
1563573312,1,0
1563583217,0,1
1563593068,1,0
1563600972,1,0
1563606763,1,0
1563610601,0,1
1563614434,0,1
1563628136,1,0
1563635806,1,0
1563637697,1,0
1563639627,1,0
1563645384,0,1
1563655325,0,1
1563662494,1,1
1563679701,0,1
1563687628,0,1
1563689563,1,0
1563693391,0,1
1563697466,1,0
1563708989,1,0
1563714747,0,1
1563720510,2,0
1563722465,0,1
1563724349,0,1
1563726281,1,1
1563747668,0,1
1563768738,1,0
1563774749,1,0
1563776662,0,1
1563784572,0,1
