DateTime,AddedIPs,RemovedIPs
1566856354,34,54
1566858300,67,68
1566860198,45,56
1566862104,82,71
1566864181,85,69
1566866185,39,70
1566868381,65,80
1566870276,49,58
1566872444,41,79
1566874365,59,60
1566876534,53,42
1566878599,59,105
1566880583,70,51
1566882769,70,70
1566884695,91,59
1566886613,57,53
1566888771,67,55
1566890690,39,82
1566893013,54,20
1566894992,94,62
1566897159,73,43
1566899086,49,19
1566901287,40,67
1566903159,59,17
1566905093,81,26
1566907457,107,43
1566909648,119,45
1566911805,87,58
1566913727,96,36
1566915658,93,73
1566917604,95,52
1566919496,63,80
1566921389,95,77
1566923328,90,77
1566925459,92,133
1566927410,65,80
1566929566,123,102
1566931478,129,77
1566933390,95,86
1566935328,110,89
1566937260,84,46
1566939177,168,74
1566941063,106,51
1566942977,89,34
1566944927,79,74
1566946971,112,45
1566949239,99,108
1566951147,93,71
1566953062,107,46
1566954987,89,52
1566957145,101,57
1566959074,68,55
1566961001,67,47
1566963146,71,51
1566965110,81,59
1566967020,79,71
1566969167,95,70
1566971054,75,84
1566972981,94,34
1566974905,109,17
1566976842,98,86
1566978845,37,52
1566980680,79,55
1566982580,75,64
1566984764,63,77
1566986696,46,32
1566988884,58,44
1566990741,44,59
1566992668,70,114
1566994849,59,80
1566996783,81,85
1566998753,59,88
1567001093,100,107
1567003259,114,90
1567005180,101,79
1567007063,77,99
1567009019,89,95
1567010961,98,97
1567012829,84,82
1567014774,103,97
1567016686,76,134
1567018604,75,79
1567020778,63,169
1567022702,88,67
1567024578,61,134
1567026791,79,153
1567028688,71,80
1567030832,98,101
1567032760,70,114
1567034753,84,75
1567036604,72,100
1567038777,81,118
1567040709,52,90
1567042614,77,86
1567044513,64,84
1567046473,72,73
1567048615,74,61
1567050788,64,52
1567052693,82,107
1567054604,69,38
1567056537,86,130
1567058686,79,92
1567060826,95,97
1567063001,47,102
1567064937,62,34
1567066829,40,51
1567068813,32,113
1567070673,72,68
1567073098,137,47
1567075095,102,61
1567076924,122,44
1567078848,127,61
1567080745,89,60
1567082667,84,67
1567085178,97,86
1567087007,93,82
1567089183,132,92
1567091105,107,107
1567092987,104,74
1567094956,104,107
1567096847,89,98
1567098747,117,89
1567100667,101,117
1567102858,80,96
1567104769,113,77
1567106692,75,68
1567108580,81,71
1567110534,96,62
1567112705,127,81
1567114595,77,69
1567116530,83,92
1567118448,94,75
1567120624,92,88
1567122511,88,84
1567124440,75,59
1567126357,75,72
1567128297,62,53
1567130216,82,85
1567132108,80,61
1567134178,84,77
1567136215,91,55
1567138150,60,89
1567140024,79,55
1567142200,95,83
1567144097,65,51
1567146051,96,46
1567148020,78,78
1567150131,84,79
1567152202,107,67
1567154208,119,37
1567156137,96,33
1567158328,114,109
1567161441,164,179
1567163394,97,136
1567165328,100,131
1567167474,102,105
1567169396,75,77
1567171279,109,73
1567173169,77,109
1567175089,89,113
1567177018,97,120
1567178925,75,110
1567181108,112,109
1567182985,92,85
1567184949,82,112
1567187117,91,140
1567189007,74,84
1567191149,99,127
1567193089,153,76
1567194989,79,81
1567196900,84,92
1567199092,90,129
1567200975,84,81
1567203156,113,95
1567205056,65,89
1567207003,70,93
1567209159,69,100
1567211057,59,58
1567213001,85,77
1567214894,69,63
1567217136,49,86
1567219006,45,76
1567221160,62,18
1567223108,53,154
1567225232,59,79
1567227144,67,71
1567229082,55,82
1567230984,44,36
1567232915,106,54
1567235816,109,146
1567237754,81,81
1567239930,62,120
1567241787,50,92
1567243973,86,120
1567245907,50,57
1567248047,62,149
1567250252,54,127
1567252159,53,69
1567254055,50,101
1567256004,45,72
1567257874,56,111
1567260128,67,111
