DateTime,AddedIPs,RemovedIPs
1566858327,4,27
1566860199,4,8
1566862105,8,7
1566864182,7,13
1566866186,14,14
1566868383,25,46
1566870277,19,33
1566872446,27,20
1566874393,26,19
1566876535,22,31
1566878601,30,10
1566880584,45,44
1566882772,25,11
1566884697,11,9
1566886615,19,14
1566888773,42,31
1566890691,29,28
1566893024,21,26
1566894994,34,37
1566897160,27,33
1566899087,13,32
1566901288,28,41
1566903160,10,27
1566905094,13,13
1566907475,44,22
1566909649,34,38
1566911806,19,75
1566913728,20,46
1566915659,29,10
1566917606,42,19
1566919497,7,17
1566921390,5,33
1566923330,8,13
1566925464,20,12
1566927411,18,9
1566929567,15,10
1566931479,15,24
1566933391,21,39
1566935329,22,28
1566937262,27,16
1566939179,32,22
1566941064,26,26
1566942978,35,14
1566944928,18,5
1566946984,22,5
1566949241,29,6
1566951149,31,10
1566953063,21,17
1566954989,25,17
1566957146,40,24
1566959076,19,28
1566961003,20,24
1566963147,9,19
1566965132,3,29
1566967021,10,42
1566969169,24,20
1566971056,20,12
1566972982,23,20
1566974906,49,44
1566976843,29,37
1566978847,20,20
1566980681,61,19
1566982582,19,33
1566984765,9,16
1566986725,6,26
1566988885,40,29
1566990742,90,9
1566992671,93,25
1566994851,114,36
1566996818,117,30
1566998760,100,18
1567001108,137,32
1567003260,117,44
1567005182,68,8
1567007064,19,9
1567009020,21,9
1567010988,15,13
1567012830,16,13
1567014776,24,19
1567016688,19,11
1567018606,33,22
1567020779,34,18
1567022703,23,24
1567024579,13,24
1567026792,27,35
1567028689,13,30
1567030834,17,33
1567032761,10,18
1567034754,18,22
1567036605,19,24
1567038779,25,37
1567040710,31,24
1567042615,10,17
1567044533,34,36
1567046474,14,18
1567048616,16,17
1567050789,11,7
1567052695,5,4
1567054605,12,18
1567056538,9,26
1567058688,13,26
1567060827,27,56
1567063002,24,31
1567064939,23,16
1567066830,23,66
1567068814,59,16
1567070674,95,8
1567073105,137,7
1567075101,109,29
1567076926,101,86
1567078849,136,96
1567080746,123,103
1567082668,114,102
1567085188,141,143
1567087011,103,111
1567089215,105,110
1567091107,76,89
1567092988,7,20
1567094958,15,22
1567096849,18,12
1567098749,20,23
1567100668,24,24
1567102859,16,23
1567104771,28,28
1567106693,20,34
1567108581,16,22
1567110536,19,11
1567112718,15,24
1567114596,9,16
1567116532,7,12
1567118449,22,12
1567120626,18,20
1567122512,11,19
1567124441,60,26
1567126358,16,31
1567128298,25,17
1567130217,29,26
1567132109,29,16
1567134187,29,15
1567136217,21,8
1567138152,20,8
1567140036,40,8
1567142201,28,8
1567144099,13,9
1567146053,78,19
1567148021,83,18
1567150132,107,25
1567152262,109,29
1567154240,90,21
1567156143,81,101
1567158351,118,125
1567160471,96,118
1567162414,95,108
1567164529,95,131
1567166753,96,149
1567168888,117,128
1567170794,88,113
1567172693,59,105
1567174588,18,100
1567176541,7,103
1567178454,8,27
1567180357,11,10
1567182298,12,13
1567184250,9,21
1567186131,27,23
1567188287,25,19
1567190440,14,24
1567192606,30,30
1567194526,24,18
1567196444,22,13
1567198355,32,13
1567200260,16,10
1567202193,30,6
1567204113,20,11
1567206292,25,22
1567208426,32,14
1567210594,33,51
1567212501,10,31
1567214443,16,29
1567216357,6,24
1567218273,14,31
1567220185,18,24
1567222366,24,21
1567224377,17,19
1567226214,17,35
1567228135,32,26
1567230053,19,14
1567231972,15,67
1567233873,8,72
1567235817,14,97
1567237755,9,111
1567239932,9,95
1567241789,15,91
1567243974,13,103
1567245909,24,103
1567248048,17,92
1567250253,32,103
1567252160,15,86
1567254056,36,89
1567256005,26,99
1567257876,16,89
1567260130,19,32
1567261980,23,13
1567263963,34,8
1567266142,25,10
1567267989,11,11
1567269902,15,10
1567272051,27,17
1567273969,16,25
1567275901,12,16
1567277792,11,19
1567279752,10,22
1567281900,16,30
1567284027,34,24
1567285979,20,20
1567287915,14,19
1567289781,39,25
1567291712,23,22
1567293884,24,31
1567295796,18,19
1567297738,17,22
1567299918,27,15
1567301778,17,7
1567303956,24,19
1567305866,19,11
1567308041,30,30
1567309974,34,18
1567311867,23,14
1567315308,70,53
1567317191,28,21
1567319072,22,10
1567321494,37,15
1567323628,35,14
1567325832,15,8
1567327712,11,14
1567329906,18,15
1567331792,50,13
1567333735,12,18
1567335903,16,21
1567337797,21,27
1567339755,6,27
1567341636,9,24
1567343811,6,19
1567345718,33,18
1567347655,18,18
1567349563,9,31
1567351487,17,24
1567353386,33,20
1567355323,20,15
1567357502,31,30
1567359410,33,25
1567361333,34,6
1567363236,16,14
1567365173,12,13
1567367063,29,8
1567369001,45,21
1567370932,38,31
1567372840,17,18
1567374750,14,18
1567376680,23,40
1567378609,29,17
1567380523,16,26
1567382603,15,11
1567384578,19,17
1567386768,25,19
1567388677,34,19
1567390590,39,20
1567392531,7,16
1567394441,15,31
1567396359,39,27
1567398295,18,24
1567400212,9,36
1567402110,15,38
1567404297,21,27
1567406190,8,22
1567408120,8,30
1567410021,23,34
1567411948,41,16
1567413887,103,12
1567415820,86,16
1567417722,84,50
1567419638,91,16
1567421590,93,14
1567423489,91,17
1567425836,180,11
1567427799,114,11
1567429718,111,5
1567431637,104,16
1567433609,89,34
1567435497,106,14
1567437380,37,8
1567439307,14,38
1567441558,39,22
1567443410,12,28
1567445326,22,24
1567447564,50,45
1567449381,23,15
1567451325,38,12
1567453216,38,32
1567455135,37,40
1567457057,20,42
1567458976,13,20
1567460925,34,15
1567462822,64,18
1567464772,28,39
1567466664,15,13
1567468603,18,15
1567470512,46,17
1567472605,14,22
1567474580,11,34
1567476516,12,47
1567478438,13,15
1567480335,16,9
1567482258,56,32
1567484202,23,20
1567486096,10,15
1567488056,53,12
1567489993,29,21
1567491867,15,10
1567493808,12,6
1567495706,8,22
1567497868,13,20
1567499775,7,104
1567501721,27,94
1567503636,19,84
1567505558,24,88
1567507463,118,89
1567509828,76,114
1567511855,100,155
1567513726,40,105
1567515718,31,121
1567517571,11,98
1567520496,15,142
1567522348,26,99
1567524270,49,16
1567526200,38,27
1567528098,9,34
1567530288,15,16
1567532199,22,27
1567534107,24,41
1567536021,12,20
1567537838,25,34
1567539881,9,46
1567541780,10,34
1567543806,20,17
1567545662,40,14
1567547539,42,37
1567549462,17,63
1567551405,19,20
1567553298,29,12
1567555411,16,23
1567557415,13,35
1567559337,11,12
1567561237,15,11
1567563393,11,16
1567565561,25,15
1567567481,27,31
1567569414,10,40
1567571330,20,15
1567573465,36,19
1567575653,29,71
1567577547,26,18
1567579723,17,12
1567581896,18,16
1567584291,29,13
1567586229,31,8
1567588139,48,26
1567590066,47,21
1567592217,18,35
1567594111,17,115
1567596058,24,63
1567597956,17,85
1567599898,20,51
1567601814,6,30
1567604017,12,11
1567605912,12,8
1567607817,18,16
1567609763,36,36
1567611666,29,46
1567613673,11,24
1567615598,19,8
1567617656,34,9
1567619548,18,36
1567621473,8,16
1567623405,5,16
1567625591,7,16
1567627499,16,9
1567629434,22,15
1567631358,29,34
1567633239,31,45
1567635166,23,29
1567637096,36,11
1567639055,25,33
1567640911,36,20
1567642865,36,10
1567644780,22,11
1567646682,14,18
1567648611,28,18
1567650583,40,12
1567652730,49,21
1567654604,22,30
1567656526,19,19
1567658448,16,26
1567660383,21,32
1567662355,20,29
1567664230,17,26
1567666130,10,17
1567668085,11,12
1567670000,10,21
1567671877,45,34
1567673827,18,42
1567675707,15,44
1567677876,16,23
1567679794,18,18
1567681701,8,22
1567683660,20,15
1567685845,17,26
1567687733,21,7
1567689664,33,6
1567691548,9,12
1567693466,18,16
1567695407,36,30
1567697336,18,37
1567699483,38,14
1567701373,20,14
1567703343,34,23
1567705219,8,30
1567707162,8,9
1567709066,10,7
1567711003,43,6
1567713167,53,13
1567715063,8,20
1567717007,8,23
1567718921,22,28
1567722036,39,40
1567723969,6,32
1567725890,17,32
1567727780,16,37
1567729720,23,37
1567731794,51,23
1567733780,32,20
1567735716,17,29
1567737629,33,41
1567739543,23,44
1567741480,13,24
1567743662,22,19
1567745809,12,26
1567747728,9,28
1567749944,19,15
1567751814,41,12
1567753982,18,17
1567755864,18,10
1567757831,42,36
1567759716,13,33
1567761654,33,10
1567763616,40,16
1567765499,29,17
1567767388,13,6
1567769321,6,14
1567771541,18,15
1567773430,46,13
1567775574,42,40
1567777476,12,8
1567779668,27,19
1567781549,20,33
1567783466,16,14
1567785408,6,35
1567787305,12,15
1567789496,21,43
1567791407,30,10
1567793313,31,7
1567795245,31,9
1567797224,19,39
1567799203,25,44
1567801029,27,17
1567802929,14,15
1567804818,12,15
1567806777,14,37
1567808669,8,14
1567810655,15,15
1567812518,29,10
1567814600,27,20
1567816830,24,28
1567818739,27,50
1567820687,28,20
1567822587,38,12
1567824524,36,43
1567826458,33,21
1567828353,20,8
1567830284,15,21
1567832581,24,15
1567834582,57,11
1567836540,23,16
1567838423,13,36
1567840613,25,21
1567842500,23,20
1567844459,13,37
1567846363,7,20
1567848267,10,43
1567851467,23,56
