DateTime,AddedIPs,RemovedIPs
1565848991,0,1
1565891792,0,1
1565898256,1,0
1565941001,1,0
1565968340,1,0
1565972220,1,0
1565974151,1,0
1565979868,1,0
1565981814,1,0
1565985774,0,1
1566012784,1,0
1566026444,0,1
1566053649,0,1
1566057393,0,1
1566061477,0,1
1566067227,0,2
1566074905,1,0
1566086571,1,0
1566100609,2,1
1566102501,1,0
1566145248,3,0
1566147153,1,0
1566151027,2,0
1566152912,1,0
1566160830,0,1
1566174281,0,1
1566180200,1,0
1566182197,3,0
1566186026,0,1
1566187948,0,2
1566193715,1,0
1566231385,1,2
1566233327,0,2
1566237159,0,2
1566239073,0,1
1566268351,0,4
1566279871,0,1
1566301226,2,0
1566317384,0,1
1566383786,1,0
1566387634,0,2
1566391478,1,0
1566419056,1,0
1566437056,1,0
1566443803,1,0
1566445695,1,0
1566469027,1,0
1566470948,0,1
1566476713,0,1
1566480705,1,0
1566486339,1,0
1566495887,1,0
1566499722,1,0
1566501633,1,0
1566505486,0,1
1566523237,0,1
1566531400,0,2
1566543171,2,0
1566545068,2,0
1566547470,1,0
1566549408,1,0
1566555673,0,1
1566567455,0,1
1566573660,1,1
1566577495,1,0
1566579404,1,0
1566581336,0,1
1566585408,0,1
1566587578,0,1
1566595253,1,0
1566602924,1,0
1566628573,0,1
1566630799,0,3
1566634821,0,2
1566654540,1,0
1566656440,2,0
1566660589,1,1
1566664547,1,2
1566680188,1,0
1566682135,0,1
1566690980,0,1
1566740205,0,1
1566742407,0,2
1566746431,0,1
1566750263,0,1
1566752071,1,0
1566753900,2,0
1566757998,2,0
1566759890,2,0
1566761799,2,0
1566763773,1,0
1566767573,0,1
1566838585,0,1
1566840825,1,2
1566842933,1,1
1566844824,0,1
1566846803,2,2
1566848684,0,3
1566850588,2,0
1566852535,1,0
1566856357,1,0
1566868383,1,0
1566905095,4,0
1566907475,3,0
1566911807,2,0
1566913729,2,0
1566915660,3,0
1566927411,0,1
1566929568,0,1
1566933391,0,2
1566937262,1,2
1566939179,1,1
1566942978,0,1
1566944928,1,0
1566946985,2,0
1566954989,0,1
1566986728,1,0
1566990743,0,1
1566992672,0,4
1566994852,0,2
1566996818,1,0
1566998763,0,3
1567001108,0,3
1567003261,0,1
1567024579,0,1
1567026793,0,1
1567030835,0,1
1567032762,0,2
1567066831,1,0
1567073107,0,1
1567075113,1,0
1567082669,0,1
1567089215,1,0
1567096849,1,0
1567098750,2,0
1567100669,3,0
1567102859,6,0
1567104771,3,0
1567106694,4,0
1567108581,6,0
1567110536,4,0
1567112721,1,0
1567114597,5,0
1567116533,5,0
1567118450,2,0
1567120626,5,0
1567122512,4,0
1567124442,3,0
1567126359,4,0
1567128298,6,0
1567130218,2,0
1567132110,3,0
1567134189,2,0
1567136217,2,0
1567138152,2,0
1567142201,3,0
1567148021,3,0
1567150133,1,0
1567152293,1,1
1567154241,2,0
1567156143,2,0
1567158361,3,0
1567160488,2,1
1567162414,2,0
1567164530,5,0
1567166754,2,0
1567168889,4,0
1567170795,2,0
1567172694,5,0
1567174588,3,1
1567176541,3,0
1567178454,4,0
1567180357,2,0
1567182299,1,0
1567184251,3,1
1567186132,1,4
1567188287,1,7
1567190441,2,1
1567192606,3,3
1567194527,4,6
1567196444,1,5
1567198356,3,3
1567200260,3,2
1567202193,3,7
1567204114,0,2
1567206292,0,5
1567208427,1,4
1567210595,3,3
1567212502,0,5
1567214443,1,5
1567216358,2,3
1567218273,4,2
1567220186,3,3
1567222366,1,1
1567224378,0,3
1567226215,3,0
1567228136,1,2
1567230053,0,1
1567233873,1,1
1567235818,4,2
1567237756,0,2
1567241789,1,3
1567243974,4,3
1567245909,2,1
1567248049,2,3
1567250254,2,5
1567252160,5,2
1567254056,1,3
1567256005,4,4
1567257876,0,1
1567260130,1,6
1567261980,3,3
1567263964,1,3
1567266143,7,4
1567267989,3,1
1567269903,0,1
1567272051,1,2
1567273969,2,1
1567275902,1,2
1567277792,3,3
1567279752,1,3
1567281901,2,3
1567284027,5,2
1567285979,2,3
1567287915,3,3
1567289782,2,1
1567291712,4,0
1567293885,1,1
1567295796,2,1
1567297738,0,2
1567299918,1,1
1567301778,0,1
1567303957,4,2
1567305866,2,5
1567308041,4,1
1567309974,1,1
1567311867,2,3
