DateTime,AddedIPs,RemovedIPs
1566098692,0,1
1566106387,0,1
1566108283,1,0
1566112123,0,2
1566114026,0,1
1566116217,0,7
1566118127,1,0
1566120036,0,1
1566121964,0,1
1566125803,0,2
1566127719,1,0
1566129775,0,1
1566131579,1,1
1566135384,1,1
1566137343,0,1
1566139238,0,3
1566143096,1,3
1566145249,1,1
1566147154,0,2
1566149101,0,1
1566152914,0,1
1566155046,0,1
1566156990,1,2
1566158933,0,4
1566162752,1,0
1566164689,1,0
1566166621,2,0
1566168518,2,1
1566170446,0,1
1566174283,0,1
1566176219,0,1
1566178116,1,0
1566180202,0,2
1566184102,1,0
1566186028,1,0
1566187950,2,0
1566189880,1,0
1566193717,1,1
1566201379,2,0
1566203315,0,1
1566213698,0,1
1566217504,0,1
1566219420,2,0
1566221307,1,1
1566223399,1,0
1566225629,3,0
1566229487,0,1
1566231388,0,1
1566233330,2,0
1566237161,6,0
1566239075,2,0
1566240998,5,0
1566242921,0,1
1566245031,2,0
1566248909,2,1
1566250816,2,0
1566252747,0,2
1566254676,1,2
1566256583,1,0
1566264283,1,1
1566270300,1,1
1566272183,1,1
1566274117,0,1
1566276022,1,2
1566279873,0,1
1566281797,1,0
1566283733,1,0
1566285668,1,0
1566287554,3,2
1566289479,1,0
1566291397,1,0
1566293309,1,0
1566297371,2,0
1566301227,1,0
1566305239,1,2
1566307481,0,1
1566309525,1,1
1566311534,0,2
1566313525,1,0
1566317385,1,0
1566319239,0,2
1566323099,1,5
1566324981,1,2
1566326909,1,3
1566329109,2,0
1566330997,1,2
1566332905,1,0
1566334990,2,2
1566336985,1,1
1566338955,1,0
1566340834,2,0
1566342740,2,0
1566348735,1,0
1566358617,3,0
1566360522,1,0
1566366277,1,0
1566368193,1,0
1566370127,0,1
1566373992,0,13
1566375918,0,1
1566377802,2,1
1566379711,0,1
1566381849,1,0
1566383788,1,2
1566387635,0,2
1566389570,1,0
1566391479,0,1
1566393392,3,0
1566395312,0,1
1566397239,0,1
1566401087,1,1
1566402986,1,1
1566404910,2,0
1566407002,1,0
1566409002,0,1
1566410914,0,1
1566414985,0,2
1566417149,0,2
1566419058,0,1
1566420983,0,1
1566422914,2,1
1566424998,0,1
1566426973,0,2
1566429188,0,1
1566433018,1,0
1566440919,0,1
1566445697,1,3
1566447662,2,1
1566451483,1,0
1566453798,0,1
1566455606,0,1
1566457529,2,1
1566459398,2,0
1566461394,0,3
1566463273,0,1
1566465158,0,1
1566467200,0,1
1566469029,1,1
1566470950,1,0
1566472880,1,0
1566474755,1,0
1566476715,3,1
1566478592,1,1
1566480706,0,2
1566484381,1,0
1566486341,1,1
1566488206,1,0
1566490164,1,1
1566492043,0,2
1566493969,1,1
1566499724,1,0
1566505488,1,0
1566507413,1,0
1566509582,1,2
1566511741,1,0
1566519462,1,0
1566523240,1,0
1566525151,1,0
1566527078,1,0
1566533579,0,1
1566535495,1,0
1566537427,0,1
1566545070,0,1
1566547472,0,6
1566551572,1,0
1566555684,0,2
1566557557,1,0
1566559489,0,2
1566563398,0,3
1566565435,0,1
1566571487,0,2
1566573662,2,0
1566575556,0,2
1566577497,1,0
1566579406,0,1
1566581339,1,0
1566585410,1,0
1566587580,0,1
1566591424,0,1
1566593308,1,0
1566595255,0,2
1566599090,2,0
1566606974,0,1
1566609169,1,0
1566611078,1,0
1566620653,2,1
1566622661,1,0
1566626579,1,0
1566628574,1,0
1566630801,1,0
1566632680,0,4
1566636772,0,1
1566642993,0,1
1566648772,1,0
1566650673,2,0
1566660590,0,1
1566664548,2,1
1566666810,1,1
1566672506,0,1
1566674428,1,1
1566676410,3,0
1566678296,1,0
1566680189,0,1
1566685039,0,1
1566690981,1,0
1566692956,3,0
1566695048,2,1
1566696977,1,0
1566706613,1,1
1566708523,1,1
1566712373,1,0
1566714278,1,0
1566716212,0,1
1566718118,1,1
1566720192,0,4
1566723929,1,0
1566731795,1,0
1566735869,0,3
1566738198,1,0
1566750264,0,1
1566752073,0,2
1566758000,2,0
1566761801,2,4
1566763774,2,1
1566765676,1,0
1566779073,0,3
1566781005,0,2
1566782910,1,0
1566785091,0,1
1566787021,1,0
1566793029,0,1
1566794939,2,0
1566798756,0,1
1566802610,1,0
1566804783,0,1
1566806709,0,3
1566808607,2,0
1566810541,0,1
1566812474,1,0
1566816559,1,0
1566818464,1,1
1566820381,1,0
1566824683,0,1
1566834771,1,0
1566838587,1,0
1566842935,0,1
1566844826,2,1
1566846805,0,1
1566848686,1,2
1566850590,2,0
1566868385,1,0
1566874395,2,0
1566878603,1,0
1566880587,0,1
1566888775,0,1
1566890693,1,0
1566893075,0,5
1566894996,0,2
1566899090,1,1
1566901290,0,1
1566905097,0,1
1566907478,1,1
1566921401,0,1
1566925478,0,1
1566929571,1,1
1566931482,0,1
1566933394,1,0
1566935332,0,1
1566941067,1,0
1566949244,1,0
1566951170,3,0
1566953066,1,1
1566961035,0,2
1566965138,1,0
1566967024,1,0
1566969218,1,0
1566976846,2,0
1566978850,1,2
1566982584,2,0
1566984767,1,2
1566986742,1,0
1566988887,1,1
1566994853,0,1
1567001110,1,0
1567003262,1,0
1567007066,1,0
1567010998,1,0
1567016699,0,1
1567018607,0,1
1567020781,2,0
1567022705,1,0
1567024580,3,0
1567026794,1,0
1567028691,3,0
1567036607,0,1
1567038780,1,0
1567042626,1,0
1567044534,1,0
1567052696,0,2
1567056539,2,0
1567060829,1,0
1567064959,0,9
1567068816,0,2
1567070676,1,1
1567073151,1,1
1567075116,0,1
1567082671,3,0
1567087014,0,1
1567091109,2,1
1567092991,1,1
1567102861,1,0
1567106696,0,2
1567108583,1,0
1567110538,1,0
1567112727,0,1
1567114599,0,1
1567120662,1,0
1567124444,0,1
1567130219,0,1
1567134194,1,0
1567136219,1,0
1567142203,0,1
1567148023,2,1
1567152315,2,7
1567154243,1,0
1567156145,1,0
1567166788,1,0
1567168889,1,2
1567176555,0,1
1567178455,1,1
1567180358,0,1
1567186132,1,0
1567188289,0,6
1567194527,1,0
1567200260,2,0
1567202194,1,0
1567206293,1,0
1567208427,1,0
1567210595,2,0
1567214444,1,0
1567218274,1,0
1567222367,1,0
1567224379,1,0
1567228137,1,0
1567230054,1,0
1567231972,2,0
1567233874,1,2
1567235819,2,0
1567237758,1,6
1567239934,0,1
1567241790,1,1
1567243975,0,1
1567252162,0,1
1567254058,2,0
1567256006,2,1
1567261982,1,0
1567263965,1,0
1567266144,0,1
1567269905,1,0
1567272053,3,1
1567275904,1,0
1567277793,1,0
1567279754,1,0
1567281905,0,1
1567285980,1,0
1567287917,2,0
1567295797,0,1
1567297740,2,2
1567299921,1,1
1567305867,1,0
1567308043,1,1
1567309975,1,0
1567315310,1,1
1567317193,1,0
1567319074,1,0
1567323630,2,13
1567325834,1,0
1567329908,0,1
1567337799,1,0
1567341639,0,3
1567343812,0,1
1567345720,1,0
1567347657,0,1
1567349565,0,1
1567351489,3,0
1567353389,2,0
1567355325,1,1
1567359411,1,3
1567361336,1,1
1567365174,0,2
1567367064,1,0
1567372842,0,3
1567376682,1,0
1567382607,1,0
1567384580,2,2
1567386771,0,1
1567392533,1,0
1567396361,1,0
1567398297,1,0
1567402112,1,0
1567410024,1,8
1567411984,0,1
1567415824,3,0
1567417725,1,0
1567425840,0,1
1567429721,1,0
1567431639,1,0
1567433612,0,1
1567437383,1,1
1567439309,2,4
1567441561,1,1
1567445333,0,1
1567447567,1,1
1567449384,1,0
1567455137,2,1
1567462825,1,1
1567468605,0,1
1567472610,0,1
1567474583,1,0
1567484204,1,1
1567497932,0,5
1567501723,0,3
1567505606,0,1
1567507481,1,0
1567509852,1,0
1567513729,1,0
1567517110,1,1
1567519007,0,1
1567524050,0,1
1567525932,0,2
1567527872,0,1
1567531757,1,0
1567533887,0,1
1567535803,0,1
1567541782,1,1
1567545664,1,0
1567551407,1,0
1567557427,5,0
1567561239,0,1
1567571332,2,0
1567577549,2,0
1567581898,0,2
1567584294,1,0
1567592219,1,0
1567596060,1,0
1567599901,0,1
1567607819,1,4
1567609783,1,0
1567611668,1,0
1567617659,0,1
1567619550,1,0
1567625594,1,0
1567627502,1,1
1567631360,0,1
1567642867,1,2
1567644782,0,2
1567648612,1,0
1567650585,1,0
1567656527,0,1
1567658450,0,1
1567664233,1,2
1567666132,1,0
1567670004,0,3
1567677893,1,1
1567681703,1,0
1567683662,0,1
1567685847,1,0
1567695409,1,2
1567697337,0,1
1567699487,1,0
1567703350,1,0
1567707164,0,1
1567709068,1,0
1567711006,0,1
1567718924,1,0
1567722040,1,0
1567723972,1,0
1567737632,1,1
1567751817,0,1
1567755866,0,3
1567763618,1,0
1567765501,0,1
1567767391,0,1
1567771543,0,1
1567773433,1,0
1567779671,1,0
1567789499,1,1
1567791409,0,3
1567795247,1,1
1567804819,0,1
1567806779,1,0
1567808670,0,1
1567810656,2,1
1567816846,1,0
1567820688,1,0
1567824534,0,1
1567826459,1,0
1567828355,1,0
1567840615,1,0
1567850497,0,1
