DateTime,AddedIPs,RemovedIPs
1556776350,11,9
1556798458,14,13
1556820530,15,1204
1556842600,11,15
1556864453,10,8
1556886373,10,9
1556908341,27,32
1556930436,12,6
1556952298,10,8
1556974336,12,12
1556996197,17,9
1557018130,14,14
1557040130,5,10
1557062205,37,38
1557084284,2547,11
1557106365,1219,94
1557128439,100,7
1557150492,14,13
1557172365,16,8
1557194266,14,19
1557216255,9,9
1557238369,12,13
1557260420,15,12
1557282508,21,10
1557304616,14,7
1557326669,14,10
1557348795,10,12
1557381885,16,18
1557403941,12,10
1557426041,18,73
1557448129,93,13
1557470192,8,5
1557492050,10,6
1557514114,14,28
1557535964,17,8
1557558059,13,13
1557580111,12,16
1557602216,13,10
1557624264,6,9
1557646399,56,3
1557668449,50,45
1557690528,29,2631
1557712616,11,1004
1557734513,13,19
1557756528,20,10
1557778616,14,12
1557800656,10,22
1557822524,58,11
1557844603,38,11
1557866658,14,10
1557888779,29,20
1557910950,10,10
1557933088,15,137
1557955014,17,17
1557977063,23,5
1557998934,144,13
1558021028,1141,12
1558043080,64,101
1558064931,45,8
1558086775,11,12
1558109213,9,12
1558131144,149,41
1558153258,56,17
1558175304,7,17
1558197147,8,9
1558219012,12,10
1558241097,4,12
1558263150,7,187
1558285000,180,15
1558306858,16,18
1558328932,14,174
1558350975,170,23
1558372819,6,13
1558394914,7,7
1558416759,7,15
1558438637,23,68
1558460676,8,13
1558482752,4,25
1558504910,3,8
1558526891,10,13
1558548863,6,16
1558571064,242,13
1558592942,2919,28
1558614976,1271,14
1558636850,10,1022
1558658915,9,43
1558681035,7,25
1558703085,9,9
1558725131,14,9
1558746972,21,542
1558768841,423,9
1558790690,11,2
1558812888,21,13
1558834850,14,6
1558856892,12,5
1558878744,14,10
1558900600,9,7
1558922574,11,11
1558944549,6,11
1558966589,7,10
1558988657,7,6
1559010794,8,5
1559032643,83,15
1559054696,7,11
1559077015,4,7
1559098980,4,5
1559120911,6,9
1559142766,18,17
1559164854,10,9
1559186913,13,1775
1559209020,20,2844
1559231059,22,24
1559252907,7,7
1559274998,15,5
1559296889,13,8
1559318935,19,19
1559341016,8,23
1559363093,8,259
1559385147,7,6
1559406997,9,16
1559428864,11,254
1559451169,10,13
1559473363,9,17
1559495337,11,137
1559517393,93,16
1559539243,14,7
1559561106,10,13
1559583140,11,13
1559605003,17,7
1559627062,8,8
1559648914,14,111
1559670977,1224,213
1559692962,25,2811
1559714980,17,290
1559736976,14,869
1559759052,16,122
1559780897,8,8
1559802748,9,13
1559824830,15,39
1559846910,12,10
1559868984,8,16
1559890844,7,193
1559912908,37,77
1559934987,16,13
1559957052,13,12
1559978912,8,6
1560000980,14,140
1560023067,145,18
1560045150,23,9
1560067244,12,7
1560089562,20,14
1560111652,9,6
1560133698,20,103
1560155551,10,5
1560177622,25,25
1560199699,27,19
1560221544,15,14
1560243385,308,38
1560265250,24,15
1560287327,13,1365
1560309423,11,15
1560331480,44,28
1560353550,11,13
1560375624,16,10
1560397704,11,8
1560419574,31,12
1560441787,1430,11
1560463700,26,7
1560485557,9,12
1560507643,10,15
1560529488,61,16
1560552042,54,14
1560574108,13,12
1560596207,14,10
1560629330,27,17
1560651377,9,13
1560673261,10,15
1560695327,11,17
1560717389,10,11
1560739531,13,10
1560761596,9,7
1560783747,12,15
1560805701,16,23
1560827546,19,9
1560849633,16,305
1560871524,288,12
1560893565,93,8
1560915633,12,13
1560937721,22,21
1560959568,11,12
1560981418,9,42
1561003352,8,14
1561025296,7,34
1561047148,13,45
1561069232,12,17
1561091082,10,10
1561113178,120,7
1561135235,13,83
1561157326,15,27
1561179397,10,16
1561201307,10,17
1561223334,176,14
1561245376,27,19
1561267237,24,10
1561289317,18,9
1561311385,13,17
1561333244,27,12
1561355305,14,875
1561377406,892,8
1561399364,6,12
1561421306,21,12
1561443149,6,15
1561465005,10,30
1561486887,11,281
1561508928,71,16
1561530994,42,13
1561552846,11,17
1561574898,12,1372
1561596793,17,10
1561618934,15,49
1561640895,24,13
1561662775,17,9
1561684829,16,13
1561706916,9,8
1561729011,9,15
1561750857,1373,9
1561772899,13,6
1561794792,14,18
1561816905,13,9
1561838894,9,17
1561860781,7,10
1561882837,18,6
1561904903,15,9
1561926769,27,13
1561948876,16,13
1561970895,5,10
1561992764,8,25
1562014911,13,8
1562037170,14,13
1562059251,6,8
1562081304,12,11
1562103172,14,11
1562125271,21,99
1562147307,9,12
1562169179,9,13
1562191380,8,12
1562213326,13,11
1562235397,6,22
1562257470,13,15
1562279574,10,108
1562301651,9,12
1562323492,22,13
1562345560,4,1367
1562367719,9,11
1562389724,10,17
1562411777,12,297
1562433640,8,168
1562455695,167,7
1562477537,11,13
1562499649,13,18
1562521812,8,7
1562543815,7,67
1562565877,62,16
1562587720,6,18
1562609799,8,11
1562631894,4,13
1562653994,9,8
1562676016,7,12
1562697894,16,10
1562719939,10,10
1562742165,247,22
1562764118,4461,9
1562785972,12,7
1562807817,20,9
1562829856,5,29
1562851733,8,14
1562874051,8,10
1562896113,19,14
1562918298,7,9
1562940182,8,9
1562962096,28,6
1562983940,12,7
1563005848,21,5
1563027869,7,9
1563049713,8,12
1563071566,14,9
1563093632,8,11
1563115747,12,11
1563137802,14,4
1563159762,8,13
1563181735,11,2
1563203775,12,10
1563225630,7,5
1563247497,10,6
1563269568,14,13
1563291619,6559,15
1563313472,6630,6
1563335314,20,6
1563357386,8,3663
1563379381,9,355
1563403079,9,14
1563425085,6,16
1563447168,10,7
1563469396,23,8
1563491299,6,15
1563513144,11,6
1563535265,12,7
1563557565,6,14
1563579631,3,9
1563601701,10,10
1563623562,6,16
1563645760,7,7
1563667729,6,13
1563689811,17,15
1563711865,5,6
1563733722,8,10
1563755567,10,32
1563777614,2,72
1563799483,67,13
1563821333,12,7
1563843175,129,6
1563865376,60,15
1563887301,12,11
1563909379,9,13667
1563931461,812,7
1563953602,2743,24
1563975630,1440,5
1563997589,23,11
1564019549,17,6
1564041901,2,9
1564063748,41,25
1564085596,1160,6
1564107644,10,8
1564129711,5,7
1564151785,9,7
1564173643,14,11
1564195719,17,15
1564217568,15,4
1564239758,9,4
1564261706,11,3
1564283793,7,22
1564305639,449,8
1564327484,1162,6
1564349557,6,5
1564371622,65,250
1564393485,253,212
1564415548,214,10
1564448608,9,56
1564470469,8,35
1564492360,9,10
1564514443,10,10
1564536310,8,485
1564558405,19,1660
1564580411,6,848
1564602260,83,8
1564624100,10,11
1564646217,12,6
1564668303,1127,44
1564690369,15,1126
1564712438,1308,11
1564734287,652,8
1564756394,3,6
1564778420,6,10
1564800279,6,6
1564822335,11,13
1564844198,8,10
1564866319,7,12
1564888361,7,29
1564910450,8,459
1564932805,17,1197
1564954816,5,6
1564976693,3,2160
1564998749,10,2699
1565020592,8,173
1565042726,8,6
1565064745,8,8
1565086588,10,10
1565108460,7,9
1565130455,17,7
1565152362,18,23
1565174412,10,9
1565196286,10,6
1565218335,10,27
1565240189,10,10
1565262190,9,42
1565284125,8,16
1565306212,13,1905
1565328063,7,4249
1565350354,443,237
1565372432,128,15
1565394322,15,9
1565416361,8,10
1565438569,7,11
1565460739,62,9
1565482585,21,10
1565504431,18,11
1565526513,6,15
1565548389,8,11
1565570420,549,18
1565592272,3511,9
1565614130,1414,13
1565636270,6,6
1565669371,41,11
1565691629,26,13
1565713711,37,10
1565735751,12,13
1565757620,8,11
1565779700,7,11
1565801547,1356,14
1565834678,20,14
1565856779,15,7
1565878821,9,8
1565900696,23,13
1565922783,9,3
1565944826,4,9
1565966687,7,223
1565988739,12,11
1566010604,9,12
1566032691,23,8
1566054782,13,18
1566076825,14,4
1566098691,11,12
1566120531,6,13
1566142584,12,9
1566164689,530,13
1566186735,14,318
1566208583,4600,185
1566230564,440,4
1566252523,10,2
1566274589,8,10
1566296461,13,15
1566318516,10,83
1566340375,3,14
1566362430,7,8
1566384546,7,27
1566406598,11,1257
1566439474,14,16
1566461393,9,9
1566483704,56,8
1566505971,6302,17
1566527958,4431,5
1566549875,6,6
1566571978,3,5
1566594189,6,4
1566616344,10,9
1566638205,9,19
1566660075,7,4
1566682138,5,9
1566704435,5,10
1566726276,14,7
1566748119,6,10
1566770173,5,186
1566792299,12,13
1566814623,10,4190
1566836663,10,15
1566858743,20,9
1566880586,8,5
1566902673,10237,8
1566924763,9016,11
1566947003,81,2
1566969217,5,7
1566991068,7,4
1567013106,2,6
1567035152,14,9
1567057017,10,7
1567079078,164,29
1567101037,21,54
1567123008,34,7056
1567144882,13,8
1567166787,6,4
1567189009,11,7
1567211060,10,8
1567232939,9,8
1567254998,9,6
1567277058,9,7
1567298915,8,12
1567320785,8,8
1567342980,7,16
1567364902,4,6
1567386770,4,104
1567408842,101,70
1567430933,72,12
1567452989,8,7
1567474856,4,11
1567496918,11,5068
1567519006,22,15440
1567551904,1307,2766
1567574227,13,6
1567596566,4,8
1567618581,11,4
1567640422,9,11
1567662357,10,5
1567684349,11,307
1567706192,6162,37
1567728198,7288,45
1567750380,6,9
1567772445,5,4
1567794298,12,8
1567816378,4,6
1567838425,7,22
