DateTime,Entries,UniqueIPs
1566856359,5901,5901
1566858330,5877,5877
1566860219,5862,5862
1566862108,5849,5849
1566864186,5834,5834
1566866189,5829,5829
1566868387,5841,5841
1566870280,5876,5876
1566872448,5893,5893
1566874396,5926,5926
1566876537,5918,5918
1566878604,5939,5939
1566880588,5949,5949
1566882784,5942,5942
1566884700,5932,5932
1566886618,5870,5870
1566888776,5868,5868
1566890694,5872,5872
1566893086,5916,5916
1566894998,5924,5924
1566897171,5938,5938
1566899091,5924,5924
1566901291,5915,5915
1566903163,5897,5897
1566905098,5864,5864
1566907481,5827,5827
1566909672,5802,5802
1566911810,5778,5778
1566913732,5754,5754
1566915663,5729,5729
1566917618,5720,5720
1566919501,5705,5705
1566921402,5706,5706
1566923345,5692,5692
1566925479,5679,5679
1566927415,5664,5664
1566929573,5641,5641
1566931483,5596,5596
1566933395,5559,5559
1566935333,5510,5510
1566937266,5446,5446
1566939183,5443,5443
1566941068,3955,3955
1566942982,3035,3035
1566944932,3091,3091
1566947007,3141,3141
1566949244,3264,3264
1566951172,3328,3328
1566953067,3347,3347
1566954993,3317,3317
1566957154,3261,3261
1566959101,3220,3220
1566961036,3176,3176
1566963151,3170,3170
1566965140,3143,3143
1566967025,3140,3140
1566969219,3136,3136
1566971067,3164,3164
1566972986,3189,3189
1566974910,3212,3212
1566976847,3225,3225
1566978851,3215,3215
1566980692,3186,3186
1566982585,3180,3180
1566984768,3173,3173
1566986747,3171,3171
1566988888,3195,3195
1566990746,3196,3196
1566992691,3238,3238
1566994855,3293,3293
1566996821,3316,3316
1566998803,3324,3324
1567001118,3335,3335
1567003263,3361,3361
1567005186,3387,3387
1567007067,3425,3425
1567009023,3434,3434
1567010999,3459,3459
1567012834,3507,3507
1567014779,3549,3549
1567016699,3562,3562
1567018609,3582,3582
1567020783,3622,3622
1567022706,3646,3646
1567024581,3682,3682
1567026795,3722,3722
1567028692,3717,3717
1567030837,3712,3712
1567032764,3715,3715
1567034756,3687,3687
1567036608,3660,3660
1567038782,3630,3630
1567040714,3651,3651
1567042628,3657,3657
1567044535,3693,3693
1567046476,3704,3704
1567048620,3718,3718
1567050792,3706,3706
1567052697,3679,3679
1567054608,3679,3679
1567056540,3659,3659
1567058690,3621,3621
1567060830,3739,3739
1567063005,6024,6024
1567064960,9301,9301
1567066833,11219,11219
1567068817,13293,13293
1567070677,14122,14122
1567073155,15259,15259
1567075117,16337,16337
1567076929,16385,16385
1567078852,16369,16369
1567080750,16344,16344
1567082672,16332,16332
1567085191,16318,16318
1567087016,16309,16309
1567089222,16320,16320
1567091111,16324,16324
1567092992,16335,16335
1567094961,16342,16342
1567096852,16348,16348
1567098752,16351,16351
1567100672,16343,16343
1567102863,16357,16357
1567104774,16365,16365
1567106698,16370,16370
1567108584,16376,16376
1567110539,16365,16365
1567112729,16377,16377
1567114600,16380,16380
1567116535,16382,16382
1567118453,16386,16386
1567120663,16372,16372
1567122515,16374,16374
1567124445,16367,16367
1567126362,16377,16377
1567128301,16364,16364
1567130221,16353,16353
1567132113,16362,16362
1567134199,16354,16354
1567136220,16352,16352
1567138171,16352,16352
1567140040,16347,16347
1567142224,16359,16359
1567144107,16368,16368
1567146057,16356,16356
1567148025,15569,15569
1567150136,12820,12820
1567152357,9903,9903
1567154244,7501,7501
1567156147,6294,6294
1567158371,5106,5106
1567160491,4139,4139
1567162417,3520,3520
1567164534,3543,3543
1567166789,3539,3539
1567168890,3560,3560
1567170796,3573,3573
1567172695,3575,3575
1567174591,3578,3578
1567176556,3568,3568
1567178456,3586,3586
1567180359,3586,3586
1567182301,3605,3605
1567184252,3620,3620
1567186133,3610,3610
1567188289,3621,3621
1567190442,3616,3616
1567192608,3612,3612
1567194529,3588,3588
1567196446,3553,3553
1567198357,3523,3523
1567200261,3489,3489
1567202195,3492,3492
1567204115,3514,3514
1567206294,3517,3517
1567208428,3512,3512
1567210596,3548,3548
1567212503,3589,3589
1567214444,3582,3582
1567216360,3577,3577
1567218275,4482,4482
1567220188,5640,5640
1567222368,5640,5640
1567224381,5640,5640
1567226216,5636,5636
1567228138,5631,5631
1567230055,5624,5624
1567232011,5619,5619
1567233875,5612,5612
1567235820,5632,5632
1567237759,5644,5644
1567239935,5637,5637
1567241791,5633,5633
1567243976,5638,5638
1567245912,5648,5648
1567248051,5666,5666
1567250273,6148,6148
1567252162,6196,6196
1567254059,6198,6198
1567256007,6199,6199
1567257878,6208,6208
1567260132,6210,6210
1567261983,6209,6209
1567263966,6189,6189
1567266145,6184,6184
1567267991,6154,6154
1567269906,6161,6161
1567272054,6171,6171
1567273971,6186,6186
1567275905,6175,6175
1567277794,6179,6179
1567279755,6177,6177
1567281909,6193,6193
1567284030,6181,6181
1567285981,6178,6178
1567287918,6175,6175
1567289784,6195,6195
1567291715,6210,6210
1567293887,6216,6216
1567295798,6193,6193
1567297741,6206,6206
1567299922,6249,6249
1567301780,6268,6268
1567303959,5963,5963
1567305868,4404,4404
1567308044,4278,4278
1567309976,4278,4278
1567311869,4291,4291
1567315311,4296,4296
1567317194,4317,4317
1567319075,4357,4357
1567321497,4362,4362
1567323632,4387,4387
1567325835,4410,4410
1567327715,4466,4466
1567329911,4480,4480
1567331795,4486,4486
1567333738,4486,4486
1567335908,3939,3939
1567337800,3958,3958
1567339758,3937,3937
1567341640,3970,3970
1567343813,4000,4000
1567345721,3986,3986
1567347658,3990,3990
1567349567,3978,3978
1567351490,3962,3962
1567353389,3955,3955
1567355326,3947,3947
1567357507,3924,3924
1567359412,3890,3890
1567361336,3890,3890
1567363239,3878,3878
1567365175,3840,3840
1567367065,3850,3850
1567369006,3853,3853
1567370935,3801,3801
1567372843,3811,3811
1567374752,3810,3810
1567376683,3759,3759
1567378613,3708,3708
1567380525,3702,3702
1567382608,3663,3663
1567384581,3625,3625
1567386772,3590,3590
1567388680,3586,3586
1567390593,3612,3612
1567392534,3604,3604
1567394444,3601,3601
1567396362,3595,3595
1567398298,3571,3571
1567400215,3567,3567
1567402113,3546,3546
1567404300,3535,3535
1567406193,3494,3494
1567408123,3493,3493
1567410025,3480,3480
1567411987,3443,3443
1567413891,3393,3393
1567415834,3396,3396
1567417725,3386,3386
1567419650,3392,3392
1567421594,3704,3704
1567423493,4091,4091
1567425841,4076,4076
1567427810,4054,4054
1567429722,4044,4044
1567431649,4033,4033
1567433613,4039,4039
1567435500,4045,4045
1567437384,4049,4049
1567439310,4030,4030
1567441562,4036,4036
1567443414,4052,4052
1567445334,4069,4069
1567447568,4102,4102
1567449384,4116,4116
1567451328,4113,4113
1567453220,4101,4101
1567455138,4102,4102
1567457060,4095,4095
1567458980,4099,4099
1567460928,4089,4089
1567462826,4094,4094
1567464775,4115,4115
1567466667,4121,4121
1567468606,4146,4146
1567470516,4155,4155
1567472615,4166,4166
1567474583,4176,4176
1567476519,4193,4193
1567478441,4202,4202
1567480338,4216,4216
1567482261,4215,4215
1567484205,4235,4235
1567486099,4229,4229
1567488058,4230,4230
1567489995,4240,4240
1567491870,4245,4245
1567493811,4237,4237
1567495731,4242,4242
1567497949,4225,4225
1567499778,4243,4243
1567501725,4255,4255
1567503639,4246,4246
1567505607,4265,4265
1567507482,4273,4273
1567509877,3433,3433
1567511858,3425,3425
1567513742,3471,3471
1567515761,3506,3506
1567517573,3541,3541
1567520498,3717,3717
1567522350,3724,3724
1567524271,4750,4750
1567526201,5869,5869
1567528100,5948,5948
1567530290,6019,6019
1567532201,6011,6011
1567534108,5991,5991
1567536022,5987,5987
1567537841,6005,6005
1567539885,8028,8028
1567541783,10035,10035
1567543835,11870,11870
1567545665,12684,12684
1567547542,12673,12673
1567549465,12726,12726
1567551408,12752,12752
1567553301,12764,12764
1567555415,12761,12761
1567557428,12816,12816
1567559340,12809,12809
1567561240,12789,12789
1567563396,12782,12782
1567565569,12772,12772
1567567485,12785,12785
1567569418,12769,12769
1567571333,12768,12768
1567573479,12788,12788
1567575656,12801,12801
1567577551,12804,12804
