DateTime,AddedIPs,RemovedIPs
1555493051,5,2
1555514893,6,6
1555536756,8,2
1555558851,7,6
1555580902,16,2
1555602763,8,2
1555626164,3,5
1555648091,4,1
1555669974,4,1
1555692052,8,0
1555714096,8,2
1555735948,3,4
1555757805,5,6
1555779711,3,6
1555801699,4,6
1555823541,6,3
1555845510,3,4
1555867455,5,7
1555889317,5,7
1555911172,2,4
1555933235,2,5
1555955310,2,6
1555977294,2,10
1555999282,5,6
1556021324,2,6
1556043394,1,13
1556065236,5,5
1556087314,1,9
1556109165,2,7
1556131215,6,2
1556153072,11,7
1556175181,1,11
1556197350,4,9
1556219448,4,8
1556241407,6,5
1556263480,3,2
1556285555,3,2
1556307398,3,12
1556329476,1,9
1556351565,6,7
1556384689,2,7
1556406742,3,5
1556428828,3,7
1556450669,2,3
1556472513,4,9
1556494369,0,9
1556516419,1,8
1556538289,0,6
1556560379,0,11
1556582593,2,2
1556604754,0,6
1556626854,1,4
1556648921,1,3
1556670971,1,6
1556692823,2,3
1556714909,1,5
1556736754,83,9
1556758605,2,7
1556780549,3,2
1556802526,1,3
1556824594,2,7
1556846435,2,7
1556868304,3,3
1556890366,1,4
1556912416,5,6
1556934261,3,5
1556956146,2,8
1556978191,0,3
1557000077,2,3
1557022122,4,4
1557043968,1,2
1557065812,2,6
1557087858,3,2
1557109983,1,0
1557132041,2,1
1557154132,2,0
1557176181,1,0
1557198106,2,1
1557220111,6,0
1557242181,0,1
1557264265,4,1
1557286342,0,1
1557308448,1,3
1557330292,1,63
1557352339,5,33
1557385483,5,3
1557407556,4,1
1557429640,1,1
1557451712,1,0
1557473575,1,7
1557495619,2,2
1557517461,5,5
1557539530,3,4
1557561386,3,4
1557583401,1,1
1557605298,1,4
1557627178,6,6
1557649246,4,1
1557671320,0,1
1557693398,1,3
1557715468,4,1
1557737574,2,1
1557759643,1,0
1557781728,5,1
1557804074,1,2
1557826095,1,5
1557847965,2,3
1557869815,1,3
1557891871,2,0
1557913714,2,0
1557935784,2,0
1557957668,3,6
1557979726,3,3
1558001603,3,3
1558023883,1,1
1558045973,3,0
1558068019,0,2
1558089880,0,1
1558111747,3,2
1558133860,1,4
1558155867,0,5
1558177720,0,4
1558199566,0,1
1558221633,2,2
1558243476,2,7
1558265581,0,1
1558287637,2,0
1558309494,2,2
1558331548,0,2
1558353403,2,1
1558375601,3,4
1558397554,1,3
1558419402,1,2
1558441251,0,3
1558463303,0,1
1558485172,2,1
1558507110,2,4
1558529085,0,2
1558550950,4,3
1558572979,0,2
1558594958,1,1
1558616909,1,6
1558639031,2,0
1558661090,4,2
1558683147,3,0
1558727084,2,1
1558749165,2,2
1558771345,2,0
1558793331,1,1
1558815390,1,2
1558837231,1,1
1558859088,1,1
1558881180,5,1
1558903233,1,4
1558947418,1,2
1558970455,2,2
1558992567,2,3
1559014583,0,3
1559036438,2,1
1559058291,1,1
1559080597,1,0
1559102540,0,1
1559124515,1,2
1559146356,1,2
1559168437,2,3
1559190299,2,1
1559212343,2,2
1559234241,2,1
1559256282,1,3
1559278337,0,4
1559300530,2,0
1559322546,0,1
1559344588,0,2
1559366498,3,3
1559388498,0,1
1559410346,1,2
1559454278,3,1
1559476131,2,1
1559498251,1,4
1559520191,1,0
1559542131,2,2
1559564197,1,1
1559586280,0,2
1559608365,5,1
1559630444,2,1
1559652502,1,1
1559674370,0,1
1559696543,1,0
1559718529,1,0
1559740580,1,1
1559762421,0,2
1559784330,0,1
1559806341,4,3
1559828210,0,1
1559850052,0,2
1559893951,0,2
1559916232,1,1
1559938105,2,0
1559959955,3,1
1559982013,1,3
1560003867,2,1
1560025956,4,0
1560047824,2,1
1560069867,2,3
1560091725,1,3
1560113784,3,1
1560135744,1,3
1560157716,1,0
1560179785,1,1
1560201856,1,0
1560223699,0,3
1560245556,3,1
1560267630,0,3
1560311317,1,1
1560333383,0,2
1560355331,0,1
1560378858,2,0
1560400851,0,2
1560422703,1,2
1560532587,2,3
1560554672,2,2
1560576750,0,1
1560598597,2,2
1560620667,1,3
1560642740,2,3
1560664595,4,1
1560686544,1,3
1560708535,1,3
1560730598,1,1
1560774542,2,0
1560796582,2,2
1560818684,1,0
1560840741,2,2
1560862881,1,1
1560929069,2,2
1560951023,1,0
1560972974,2,2
1560995100,6,0
1561017159,2,0
1561060939,0,1
1561082941,1,0
1561104986,2,0
1561127093,1,1
1561149198,2,1
1561171214,2,1
1561193081,1,0
1561214927,0,3
1561236801,1,2
1561258927,1,3
1561280929,6,2
1561302771,0,1
1561324842,1,0
1561346925,0,2
1561368971,1,1
1561390857,0,1
1561412949,1,1
1561434977,4,2
1561467889,0,2
1561511835,4,0
1561533878,1,3
1561555719,1,1
1561577571,3,2
1561599613,5,5
1561621456,3,2
1561643358,2,0
1561665404,2,0
1561687343,4,1
1561709301,3,2
1561731175,3,1
1561753027,1,1
1561775119,1,1
1561797161,3,2
1561819222,2,0
1561841103,1,1
1561863161,3,1
1561885339,3,5
1561907336,4,1
1561929195,2,1
1561951239,4,0
1561973086,2,1
1562016977,0,1
1562038836,1,2
1562082761,1,0
1562104981,1,0
1562126912,0,3
1562148790,1,1
1562171082,13,3
1562193709,0,5
1562215729,0,4
1562237807,0,2
1562259904,2,2
1562281938,0,2
