DateTime,AddedIPs,RemovedIPs
1566648774,1,2
1566652602,1,2
1566654544,1,1
1566656444,0,2
1566658375,2,1
1566660593,2,0
1566662742,1,0
1566664550,2,0
1566666812,0,1
1566668751,1,3
1566670617,1,0
1566672508,0,2
1566676413,2,2
1566678299,0,1
1566682140,1,3
1566685041,0,4
1566686917,1,1
1566689090,1,2
1566690983,1,1
1566692959,3,3
1566695098,3,2
1566696979,2,3
1566698919,2,0
1566700826,0,3
1566702764,1,0
1566704682,1,0
1566706615,1,2
1566708527,1,2
1566710427,1,1
1566712375,0,4
1566714280,2,0
1566716214,3,1
1566720194,0,1
1566722008,1,2
1566723933,1,1
1566725782,1,0
1566727754,1,1
1566729629,0,1
1566731797,2,0
1566733979,2,0
1566735886,0,1
1566738201,1,1
1566740208,1,0
1566742411,1,1
1566744533,1,2
1566746450,1,1
1566748356,0,2
1566750267,0,2
1566752075,1,0
1566753903,2,1
1566758005,1,1
1566761803,2,0
1566763777,1,2
1566767576,2,0
1566769479,0,1
1566773325,0,1
1566775268,1,1
1566777167,0,1
1566779084,1,3
1566781008,0,2
1566782913,0,3
1566785094,1,2
1566787022,1,0
1566789175,0,1
1566791073,1,1
1566793031,3,1
1566794941,3,1
1566796845,1,1
1566798758,1,0
1566800679,1,2
1566802612,1,3
1566804785,1,0
1566806711,1,0
1566808609,1,2
1566810546,4,0
1566812476,2,1
1566814626,1,1
1566818466,0,2
1566820383,1,2
1566824686,0,1
1566826609,0,1
1566828765,0,1
1566830691,0,1
1566832640,1,1
1566836666,1,0
1566838589,0,1
1566840828,0,2
1566842938,1,1
1566844828,5,0
1566846811,7,0
1566848688,3,2
1566850593,1,1
1566852542,0,2
1566856361,2,0
1566858331,1,0
1566862110,1,1
1566866190,1,1
1566868389,1,0
1566870282,3,1
1566872450,2,1
1566876539,2,0
1566878606,1,3
1566880590,1,2
1566882789,3,3
1566884712,3,0
1566886623,0,1
1566888780,0,1
1566890696,1,2
1566893088,1,1
1566895002,1,1
1566897173,0,4
1566899092,2,2
1566901293,0,1
1566907483,0,1
1566917620,1,0
1566919503,0,1
1566923347,0,1
1566927416,3,0
1566929576,1,2
1566931485,1,6
1566933397,0,6
1566935335,0,3
1566937267,2,0
1566939184,1,0
1566941069,1,0
1566942983,1,2
1566944933,1,1
1566947084,2,0
1566949246,1,1
1566953069,2,1
1566954998,0,2
1566957155,1,2
1566959103,1,2
1566961038,1,0
1566963153,0,2
1566965144,1,1
1566967027,1,1
1566969221,1,3
1566971069,0,3
1566976848,1,1
1566980694,2,1
1566982586,0,1
1566984770,2,1
1566986750,2,1
1566988898,2,0
1566994860,1,0
1566996822,1,0
1566998804,3,0
1567005187,3,1
1567007068,2,0
1567009024,1,0
1567011000,3,0
1567012835,0,2
1567014784,0,1
1567016701,1,2
1567018611,1,0
1567020787,2,0
1567022707,2,0
1567024582,3,2
1567026796,1,2
1567028693,1,0
1567030838,4,1
1567032765,0,1
1567034758,1,3
1567038783,1,1
1567040715,1,1
1567042630,1,0
1567044537,0,2
1567046477,1,0
1567048621,3,1
1567050793,1,1
1567054609,3,1
1567056542,1,1
1567060831,1,0
1567063006,1,1
1567066835,4,2
1567070679,1,2
1567073157,1,2
1567075119,1,2
1567078854,1,0
1567080751,1,1
1567082673,3,1
1567085193,2,3
1567087038,4,0
1567091112,0,2
1567092993,1,3
1567096853,2,2
1567098754,1,2
1567102864,0,1
1567104776,2,1
1567106699,1,2
1567108586,0,2
1567110541,0,3
1567112731,3,1
1567114602,2,1
