DateTime,Entries,UniqueIPs
1566680192,100,100
1566682141,99,99
1566685042,101,101
1566689091,99,99
1566690983,101,101
1566692959,101,101
1566695099,102,102
1566702764,100,100
1566704683,99,99
1566706615,98,98
1566708527,96,96
1566710428,97,97
1566712375,97,97
1566714281,98,98
1566716214,97,97
1566718120,99,99
1566720195,96,96
1566722009,97,97
1566725782,98,98
1566729629,97,97
1566731798,95,95
1566733980,95,95
1566735887,96,96
1566740208,97,97
1566742411,98,98
1566744533,101,101
1566748356,102,102
1566750267,101,101
1566752075,105,105
1566753904,105,105
1566758005,105,105
1566759894,106,106
1566761803,108,108
1566765678,108,108
1566767577,108,108
1566769479,111,111
1566771394,115,115
1566773325,118,118
1566775268,121,121
1566777167,117,117
1566779084,118,118
1566781009,119,119
1566782913,123,123
1566785094,124,124
1566787023,125,125
1566789175,124,124
1566793031,125,125
1566794942,128,128
1566796845,127,127
1566804785,126,126
1566806711,125,125
1566810546,127,127
1566814627,126,126
1566816562,127,127
1566818466,125,125
1566820384,126,126
1566822284,124,124
1566826609,125,125
1566828766,123,123
1566830692,121,121
1566834773,122,122
1566836666,124,124
1566838589,123,123
1566840829,122,122
1566842938,122,122
1566844843,120,120
1566846812,118,118
1566848697,119,119
1566850593,114,114
1566852542,113,113
1566854473,110,110
1566856361,107,107
1566858332,109,109
1566860220,109,109
1566862110,107,107
1566864187,105,105
1566866190,101,101
1566868389,101,101
1566870282,93,93
1566872450,89,89
1566874397,91,91
1566876539,93,93
1566878606,93,93
1566880590,91,91
1566882789,92,92
1566884728,91,91
1566886623,92,92
1566888781,90,90
1566890696,90,90
1566893089,88,88
1566895003,86,86
1566897174,85,85
1566899092,84,84
1566903165,85,85
1566905100,85,85
1566907483,88,88
1566909674,89,89
1566911812,93,93
1566915665,94,94
1566921404,93,93
1566923347,94,94
1566925481,94,94
1566927417,95,95
1566929576,94,94
1566931485,93,93
1566933397,94,94
1566935335,93,93
1566937268,98,98
1566941070,103,103
1566942983,103,103
1566944934,104,104
1566947103,103,103
1566949246,106,106
1566951174,108,108
1566953070,114,114
1566954999,113,113
1566957155,114,114
1566959106,113,113
1566961038,112,112
1566963153,113,113
1566965145,112,112
1566967027,112,112
1566969221,111,111
1566978854,110,110
1566980694,111,111
1566986751,111,111
1566988899,112,112
1566992693,108,108
1566994860,105,105
1566996822,105,105
1566998804,103,103
1567001147,103,103
1567005188,100,100
1567009025,99,99
1567011000,100,100
1567012835,100,100
1567014785,100,100
1567018611,100,100
1567020788,103,103
1567022708,102,102
1567024583,102,102
1567026797,102,102
1567028693,104,104
1567030838,105,105
1567032765,105,105
1567034758,101,101
1567038783,86,86
1567042630,84,84
1567044537,85,85
1567050793,84,84
1567052699,83,83
1567054609,83,83
1567056543,82,82
1567058692,83,83
1567064962,84,84
1567066835,85,85
1567068819,87,87
1567073158,87,87
1567075119,87,87
1567076943,88,88
1567078854,87,87
1567080752,86,86
1567082674,87,87
1567085193,89,89
1567087039,88,88
1567089233,86,86
1567091113,88,88
1567092994,87,87
1567094962,90,90
1567096854,89,89
1567098754,90,90
1567100674,90,90
1567102865,90,90
1567104776,90,90
1567106700,91,91
1567110541,88,88
1567112732,90,90
1567114602,88,88
1567116537,88,88
1567118455,89,89
1567120665,92,92
1567122517,95,95
1567124447,95,95
1567126364,92,92
1567128303,122,122
1567130223,123,123
1567132115,124,124
1567138175,123,123
1567142227,122,122
1567144112,123,123
1567150139,122,122
1567156149,120,120
1567158383,120,120
1567160493,121,121
1567162419,120,120
1567166793,120,120
1567168893,121,121
1567170798,123,123
1567174596,124,124
1567176558,127,127
1567178458,126,126
1567180361,125,125
1567182304,125,125
1567184255,127,127
1567186135,127,127
1567188291,126,126
1567192609,126,126
1567194532,128,128
1567198359,128,128
1567200263,127,127
1567202198,130,130
1567204116,132,132
1567206295,128,128
1567208430,129,129
1567210598,131,131
1567212505,132,132
1567214446,131,131
1567216363,94,94
1567218278,95,95
1567220192,97,97
1567222369,97,97
1567224385,99,99
1567226218,101,101
1567228141,99,99
1567230057,98,98
1567232013,99,99
1567235822,100,100
1567237760,98,98
1567239938,99,99
1567243978,99,99
1567245918,102,102
1567248053,101,101
1567250275,102,102
