DateTime,AddedIPs,RemovedIPs
1544651087,1,3
1544673390,1,1
1544695301,1,0
1544717610,0,1
1544783795,0,1
1544805875,1,1
1544827931,5,2
1544849819,2,0
1544893934,7,0
1544916033,0,1
1544959736,1,1
1545003879,0,1
1545025942,1,0
1545070095,0,1
1545092251,0,1
1545157970,1,0
1545180017,1,1
1545201862,1,0
1545223707,1,0
1545245552,1,0
1545267403,1,1
1545289351,2,0
1545333389,0,1
1545355478,1,1
1545399617,1,0
1545421494,0,1
1545443574,0,3
1545509804,1,1
1545531648,0,1
1545553983,1,1
1545576082,1,1
1545598123,0,1
1545664102,0,2
1545686206,0,3
1545708258,0,3
1545730367,0,1
1545752430,0,2
1545774281,2,1
1545796374,1,2
1545840806,0,1
1545862819,1,1
1545884902,1,1
1545906747,255,1
1545950714,1,1
1546016509,1,0
1546038525,1,0
1546148665,0,3
1546170532,0,1
1546192601,0,1
1546280656,1,0
1546302762,1,0
1546368749,0,2
1546412687,1,0
1546434749,1,0
1546478470,2,1
1546500745,1,122
1546522587,1,132
1546544659,0,1
1546566516,0,2
1546610514,1,0
1546632791,3,0
1546654840,1,0
1546676686,0,2
1546698768,1,0
1546720833,1,0
1546764998,1,0
1546831040,1,0
1546919328,1,1
1546963309,2,1
1546985579,2,1
1547029462,0,3
1547073681,2,0
1547095992,1,1
1547118123,1,1
1547140143,2,3
1547184304,0,1
1547206626,1,1
1547228687,0,1
1547250765,1,1
1547294802,0,1
1547316749,0,2
1547338640,8,1
1547404835,1,0
1547426685,0,1
1547471125,1,0
1547493163,1,1
1547515025,1,2
1547559162,0,1
1547581243,1,1
1547603105,1,1
1547647286,1,0
1547691399,1,0
1547713258,0,1
1547735122,1,2
1547801104,0,1
1547845307,2,0
1547867154,0,1
1547933323,1,0
1547955410,1,8
1548021924,2,0
1548043938,1,0
1548065790,1,2
1548087680,2,1
1548109704,0,1
1548131603,1,1
1548153621,2,0
1548219732,2,0
1548264060,1,0
1548285915,1,0
1548307969,0,2
1548396130,1,0
1548418127,2,1
1548439994,0,1
1548505958,0,1
1548549862,0,1
1548571979,1,0
1548594074,2,0
1548616121,1,0
1548637963,2,1
1548682095,1,1
1548748363,0,1
1548770474,69,0
1548814871,0,3
1548837192,1,0
1548859215,2,0
1548881058,1,2
1548903151,0,2
1548925015,1,0
1548946868,0,1
1549013103,0,1
1549035143,0,2
1549057213,0,1
1549101173,1,0
1549123291,0,2
1549145554,0,1
1549211566,0,1
1549255506,2,2
1549299677,1,0
1549365884,1,0
1549387955,3,69
1549410015,1,0
1549431863,0,3
1549475803,1,1
1549563615,1,0
1549585705,1,0
1549607551,1,0
1549629647,1,0
1549695766,0,1
1549739547,1,0
1549761392,0,2
1549805303,1,1
1549827375,1,0
1549849241,3,2
1549871301,3,0
1549893371,2,0
1549915313,1,1
1549937344,1,0
1549959405,2,0
1549981462,0,1
1550003559,0,2
