DateTime,AddedIPs,RemovedIPs
1562178292,0,1
1562186041,1,1
1562187942,1,0
1562189810,1,0
1562193711,1,0
1562199397,2,0
1562203269,1,1
1562205194,3,0
1562207094,1,0
1562215020,1,0
1562224936,2,1
1562228724,0,1
1562238353,0,1
1562240289,0,1
1562242180,1,0
1562244073,1,1
1562247929,0,2
1562255796,0,1
1562273837,0,2
1562275742,0,1
1562277798,1,1
1562279775,0,1
1562285541,1,1
1562289393,0,1
1562291300,0,3
1562293252,1,1
1562297348,2,0
1562301175,1,1
1562304985,1,0
1562311002,1,2
1562313173,1,0
1562321080,0,1
1562326823,1,0
1562328997,0,1
1562331193,0,1
1562333063,1,0
1562346745,1,0
1562348663,1,0
1562350607,1,0
1562356375,2,0
1562362391,2,0
1562364316,0,1
1562368154,1,0
1562370045,1,0
1562371966,1,1
1562373884,1,0
1562379633,0,1
1562381582,2,0
1562383463,2,2
1562385389,1,0
1562387302,0,1
1562389376,1,0
1562391382,0,1
1562393330,3,0
1562397409,1,1
1562399563,1,1
1562412983,1,1
1562417087,1,0
1562429113,1,0
1562432944,0,1
1562434843,1,1
1562437007,0,1
1562443014,0,2
1562446949,0,2
1562454536,0,1
1562456427,1,1
1562458230,0,1
1562460280,0,1
1562467966,1,2
1562469865,1,2
1562471776,2,1
1562475905,0,1
1562477796,1,0
1562479721,0,3
1562483559,0,1
1562485490,0,2
1562495061,1,0
1562500976,0,1
1562502779,0,1
1562516207,0,1
1562520034,0,1
1562527724,1,0
1562543551,0,1
1562553619,0,1
1562557711,0,2
1562565419,0,1
1562569384,1,0
1562580983,0,1
1562583188,1,0
1562615838,0,1
1562623483,0,1
1562648225,85,0
1562655942,0,1
1562669353,0,1
1562706190,1,0
1562712494,1,0
1562718291,1,0
1562730050,1,0
1562733876,1,0
1562743497,0,85
1562751391,1,0
1562757156,1,0
1562786441,1,0
1562792201,0,1
1562796228,1,0
1562800166,0,1
1562805890,0,1
1562817433,0,1
1562819317,0,1
1562837082,0,1
1562844827,0,1
1562874059,0,1
1562879831,1,0
1562881736,0,1
1562899235,1,0
1562903141,2,0
1562905031,1,0
1562915009,1,0
1562926687,1,0
1562932478,1,0
1562953959,1,0
1562961773,1,0
1562965968,0,1
1562967868,1,0
1562972219,1,0
1562978237,1,0
1562980383,1,0
1562984268,0,1
1562989946,1,2
1562991925,0,1
1562997925,1,0
1562999813,0,1
1563001738,1,0
1563013246,0,1
1563019006,0,1
1563040118,1,1
1563042046,1,0
1563047822,0,1
1563055729,1,1
1563057664,0,1
1563063391,0,1
1563067242,0,1
1563073001,1,0
1563076977,2,1
1563082838,0,1
1563088602,0,1
1563092426,1,0
1563102168,1,0
1563104190,2,0
1563127354,0,1
1563129189,0,1
1563142598,0,1
1563144511,1,0
1563158185,1,1
1563160138,1,0
1563162032,0,1
1563163967,0,1
1563165895,1,0
1563171869,1,0
1563179853,0,1
1563189404,0,2
1563191400,0,1
1563230796,0,1
1563232607,85,0
1563238408,1,0
1563244136,0,1
1563246228,1,1
1563252043,0,1
1563259736,0,1
1563267410,1,0
1563273185,1,0
1563317792,0,35
1563319735,2,50
1563323829,0,1
1563331483,0,1
1563339158,1,0
1563343038,1,0
1563344911,1,0
1563354780,2,1
1563356684,1,0
1563360550,0,1
1563404969,1,0
1563406840,0,2
1563408778,1,0
1563420294,2,0
1563422212,1,0
1563424114,0,1
1563428193,1,1
1563432069,1,1
1563436001,1,0
1563437882,1,0
1563439963,1,1
1563441888,0,2
1563492750,0,1
1563494603,0,1
1563504268,1,0
1563506212,0,2
1563508110,0,1
1563510072,1,0
1563513871,0,1
1563517716,1,1
1563523710,0,2
1563527572,0,1
1563545019,1,0
1563564269,1,0
1563576034,1,0
1563591397,0,1
1563595307,0,1
1563602959,0,1
1563608683,1,0
1563631952,0,1
1563647320,1,0
1563651389,0,1
1563662501,0,1
1563695592,0,1
1563699428,1,0
1563734663,0,1
1563783404,0,1
1563834760,1,0
1563844405,1,0
1563865748,1,0
1563883515,2,0
1563921146,0,1
1563930746,0,1
1563942255,1,0
1563952133,0,1
1563969892,0,2
1563975633,1,0
1564024007,1,0
1564029918,0,1
1564055323,1,0
1564061093,0,1
1564074747,1,0
1564099704,1,0
1564101633,1,0
1564103536,1,0
1564111472,0,1
1564127092,1,0
1564142548,0,1
1564153979,1,0
1564159961,0,1
1564171730,1,0
1564186627,0,1
1564188562,1,1
1564190470,0,1
1564207952,1,0
1564213730,0,1
1564221444,1,0
1564231247,1,0
1564238934,0,1
1564258591,0,1
1564276148,0,1
1564279961,1,0
1564293408,0,1
1564308985,0,1
1564316668,0,1
1564363718,0,1
1564376490,1,0
1564392533,1,0
1564394586,1,0
1564400691,1,0
1564402588,1,0
1564445544,1,0
1564457311,1,0
1564460265,1,0
1564464034,0,1
1564472145,1,0
1564478941,0,1
1564480783,0,1
1564486889,0,1
1564489218,0,1
1564512999,1,0
1564519240,1,0
1564527777,1,0
1564531968,0,1
1564543503,1,1
1564545432,1,1
1564550558,2,0
1564552415,1,0
1564558408,0,1
1564564385,1,0
1564593410,1,0
1564599156,0,1
1564604946,0,1
1564607001,1,0
1564614651,0,1
1564626295,1,0
1564630131,0,2
1564636165,0,1
1564638062,0,2
1564650319,0,1
1564679778,0,1
1564693312,0,1
1564712669,1,1
1564767877,1,0
1564787543,1,0
1564799082,0,1
1564811055,1,0
1564853301,0,1
1564874700,0,1
1564876622,2,0
1564882580,1,0
1564890296,1,0
1564896258,0,1
1564962734,0,1
1564964667,0,1
1564970625,0,1
1564976419,0,1
1564994432,1,0
1565079167,0,1
1565136756,1,0
1565224577,1,1
1565248612,1,0
1565260121,1,0
1565311227,0,1
1565332579,0,1
1565340599,1,0
1565346313,1,1
1565352317,1,0
1565373798,1,0
1565412517,1,0
1565414445,1,0
1565418265,1,0
1565420219,1,0
1565428348,0,1
1565432215,0,1
1565437974,0,1
1565459309,0,1
1565467520,1,0
1565481404,1,0
1565487385,1,0
1565498910,1,1
1565500838,0,1
1565504709,0,1
1565506593,0,1
1565521949,1,0
1565529688,1,0
1565554616,0,1
1565568211,0,1
1565574291,2,1
1565585806,0,1
1565591786,1,0
1565610059,0,1
1565615783,0,1
1565617745,1,0
1565657215,1,0
1565661252,0,2
1565678917,0,1
1565691197,1,0
1565702925,0,1
1565728827,85,0
1565742511,0,1
1565760051,1,0
1565761982,1,0
1565775620,1,0
1565777812,0,1
1565783800,1,0
1565809517,1,0
1565815243,0,85
1565817145,1,0
1565846689,1,1
1565848996,0,1
1565850812,1,0
1565862787,0,1
1565868449,0,1
1565896851,0,1
1565902649,0,1
1565934770,0,1
1565960709,1,1
1566005093,2,0
