DateTime,AddedIPs,RemovedIPs
1555578184,3,3
1555600127,6,1
1555622219,29,4
1555644254,4,5
1555666123,3,4
1555687967,8,6
1555710039,6,1
1555732108,7,6
1555753956,2,2
1555776141,3,5
1555798375,3,6
1555820469,2,2
1555842531,10,13
1555864585,3,6
1555886443,0,59
1555908295,9,53
1555930375,9,6
1555952558,7,4
1555974499,7,19
1555996597,1,14
1556018653,37,9
1556040512,74,5
1556062369,22,4
1556084219,22,6
1556106265,37,1
1556128336,6,0
1556150215,7,2
1556172087,18,3
1556194380,5,5
1556216741,20,13
1556238737,27,13
1556260610,6,3
1556282684,21,14
1556304761,6,3
1556337878,24,11
1556360101,1,3
1556382011,13,5
1556403858,53,7
1556425957,11,2
1556447813,1,9
1556469664,1,3
1556491706,20,3
1556513806,13,5
1556535733,3,9
1556557702,3,10
1556579574,2,4
1556601629,7,4
1556623528,11,15
1556645569,1,40
1556668092,3,19
1556689933,1,26
1556711800,45,24
1556733765,9,4
1556755722,5,6
1556777831,3,12
1556799859,3,7
1556821705,19,20
1556843792,0,36
1556865928,5,6
1556887939,4,20
1556910177,2,8
1556932105,4,17
1556954217,9,6
1556976279,4,6
1556998355,12,35
1557020207,57,54
1557042253,11,9
1557064123,5,1
1557086175,12,7
1557108181,41,44
1557130112,1,7
1557152199,14,3
1557174043,39,9
1557196392,34,3
1557218462,9,22
1557240514,5,6
1557262575,4,4
1557295467,3,4
1557317551,3,36
1557339413,5,13
1557361342,3,4
1557383322,3,4
1557405376,7,1
1557427491,3,18
1557449553,6,1
1557471793,2,5
1557493712,3,14
1557516033,3,5
1557537919,0,2
1557559950,0,9
1557581858,0,4
1557603856,2,25
1557625736,0,60
1557647808,2,12
1557669761,2,4
1557691760,0,15
1557713792,2,79
1557735659,2,7
1557757727,0,28
1557779578,2,83
1557801623,2,69
1557823773,3,25
1557845754,2,7
1557867667,4,21
1557889744,5,2
1557911809,1,4
1557933925,2,4
1557955970,5,1
1557978065,2,5
1558000098,9,5
1558022993,5,2
1558045009,7,3
1558067085,1,5
1558088941,3,3
1558111256,1,0
1558133863,4,1
1558155869,4,2
1558199567,3,2
1558221634,2,2
1558243477,0,3
1558265581,2,6
1558287637,2,5
1558309498,2,5
1558331550,3,1
1558353404,3,0
1558375602,0,1
1558397555,0,4
1558419402,1,2
1558441251,2,2
1558463305,6,3
1558485173,3,3
1558507113,1,4
1558529086,6,2
1558550953,3,4
1558572980,4,3
1558594959,9,4
1558616909,24,7
1558639033,26,5
1558661091,2,4
1558683148,4,5
1558705217,1,3
1558727085,2,2
1558749166,7,2
1558771350,1,2
1558793332,1,1
1558815393,2,6
1558837467,1,1
1558859563,1,2
1558881655,5,3
1558903702,4,2
1558925548,5,4
1558947419,3,4
1558970459,0,3
1558992570,1,0
1559014583,1,1
1559036439,1,1
1559058292,1,2
1559080597,2,4
1559102551,0,3
1559124515,2,3
1559146375,3,2
1559168438,0,2
1559190300,2,6
1559212343,3,4
1559234241,2,50
1559256282,1,5
1559278338,0,3
1559300540,1,5
1559322547,5,1
1559344589,3,5
1559366499,6,4
1559388499,3,2
1559410349,1,5
1559432438,0,2
1559454279,0,1
1559476133,1,5
1559498252,0,7
1559520192,2,8
1559542132,1,7
1559564198,1,4
1559586282,1,4
1559608366,0,3
1559630445,0,4
1559652502,6,2
1559674373,0,3
1559696544,0,2
1559718530,2,0
1559740581,1,3
1559762422,1,1
1559784333,1,2
1559806342,1,2
1559828211,0,1
1559850054,0,2
1559872111,1,0
1559916247,0,3
1559938106,3,3
1559959955,5,5
1559982014,1,4
1560003868,0,2
1560025958,3,0
1560069868,2,0
1560091726,1,1
1560135745,3,2
1560157717,2,2
1560179786,1,0
1560201857,2,1
1560223700,4,0
1560245557,2,3
1560267631,3,1
1560289475,1,2
1560311319,1,2
1560333390,3,2
1560355340,6,1
1560378860,0,1
1560400852,0,1
1560422703,1,1
1560445018,0,1
1560488893,0,2
1560554673,2,3
1560576751,0,3
1560598598,1,0
1560620667,1,0
1560642741,1,2
1560664596,0,1
1560686545,5,2
1560708535,3,0
1560730599,2,0
1560752656,1,4
1560774543,2,2
1560796583,1,1
1560818685,1,5
1560840742,0,2
1560862888,1,1
1560884964,0,5
1560907016,2,1
1560951024,0,6
1560972975,0,2
1561039006,0,1
1561060945,1,1
1561149199,0,1
1561171215,1,1
1561193082,1,1
1561214928,1,0
1561236801,1,1
1561258938,1,0
1561280930,0,2
1561302772,1,8
1561324845,2,5
1561346926,2,3
1561368972,1,2
1561390858,2,1
1561412705,2,0
1561434761,0,1
1561456649,2,1
1561478715,5,0
1561500992,5,1
1561522853,0,1
1561566751,1,0
1561589070,1,0
1561610956,2,0
1561632976,1,1
1561676933,1,0
1561699004,2,1
1561721070,1,0
1561765007,0,1
1561808916,1,0
1561830988,4,0
1561853126,7,2
1561875164,2,0
1561897010,3,0
1561919055,3,1
1561940946,3,2
1561962802,4,0
1561984842,8,2
1562006690,0,2
1562072992,0,2
1562094979,0,3
1562117110,0,3
1562139144,4,0
1562161011,1,0
1562183086,0,1
1562205195,0,3
1562227295,1,3
1562249297,1,0
1562271149,0,1
1562292992,0,2
1562337172,0,1
1562359248,2,0
1562381349,3,0
1562403444,0,1
1562425484,0,2
1562447326,0,8
1562469398,1,1
1562491460,2,2
1562513318,0,1
1562535170,0,2
1562557259,7,5
1562579105,4,4
1562601170,4,3
1562645331,1,0
1562667453,1,0
1562689481,2,0
1562712496,2,0
1562734367,3,1
1562756212,1,7
1562778107,1,5
1562800169,1,0
1562822203,1,2
1562866154,0,4
1562888209,3,0
1562954547,2,3
1562976551,2,2
1562998835,3,1
1563020928,1,1
1563042981,1,0
1563065063,3,0
1563086920,1,1
1563108981,4,1
1563131087,1,0
1563152957,4,3
1563174977,0,7
1563197117,4,3
1563219275,0,2
1563241215,1,1
1563263074,3,0
1563284925,2,1
1563307030,1,1
1563328997,1,3
1563372997,1,2
1563394839,0,2
1563438763,0,1
1563460835,0,1
1563482766,4,4
1563504764,3,0
1563527083,1,0
1563593072,1,0
1563615165,0,4
1563659088,3,1
1563681134,3,0
1563703013,1,4
1563725073,0,3
1563747136,3,2
1563768985,2,1
1563790857,0,1
1563812902,0,1
1563856832,3,1
1563878689,2,2
1563900742,0,2
1563922588,5,2
1563944698,1,0
1563989055,1,0
1564010909,7,0
1564076929,2,1
1564098991,0,2
1564120979,2,2
1564142924,0,8
1564187084,1,1
1564253069,2,0
1564275156,5,1
1564297510,0,1
1564319570,3,0
1564363719,3,2
1564407626,1,1
1564429474,1,0
1564451542,0,2
1564473903,2,2
1564495946,3,2
1564518476,1,1
1564540382,6,1
1564562432,2,0
1564584287,0,7
1564606336,2,4
1564628189,1,4
1564650321,4,0
1564672601,1,0
1564694668,1,2
1564716766,2,1
1564738628,1,4
1564760700,2,0
1564782729,3,0
1564804602,3,0
1564826502,2,0
1564848511,2,3
1564870388,1,1
1564892439,1,1
1564936359,2,0
1564958432,2,2
1564980280,1,0
1565002387,3,1
1565024624,0,1
1565046784,1,0
1565068841,1,0
1565090904,1,4
1565112768,0,2
1565134839,0,4
1565156689,0,4
1565200610,1,2
1565244527,0,1
1565266578,1,4
1565288426,2,0
1565310559,1,2
1565332581,1,1
1565354436,0,2
1565376279,0,2
1565398349,1,0
1565420220,0,7
1565442158,2,0
1565464123,1,1
1565486187,0,2
1565530092,0,1
1565551948,0,1
1565573916,2,8
1565595858,0,9
1565639777,1,1
1565661959,3,2
1565683950,0,2
1565705800,2,0
1565727864,4,0
1565793899,0,1
1565837792,0,1
