DateTime,AddedIPs,RemovedIPs
1567282825,5,0
1567283563,0,4
1567284270,1,1
1567284986,1,0
1567285962,1,2
1567286650,3,1
1567287394,7,4
1567288108,5,3
1567288863,2,2
1567289532,1,5
1567290252,0,3
1567290969,3,7
1567291697,2,1
1567292453,5,2
1567293389,1,3
1567294089,6,5
1567294811,3,4
1567295533,0,5
1567297703,17,12
1567298408,1,5
1567299138,6,7
1567300106,7,4
1567300807,8,2
1567301544,4,7
1567302253,9,7
1567302986,5,6
1567303943,4,17
1567304650,5,5
1567305372,9,3
1567306096,5,7
1567306845,3,4
1567307565,3,5
1567308513,7,3
1567309227,1,3
1567309956,3,4
1567310670,3,6
1567311647,11,1
1567312336,1,3
1567313060,1,2
1567314057,4,6
1567314753,2,1
1567315717,2,1
1567316428,3,1
1567317168,2,5
1567317874,1,1
1567318594,2,0
1567319305,4,1
1567320030,2,2
1567320748,1,2
1567321720,1,0
1567322428,1,3
1567323869,3,0
1567324875,3,6
1567325807,3,1
1567326505,3,2
1567327235,0,1
1567327947,0,1
1567328922,1,3
1567329882,10,0
1567330588,4,0
1567331317,3,2
1567332998,3,2
1567333717,3,1
1567334412,3,2
1567335134,2,3
1567335883,1,0
1567336819,4,4
1567338259,7,6
1567339245,3,3
1567340185,5,2
1567340895,5,4
1567341615,2,4
1567342338,2,2
1567343341,2,5
1567344294,6,4
1567344974,3,0
1567345699,3,0
1567346456,1,0
1567347146,1,1
1567347855,2,0
1567348569,1,2
1567349297,2,3
1567350022,2,3
1567350987,6,8
1567351941,7,6
1567352652,4,5
1567353368,3,0
1567354109,1,4
1567354809,5,0
1567355539,4,2
1567356256,2,3
1567356974,2,6
1567357939,1,9
1567358651,4,0
1567359373,3,0
1567360092,2,0
1567360846,3,9
1567361533,3,0
1567362269,2,5
1567363219,5,2
1567363932,2,0
1567364657,0,5
1567365376,3,5
1567366091,6,0
1567366813,3,1
1567367553,4,3
1567368252,5,7
1567368980,0,3
1567369691,1,5
1567370433,2,4
1567371394,5,4
1567531738,300,673
1567532444,5,1
1567533418,6,2
1567534092,1,3
1567538677,1,20
1567556663,67,73
1567557403,8,5
1567558103,7,7
1567558844,4,4
1567560051,8,12
1567560769,6,5
1567561494,9,11
