DateTime,AddedIPs,RemovedIPs
1567122164,5,10
1567123389,6,4
1567125080,14,9
1567126555,22,7
1567127678,21,3
1567129249,18,5
1567130206,3,1
1567131275,4,8
1567132870,15,12
1567133812,3,1
1567134954,11,5
1567135717,2,1
1567137039,8,8
1567138263,5,5
1567140174,30,8
1567140995,13,0
1567142914,39,4
1567143780,11,6
1567144601,2,3
1567145677,5,3
1567146965,7,3
1567149051,27,10
1567150963,10,14
1567152819,11,5
1567154180,8,9
1567155441,11,2
1567156558,11,7
1567157697,11,7
1567158952,11,5
1567160085,20,7
1567161653,5,9
1567162595,4,0
1567163749,5,4
1567165362,5,5
1567166194,4,3
1567168127,3,4
1567169682,3,14
1567170883,6,5
1567172578,2,11
1567173416,2,3
1567174498,0,4
1567175749,5,8
1567176960,13,5
1567178163,11,7
1567179280,4,10
1567179768,2,3
1567180600,4,2
1567181748,5,3
1567183243,17,6
1567185055,4,13
1567186332,12,10
1567187822,12,20
1567188955,7,6
1567190130,4,6
1567191258,1,3
1567193336,9,4
1567195010,3,11
1567196155,6,11
1567196922,17,4
1567198257,21,12
1567199682,18,8
1567200883,23,7
1567202194,7,3
1567203355,3,3
1567204828,7,6
1567205813,4,4
1567206889,14,9
1567208154,3,7
1567209400,12,1
1567210557,2,11
1567211338,2,3
1567212183,5,11
1567214074,21,9
1567216108,7,14
1567217696,2,6
1567219274,4,6
1567221323,7,6
1567223164,4,3
1567223802,1,1
1567224964,18,6
1567226453,12,6
1567228255,12,7
1567229885,8,10
1567231005,6,0
1567232157,4,9
1567233762,13,9
1567235454,18,7
1567237390,10,9
1567238950,7,8
1567240879,7,11
1567242657,12,13
1567243887,7,7
1567245394,6,9
1567246474,3,7
1567247319,4,1
1567248163,3,16
1567249847,9,9
1567251070,3,6
1567253457,20,13
1567254515,2,5
1567255846,12,11
1567257004,3,12
1567257285,3,1
1567258974,9,19
1567260659,24,12
1567262545,17,25
1567264473,38,12
1567265782,9,20
1567266951,5,8
1567268074,8,10
1567271461,25,47
1567273362,32,25
1567275276,10,12
1567276859,8,21
1567278639,10,20
1567280574,9,25
1567281399,6,1
1567283319,6,7
1567284949,6,16
1567286152,5,17
1567286923,7,2
1567288555,11,26
1567289753,7,15
1567291375,10,19
1567292208,7,4
1567293347,7,9
1567294968,3,22
1567296581,11,20
1567298585,10,27
1567300256,4,11
1567301493,2,10
1567302940,5,1
1567304154,1,9
1567305366,5,12
1567306528,2,1
1567307759,11,14
