DateTime,AddedIPs,RemovedIPs
1566467168,1,1
1566468919,1,0
1566470024,1,0
1566474553,0,1
1566475779,1,0
1566477770,0,1
1566484970,1,0
1566487172,1,1
1566488819,0,5
1566494341,0,1
1566495558,1,0
1566497433,1,1
1566501644,1,0
1566503748,0,3
1566507414,1,0
1566509409,2,1
1566513664,0,1
1566516694,1,0
1566519091,1,1
1566521057,0,1
1566522909,0,2
1566523735,1,0
1566525752,3,2
1566528166,1,0
1566530940,1,0
1566531917,1,0
1566544285,2,0
1566546237,1,1
1566548452,3,0
1566550035,1,1
1566551687,1,0
1566553558,1,0
1566556933,0,3
1566560215,0,1
1566564170,0,1
1566569690,0,2
1566571465,2,0
1566574441,1,4
1566576480,0,2
1566578547,0,1
1566584086,1,1
1566588350,1,1
1566591289,0,4
1566598501,2,1
1566600315,1,0
1566603383,0,1
1566605696,2,0
1566607575,0,2
1566610930,1,0
1566612679,1,0
1566619016,2,0
1566621932,2,0
1566623454,2,1
1566625489,1,0
1566628208,1,1
1566629353,2,0
1566632783,0,1
1566633408,1,0
1566634962,1,0
1566637864,0,2
1566644176,2,0
1566648977,2,1
1566652378,2,0
1566654651,0,1
1566655914,1,1
1566661380,1,1
1566664987,1,1
1566666887,1,1
1566671326,1,0
1566673022,0,1
1566674095,1,0
1566674933,1,0
1566676547,1,0
1566677774,0,1
1566679384,1,0
1566682967,1,0
1566684663,5,0
1566688294,0,1
1566692089,5,0
1566693011,1,0
1566699059,1,1
1566702896,1,2
1566704569,1,0
1566708053,1,0
1566709027,1,0
1566712480,0,1
1566713762,1,1
1566715376,0,1
1566717287,0,4
1566718982,0,7
1566721879,0,1
1566723361,1,0
1566724486,1,0
1566726532,1,0
1566727888,1,0
1566733367,1,0
1566734673,1,0
1566736224,1,0
1566737446,2,0
1566740448,2,2
1566743685,0,1
1566744951,0,1
1566746101,1,0
1566747456,0,3
1566751379,4,1
1566753286,1,0
1566756899,1,0
1566758757,0,1
1566768540,1,0
1566770211,1,1
1566772828,1,1
1566774960,1,0
1566776448,0,2
1566777420,1,0
1566783650,4,1
1566785702,1,1
1566789286,0,1
1566791203,0,3
1566792887,1,4
1566794568,2,1
1566797758,0,1
1566800178,0,1
