DateTime,AddedIPs,RemovedIPs
1567117000,19,5
1567118594,19,8
1567119437,3,4
1567120593,7,8
1567122194,4,8
1567123437,6,4
1567125142,17,9
1567126575,19,7
1567127699,21,3
1567129279,17,5
1567130228,3,1
1567131296,3,7
1567132919,16,10
1567133834,1,1
1567135003,11,4
1567135739,2,1
1567137061,8,6
1567138301,5,5
1567140211,29,8
1567141017,13,0
1567142934,39,3
1567144621,12,9
1567145708,5,3
1567147007,7,3
1567149078,27,11
1567150997,9,13
1567152853,10,5
1567154217,8,9
1567155474,10,4
1567156597,10,5
1567157757,13,7
1567158989,8,5
1567160136,20,6
1567161674,7,9
1567162617,2,0
1567163791,5,4
1567165391,5,5
1567166215,3,3
1567168213,3,12
1567169732,3,6
1567170922,6,4
1567172611,2,11
1567173436,2,3
1567174560,0,4
1567175783,4,8
1567176998,13,5
1567178215,10,7
1567179806,5,12
1567180620,4,2
1567181790,6,3
1567183291,16,6
1567185100,4,13
1567186410,12,10
1567187842,11,19
1567188982,6,6
1567190154,3,7
1567191296,2,2
1567193421,8,9
1567195033,3,5
1567196193,6,11
1567196946,18,4
1567198296,20,11
1567199701,20,8
1567200991,23,5
1567202218,5,2
1567203402,3,3
1567204882,7,6
1567205833,3,4
1567206910,14,9
1567208181,3,7
1567209420,12,1
1567210604,2,9
1567211430,2,12
1567212214,6,2
1567214096,21,9
1567216142,7,13
1567217499,3,5
1567217738,0,1
1567219321,3,6
1567221350,7,5
1567223188,4,3
1567223822,1,1
1567225013,19,6
1567226497,10,6
1567228289,11,6
1567230002,8,9
1567231025,5,1
1567232206,4,7
1567233794,13,9
1567235508,17,7
1567237427,10,9
1567238985,8,7
1567240911,5,10
1567242696,8,13
1567243940,7,7
1567245413,6,8
1567246495,2,7
1567247341,4,1
1567248199,3,17
1567249894,8,7
1567251113,4,5
1567253497,19,13
1567254535,2,5
1567255887,12,10
1567257061,5,13
1567257307,1,0
1567259017,9,19
1567260702,23,12
1567262582,18,25
1567264496,38,11
1567265833,12,20
1567266994,3,10
1567268096,9,10
1567271491,26,45
1567273394,32,22
1567275296,8,12
1567276900,8,21
1567278681,7,21
1567280605,10,23
1567281421,6,1
1567283339,6,7
1567284970,5,16
1567286202,5,16
1567286942,8,2
1567288577,9,25
1567289793,6,16
1567291409,10,18
1567292228,6,3
1567293380,6,8
1567295009,4,21
1567296620,9,20
1567298225,9,27
1567298622,1,1
1567300281,3,11
1567301530,2,10
1567302961,5,1
1567304201,1,10
1567305407,4,11
1567306549,2,1
1567307815,11,13
1567309612,6,21
1567311080,7,18
1567313033,1,38
1567314711,5,9
1567315911,3,13
1567316612,1,4
1567318298,4,14
1567319557,5,14
1567320223,2,6
1567322095,4,12
1567323676,6,12
1567324614,3,2
1567326614,5,29
1567328150,5,3
1567329427,8,18
1567331261,5,28
1567332697,3,8
1567334508,3,10
1567335431,3,0
1567336594,4,6
1567337415,2,4
1567339889,7,6
1567342027,9,8
1567343695,5,3
1567344919,3,5
1567347080,5,9
1567349021,14,13
1567349822,1,2
1567350985,5,10
1567352618,3,12
1567354290,3,2
1567355336,3,0
1567356211,1,6
1567358095,2,15
1567359031,0,14
1567360144,9,3
1567361486,4,6
1567362937,7,5
1567364162,6,2
1567365406,2,6
1567366137,2,2
1567367812,10,21
1567369118,5,11
1567370807,10,43
1567371423,4,3
1567372498,6,6
1567374097,5,7
1567375025,1,3
1567376124,4,13
1567377826,5,29
1567379492,7,8
1567380715,3,3
