DateTime,Entries,UniqueIPs
1567117000,1120,1120
1567118594,1131,1131
1567119437,1130,1130
1567120593,1129,1129
1567122194,1125,1125
1567123437,1127,1127
1567125142,1135,1135
1567126575,1147,1147
1567127699,1165,1165
1567129279,1177,1177
1567130228,1179,1179
1567131296,1175,1175
1567132919,1181,1181
1567133834,1181,1181
1567135003,1188,1188
1567135739,1189,1189
1567137061,1191,1191
1567138301,1191,1191
1567140211,1212,1212
1567141017,1225,1225
1567142934,1261,1261
1567144621,1264,1264
1567145708,1266,1266
1567147007,1270,1270
1567149078,1286,1286
1567150997,1282,1282
1567152853,1287,1287
1567154217,1286,1286
1567155474,1292,1292
1567156597,1297,1297
1567157757,1303,1303
1567158989,1306,1306
1567160136,1320,1320
1567161674,1318,1318
1567162617,1320,1320
1567163791,1321,1321
1567165391,1321,1321
1567166215,1321,1321
1567168213,1312,1312
1567169732,1309,1309
1567170922,1311,1311
1567172611,1302,1302
1567173436,1301,1301
1567174560,1297,1297
1567175783,1293,1293
1567176998,1301,1301
1567178215,1304,1304
1567179806,1297,1297
1567180620,1299,1299
1567181790,1302,1302
1567183291,1312,1312
1567185100,1303,1303
1567186410,1305,1305
1567187842,1297,1297
1567188982,1297,1297
1567190154,1293,1293
1567191296,1293,1293
1567193421,1292,1292
1567195033,1290,1290
1567196193,1285,1285
1567196946,1299,1299
1567198296,1308,1308
1567199701,1320,1320
1567200991,1338,1338
1567202218,1341,1341
1567203402,1341,1341
1567204882,1342,1342
1567205833,1341,1341
1567206910,1346,1346
1567208181,1342,1342
1567209420,1353,1353
1567210604,1346,1346
1567211430,1336,1336
1567212214,1340,1340
1567214096,1352,1352
1567216142,1346,1346
1567217499,1344,1344
1567217738,1343,1343
1567219321,1340,1340
1567221350,1342,1342
1567223188,1343,1343
1567223822,1343,1343
1567225013,1356,1356
1567226497,1360,1360
1567228289,1365,1365
1567230002,1364,1364
1567231025,1368,1368
1567232206,1365,1365
1567233794,1369,1369
1567235508,1379,1379
1567237427,1380,1380
1567238985,1381,1381
1567240911,1376,1376
1567242696,1371,1371
1567243940,1371,1371
1567245413,1369,1369
1567246495,1364,1364
1567247341,1367,1367
1567248199,1353,1353
1567249894,1354,1354
1567251113,1353,1353
1567253497,1359,1359
1567254535,1356,1356
1567255887,1358,1358
1567257061,1350,1350
1567257307,1351,1351
1567259017,1341,1341
1567260702,1352,1352
1567262582,1345,1345
1567264496,1372,1372
1567265833,1364,1364
1567266994,1357,1357
1567268096,1356,1356
1567271491,1337,1337
1567273394,1347,1347
1567275296,1343,1343
1567276900,1330,1330
1567278681,1316,1316
1567280605,1303,1303
1567281421,1308,1308
1567283339,1307,1307
1567284970,1296,1296
1567286202,1285,1285
1567286942,1291,1291
1567288577,1275,1275
1567289793,1265,1265
1567291409,1257,1257
1567292228,1260,1260
1567293380,1258,1258
1567295009,1241,1241
1567296620,1230,1230
1567298225,1212,1212
1567298622,1212,1212
1567300281,1204,1204
1567301530,1196,1196
1567302961,1200,1200
1567304201,1191,1191
1567305407,1184,1184
1567306549,1185,1185
1567307815,1183,1183
1567309612,1168,1168
1567311080,1157,1157
1567313033,1120,1120
1567314711,1116,1116
1567315911,1106,1106
1567316612,1103,1103
1567318298,1093,1093
1567319557,1084,1084
1567320223,1080,1080
1567322095,1072,1072
1567323676,1066,1066
1567324614,1067,1067
1567326614,1043,1043
1567328150,1045,1045
1567329427,1035,1035
1567331261,1012,1012
1567332697,1007,1007
1567334508,1000,1000
1567335431,1003,1003
1567336594,1001,1001
1567337415,999,999
1567339889,1000,1000
1567342027,1001,1001
1567343695,1003,1003
1567344919,1001,1001
1567347080,997,997
1567349021,998,998
1567349822,997,997
1567350985,992,992
1567352618,983,983
