DateTime,AddedIPs,RemovedIPs
1567129210,130,87
1567130167,50,0
1567131249,45,111
1567132837,95,121
1567133768,49,0
1567134916,75,63
1567135688,50,0
1567137011,67,97
1567138210,63,85
1567140141,118,148
1567140967,63,0
1567142109,89,77
1567142888,61,0
1567143737,45,135
1567144568,57,0
1567145648,55,57
1567146936,55,94
1567149015,103,127
1567150931,95,159
1567152766,97,77
1567154150,90,129
1567155410,83,0
1567156518,60,106
1567157639,75,140
1567158916,64,63
1567160045,80,72
1567161625,105,120
1567162568,81,1
1567163708,73,64
1567165331,77,95
1567166168,48,0
1567167311,69,125
1567168088,54,0
1567169632,82,124
1567170847,45,71
1567172545,88,153
1567173376,59,0
1567174448,41,96
1567175721,79,107
1567176914,79,33
1567178115,72,79
1567179732,76,141
1567180568,34,0
1567181701,63,74
1567183208,111,91
1567185008,89,121
1567186284,77,94
1567187782,270,42
1567188908,194,59
1567190010,236,117
1567191219,457,1
1567192508,159,119
1567193287,47,0
1567194967,69,128
1567196117,61,74
1567196889,35,0
1567198208,75,121
1567199648,80,81
1567200835,94,88
1567202167,68,23
1567203309,62,60
1567204796,76,116
1567205776,41,0
1567206855,56,103
1567208117,55,94
1567210514,107,90
1567211287,34,0
1567212133,41,160
1567214047,114,81
1567216060,85,123
1567217648,74,68
1567219245,66,129
1567220942,82,76
1567221288,17,0
1567223117,82,117
1567223768,38,0
1567224909,85,73
1567226410,89,87
1567228212,83,88
1567230182,100,131
1567230968,44,1
1567232117,87,51
1567233729,97,117
1567235408,104,114
1567237360,120,163
1567238916,90,72
1567240845,112,126
1567242611,107,76
1567243830,68,85
1567245367,88,41
1567246447,47,61
1567247288,59,0
1567248131,51,189
1567249814,94,89
1567251040,69,107
1567253408,128,131
1567254488,51,0
1567255807,68,133
1567256963,57,72
1567257248,9,0
1567258943,78,105
1567260609,87,115
1567262490,117,182
1567264447,110,81
1567265749,58,99
1567266908,53,28
1567268047,66,72
1567271416,185,228
1567273330,111,146
1567275248,82,70
1567276816,68,120
1567278588,84,96
1567280529,94,145
1567281367,32,0
1567282508,69,63
1567283289,24,1
1567284908,85,131
1567286108,51,76
1567286887,31,0
1567288519,71,108
1567289715,57,96
1567291330,81,148
1567292167,56,0
1567293307,32,83
1567294937,77,164
1567296546,65,88
1567298542,113,177
1567300211,84,74
1567301440,54,94
1567302908,71,0
1567304108,54,109
1567305336,73,133
1567306436,48,0
1567307717,48,104
1567309528,75,135
1567311010,72,72
1567312935,78,152
1567314619,74,84
1567316532,79,132
1567318209,81,76
1567320140,118,127
1567322047,104,67
1567323608,83,154
1567324567,50,0
1567325707,56,86
1567326489,36,0
1567328066,76,113
1567329307,68,97
1567331185,113,149
1567332616,58,130
1567334430,104,137
1567335368,54,0
1567336508,60,78
1567337297,37,0
1567339795,112,215
1567341929,135,113
1567343648,90,79
1567344807,62,84
1567347009,121,111
1567348941,125,121
1567349774,49,0
1567350907,64,67
1567352541,92,138
1567354224,78,52
1567356132,95,109
1567357349,71,307
1567358048,52,0
1567358888,50,0
1567360031,88,479
1567361429,82,391
1567362877,53,221
1567364109,64,0
1567365308,53,68
1567366087,37,1
1567367767,69,131
1567369010,62,72
1567370721,78,168
1567371368,32,2
1567372447,52,72
1567374049,67,113
1567374973,38,0
1567376047,138,84
1567377748,413,103
1567379424,362,60
1567380621,265,81
1567382107,76,25
1567383248,72,52
1567384808,80,96
1567385767,70,0
1567386916,70,65
1567388529,102,91
1567389374,33,0
1567390507,43,54
1567392870,125,123
1567394047,67,73
1567395392,119,98
1567397647,155,82
1567399337,100,123
1567400168,45,1
1567401308,72,68
1567402809,94,112
1567404608,100,117
1567406408,78,107
1567407367,43,0
1567408448,39,151
1567410136,96,142
1567411300,46,74
1567412888,86,1
1567413729,55,139
1567414567,71,0
1567415707,55,66
1567417328,133,150
1567419248,110,69
1567420094,40,0
1567421767,91,105
1567422917,73,111
1567424530,103,119
1567426456,100,64
1567428007,111,96
1567428969,68,1
1567430054,54,122
1567431659,109,157
1567432574,71,0
1567433709,80,99
1567435807,116,127
1567437247,89,80
1567438515,59,99
1567440610,106,92
1567442115,89,111
1567443308,82,39
1567444509,46,64
1567446308,79,114
1567447729,83,43
1567448889,88,1
1567450509,130,102
1567451712,74,96
1567452488,67,0
1567453332,43,129
1567455246,84,73
1567456649,49,73
1567458608,80,80
1567460714,116,135
1567462449,113,63
1567464008,74,104
1567465748,102,69
1567468567,123,96
1567469709,94,72
1567471461,135,81
1567472168,34,2
1567473311,42,75
1567474670,75,102
1567476159,76,75
1567477509,70,1
1567478535,65,95
1567480447,98,53
1567481287,37,0
1567482137,60,109
1567482967,48,0
1567484110,56,56
1567484887,41,0
1567486518,151,95
1567487719,80,61
1567489355,87,114
1567490762,64,72
1567492222,78,97
1567493770,82,21
1567494908,97,60
1567496252,121,100
1567497367,83,32
1567498508,75,70
1567499721,57,91
1567500899,70,1
1567502059,59,86
1567502887,70,0
1567503793,59,91
1567504567,51,0
1567505708,113,110
1567506488,59,1
1567508168,105,107
1567509248,66,57
1567510088,44,0
1567510961,48,138
1567511768,60,0
1567512907,81,73
1567514140,137,98
1567516233,207,98
1567517441,155,101
1567518610,165,20
1567519861,157,58
1567521042,165,93
1567522508,126,1
1567523708,71,91
1567525327,88,113
1567527010,90,52
1567528088,104,1
1567529766,204,136
1567530908,101,99
1567532530,105,88
1567534271,118,80
1567536452,141,66
1567538048,100,84
1567540150,123,106
1567541739,109,70
1567542489,73,2
1567544107,145,104
1567545248,100,87
1567546929,129,382
1567547767,60,0
1567549216,90,412
1567550786,116,398
1567552229,70,66
1567554334,131,123
1567556047,106,72
1567556895,63,0
1567558508,114,105
1567559647,57,91
1567560489,47,0
1567563247,154,179
1567564555,75,119
1567566887,124,150
1567568045,48,119
1567569197,56,32
1567570516,74,74
1567571857,88,108
1567572968,69,41
1567574114,47,72
1567575730,74,117
1567576567,43,2
1567577680,44,57
1567578488,33,2
1567580011,78,86
1567581308,63,103
1567582928,92,123
1567583767,39,2
1567584859,54,99
1567587051,124,150
1567588209,64,77
1567590309,151,111
1567592048,129,72
1567593861,115,156
1567594567,49,0
1567595707,72,61
1567596964,117,122
1567598108,70,0
1567599346,86,115
1567600813,81,105
1567602186,78,132
1567607288,260,197
1567608491,72,129
1567610048,103,67
1567611729,94,102
1567612568,55,0
1567613738,49,106
1567615049,67,68
1567617010,122,102
1567617254,12,1
1567618645,100,131
1567621020,165,154
1567622413,86,132
1567624507,111,100
1567626130,103,113
1567627484,66,60
1567629069,73,74
1567630569,89,0
1567631654,69,123
1567633330,72,92
1567636087,145,114
1567637845,97,108
1567639209,66,51
1567640409,52,163
1567641368,59,1
1567642885,77,114
