DateTime,AddedIPs,RemovedIPs
1567095368,1,3
1567097168,3,198
1567098661,2,137
1567100583,2,78
1567102493,3,1
1567103755,2,5
1567105396,1,5
1567107131,0,3
1567109459,2,2
1567111393,3,1
1567113285,1,2
1567115756,1,0
1567116965,1,1
1567118576,5,6
1567119428,2,0
1567120566,5,4
1567122177,0,7
1567123404,3,5
1567125100,4,7
1567126565,10,2
1567127689,6,4
1567129263,7,7
1567130218,4,0
1567131286,9,7
1567132884,10,7
1567133823,5,0
1567134965,3,7
1567135728,8,0
1567137051,7,12
1567138283,3,6
1567140191,7,18
1567141007,5,0
1567142925,6,8
1567143793,3,6
1567144612,3,0
1567145697,6,5
1567146977,6,10
1567149061,13,7
1567150978,9,15
1567152825,12,5
1567154197,4,5
1567155465,5,0
1567156570,3,5
1567157724,7,6
1567158963,4,3
1567160105,4,5
1567161664,9,12
1567162606,3,0
1567163764,3,2
1567165374,4,3
1567166205,1,0
1567168138,6,8
1567169710,2,7
1567170902,1,6
1567172592,5,7
1567174509,1,5
1567175762,1,2
1567176984,3,1
1567178174,2,3
1567179302,3,2
1567181771,3,2
1567183260,0,2
1567185072,3,6
1567186363,1,3
1567187832,82,3
1567188966,72,2
1567190140,81,3
1567191280,128,0
1567193347,3,3
1567195022,4,1
1567196166,5,1
1567196932,1,0
1567198279,3,4
1567199692,1,1
1567200933,2,0
1567202205,5,0
1567203365,1,1
1567204852,3,5
1567205824,2,0
1567206900,2,2
1567208165,2,6
1567209411,5,0
1567210568,5,9
1567211414,0,7
1567212198,1,6
1567214086,10,9
1567216132,7,11
1567217706,4,5
1567219288,13,9
1567221334,7,5
1567223177,6,17
1567223813,3,0
1567224976,6,7
1567226470,8,7
1567228266,6,11
1567229907,9,9
1567230231,1,5
1567231015,6,0
1567232168,1,2
1567233776,9,12
1567235464,8,7
1567237409,6,17
1567238966,3,7
1567240896,6,9
1567242668,4,6
1567243921,4,9
1567245404,9,2
1567246485,4,6
1567247330,3,0
1567248179,1,12
1567249858,3,8
1567251083,4,3
1567253471,4,2
1567255869,3,4
1567257026,2,0
1567258988,3,3
1567260670,0,1
1567262563,2,5
1567264483,3,2
1567265794,2,4
1567266963,2,1
1567268085,1,1
1567271475,5,7
1567273376,1,1
1567275287,4,1
1567276874,0,2
1567278651,1,2
1567280588,6,7
1567281411,2,0
1567283330,2,4
1567284960,0,2
1567286163,4,2
1567286933,2,0
1567288567,2,3
1567289764,0,3
1567291389,1,2
1567293359,3,5
1567294983,4,10
1567296601,3,4
1567298602,7,6
1567300267,4,3
1567301506,4,13
1567302950,7,0
1567304166,6,10
1567305377,6,14
1567306539,3,0
1567307770,4,9
1567309583,5,4
1567311068,7,3
1567312991,8,10
1567314692,1,5
1567316591,6,17
1567318274,3,6
1567320202,5,13
1567322085,7,5
1567323656,7,13
1567324604,1,0
1567326539,6,7
1567328125,5,5
1567329366,4,11
1567331244,5,8
1567332663,10,4
1567334484,4,7
1567335421,1,0
1567336558,4,3
1567337340,3,0
1567339867,6,13
1567342008,3,2
1567343685,3,3
1567344894,4,3
1567347060,8,2
1567348999,1,3
1567349813,1,0
1567350971,2,3
1567352599,3,3
1567354280,1,3
1567356187,1,3
1567358086,1,95
1567358935,2,0
1567360076,4,170
1567361476,2,100
1567362927,3,1
1567364153,2,1
1567365372,2,2
1567366125,2,0
1567367804,0,5
1567369099,0,3
1567370779,2,1
1567371413,1,0
1567372488,0,1
1567374087,3,3
1567375012,4,0
1567376099,37,1
1567377806,160,0
1567379472,138,3
1567380684,25,4
1567382154,2,0
1567383302,5,3
1567384867,9,5
1567385805,6,0
1567386971,8,5
1567388567,11,13
1567389424,1,0
1567390569,4,3
1567392910,13,5
1567394105,8,5
1567395428,9,3
1567397460,10,7
1567399384,8,12
1567400206,8,0
1567401372,5,6
1567402867,10,1
1567404680,6,11
1567406457,7,9
1567407403,1,1
1567408506,4,6
1567410187,8,11
1567411347,5,4
1567412926,9,0
1567413772,1,9
1567414604,3,0
1567415763,6,5
1567417386,9,5
1567419296,10,6
1567420211,2,9
1567421833,9,0
1567422965,6,0
1567424588,10,4
1567426520,6,3
1567428076,4,4
1567429013,1,0
1567430109,5,2
1567431704,2,3
1567432623,3,0
1567433759,2,2
1567435855,3,1
1567437297,1,3
1567438552,0,2
1567440678,3,0
1567442158,4,2
1567443348,0,2
1567444571,1,2
1567446361,4,2
1567447781,4,1
1567448935,1,0
1567450555,2,4
1567451768,0,2
1567453383,3,0
1567455297,1,0
1567456685,1,1
1567458659,3,2
1567460772,6,4
1567462487,2,0
1567464058,4,4
1567465801,1,5
1567468603,7,9
1567469763,4,2
1567471514,10,7
1567472223,7,0
1567473357,9,6
1567474709,3,9
1567476228,9,7
1567477570,4,0
1567478583,5,11
1567480485,22,6
1567481327,1,0
1567482201,14,6
1567483012,6,0
1567484167,3,4
1567484940,5,0
1567486574,12,1
1567487773,3,6
1567489402,9,6
1567490816,7,6
1567492292,7,13
1567493815,9,1
1567494958,8,1
1567496306,8,11
1567497412,3,1
1567498562,4,8
1567499764,4,6
1567500987,6,0
1567502110,4,4
1567502935,3,0
1567504618,5,6
1567505757,6,8
1567506525,4,0
1567508219,5,8
1567509297,0,8
1567510139,1,0
1567511820,6,5
1567512969,5,4
1567514180,5,8
1567516297,7,5
1567517502,4,2
1567518672,3,1
1567519933,2,2
1567521090,1,2
1567522562,2,0
1567523771,3,3
1567525364,5,1
1567527084,4,1
1567528125,2,1
1567529824,1,3
1567530969,0,1
1567532584,1,3
1567534332,1,2
1567536528,2,2
1567538085,3,4
1567540190,5,2
1567541792,2,3
1567542529,1,0
1567544161,1,0
1567545286,1,13
1567546977,0,142
1567549267,0,174
1567550855,3,33
1567552295,2,2
1567554392,5,4
1567556105,4,2
1567556956,2,0
1567558551,5,10
1567559701,2,6
1567560533,4,0
1567563286,21,12
1567564618,3,14
1567565807,13,3
1567566953,6,2
1567568117,4,6
1567569243,9,1
1567570564,8,8
1567572011,4,11
1567573010,8,0
1567574171,4,4
1567575780,13,8
1567576614,3,0
1567577742,3,5
1567578545,2,1
1567580051,8,5
1567581374,9,9
1567582978,5,12
1567583804,2,0
1567584936,0,2
1567587099,7,12
1567588247,8,14
1567590360,9,6
1567592092,9,8
1567593907,7,12
1567594604,2,0
1567595771,4,4
1567597007,4,14
1567598169,3,0
1567599412,1,3
1567600883,3,5
1567602250,5,2
1567607326,11,3
1567608563,3,4
1567610084,1,2
1567611771,0,1
1567612620,2,0
1567615087,3,1
1567617063,2,5
1567618700,2,3
1567621059,2,4
1567622479,4,2
1567623406,2,0
1567624564,0,4
1567626174,5,4
1567628322,4,0
1567629665,3,3
1567630622,2,0
1567631707,3,5
1567633379,3,2
1567636134,2,3
1567637966,4,2
1567639264,5,0
1567640477,3,6
1567641416,3,0
1567642943,6,12
1567645008,9,4
1567646112,7,5
1567647455,10,3
1567650063,13,12
1567650537,4,0
1567651457,11,4
1567653054,8,16
1567654347,6,11
1567656703,16,11
1567658065,6,9
1567659556,9,8
1567660875,7,0
1567662086,8,9
1567663732,8,3
1567666612,10,15
1567667762,5,6
1567669265,3,7
1567671165,7,7
1567672297,6,11
1567674894,16,12
1567676581,17,8
1567678026,8,2
1567680165,8,3
1567681015,1,0
1567682101,6,5
1567683657,4,17
1567685243,5,4
1567686694,4,9
1567689286,10,6
1567691459,3,4
1567693734,7,3
1567696248,5,5
1567699025,3,2
1567700927,2,2
