DateTime,AddedIPs,RemovedIPs
1567118570,25,22
1567119424,12,4
1567120564,17,28
1567122173,37,42
1567123400,17,26
1567125089,34,23
1567126563,35,23
1567127687,22,29
1567129259,46,35
1567130216,22,5
1567131283,16,30
1567132880,46,40
1567133821,16,6
1567134963,30,24
1567135726,24,3
1567137048,17,26
1567138272,28,25
1567140187,22,43
1567141004,16,7
1567142922,30,20
1567143789,11,37
1567144609,16,2
1567145694,8,17
1567146973,13,21
1567149059,26,56
1567150972,24,46
1567152834,39,20
1567154194,35,65
1567155457,37,6
1567156568,14,20
1567157722,20,26
1567158960,20,18
1567160101,28,30
1567161661,35,30
1567162603,32,2
1567163762,21,28
1567165371,18,51
1567166203,29,2
1567168136,59,47
1567169708,31,31
1567170898,21,31
1567172588,35,38
1567173424,29,8
1567174506,18,38
1567175760,38,37
1567176968,31,11
1567178171,18,24
1567179298,11,37
1567179778,11,15
1567180608,14,7
1567181765,18,29
1567183256,26,21
1567185069,28,50
1567186351,22,31
1567187830,86,29
1567188963,26,31
1567190138,79,52
1567191275,150,54
1567193345,73,157
1567195020,52,32
1567196163,30,19
1567196930,16,9
1567198273,32,38
1567199690,33,38
1567200931,52,31
1567202203,22,16
1567203363,27,27
1567204844,40,43
1567205821,15,6
1567206898,18,40
1567208162,21,31
1567209408,21,16
1567210566,18,31
1567211347,16,4
1567212193,12,50
1567214083,43,30
1567216125,29,42
1567217704,31,30
1567219284,21,50
1567221332,46,25
1567223174,31,23
1567223810,14,3
1567224973,23,36
1567226465,16,33
1567228264,24,28
1567229904,38,26
1567230225,12,9
1567231013,22,7
1567232166,36,10
1567233773,22,41
1567235462,31,41
1567237405,53,60
1567238960,53,30
1567240892,29,21
1567242665,27,35
1567243903,33,16
1567245402,28,23
1567246483,26,13
1567247328,15,8
1567248173,11,46
1567249855,36,34
1567251079,27,54
1567253467,59,67
1567254524,23,21
1567255863,28,47
1567257022,25,21
1567257295,5,3
1567258985,42,33
1567260667,37,44
1567262556,57,86
1567264481,23,34
1567265790,23,27
1567266959,25,14
1567268082,26,22
1567271471,62,71
1567273372,20,52
1567275285,35,24
1567276869,24,48
1567278657,36,29
1567280583,39,48
1567281407,17,13
1567283327,62,35
1567284957,53,53
1567286160,25,20
1567286931,3,2
1567288563,27,41
1567289762,33,35
1567291385,35,59
1567292216,34,4
1567293356,6,28
1567294979,34,43
1567296593,27,35
1567298595,35,67
1567300264,28,20
1567301501,30,30
1567302948,8,13
1567304172,24,32
1567305374,28,53
1567306537,12,8
1567307767,16,27
1567309579,21,52
1567311066,30,22
1567312984,33,47
1567314688,35,34
1567316586,20,24
1567318269,28,19
1567320197,50,31
1567322083,45,25
1567323651,21,53
1567324601,16,4
1567326537,32,33
1567328120,29,34
1567329363,14,18
1567331236,58,48
1567332661,16,51
1567334475,34,45
1567335418,22,11
1567336555,24,25
1567337338,11,5
1567339856,45,95
1567342003,26,32
1567343683,8,40
1567344875,15,42
1567347058,41,46
1567348995,43,26
1567349811,9,3
1567350969,10,23
1567352594,16,24
1567354278,23,15
1567356182,39,42
1567358084,53,69
1567358933,20,7
1567360073,27,73
1567361473,31,60
1567362925,13,35
1567364151,21,6
1567365368,7,32
1567366122,9,4
1567367802,17,39
1567369095,23,20
1567370773,26,56
1567371411,15,4
1567372486,16,23
1567374083,26,49
1567375010,20,6
1567376097,67,46
1567377802,93,50
1567379467,112,54
1567380682,42,130
1567382151,44,22
1567383300,14,23
1567384865,19,34
1567385802,15,11
1567386967,11,19
1567388565,19,24
1567389421,11,12
1567390566,11,20
1567392907,26,45
1567394099,19,30
1567395426,64,31
1567397458,65,33
1567397696,11,3
1567399380,14,48
1567400203,8,6
1567401370,16,41
1567402863,25,49
1567404677,40,24
1567406454,14,30
1567407401,10,9
1567408504,17,68
1567410184,26,44
1567411345,9,16
1567412923,17,6
1567413769,20,44
1567414602,33,4
1567415760,9,16
1567417384,22,47
1567419293,26,21
1567420145,13,6
1567421829,31,32
1567422962,25,39
1567424585,19,34
1567426518,39,23
1567428073,42,36
1567429011,22,5
1567430107,9,51
1567431699,50,65
1567432621,25,7
1567433757,39,28
1567435852,19,37
1567437295,26,26
1567438550,14,28
1567440675,29,38
1567442151,41,27
1567443343,38,15
1567444569,20,10
1567446356,22,39
1567447771,28,16
1567448933,49,5
1567450553,86,41
1567451766,51,36
1567452529,47,10
1567453380,14,61
1567455294,32,49
1567456683,18,35
1567458657,23,33
1567460767,44,61
1567462484,49,52
1567464056,18,31
1567465799,41,21
1567468601,29,33
1567469761,42,19
1567471510,60,42
1567472221,16,17
1567473354,34,11
1567474707,27,49
1567476220,28,23
1567477567,25,10
1567478581,13,31
1567480483,18,21
1567481325,12,8
1567482196,10,33
1567483010,8,11
1567484165,15,27
1567484937,5,5
1567486572,48,27
1567487770,48,21
1567489399,43,39
1567490814,11,34
1567492285,14,44
1567493813,37,14
1567494955,40,20
1567496302,53,32
1567497410,16,16
1567498558,27,15
1567499757,13,33
1567500976,20,9
1567502108,21,30
1567502932,31,6
1567504616,55,40
1567505755,63,37
1567506523,31,8
1567508217,30,31
1567509295,23,20
1567510136,23,9
1567511818,50,43
1567512966,26,13
1567514177,31,21
1567516289,31,45
1567517498,25,39
1567518664,15,18
1567519924,21,21
1567521086,7,9
1567522560,19,10
1567523768,22,12
1567525362,22,29
1567527078,28,10
1567528123,35,8
1567529822,42,39
1567530967,13,27
1567532582,13,24
1567534326,24,31
1567536526,55,12
1567538082,42,19
1567540187,51,42
1567541789,50,29
1567542527,33,4
1567544159,68,42
1567545284,27,43
1567546975,43,74
1567547818,13,4
1567549265,24,47
1567550848,32,42
1567552289,22,13
1567554388,35,21
1567556103,27,26
1567556954,22,6
1567558544,27,28
1567559699,26,18
1567560531,6,3
1567563284,18,35
1567564610,25,43
1567565805,27,45
1567566938,11,24
1567568098,11,38
1567569241,11,9
1567570562,22,18
1567571938,50,18
1567573008,26,18
1567574168,11,34
1567575777,26,17
1567576612,29,5
1567577734,25,22
1567578543,15,11
1567580049,28,23
1567581371,22,26
1567582976,30,27
1567583802,12,9
1567584924,15,50
1567587091,29,32
1567588245,23,14
1567590358,48,29
1567592090,57,29
1567593904,23,31
1567594602,17,8
1567595767,25,13
1567597003,57,28
1567598167,32,4
1567599408,39,39
1567600876,19,22
1567602243,30,48
1567607324,84,76
1567608556,12,32
1567610081,27,13
1567611769,32,36
1567612617,13,11
1567613794,13,48
1567615085,35,18
1567617061,36,29
1567617303,2,4
1567618695,39,61
1567621057,88,70
1567622472,29,72
1567623404,17,7
1567624562,19,22
1567626172,35,34
1567628315,53,23
1567629656,20,22
1567630620,15,6
1567631705,16,44
1567633377,16,43
1567636131,60,33
1567637964,30,33
1567639262,21,8
1567640475,26,85
1567641413,27,14
1567642941,38,48
1567645004,45,32
1567646109,13,26
1567647453,19,35
1567650061,22,36
1567650535,3,4
1567651448,14,12
1567653052,46,13
1567654336,43,20
1567656690,47,46
1567658080,31,50
1567659487,47,11
1567660867,26,15
1567662084,25,25
1567663728,35,25
1567666610,69,98
1567667759,16,21
1567669261,20,32
1567671157,37,36
1567672287,57,55
1567674891,69,56
1567676579,27,95
1567678016,18,18
1567680163,24,38
1567681013,14,7
1567682099,22,34
1567683665,16,34
1567685249,20,17
1567686691,23,30
1567689284,31,26
1567691452,34,30
1567693731,31,22
1567696245,33,53
1567699023,62,44
1567700924,53,53
1567703460,38,41
1567705406,25,58
1567707979,18,31
1567710663,33,61
1567712179,15,57
1567714237,122,84
1567715328,34,6
1567716252,23,37
1567717420,25,50
1567718542,68,17
1567719807,47,37
1567721277,24,35
1567725075,100,76
1567726912,75,54
1567729345,60,41
1567730486,29,31
1567732265,25,27
1567734130,59,58
1567735024,34,10
1567736429,23,48
1567736944,12,4
1567737770,39,21
1567738603,40,8
1567740522,18,26
1567741365,10,62
1567743717,46,33
1567744948,14,18
1567746895,25,30
1567748481,39,19
1567750505,49,37
1567752120,28,28
1567754036,27,21
1567755488,15,35
1567757456,52,30
1567758905,29,31
1567761420,74,49
1567762124,30,5
1567763818,61,42
1567765235,34,36
1567766468,38,80
1567768751,37,42
1567770165,22,46
1567771460,13,11
1567772936,10,7
1567775431,26,62
1567777605,21,27
1567778986,42,27
1567781216,74,44
1567782902,27,13
1567784779,42,46
1567785402,39,6
1567786632,20,18
1567787323,8,11
1567788167,11,29
1567790204,38,72
1567791670,14,55
1567793703,41,17
1567795499,24,29
1567798874,44,80
1567800883,33,18
1567802777,31,18
1567804819,23,25
1567806555,32,46
1567808111,25,24
1567811360,29,24
1567814218,43,62
1567815363,27,15
1567817220,65,29
1567818590,15,19
1567820468,57,13
1567821422,24,12
1567823326,43,40
1567824222,30,57
1567826003,28,39
1567827899,24,70
1567829711,25,51
1567830648,20,32
1567832109,20,11
1567833361,25,20
1567835116,26,45
1567836915,30,28
1567837744,35,2
1567838952,35,22
1567840676,46,34
1567842060,24,58
1567843697,17,25
1567845763,57,46
1567847994,42,17
1567849364,26,22
