DateTime,Entries,UniqueIPs
1567118570,2922,2922
1567119424,2930,2930
1567120564,2919,2919
1567122173,2914,2914
1567123400,2905,2905
1567125089,2916,2916
1567126563,2928,2928
1567127687,2921,2921
1567129259,2932,2932
1567130216,2949,2949
1567131283,2935,2935
1567132880,2941,2941
1567133821,2951,2951
1567134963,2957,2957
1567135726,2978,2978
1567137048,2969,2969
1567138272,2972,2972
1567140187,2951,2951
1567141004,2960,2960
1567142922,2970,2970
1567143789,2944,2944
1567144609,2958,2958
1567145694,2949,2949
1567146973,2941,2941
1567149059,2911,2911
1567150972,2889,2889
1567152834,2908,2908
1567154194,2878,2878
1567155457,2909,2909
1567156568,2903,2903
1567157722,2897,2897
1567158960,2899,2899
1567160101,2897,2897
1567161661,2902,2902
1567162603,2932,2932
1567163762,2925,2925
1567165371,2892,2892
1567166203,2919,2919
1567168136,2931,2931
1567169708,2931,2931
1567170898,2921,2921
1567172588,2918,2918
1567173424,2939,2939
1567174506,2919,2919
1567175760,2920,2920
1567176968,2940,2940
1567178171,2934,2934
1567179298,2908,2908
1567179778,2904,2904
1567180608,2911,2911
1567181765,2900,2900
1567183256,2905,2905
1567185069,2883,2883
1567186351,2874,2874
1567187830,2931,2931
1567188963,2926,2926
1567190138,2953,2953
1567191275,3049,3049
1567193345,2965,2965
1567195020,2985,2985
1567196163,2996,2996
1567196930,3003,3003
1567198273,2997,2997
1567199690,2992,2992
1567200931,3013,3013
1567202203,3019,3019
1567203363,3019,3019
1567204844,3016,3016
1567205821,3025,3025
1567206898,3003,3003
1567208162,2993,2993
1567209408,2998,2998
1567210566,2985,2985
1567211347,2997,2997
1567212193,2959,2959
1567214083,2972,2972
1567216125,2959,2959
1567217704,2960,2960
1567219284,2931,2931
1567221332,2952,2952
1567223174,2960,2960
1567223810,2971,2971
1567224973,2958,2958
1567226465,2941,2941
1567228264,2937,2937
1567229904,2949,2949
1567230225,2952,2952
1567231013,2967,2967
1567232166,2993,2993
1567233773,2974,2974
1567235462,2964,2964
1567237405,2957,2957
1567238960,2980,2980
1567240892,2988,2988
1567242665,2980,2980
1567243903,2997,2997
1567245402,3002,3002
1567246483,3015,3015
1567247328,3022,3022
1567248173,2987,2987
1567249855,2989,2989
1567251079,2962,2962
1567253467,2954,2954
1567254524,2956,2956
1567255863,2937,2937
1567257022,2941,2941
1567257295,2943,2943
1567258985,2952,2952
1567260667,2945,2945
1567262556,2916,2916
1567264481,2905,2905
1567265790,2901,2901
1567266959,2912,2912
1567268082,2916,2916
1567271471,2907,2907
1567273372,2875,2875
1567275285,2886,2886
1567276869,2862,2862
1567278657,2869,2869
1567280583,2860,2860
1567281407,2864,2864
1567283327,2891,2891
1567284957,2891,2891
1567286160,2896,2896
1567286931,2897,2897
1567288563,2883,2883
1567289762,2881,2881
1567291385,2857,2857
1567292216,2887,2887
1567293356,2865,2865
1567294979,2856,2856
1567296593,2848,2848
1567298595,2816,2816
1567300264,2824,2824
1567301501,2824,2824
1567302948,2819,2819
1567304172,2811,2811
1567305374,2786,2786
