DateTime,AddedIPs,RemovedIPs
1567125074,48,43
1567126542,56,22
1567127674,31,38
1567129244,68,49
1567130202,18,0
1567131271,20,47
1567132864,44,57
1567133801,27,1
1567134950,37,24
1567135713,26,1
1567137034,31,42
1567138259,36,38
1567140168,46,57
1567140991,26,1
1567142910,71,35
1567143771,17,60
1567144597,28,1
1567145673,22,29
1567146960,26,44
1567149047,51,81
1567150957,51,71
1567152811,46,30
1567154175,49,75
1567155434,42,1
1567156549,23,42
1567157677,34,41
1567158948,25,16
1567160077,34,34
1567161649,55,50
1567162591,45,0
1567163741,32,38
1567165356,38,54
1567166190,30,0
1567168122,74,71
1567169683,42,47
1567170875,24,38
1567172571,44,72
1567173412,48,0
1567174489,27,56
1567175745,51,54
1567176951,40,15
1567178151,34,42
1567179269,27,41
1567179761,15,16
1567180596,19,0
1567181754,32,34
1567183235,46,50
1567185049,44,68
1567186322,35,42
1567187815,157,26
1567188947,90,25
1567190125,133,46
1567191250,294,2
1567193332,151,48
1567195006,40,48
1567196151,31,23
1567196918,7,5
1567198247,29,42
1567199678,35,35
1567200866,50,42
1567202190,34,7
1567203347,35,32
1567204823,44,50
1567205809,22,0
1567206885,18,44
1567208145,22,39
1567209392,32,0
1567210548,21,39
1567211329,20,1
1567212172,19,66
1567214070,44,39
1567216096,30,59
1567217687,28,26
1567219269,24,60
1567221319,56,38
1567223159,43,44
1567223798,16,0
1567224949,30,37
1567226447,32,37
1567228247,27,25
1567229881,35,36
1567230208,8,13
1567231001,22,2
1567232150,51,23
1567233755,40,59
1567235450,47,67
1567237384,67,82
1567238944,56,38
1567240871,59,43
1567242647,62,34
1567243870,32,26
1567245390,45,16
1567246470,26,25
1567247314,25,0
1567248158,34,94
1567249842,52,43
1567251066,32,61
1567253442,62,75
1567254511,28,2
1567255842,30,64
1567256998,24,35
1567258969,44,41
1567260654,50,60
1567262539,71,110
1567264469,33,48
1567265776,29,33
1567266938,27,10
1567268070,32,36
1567271454,84,103
1567273356,35,65
1567275272,43,32
1567276850,28,60
1567278619,45,33
1567280568,45,63
1567281394,18,1
1567283315,53,34
1567284943,55,67
1567286144,29,29
1567286918,13,0
1567288551,38,44
1567289745,37,47
1567291368,42,67
1567292199,41,1
1567293342,11,43
1567294964,39,72
1567296574,28,34
1567298578,51,89
1567300249,36,30
1567301481,29,41
1567302934,31,0
1567304147,24,52
1567305360,42,55
1567306524,26,0
1567307754,21,52
1567309560,34,65
1567311052,39,29
1567312963,35,62
1567314665,41,43
1567316570,32,49
1567318253,41,27
1567320175,77,56
1567322071,60,25
1567323634,41,82
1567324589,22,0
1567326519,59,47
1567328090,44,45
1567329345,33,40
1567331212,78,60
1567332649,27,67
1567334458,66,62
1567335405,31,1
1567336539,30,42
1567337326,19,0
1567339820,63,115
1567341988,92,49
1567343671,46,59
1567344838,39,47
1567347045,76,61
1567348976,80,58
1567349799,31,0
1567350947,37,32
1567352575,58,59
1567354260,39,21
1567356163,43,57
1567357400,31,154
1567358071,35,0
1567358921,32,1
1567360059,63,242
1567361461,60,268
1567362911,26,170
1567364139,23,1
1567365347,17,36
1567366110,6,0
1567367790,35,57
1567369041,32,26
1567370756,43,74
1567371398,17,1
1567372473,26,33
1567374071,37,62
1567374998,25,1
1567376083,88,43
1567377784,237,39
1567379451,198,24
1567380663,215,42
1567382139,39,18
1567383285,25,29
1567384848,29,40
1567385790,23,2
1567386953,24,24
1567388551,46,39
1567389405,13,0
1567390551,23,27
1567392895,44,71
1567394074,29,43
1567395414,77,47
1567397684,81,42
1567399367,49,54
1567400192,16,0
1567401348,24,38
1567402849,43,67
1567404660,46,43
1567406441,33,51
1567407389,26,3
1567408491,18,87
1567410170,39,69
1567411331,12,38
1567412911,35,2
