DateTime,Entries,UniqueIPs
1567125074,17818,17818
1567126542,17852,17852
1567127674,17845,17845
1567129244,17864,17864
1567130202,17882,17882
1567131271,17855,17855
1567132864,17842,17842
1567133801,17868,17868
1567134950,17881,17881
1567135713,17906,17906
1567137034,17895,17895
1567138259,17893,17893
1567140168,17882,17882
1567140991,17907,17907
1567142910,17943,17943
1567143771,17900,17900
1567144597,17927,17927
1567145673,17920,17920
1567146960,17902,17902
1567149047,17872,17872
1567150957,17852,17852
1567152811,17868,17868
1567154175,17842,17842
1567155434,17883,17883
1567156549,17864,17864
1567157677,17857,17857
1567158948,17866,17866
1567160077,17866,17866
1567161649,17871,17871
1567162591,17916,17916
1567163741,17910,17910
1567165356,17894,17894
1567166190,17924,17924
1567168122,17927,17927
1567169683,17922,17922
1567170875,17908,17908
1567172571,17880,17880
1567173412,17928,17928
1567174489,17899,17899
1567175745,17896,17896
1567176951,17921,17921
1567178151,17913,17913
1567179269,17899,17899
1567179761,17898,17898
1567180596,17917,17917
1567181754,17915,17915
1567183235,17911,17911
1567185049,17887,17887
1567186322,17880,17880
1567187815,18011,18011
1567188947,18076,18076
1567190125,18163,18163
1567191250,18455,18455
1567193332,18558,18558
1567195006,18550,18550
1567196151,18558,18558
1567196918,18560,18560
1567198247,18547,18547
1567199678,18547,18547
1567200866,18555,18555
1567202190,18582,18582
1567203347,18585,18585
1567204823,18579,18579
1567205809,18601,18601
1567206885,18575,18575
1567208145,18558,18558
1567209392,18590,18590
1567210548,18572,18572
1567211329,18591,18591
1567212172,18544,18544
1567214070,18549,18549
1567216096,18520,18520
1567217687,18522,18522
1567219269,18486,18486
1567221319,18504,18504
1567223159,18503,18503
1567223798,18519,18519
1567224949,18512,18512
1567226447,18507,18507
1567228247,18509,18509
1567229881,18508,18508
1567230208,18503,18503
1567231001,18523,18523
1567232150,18551,18551
1567233755,18532,18532
1567235450,18512,18512
1567237384,18497,18497
1567238944,18515,18515
1567240871,18531,18531
1567242647,18559,18559
1567243870,18565,18565
1567245390,18594,18594
1567246470,18595,18595
1567247314,18620,18620
1567248158,18560,18560
1567249842,18569,18569
1567251066,18540,18540
1567253442,18527,18527
1567254511,18553,18553
1567255842,18519,18519
1567256998,18508,18508
1567258969,18511,18511
1567260654,18501,18501
1567262539,18462,18462
1567264469,18447,18447
1567265776,18443,18443
1567266938,18460,18460
1567268070,18456,18456
1567271454,18437,18437
1567273356,18407,18407
1567275272,18418,18418
1567276850,18386,18386
1567278619,18398,18398
1567280568,18380,18380
1567281394,18397,18397
1567283315,18416,18416
1567284943,18404,18404
1567286144,18404,18404
1567286918,18417,18417
1567288551,18411,18411
1567289745,18401,18401
1567291368,18376,18376
1567292199,18416,18416
1567293342,18384,18384
1567294964,18351,18351
1567296574,18345,18345
1567298578,18307,18307
1567300249,18313,18313
1567301481,18301,18301
1567302934,18332,18332
1567304147,18304,18304
1567305360,18291,18291
1567306524,18317,18317
1567307754,18286,18286
1567309560,18255,18255
1567311052,18265,18265
1567312963,18238,18238
1567314665,18236,18236
1567316570,18219,18219
1567318253,18233,18233
1567320175,18254,18254
1567322071,18289,18289
1567323634,18248,18248
1567324589,18270,18270
1567326519,18282,18282
1567328090,18281,18281
1567329345,18274,18274
1567331212,18292,18292
1567332649,18252,18252
1567334458,18256,18256
1567335405,18286,18286
1567336539,18274,18274
1567337326,18293,18293
1567339820,18241,18241
1567341988,18284,18284
1567343671,18271,18271
1567344838,18263,18263
1567347045,18278,18278
1567348976,18300,18300
1567349799,18331,18331
1567350947,18336,18336
1567352575,18335,18335
1567354260,18353,18353
1567356163,18339,18339
1567357400,18216,18216
1567358071,18251,18251
1567358921,18282,18282
1567360059,18103,18103
1567361461,17895,17895
1567362911,17751,17751
1567364139,17773,17773
1567365347,17754,17754
1567366110,17760,17760
1567367790,17738,17738
1567369041,17744,17744
1567370756,17713,17713
1567371398,17729,17729
1567372473,17722,17722
1567374071,17697,17697
1567374998,17721,17721
1567376083,17766,17766
1567377784,17964,17964
1567379451,18138,18138
1567380663,18311,18311
1567382139,18332,18332
1567383285,18328,18328
1567384848,18317,18317
1567385790,18338,18338
1567386953,18338,18338
1567388551,18345,18345
1567389405,18358,18358
1567390551,18354,18354
1567392895,18327,18327
1567394074,18313,18313
1567395414,18343,18343
1567397684,18382,18382
1567399367,18377,18377
1567400192,18393,18393
1567401348,18379,18379
1567402849,18355,18355
1567404660,18358,18358
1567406441,18340,18340
1567407389,18363,18363
1567408491,18294,18294
1567410170,18264,18264
1567411331,18238,18238
1567412911,18271,18271
1567413754,18228,18228
1567414589,18273,18273
1567415745,18270,18270
1567417359,18259,18259
1567419281,18273,18273
1567420133,18288,18288
1567421807,18285,18285
1567422950,18264,18264
1567424567,18258,18258
1567426506,18271,18271
1567428055,18289,18289
1567428999,18326,18326
1567430087,18289,18289
1567431683,18268,18268
1567432609,18308,18308
1567433740,18322,18322
1567435838,18339,18339
1567437283,18358,18358
1567438538,18337,18337
1567440653,18355,18355
1567442139,18364,18364
1567443331,18402,18402
1567444543,18405,18405
1567446339,18386,18386
1567447754,18408,18408
1567448920,18455,18455
1567450541,18479,18479
1567451752,18467,18467
1567452517,18515,18515
1567453366,18464,18464
1567455279,18459,18459
1567456671,18440,18440
1567458639,18430,18430
1567460749,18412,18412
1567462472,18427,18427
1567464033,18416,18416
1567465781,18449,18449
1567468589,18463,18463
1567469745,18485,18485
1567471494,18526,18526
1567472208,18536,18536
1567473341,18531,18531
1567474695,18516,18516
1567476192,18510,18510
1567477549,18542,18542
1567478565,18532,18532
1567480471,18557,18557
1567481311,18573,18573
1567482176,18542,18542
1567482998,18557,18557
1567484152,18551,18551
1567484923,18568,18568
1567486553,18602,18602
1567487751,18623,18623
1567489382,18605,18605
1567490798,18590,18590
1567492255,18567,18567
1567493800,18604,18604
1567494939,18636,18636
1567496281,18672,18672
1567497397,18697,18697
1567498546,18709,18709
1567499744,18682,18682
1567500953,18715,18715
1567502087,18694,18694
1567502920,18741,18741
1567504603,18765,18765
1567505739,18774,18774
1567506511,18819,18819
1567508199,18834,18834
1567509276,18840,18840
1567510124,18863,18863
1567510996,18808,18808
1567511797,18841,18841
1567512948,18842,18842
1567514163,18848,18848
1567516273,18845,18845
1567517480,18830,18830
1567518649,18868,18868
1567519891,18875,18875
1567521072,18857,18857
1567522542,18905,18905
1567523747,18894,18894
1567525350,18873,18873
1567527046,18908,18908
1567528111,18962,18962
1567529806,18938,18938
1567530951,18912,18912
1567532570,18896,18896
1567534304,18918,18918
1567536498,18960,18960
1567538070,18967,18967
1567540174,18991,18991
1567541773,19015,19015
1567542514,19054,19054
1567544147,19087,19087
1567545272,19084,19084
1567546963,18948,18948
1567547798,18971,18971
1567549252,18816,18816
1567550822,18558,18558
1567552269,18569,18569
1567554370,18560,18560
1567556082,18576,18576
1567556929,18601,18601
1567558531,18618,18618
1567559681,18610,18610
1567560518,18626,18626
1567563270,18607,18607
1567564579,18592,18592
1567566916,18562,18562
1567568070,18526,18526
1567569229,18526,18526
1567570548,18529,18529
1567571900,18542,18542
1567572995,18559,18559
1567574149,18528,18528
1567575760,18511,18511
1567576600,18528,18528
1567577712,18513,18513
1567578527,18527,18527
1567580033,18534,18534
1567581353,18529,18529
1567582958,18526,18526
1567583790,18550,18550
1567584893,18520,18520
1567587073,18498,18498
1567588232,18499,18499
1567590341,18535,18535
1567591472,18554,18554
1567592078,18579,18579
1567593893,18566,18566
1567594590,18594,18594
1567595743,18603,18603
1567596991,18627,18627
1567598148,18670,18670
1567599382,18672,18672
1567600851,18664,18664
1567602223,18626,18626
1567607312,18645,18645
1567608525,18610,18610
1567610070,18633,18633
1567611753,18629,18629
1567612605,18655,18655
1567613778,18613,18613
1567615072,18609,18609
1567617042,18627,18627
1567617289,18633,18633
1567618683,18615,18615
1567621044,18647,18647
1567622451,18613,18613
1567623391,18639,18639
1567624541,18608,18608
1567626160,18610,18610
1567628300,18647,18647
1567629629,18654,18654
1567630608,18674,18674
1567631693,18643,18643
1567633365,18634,18634
1567636119,18653,18653
1567637886,18627,18627
1567639247,18636,18636
1567640448,18552,18552
1567641401,18573,18573
1567642923,18555,18555
1567644990,18583,18583
1567646090,18560,18560
1567647428,18544,18544
1567650048,18535,18535
1567650523,18540,18540
1567651423,18523,18523
1567653040,18546,18546
1567654320,18556,18556
1567656664,18533,18533
1567658054,18504,18504
1567659475,18559,18559
1567660847,18573,18573
1567662071,18542,18542
1567663705,18548,18548
1567666597,18508,18508
1567667745,18485,18485
1567669249,18470,18470
1567671126,18465,18465
1567672267,18433,18433
1567674879,18455,18455
1567676561,18351,18351
1567677988,18344,18344
1567680152,18325,18325
1567681001,18342,18342
1567682086,18312,18312
1567683639,18258,18258
1567685233,18260,18260
1567686674,18239,18239
1567689272,18227,18227
1567690281,18175,18175
1567691438,18185,18185
1567693711,18206,18206
1567696232,18176,18176
1567699006,18196,18196
1567700912,18192,18192
1567703440,18177,18177
1567705394,18138,18138
1567707949,18143,18143
1567710650,18122,18122
1567712087,18090,18090
1567714210,18167,18167
1567715315,18210,18210
1567716211,18186,18186
1567717358,18150,18150
1567718486,18209,18209
1567719786,18215,18215
1567721220,18221,18221
1567725040,18271,18271
1567726900,18313,18313
1567729329,18321,18321
1567730464,18316,18316
1567732252,18304,18304
1567734109,18351,18351
