DateTime,AddedIPs,RemovedIPs
1567116967,3,3
1567118577,7,8
1567119428,2,3
1567120567,7,7
1567122179,7,3
1567123407,7,3
1567125108,5,4
1567126566,1,8
1567127690,2,4
1567129265,9,8
1567130219,6,3
1567131286,5,5
1567132896,6,5
1567133824,9,4
1567134966,4,7
1567135729,3,2
1567137051,1,3
1567138284,3,7
1567140193,6,2
1567141007,5,5
1567142925,8,6
1567143795,1,6
1567144612,3,4
1567145698,3,1
1567146980,1,5
1567149061,5,8
1567150980,5,5
1567152834,1,7
1567154203,4,4
1567155465,3,2
1567156571,6,1
1567157725,2,5
1567158963,7,2
1567160106,4,8
1567161665,4,7
1567162606,6,6
1567163765,4,2
1567165376,6,1
1567166206,4,1
1567168138,10,8
1567169711,3,4
1567170904,1,3
1567172594,7,6
1567173427,2,2
1567174509,3,5
1567175763,4,8
1567176984,3,0
1567178175,1,6
1567179317,6,1
1567179783,1,3
1567180611,7,3
1567181769,3,1
1567183263,6,3
1567185073,2,8
1567186377,1,1
1567187833,5,3
1567188966,4,8
1567190141,5,8
1567191281,8,8
1567193348,4,5
1567195024,4,5
1567196167,7,3
1567196933,0,5
1567198280,3,4
1567199692,5,6
1567200958,5,2
1567202205,11,5
1567203366,3,4
1567204854,6,5
1567205824,3,1
1567206900,0,3
1567208166,9,3
1567209411,3,6
1567210569,2,1
1567211415,1,4
1567212200,3,1
1567214086,4,8
1567216133,6,5
1567217707,6,2
1567219290,9,6
1567221337,3,9
1567223178,2,2
1567223813,2,0
1567224987,3,3
1567226473,4,3
1567228267,8,7
1567229907,8,6
1567230234,2,3
1567231016,6,5
1567232169,7,9
1567233779,5,5
1567235477,7,8
1567237411,4,13
1567238968,4,3
1567240899,3,4
1567242670,5,2
1567243929,3,3
1567245405,8,1
1567246486,2,7
1567247330,7,2
1567248184,3,6
1567249860,4,5
1567251086,2,4
1567253475,8,7
1567254526,3,3
1567255869,5,4
1567257032,4,7
1567257298,1,1
1567258991,13,3
1567260671,5,7
1567262565,4,4
1567264484,6,5
1567265794,5,5
1567266964,5,5
1567268087,5,2
1567271476,1,15
1567273379,8,8
1567275288,2,6
1567276876,10,4
1567278662,3,9
1567280590,4,9
1567281412,1,1
1567283330,5,5
1567284960,8,5
1567286171,3,5
1567286933,3,3
1567288568,5,8
1567289765,5,3
1567291392,6,12
1567292219,5,8
1567293360,3,3
1567294987,9,6
1567296604,4,7
1567298604,16,12
1567300267,6,16
1567301508,2,3
1567302952,20,2
1567304175,2,7
1567305378,9,2
1567306540,5,4
1567307781,5,8
1567309586,2,4
1567311070,3,2
1567313001,8,6
1567314695,9,5
1567316593,10,6
1567318275,4,6
1567319522,2,4
1567320206,5,5
1567322086,3,5
1567323658,9,6
1567324604,3,5
1567326540,3,6
1567328125,8,4
1567329380,3,4
1567331245,22,4
1567332663,3,14
1567334486,6,5
1567335421,10,5
1567336559,3,4
1567337340,4,3
1567339865,8,11
1567342012,3,8
1567343686,4,9
1567344901,2,2
1567347061,11,6
1567349005,9,4
1567349814,7,4
1567350971,5,5
1567352601,9,8
1567354281,7,6
1567356192,5,3
1567358086,5,6
1567358936,6,2
1567360108,4,4
1567361477,6,6
1567362928,5,10
1567364154,4,4
1567365374,0,4
1567366125,4,2
1567367804,5,9
1567369097,6,6
1567370782,8,8
1567371414,5,0
1567372489,2,5
1567374087,5,6
1567375013,1,4
1567376100,2,5
1567377809,5,8
1567379475,4,9
1567380690,6,3
1567382154,6,5
1567383303,4,7
1567384868,3,2
1567385806,1,3
1567386971,3,1
1567388568,5,4
1567389424,4,5
1567390569,4,4
1567392910,12,4
1567394107,2,4
1567395429,4,5
1567397461,4,4
1567397699,1,0
1567399385,7,3
1567400206,3,10
1567401372,5,6
1567402869,5,4
1567404681,7,2
1567406458,8,2
1567407404,3,2
1567408507,10,3
1567410188,7,10
1567411348,14,7
1567412926,7,7
1567413774,5,3
1567414605,2,2
1567415764,4,3
1567417388,4,4
1567419296,4,8
1567420212,3,3
1567421834,9,6
1567422971,3,3
1567424590,7,10
1567426521,9,4
1567428076,4,9
1567429014,2,3
1567430109,1,4
1567431705,9,6
1567432624,3,4
1567433760,4,3
1567435855,5,5
1567437298,7,4
1567438555,5,5
1567440680,7,8
1567442159,6,3
1567443348,2,12
1567444572,5,1
1567446362,7,5
1567447788,2,5
1567448936,3,3
1567450556,2,8
1567451769,2,3
1567452532,4,0
1567453387,3,6
1567455297,5,2
1567456686,7,3
1567458659,9,6
1567460772,6,10
1567462488,6,5
1567464059,5,9
1567465805,5,5
1567468604,7,11
1567469764,7,4
1567471517,5,4
1567472223,2,3
1567473357,2,8
1567474710,2,6
1567476264,3,2
1567477570,6,1
1567478586,2,6
1567480486,7,5
1567481328,7,1
1567483013,5,9
1567484168,4,9
1567484940,4,0
1567486577,2,11
1567487774,7,4
1567489403,10,5
1567490821,10,4
1567492296,3,9
1567493823,2,7
1567494958,6,2
1567496314,3,10
1567497413,2,3
1567498563,0,4
1567499765,2,3
1567500985,3,4
1567502111,4,3
1567502935,1,2
1567504618,4,1
1567505758,9,5
1567506526,1,6
1567508219,7,6
1567509298,3,6
1567510139,3,3
1567511821,6,3
1567512970,4,4
1567514180,5,3
1567516301,5,8
1567517504,6,6
1567518676,11,7
1567519934,3,6
1567521091,4,6
1567522563,18,8
1567523772,8,8
1567525365,8,8
1567527087,7,8
1567528125,6,3
1567529825,9,5
1567530969,6,8
1567532585,3,12
1567534339,12,5
1567536529,11,2
1567538085,3,12
1567540191,7,4
1567541792,4,4
1567542529,3,9
1567544162,5,2
1567545286,4,5
1567546977,6,8
1567547821,5,0
1567549276,6,4
1567550859,14,15
1567552297,6,9
1567554395,15,11
1567556106,8,10
1567556960,3,4
1567558552,11,6
1567559702,4,7
1567560533,5,3
1567563286,4,7
1567564620,7,7
1567565807,3,2
1567566958,5,4
1567568158,3,6
1567569311,5,4
1567570565,3,5
1567572014,3,7
1567573011,7,3
1567574171,7,4
1567575780,8,8
1567576614,4,2
1567577743,6,2
1567578611,4,3
1567580060,7,6
1567581382,7,11
1567582978,6,5
1567583805,3,5
1567584937,4,6
1567587099,7,7
1567588248,7,5
1567590361,2,6
1567592092,6,4
1567593907,10,8
1567594605,5,2
1567595772,3,6
1567597013,2,5
1567598170,4,6
1567599428,6,2
1567600884,5,9
1567602251,1,6
1567607327,16,6
1567608574,6,4
1567610084,6,5
1567611772,3,8
1567612620,7,1
1567613802,3,4
1567615087,4,7
1567617064,11,7
1567617306,1,1
1567618698,5,6
1567621060,8,6
1567622485,7,7
1567623407,7,1
1567624565,7,4
1567626175,9,1
1567628323,5,6
