DateTime,AddedIPs,RemovedIPs
1567123366,27,27
1567125067,53,39
1567126527,43,21
1567127665,32,23
1567129230,46,39
1567130192,27,6
1567131266,19,56
1567132856,38,58
1567133787,21,10
1567134939,32,34
1567135706,19,3
1567137029,24,40
1567138247,28,40
1567140160,46,79
1567140985,21,5
1567142905,45,45
1567143756,20,63
1567144586,33,3
1567145665,29,31
1567146954,27,43
1567149040,38,49
1567150950,42,74
1567152800,41,43
1567154169,34,47
1567155428,30,4
1567156540,28,63
1567157662,35,94
1567158942,29,48
1567160062,37,39
1567161643,48,57
1567162585,34,9
1567163727,39,28
1567165349,37,45
1567166184,18,4
1567168106,51,56
1567169666,43,64
1567170864,22,28
1567172563,45,71
1567173401,14,3
1567174473,17,32
1567175739,32,49
1567176934,27,19
1567178137,34,31
1567179260,18,55
1567179751,15,22
1567180585,16,7
1567181734,27,37
1567183228,55,46
1567185034,55,45
1567186309,35,45
1567187801,40,18
1567188933,38,31
1567190119,36,68
1567191237,40,10
1567193312,54,77
1567194992,32,75
1567196138,31,54
1567196908,25,1
1567198232,34,72
1567199668,40,50
1567200852,31,50
1567202184,28,27
1567203329,27,27
1567204814,32,65
1567205797,19,3
1567206874,28,50
1567208140,32,45
1567209386,26,12
1567210535,21,35
1567211311,18,3
1567212157,20,74
1567214065,55,36
1567216084,51,51
1567217672,43,40
1567219264,29,63
1567221306,42,34
1567223137,33,57
1567223788,18,2
1567224931,39,31
1567226438,46,47
1567228232,46,54
1567230201,55,76
1567230988,20,11
1567232137,47,31
1567233748,46,47
1567235436,44,46
1567237377,57,64
1567238936,27,25
1567240863,47,68
1567242630,39,37
1567243852,32,49
1567245384,35,28
1567246465,24,29
1567247305,31,9
1567248150,23,72
1567249835,41,38
1567251060,41,46
1567253427,62,62
1567254505,31,3
1567255832,39,70
1567256986,38,32
1567257267,8,2
1567258961,34,62
1567260644,31,59
1567262531,41,56
1567264463,57,40
1567265768,26,47
1567266932,27,17
1567268065,31,35
1567271446,95,83
1567273349,65,78
1567275266,38,34
1567276841,46,56
1567278607,47,56
1567280556,52,63
1567281388,12,5
1567283309,43,30
1567284927,34,58
1567286126,26,40
1567286905,15,4
1567288539,36,48
1567289734,24,45
1567291361,53,79
1567292185,25,10
1567293332,17,33
1567294956,44,74
1567296567,36,40
1567298565,69,82
1567300234,60,39
1567301471,30,41
1567302926,33,23
1567304133,34,44
1567305354,26,62
1567306518,26,5
1567307738,22,41
1567309550,41,54
1567311036,29,35
1567312954,47,54
1567314653,39,46
1567316559,48,64
1567318233,43,38
1567320161,46,52
1567322064,42,33
1567323626,39,59
1567324583,32,5
1567326512,36,29
1567328083,32,59
1567329331,29,34
1567331202,35,81
1567332638,33,58
1567334449,39,66
1567335390,24,9
1567336527,26,32
1567337316,18,5
1567339813,53,93
1567341964,46,66
1567343665,51,22
1567344825,22,39
1567347034,45,54
1567348966,42,61
1567349793,23,9
1567350932,29,31
1567352561,40,67
1567354244,45,37
1567356153,55,52
1567357387,47,49
1567358065,16,3
1567358907,20,7
1567360054,23,64
1567361451,28,27
1567362899,29,52
1567364129,39,3
1567365333,42,31
1567366104,29,5
1567367784,38,60
1567369029,33,41
1567370744,38,63
1567371387,12,6
1567372464,29,38
1567374066,32,50
1567374993,18,3
1567376073,27,39
1567377768,36,57
1567379442,37,37
1567380651,28,44
1567382132,40,18
1567383273,42,22
1567384832,36,42
1567385784,31,1
1567386943,31,41
1567388545,36,37
1567389391,21,6
1567390532,21,33
1567392889,57,61
1567394064,26,36
1567395409,34,48
1567397672,48,29
1567399357,27,60
1567400186,29,5
1567401334,26,30
1567402834,33,47
1567404654,38,55
1567406426,36,46
1567407384,21,4
1567408480,17,54
1567410159,49,67
1567411322,33,46
1567412905,50,10
1567413747,21,52
1567414584,19,3
1567415730,25,32
1567417347,41,62
1567419268,47,36
1567420118,21,2
1567421801,33,48
1567422938,29,46
1567424554,39,64
1567426500,55,37
1567428042,46,49
1567428988,22,3
1567430073,24,43
1567431677,42,58
1567432593,21,5
1567433729,24,40
1567435827,36,59
1567437273,39,41
1567438532,36,44
1567440639,42,48
1567442132,36,47
1567443325,42,18
1567444531,14,29
1567446325,40,72
1567447748,32,22
1567448908,26,7
1567450529,38,43
1567451737,38,40
1567452506,17,6
1567453359,19,55
1567455269,35,33
1567456666,29,28
1567458626,51,44
1567460735,52,58
1567462466,44,23
1567464027,37,58
1567465767,39,37
1567468584,62,58
1567469735,39,50
1567471483,33,33
1567472194,17,5
1567473329,22,51
1567474688,38,43
1567476180,34,34
1567477534,33,11
1567478554,27,35
1567480465,33,34
1567481305,17,6
1567482162,26,57
1567482984,23,3
1567484136,33,29
1567484909,11,7
1567486541,45,62
1567487739,24,36
1567489374,36,54
1567490787,31,37
1567492240,44,34
1567493788,29,11
1567494928,29,38
1567496275,37,47
1567497387,32,15
1567498534,24,29
1567499738,28,29
1567500943,27,4
1567502078,25,31
1567502909,19,4
1567503813,10,35
1567504587,22,4
1567505728,27,44
1567506505,14,4
1567508185,32,55
1567509265,32,23
1567510113,17,6
1567510981,21,55
1567511784,17,6
1567512933,41,40
1567514157,90,54
1567516256,140,43
1567517469,104,49
1567518635,107,18
1567519885,121,28
1567521062,141,53
1567522527,78,21
1567523732,37,51
1567525345,55,62
1567527031,30,31
1567528105,53,10
1567529800,141,49
1567530928,74,52
1567532555,66,30
1567534291,42,59
1567536475,68,53
1567538065,64,47
1567540167,47,52
1567541759,30,33
1567542506,33,7
1567544133,45,56
1567545266,38,30
1567546948,52,42
1567547784,27,6
1567549245,47,44
1567550812,63,58
1567552257,39,42
1567554353,76,71
1567556072,61,38
1567556914,41,3
1567558525,54,58
1567559669,26,42
1567560507,27,5
1567563265,69,78
1567564573,34,40
1567566906,47,52
1567568064,31,53
1567569223,29,19
1567570536,35,37
1567571894,43,54
1567572989,26,29
1567574134,38,27
1567575746,36,61
1567576588,24,5
1567577701,23,26
1567578513,16,8
1567580028,40,45
1567581337,25,60
1567582945,39,67
1567583784,22,11
1567584883,18,24
1567587068,46,50
1567588226,26,35
1567590334,58,45
1567591461,22,25
1567592067,20,7
1567593882,48,65
1567594585,16,8
1567595732,29,31
1567596983,29,45
1567598133,27,13
1567599368,30,50
1567600839,40,52
1567602212,38,38
1567607305,112,83
1567608514,44,60
1567610064,57,44
1567611746,44,45
1567612595,26,12
1567613765,27,35
1567615066,32,36
1567617028,61,41
1567617274,10,2
1567618663,40,32
1567621037,42,55
1567622439,40,54
1567623385,30,9
1567624531,32,43
1567626149,30,54
1567628275,52,36
1567629618,20,46
1567630593,33,4
1567631674,37,43
1567633355,32,49
1567636108,71,48
1567637879,58,47
1567639230,26,38
1567640435,34,47
1567641395,34,7
1567642907,25,42
1567644984,60,44
1567646075,28,42
1567647415,37,39
1567650033,66,35
1567650512,12,6
1567651407,17,28
1567653028,37,43
1567654296,40,51
1567656651,57,38
1567658044,32,39
1567659469,36,17
1567660829,27,28
1567662059,29,35
1567663699,37,34
1567666591,65,62
1567667729,25,33
1567669237,24,41
1567671114,49,34
1567672254,25,41
1567674868,55,38
1567676547,49,49
1567677966,41,36
1567680146,63,52
1567680990,21,6
1567682080,29,57
1567683626,32,49
1567685214,54,42
1567686660,47,45
1567689263,100,56
1567690269,22,49
1567691432,29,23
1567693705,45,33
1567696227,51,78
1567698992,70,45
1567700905,50,55
1567703428,43,81
1567705388,50,45
1567707937,58,48
1567710638,70,77
1567712075,41,45
1567714200,65,57
1567716197,53,47
1567717346,12,65
1567718473,41,4
1567719779,25,73
1567721075,41,42
1567725034,102,135
1567726886,45,61
1567729322,84,73
1567730446,54,39
1567732238,42,46
1567734096,39,55
1567734999,39,9
1567736368,20,56
1567736913,21,1
1567737748,34,78
1567738585,33,5
1567740504,31,45
1567741346,22,94
1567743671,63,40
1567744850,37,67
1567746867,41,55
1567748437,56,58
1567750233,45,70
1567750474,5,1
1567752094,52,62
1567753941,52,44
1567755470,47,55
1567757416,54,51
1567758876,54,61
1567761374,78,71
1567762105,32,3
1567763796,64,73
1567765175,33,64
1567766441,51,75
1567768709,61,59
1567770148,63,90
1567771403,33,50
1567772906,45,6
1567775388,48,104
1567777522,56,58
1567778925,34,72
1567781193,44,84
1567782406,26,39
1567782872,17,4
1567784753,55,92
1567785384,22,7
1567786585,29,41
1567787305,28,4
1567788145,58,62
1567790175,79,78
1567791615,70,54
1567793428,56,69
1567793677,10,1
1567795476,62,70
1567798821,114,143
1567800865,78,58
1567802739,57,64
1567804751,55,66
1567806510,58,66
1567807842,53,67
1567809069,63,43
1567811336,69,65
1567814186,91,75
1567815328,40,37
1567817183,96,57
1567818532,59,52
1567820445,49,48
1567821392,23,7
1567823306,43,50
1567824174,11,48
1567825973,30,53
1567829432,117,87
1567830538,50,4
1567832085,101,30
1567833336,37,57
1567835097,51,45
1567836873,43,61
1567837722,21,4
1567838912,32,49
1567840622,42,55
1567842042,37,71
1567843666,35,26
1567845745,56,55
1567847947,42,57
1567849347,32,56
