DateTime,Entries,UniqueIPs
1567123366,11790,11790
1567125067,11804,11804
1567126527,11826,11826
1567127665,11835,11835
1567129230,11842,11842
1567130192,11863,11863
1567131266,11826,11826
1567132856,11806,11806
1567133787,11817,11817
1567134939,11815,11815
1567135706,11831,11831
1567137029,11815,11815
1567138247,11803,11803
1567140160,11770,11770
1567140985,11786,11786
1567142905,11786,11786
1567143756,11743,11743
1567144586,11773,11773
1567145665,11771,11771
1567146954,11755,11755
1567149040,11744,11744
1567150950,11712,11712
1567152800,11710,11710
1567154169,11697,11697
1567155428,11723,11723
1567156540,11688,11688
1567157662,11629,11629
1567158942,11610,11610
1567160062,11608,11608
1567161643,11599,11599
1567162585,11624,11624
1567163727,11635,11635
1567165349,11627,11627
1567166184,11641,11641
1567168106,11636,11636
1567169666,11615,11615
1567170864,11609,11609
1567172563,11583,11583
1567173401,11594,11594
1567174473,11579,11579
1567175739,11562,11562
1567176934,11570,11570
1567178137,11573,11573
1567179260,11536,11536
1567179751,11529,11529
1567180585,11538,11538
1567181734,11528,11528
1567183228,11537,11537
1567185034,11547,11547
1567186309,11537,11537
1567187801,11559,11559
1567188933,11566,11566
1567190119,11534,11534
1567191237,11564,11564
1567193312,11541,11541
1567194992,11498,11498
1567196138,11475,11475
1567196908,11499,11499
1567198232,11461,11461
1567199668,11451,11451
1567200852,11432,11432
1567202184,11433,11433
1567203329,11433,11433
1567204814,11400,11400
1567205797,11416,11416
1567206874,11394,11394
1567208140,11381,11381
1567209386,11395,11395
1567210535,11381,11381
1567211311,11396,11396
1567212157,11342,11342
1567214065,11361,11361
1567216084,11361,11361
1567217672,11364,11364
1567219264,11330,11330
1567221306,11338,11338
1567223137,11314,11314
1567223788,11330,11330
1567224931,11338,11338
1567226438,11337,11337
1567228232,11329,11329
1567230201,11308,11308
1567230988,11317,11317
1567232137,11333,11333
1567233748,11332,11332
1567235436,11330,11330
1567237377,11323,11323
1567238936,11325,11325
1567240863,11304,11304
1567242630,11306,11306
1567243852,11289,11289
1567245384,11296,11296
1567246465,11291,11291
1567247305,11313,11313
1567248150,11264,11264
1567249835,11267,11267
1567251060,11262,11262
1567253427,11262,11262
1567254505,11290,11290
1567255832,11259,11259
1567256986,11265,11265
1567257267,11271,11271
1567258961,11243,11243
1567260644,11215,11215
1567262531,11200,11200
1567264463,11217,11217
1567265768,11196,11196
1567266932,11206,11206
1567268065,11202,11202
1567271446,11214,11214
1567273349,11201,11201
1567275266,11205,11205
1567276841,11195,11195
1567278607,11186,11186
1567280556,11175,11175
1567281388,11182,11182
1567283309,11195,11195
