DateTime,AddedIPs,RemovedIPs
1566441011,1,1
1566442403,1,0
1566445132,1,2
1566447515,1,0
1566448981,1,1
1566450661,4,0
1566453431,2,1
1566456481,1,1
1566463433,1,0
1566465062,2,0
1566467174,2,1
1566468932,1,0
1566470036,1,1
1566472780,0,2
1566474563,1,0
1566475786,1,0
1566477776,2,1
1566479584,2,0
1566481888,0,1
1566487184,0,2
1566492038,1,0
1566493020,2,0
1566495574,1,0
1566497439,1,0
1566499308,0,1
1566503753,2,1
1566504969,9,0
1566506610,3,2
1566507419,3,0
1566509416,3,1
1566511875,4,1
1566513670,1,1
1566516708,2,1
1566517602,1,0
1566519105,0,1
1566522923,0,1
1566525764,0,1
1566526995,1,0
1566528171,1,1
1566530946,1,0
1566531922,0,3
1566537668,1,0
1566553563,0,2
1566556939,1,1
1566558993,0,1
1566561799,0,1
1566564175,0,1
1566567908,1,0
1566571472,1,1
1566574453,0,2
1566576486,1,0
1566578552,0,1
1566584092,0,1
1566585792,0,2
1566588356,1,0
1566591294,1,0
1566593025,1,0
1566594895,1,0
1566595744,1,0
1566598506,0,2
1566603393,1,2
1566609680,1,0
1566610942,0,1
1566612685,0,1
1566618182,0,3
1566619021,1,0
1566621956,0,1
1566627513,2,0
1566632796,1,0
1566634976,1,2
1566636152,1,5
1566641321,0,7
1566644185,0,7
1566645967,1,0
1566648990,0,2
1566652393,0,1
1566654672,0,1
1566657970,2,0
1566659414,0,1
1566661385,1,1
1566662222,1,0
1566664142,1,0
1566668580,2,1
1566671332,1,1
1566673028,0,1
1566681093,0,1
1566688299,0,1
1566692095,0,1
1566693774,1,0
1566695692,3,0
1566699064,1,0
1566704574,1,2
1566708059,0,2
1566715381,1,0
1566717292,1,0
1566718987,1,1
1566721885,1,0
1566723366,1,0
1566726544,1,1
1566730120,1,0
1566733372,2,0
1566734686,1,0
1566736230,1,1
1566737452,1,0
1566740454,2,0
1566742068,1,0
1566747462,0,2
1566751384,1,0
1566756904,1,0
1566758762,0,1
1566765017,1,0
1566766179,1,1
1566767457,1,0
1566772833,1,0
1566773812,2,0
1566774966,1,0
1566776453,1,0
1566779870,1,0
1566782175,1,0
1566783655,2,0
1566785715,2,1
1566794573,0,3
1566796601,1,2
1566797764,1,0
1566798985,2,0
1566808565,1,0
1566812738,0,2
1566814499,0,2
1566816186,1,0
1566820211,4,1
1566825385,0,1
1566827823,0,1
1566828963,1,0
1566832502,1,0
1566836495,1,2
1566837784,0,1
1566840532,0,1
1566842219,0,1
1566844881,2,1
1566850621,1,0
1566857489,0,1
1566863752,1,0
1566864977,0,2
1566875767,1,0
1566878224,1,0
1566880985,0,2
1566882966,0,3
1566888182,1,1
1566892630,1,0
1566896215,1,0
1566899455,1,1
1566900685,1,1
1566902454,2,0
1566903888,1,0
1566905157,1,0
1566908093,1,0
1566911784,0,1
1566913386,0,1
1566916365,0,10
1566917465,0,2
1566918666,0,9
1566921052,0,1
1566927779,8,1
1566928623,5,0
1566929783,3,1
1566931209,3,0
1566932226,1,0
1566942149,1,0
1566943900,0,2
1566948044,1,0
1566949839,3,1
1566951063,0,1
1566952897,1,0
1566953811,1,0
1566954986,0,1
1566957420,1,0
1566958493,0,1
1566961031,0,1
1566962192,1,0
1566963783,1,0
1566965466,1,2
1566967859,0,3
1566970141,1,0
1566972682,1,0
1566975053,0,1
1566976341,1,0
1566981813,1,2
1566987932,0,1
1566989768,2,2
1566992585,2,2
1566994309,0,1
1566995791,1,1
1566996965,1,0
1566999025,1,0
1567000131,1,0
1567001776,1,0
1567003004,1,1
1567007880,1,0
1567013418,2,1
1567014180,1,0
1567015071,1,0
1567016466,0,1
1567017796,0,1
1567023062,3,0
1567026893,1,0
1567031770,1,0
1567035017,1,0
1567037706,1,1
1567041296,1,1
1567044902,0,1
1567046595,2,1
1567048503,0,2
1567050193,2,1
1567055796,1,0
1567057385,3,0
1567059294,1,1
1567060907,0,1
1567063964,0,1
1567066525,0,1
1567069883,1,0
1567073732,0,1
1567075004,0,1
1567077376,0,1
1567080917,0,1
1567083421,1,0
1567091300,0,1
1567094213,3,0
1567095384,2,0
1567097176,1,5
1567100595,1,8
1567102501,1,0
1567105429,1,0
1567109467,0,1
1567120591,0,1
1567122189,0,1
1567125123,1,0
1567127696,0,1
1567129274,1,0
1567131294,1,0
1567141014,3,0
1567142932,1,0
1567145706,0,1
1567150991,0,1
1567157742,0,2
1567158977,0,1
1567160124,0,1
1567161671,1,1
1567165386,0,1
1567168145,2,1
1567169728,0,1
1567172606,0,1
1567175771,0,1
1567176996,1,1
1567178197,0,1
1567179794,1,1
1567183279,1,0
1567185082,1,1
1567186401,3,0
1567187839,0,1
1567188974,2,1
1567190148,3,0
1567191292,6,0
1567193418,2,1
1567196182,0,1
1567198292,1,0
1567202214,0,1
1567208177,1,0
1567210586,0,1
1567211424,1,1
1567212210,0,1
1567214094,2,0
1567216140,1,2
1567223185,1,1
1567225007,1,0
1567226482,1,1
1567228274,0,2
1567232194,3,0
1567235506,1,0
1567243937,0,1
1567247337,1,0
1567248193,1,0
1567249874,1,1
1567251095,1,1
1567253485,1,0
1567262576,1,1
1567264493,1,3
1567265821,0,1
1567266978,1,0
1567273388,2,1
1567275294,1,0
1567276889,0,1
1567278676,2,0
1567280601,0,2
1567283337,1,1
1567286196,1,0
1567289772,0,1
1567291402,1,2
1567292226,1,0
1567296615,0,1
1567300275,0,1
1567305400,1,0
1567311077,2,0
1567313022,2,1
1567314706,1,0
1567316606,2,0
1567319539,1,0
1567326611,1,2
1567329414,0,1
1567331258,0,1
1567354288,0,1
1567356203,1,1
1567360116,0,5
1567361484,0,7
1567362934,0,3
1567364160,1,0
1567365397,1,0
1567367810,2,0
1567369123,1,1
1567370788,0,1
1567372496,0,1
1567374095,1,0
1567377819,2,0
1567379486,7,0
1567380712,3,0
1567383309,1,0
1567384875,1,0
1567389431,2,0
1567390577,1,1
1567392917,2,0
1567397468,0,1
1567402876,1,1
1567404690,1,1
1567406466,1,1
1567408514,1,1
1567417397,1,0
1567420223,1,0
1567428087,1,0
1567430118,1,0
1567431714,1,0
1567440689,1,0
1567442165,1,0
1567456708,0,3
1567458674,0,1
1567460780,0,1
1567464072,0,1
1567465825,0,1
1567469771,1,0
1567473364,0,1
1567476616,1,0
1567478595,1,1
1567481335,1,0
1567484193,0,1
1567486583,1,5
1567487795,1,0
1567492311,3,0
1567494966,1,0
1567498591,0,1
1567499772,0,1
1567504626,0,1
1567510145,1,0
1567511828,0,2
1567512992,2,1
1567514195,8,0
1567516316,1,0
1567517525,2,0
1567518683,1,0
1567519947,2,0
1567521107,2,0
1567523788,1,0
1567529833,2,0
1567530992,2,0
1567532592,2,0
1567536536,2,0
1567538092,0,1
1567540198,0,1
1567542536,1,0
1567544168,1,0
1567545295,0,1
1567546984,1,0
1567549295,2,4
1567550873,2,8
1567554406,0,1
1567556113,2,0
1567558560,1,0
1567559716,0,1
1567563294,0,1
1567564627,1,0
1567568173,1,1
1567572026,1,0
1567574192,0,1
1567575791,0,1
1567576621,1,0
1567578620,1,1
1567582985,1,0
1567588255,1,1
1567590369,0,1
1567592100,1,0
1567593920,0,1
1567597051,0,1
1567598177,2,0
1567599452,1,1
1567600903,1,1
1567602267,1,1
1567607335,3,0
1567612627,1,0
1567618718,0,1
1567629696,2,2
1567631724,0,1
1567633387,2,0
1567636141,0,2
1567637974,0,1
1567640485,0,2
1567642953,1,0
1567645016,3,1
1567646127,1,0
1567653062,0,1
1567654368,0,1
1567656739,1,1
1567658101,0,1
1567660899,3,0
1567666619,1,0
1567671178,0,1
1567676588,1,0
1567678065,1,1
1567682109,0,4
1567685257,1,0
1567686705,1,0
1567689293,2,0
1567696276,0,1
1567699034,0,1
1567703471,0,1
1567707991,0,1
1567710674,2,2
1567712210,1,0
1567714273,2,1
1567716278,1,1
1567717458,1,3
1567718571,2,0
1567719824,3,0
1567721324,2,0
1567725086,10,5
1567726963,2,0
1567729365,1,2
1567734173,9,2
1567735034,1,0
1567737780,1,4
1567740532,0,1
1567741375,0,5
1567743746,1,3
1567744985,0,1
1567746905,2,1
1567748507,2,2
1567750516,2,0
1567752161,0,1
1567754083,1,2
1567755498,0,1
1567757516,1,0
1567758963,2,1
1567762134,0,4
1567763829,1,1
1567765279,0,1
1567766499,0,2
1567768794,1,1
1567770175,1,2
1567771902,0,1
1567777619,0,2
1567781257,1,4
1567782515,2,1
1567784789,1,3
1567786684,2,2
1567787337,1,0
1567788176,0,2
1567790226,2,2
1567791697,0,1
1567793713,0,1
1567798902,1,7
1567800892,4,1
1567802789,2,2
1567804902,3,3
1567806606,2,0
1567808136,4,2
1567811387,3,2
1567814229,3,4
1567815388,2,1
1567817246,3,2
1567818630,1,2
1567823336,0,2
1567827920,1,1
1567829738,0,2
1567830702,0,3
1567832134,4,0
1567836935,3,1
1567837825,1,0
1567838968,1,0
1567840748,0,3
1567842069,0,1
1567843724,0,1
1567845772,3,0
1567848044,0,2
1567849374,1,1
