DateTime,AddedIPs,RemovedIPs
1567411653,16,3
1567412373,10,9
1567413574,27,25
1567414294,12,19
1567415014,24,18
1567415733,14,10
1567416453,14,15
1567417174,15,15
1567417894,12,12
1567418854,21,20
1567419573,70,3
1567420774,27,14
1567421494,20,9
1567422693,25,21
1567423413,25,6
1567424133,12,11
1567424853,13,10
1567427014,46,28
1567427734,7,11
1567428932,27,19
1567429654,17,4
1567430854,14,13
1567431573,11,5
1567433253,27,18
1567434034,23,6
1567434693,14,7
1567435413,16,6
1567436134,17,18
1567436854,20,12
1567437574,19,10
1567438293,20,9
1567439014,21,13
1567439733,9,12
1567440933,25,11
1567441894,23,12
1567442613,12,12
1567443333,12,8
1567444053,10,10
1567444773,6,9
1567445494,12,15
1567446214,7,20
1567446933,10,10
1567448373,24,53
1567449093,6,7
1567449813,19,10
1567450534,17,9
1567451253,7,9
1567451973,16,9
1567452693,12,11
1567453894,15,15
1567454614,11,26
1567455333,17,11
1567456534,31,23
1567457253,17,12
1567457973,10,7
1567458693,15,11
1567459412,15,30
1567460134,16,17
1567460852,20,8
1567461573,10,5
1567462293,5,8
1567463013,11,11
1567463733,6,5
1567465654,39,52
1567466374,20,14
1567467094,11,21
1567467813,13,13
1567468533,13,17
1567469254,11,16
1567469974,8,24
1567470693,9,19
1567471414,5,18
1567472134,20,16
1567472854,13,19
1567473573,18,18
1567474294,17,10
1567475013,9,9
1567475733,16,11
1567476453,16,18
1567477653,17,25
1567478374,6,17
1567479094,10,15
1567479814,16,11
1567480532,13,12
1567481253,24,13
1567481974,15,7
1567482694,10,12
1567483413,16,18
1567484134,16,14
1567484853,26,16
1567485573,21,15
1567486292,15,12
1567487254,21,12
1567487974,20,19
1567488693,18,17
1567489414,20,13
1567490853,19,23
1567491573,27,16
1567492293,20,14
1567493014,15,12
1567493733,21,13
1567494454,13,9
1567495174,13,12
1567495894,20,16
1567496614,21,13
1567497334,17,13
1567498774,31,27
1567499493,11,14
1567500214,15,15
1567500933,11,14
1567501654,15,17
1567502373,13,11
1567503574,22,24
1567504293,7,16
1567505014,34,9
1567505733,13,20
1567506453,5,56
1567507173,11,12
1567507894,18,13
1567508853,8,13
1567509574,13,24
1567510293,17,13
1567511012,6,12
1567511733,9,14
1567512453,13,11
1567513653,17,24
1567514374,12,5
1567515093,83,12
1567516054,18,12
1567517493,31,15
1567518213,8,6
1567518933,16,11
1567519653,12,8
1567520374,15,18
1567521093,17,11
1567521812,12,14
1567522534,23,12
1567523253,12,16
1567523973,9,17
1567524694,8,9
1567525414,11,22
1567526133,13,14
1567527093,10,19
1567527814,7,15
1567528533,12,11
1567529253,11,10
1567530033,16,9600
1567530933,9609,9
1567531654,15,10
1567532374,15,9
1567534293,48,28
1567535013,17,13
1567535733,15,6
1567536453,53,23
1567539093,37,36
1567539813,6,7
1567540534,7,13
1567541253,12,7
1567541974,12,10
1567542693,6,19
1567543654,9,16
1567544854,16,20
1567545574,9,15
1567546293,12,14
1567547013,51,19
1567547732,3,11
1567548512,0,45867
1567549174,45869,1
1567549894,6,14
1567550613,10,5
1567551334,3,14
1567552052,13,20
1567552774,8,18
1567553493,8,10
1567554214,8,14
1567555654,16,23
1567556373,59,8
1567557573,42,21
1567558294,65,7
1567559974,128,31
1567560693,13,15
1567561414,6,9
1567562133,10,20
1567562853,11,17
1567563573,10,12
1567564293,11,7
1567565013,11,9
1567565734,9,13
1567566453,23,14
1567567174,11,13
1567567893,18,20
1567568613,11,16
1567569814,15,24
1567570534,11,15
1567571734,24,33
1567574613,46,62
1567575574,28,24
1567576294,16,11
1567577014,11,6
1567577733,15,22
1567578453,7,20
