DateTime,AddedIPs,RemovedIPs
1566731320,13,14
1566733218,13,10
1566737073,21,15
1566738989,26,12
1566742812,22,17
1566744734,20,35
1566746668,26,32
1566748569,21,31
1566750496,19,32
1566752442,28,35
1566754360,27,32
1566756262,27,35
1566758172,30,24
1566760112,31,21
1566762280,29,13
1566764184,24,29
1566766102,25,19
1566768038,28,25
1566769935,28,23
1566771854,19,20
1566773796,28,26
1566775711,26,26
1566777644,27,16
1566779557,28,23
1566781461,16,25
1566783374,30,31
1566785319,18,22
1566787214,21,27
1566789158,20,23
1566791055,26,18
1566792998,29,28
1566794917,26,25
1566796819,28,16
1566798736,24,18
1566800654,29,25
1566802592,25,33
1566804761,24,23
1566806660,28,23
1566808593,23,16
1566812422,14,33
1566816514,14,18
1566818447,13,10
1566820334,10,10
1566822251,13,0
1566824428,14,19
1566826345,33,26
1566828273,18,0
1566832127,25,46
1566834015,23,25
1566836205,31,24
1566838352,16,23
1566840290,29,28
1566842172,25,27
1566844094,27,26
1566846025,19,25
1566847955,20,34
1566849853,22,23
1566851791,21,27
1566853711,14,28
1566855614,24,29
1566857552,24,31
1566861374,38,51
1566863313,26,29
1566865246,29,28
1566867152,20,27
1566869052,32,24
1566870997,26,28
1566872891,32,24
1566874883,36,21
1566876738,31,28
1566878918,26,27
1566880809,22,32
1566886603,22,88
1566890671,23,57
1566892843,31,22
1566894756,23,21
1566896660,20,31
1566898597,10,0
1566900762,9,12
1566902657,17,0
1566904825,12,12
1566906756,21,28
1566908655,18,15
1566910831,14,8
1566912744,14,0
1566914657,23,26
1566916836,20,25
1566919001,27,27
1566922836,25,64
1566926680,28,19
1566928582,35,54
1566930494,29,30
1566932432,28,24
1566936259,29,38
1566940106,28,19
1566942032,35,38
1566943940,34,0
1566945858,32,24
1566947803,43,33
1566949958,38,30
1566951857,38,29
1566953772,29,21
1566955699,34,37
1566959561,30,62
1566961466,25,38
1566963389,34,32
1566967454,22,54
1566969617,29,0
1566971533,24,0
1566973457,37,36
1566975393,27,0
1566977301,43,22
1566979484,23,32
1566985217,10,57
1566987161,11,0
1566989318,11,27
1566993158,34,32
1566995070,34,19
1566997243,33,13
1566999141,29,0
1567001325,26,39
1567003241,32,13
1567010918,33,51
1567012818,30,0
1567014754,36,30
1567018573,28,66
1567020761,33,30
1567022918,27,27
1567024828,30,0
1567026758,25,25
1567028670,24,27
1567030818,27,28
1567034670,31,67
1567036591,40,41
1567038761,26,34
1567040661,28,26
1567042590,37,37
1567044491,32,0
1567046440,26,31
1567048581,25,27
1567050760,29,35
1567052651,25,0
1567056513,38,40
1567060385,29,53
1567062524,40,28
1567064414,30,40
1567066359,19,25
1567068261,27,0
1567070184,20,0
1567072101,14,15
1567074040,10,11
1567079780,34,44
1567081712,41,38
1567083670,33,35
1567091539,27,92
1567093479,37,0
1567095408,28,0
1567097298,32,0
1567099215,27,26
1567101156,29,56
1567103052,26,0
1567104994,30,28
1567107138,26,0
1567110990,25,60
1567112924,34,28
1567114814,22,26
1567116985,25,24
1567118913,23,27
1567121057,27,0
1567122991,22,27
1567124895,26,38
1567126828,31,24
1567128760,28,25
1567130657,17,39
1567132594,29,23
1567134767,25,24
1567136667,23,27
1567138582,23,28
1567140520,28,31
1567144572,30,37
1567146775,24,0
1567148653,25,33
1567150581,23,39
1567152780,18,50
1567154660,40,0
1567156601,11,45
1567158752,16,13
1567160916,13,11
1567164737,6,0
1567166669,10,35
1567168834,22,43
1567170764,12,34
1567172672,38,0
1567174578,30,0
1567176523,36,0
1567178433,35,26
1567180345,34,36
1567184218,23,51
1567186094,31,30
1567188046,36,32
1567189960,25,29
1567191858,35,34
1567193790,38,19
1567195961,34,0
1567197875,35,22
1567199803,30,30
1567201699,27,21
1567205570,29,47
1567209390,22,21
1567211293,27,28
1567213240,30,61
1567215163,29,28
1567217326,29,24
1567219229,19,29
1567221140,30,0
1567223075,25,53
1567225218,33,27
1567227135,30,27
1567229073,34,0
1567230976,31,31
1567232894,30,0
1567234843,30,28
1567236743,32,27
1567238667,28,23
1567240588,23,17
1567242500,23,44
1567244441,14,10
1567246362,9,15
1567248258,10,15
1567255955,15,42
1567260040,16,35
1567261943,26,28
1567266110,31,70
1567267950,27,35
1567269869,35,0
1567272034,30,24
1567273948,40,27
1567275872,30,35
1567277774,36,25
1567279711,32,35
1567281662,26,38
1567285455,28,65
1567287374,16,35
1567291212,27,30
1567293385,29,30
1567295296,28,0
1567297226,21,23
1567299134,18,24
1567301055,21,25
1567302972,24,30
1567304896,29,31
1567306841,26,22
1567308983,23,29
1567313057,35,48
1567315223,36,33
1567317153,49,35
1567321243,34,108
1567323158,27,33
1567325305,22,27
1567327231,16,23
1567329387,8,28
1567331314,9,11
1567333461,13,10
1567335370,15,13
1567337293,15,0
1567339241,18,0
1567341158,15,0
1567343326,16,12
1567349075,31,38
1567350983,37,0
1567353161,27,29
1567355051,31,20
1567356971,41,32
1567358909,29,22
1567360842,27,36
1567362757,27,29
1567364654,31,36
1567366590,37,30
1567368516,32,34
1567370428,31,0
1567372337,19,27
1567374272,35,17
1567376177,32,0
1567378098,27,25
1567380012,30,28
1567381951,28,26
1567383852,23,24
1567385789,15,13
1567387693,32,22
1567389641,20,26
1567391558,27,23
1567393464,37,28
1567395373,40,0
1567397317,24,25
1567399213,39,0
1567401135,38,30
1567403074,31,34
1567404979,31,53
1567406896,30,0
1567408830,33,36
1567410756,40,29
1567412653,19,23
1567414574,36,19
1567416514,19,7
1567418451,14,6
1567420361,12,13
1567422283,8,16
1567424193,10,12
1567426122,25,19
1567428016,12,17
1567429942,29,14
1567431854,33,0
1567433780,30,0
1567435695,35,30
1567437633,23,31
1567439534,30,0
1567441523,30,55
1567443395,21,40
1567445296,37,0
1567449156,23,58
1567451053,23,31
1567452973,29,39
1567454896,28,34
1567456816,33,32
1567458759,24,46
1567460652,30,0
1567462574,22,32
1567464761,28,57
1567466653,42,29
1567468591,29,25
1567470495,28,24
1567472506,30,21
1567474361,39,36
1567478176,20,51
1567480097,21,38
1567482035,24,36
1567483938,17,34
1567485855,28,39
1567487783,38,41
1567491853,35,63
1567493792,26,33
1567495695,36,41
1567497630,26,35
1567499556,27,23
1567501459,26,31
1567503370,7,21
1567505293,12,19
1567507229,14,13
1567509134,16,6
1567511079,19,11
1567512976,22,22
1567514958,18,12
1567518991,30,57
1567520893,36,28
1567522825,29,33
1567524782,32,23
1567526680,24,27
1567530506,28,51
1567532431,37,38
1567534356,26,0
1567538204,24,39
1567540094,22,31
1567542032,27,40
1567544174,27,31
1567548032,27,60
1567549959,23,25
1567551864,22,26
1567553775,27,45
1567555721,23,38
1567557632,24,30
1567559534,31,32
1567561477,37,40
1567563382,25,0
1567565546,22,23
1567567456,29,20
1567569395,18,29
1567571316,30,22
1567573240,23,23
1567575140,40,37
1567577080,30,0
1567578973,26,28
1567583050,39,63
1567585004,16,27
1567586916,34,30
1567589055,12,23
1567591244,10,5
1567593403,14,13
1567595324,27,13
1567597209,33,15
1567599386,40,36
1567601296,32,0
1567603479,26,21
1567605391,25,0
1567607547,30,64
1567609726,28,24
1567611638,33,34
1567614492,27,20
1567616410,37,0
1567620520,35,71
1567622430,34,34
1567624581,31,0
1567626497,32,49
1567628417,29,0
1567630334,37,25
1567632249,25,25
1567634187,32,0
1567636087,22,25
1567638021,18,23
1567639958,33,23
1567641856,27,25
1567643771,18,21
1567645714,30,24
1567647614,30,38
1567651452,29,56
1567653383,25,19
1567657239,27,51
1567659133,30,30
1567661049,27,21
1567662987,41,40
1567665160,37,27
1567667067,34,28
1567668974,36,0
1567670918,38,36
1567672832,36,18
1567676674,11,50
1567678578,8,10
1567680505,9,10
1567682441,24,19
1567684332,38,31
1567686277,24,33
1567688192,21,34
1567690101,35,30
1567692023,37,22
1567693954,33,34
1567697768,28,27
1567699721,34,35
1567701630,27,32
1567705710,34,35
1567707613,32,28
1567709575,26,32
1567711454,24,31
1567715310,33,66
1567717221,29,34
1567719132,32,21
1567721056,25,29
1567722991,26,23
1567724901,31,19
1567726825,28,27
1567728731,22,26
1567730652,32,20
1567732579,39,27
1567734494,32,31
1567736440,35,0
1567740253,34,56
1567742191,31,0
1567746023,21,52
1567747935,30,23
1567750366,33,32
1567752257,36,33
1567754419,29,34
1567758252,34,75
1567762361,13,29
1567764523,18,6
1567768818,37,12
1567770733,35,60
1567772671,27,0
1567774578,24,23
1567778433,30,99
1567780334,28,0
1567782525,29,30
1567786367,32,54
1567788286,31,27
1567792332,32,31
1567794279,25,29
1567796171,35,27
