DateTime,Entries,UniqueIPs
1566731320,5178,5378
1566733218,5177,5377
1566737073,5171,5371
1566738989,5172,5372
1566742812,5156,5353
1566744734,5168,5365
1566746668,5172,5368
1566748569,5185,5381
1566750496,5183,5379
1566752442,5166,5362
1566754360,5161,5358
1566756262,5158,5355
1566758172,5177,5375
1566760112,5184,5383
1566762280,5180,5380
1566764184,5178,5377
1566766102,5174,5373
1566768038,5174,5372
1566769935,5183,5381
1566771854,5185,5382
1566773796,5184,5380
1566775711,5183,5379
1566777644,5182,5378
1566779557,5187,5385
1566781461,5170,5369
1566783374,5189,5388
1566785319,5154,5352
1566787214,5151,5349
1566789158,5153,5351
1566791055,5173,5371
1566792998,5163,5363
1566794917,5155,5356
1566796819,5173,5374
1566798736,5169,5370
1566800654,5167,5368
1566802592,5165,5365
1566804761,5168,5368
1566806660,5160,5359
1566808593,5165,5364
1566812422,5147,5346
1566816514,5133,5332
1566818447,5130,5330
1566820334,5136,5336
1566822251,5142,5342
1566824428,5122,5321
1566826345,5131,5332
1566828273,5142,5343
1566832127,5137,5336
1566834015,5147,5347
1566836205,5148,5349
1566838352,5142,5343
1566840290,5152,5354
1566842172,5158,5359
1566844094,5158,5360
1566846025,5150,5352
1566847955,5142,5344
1566849853,5145,5348
1566851791,5136,5340
1566853711,5131,5334
1566855614,5130,5333
1566857552,5134,5337
1566861374,5126,5330
1566863313,5134,5338
1566865246,5142,5345
1566867152,5139,5341
1566869052,5134,5336
1566870997,5129,5331
1566872891,5137,5340
1566874883,5150,5353
1566876738,5147,5350
1566878918,5136,5338
1566880809,5131,5333
1566886603,5081,5279
1566890671,5076,5274
1566892843,5080,5277
1566894756,5077,5272
1566896660,5075,5270
1566898597,5070,5265
1566900762,5059,5254
1566902657,5060,5254
1566904825,5051,5244
1566906756,5045,5239
1566908655,5044,5238
1566910831,5036,5229
1566912744,5027,5220
1566914657,5025,5218
1566916836,5020,5212
1566919001,5027,5219
1566922836,5025,5217
1566926680,5013,5206
1566928582,5013,5213
1566930494,5016,5218
1566932432,5034,5237
1566936259,5039,5242
1566940106,5051,5253
1566942032,5076,5278
1566943940,5084,5286
1566945858,5093,5295
1566947803,5105,5308
1566949958,5115,5320
1566951857,5120,5324
1566953772,5112,5316
1566955699,5117,5321
1566959561,5105,5309
1566961466,5099,5303
1566963389,5108,5312
1566967454,5086,5290
1566969617,5096,5299
1566971533,5081,5284
1566973457,5112,5316
1566975393,5114,5320
1566977301,5131,5337
1566979484,5134,5341
1566985217,5104,5311
1566987161,5104,5311
1566989318,5099,5306
1566993158,5112,5319
1566995070,5127,5335
1566997243,5135,5343
1566999141,5142,5351
1567001325,5143,5352
1567003241,5148,5357
1567010918,5104,5312
1567012818,5119,5327
1567014754,5132,5342
1567018573,5123,5330
1567020761,5126,5333
1567022918,5136,5343
1567024828,5140,5346
1567026758,5140,5346
1567028670,5137,5343
1567030818,5139,5345
1567034670,5143,5348
1567036591,5151,5356
1567038761,5153,5358
1567040661,5152,5358
1567042590,5159,5364
1567044491,5159,5364
1567046440,5153,5357
1567048581,5150,5352
1567050760,5157,5362
1567052651,5165,5370
1567056513,5160,5365
1567060385,5165,5370
1567062524,5172,5376
1567064414,5175,5380
1567066359,5160,5365
1567068261,5167,5372
1567070184,5170,5373
1567072101,5173,5376
1567074040,5170,5374
1567079780,5174,5378
1567081712,5189,5395
1567083670,5210,5416
1567091539,5169,5374
1567093479,5178,5384
1567095408,5192,5398
1567097298,5214,5420
1567099215,5218,5424
1567101156,5218,5424
1567103052,5215,5421
1567104994,5209,5415
1567107138,5205,5412
1567110990,5195,5401
1567112924,5206,5411
1567114814,5202,5406
1567116985,5206,5412
1567118913,5207,5414
1567121057,5208,5415
1567122991,5199,5406
1567124895,5199,5406
1567126828,5198,5406
1567128760,5196,5403
1567130657,5192,5400
1567132594,5193,5399
1567134767,5198,5404
1567136667,5206,5410
1567138582,5202,5406
1567140520,5205,5410
1567144572,5207,5412
1567146775,5207,5413
1567148653,5216,5422
1567150581,5219,5423
1567152780,5227,5431
1567154660,5245,5448
1567156601,5237,5439
1567158752,5234,5437
1567160916,5240,5443
1567164737,5222,5425
1567166669,5216,5419
1567168834,5227,5430
1567170764,5229,5433
1567172672,5246,5450
1567174578,5253,5456
1567176523,5255,5460
1567178433,5276,5482
1567180345,5278,5484
1567184218,5266,5470
