DateTime,AddedIPs,RemovedIPs
1566731320,25,22
1566733218,26,26
1566737073,46,26
1566738989,51,42
1566742812,47,52
1566744734,49,44
1566746668,51,55
1566748569,51,50
1566750496,46,46
1566752442,58,48
1566754360,52,61
1566756262,51,49
1566758172,52,50
1566760112,51,53
1566762280,56,51
1566764184,62,62
1566766102,53,60
1566768038,57,53
1566769935,59,57
1566771854,40,54
1566773796,52,40
1566775711,62,53
1566777644,55,64
1566779557,59,55
1566781461,43,59
1566783374,58,44
1566785319,40,56
1566787214,47,41
1566789158,55,49
1566791055,54,55
1566792998,57,53
1566794917,50,54
1566796819,52,51
1566798736,46,53
1566800654,52,45
1566802592,44,54
1566804761,43,45
1566806660,42,42
1566808593,44,38
1566812422,22,47
1566816514,20,25
1566818447,28,21
1566820334,15,28
1566822251,27,15
1566824428,19,24
1566826345,52,20
1566828273,44,48
1566832127,50,45
1566834015,48,44
1566836205,64,53
1566838352,38,63
1566840290,54,42
1566842172,49,57
1566844094,51,44
1566846025,51,54
1566847955,39,41
1566849853,47,43
1566851791,42,46
1566853711,33,44
1566855614,45,32
1566857552,46,47
1566861374,59,48
1566863313,55,57
1566865246,56,57
1566867152,47,53
1566869052,64,48
1566870997,49,65
1566872891,57,50
1566874883,52,58
1566876738,55,52
1566878918,43,52
1566880809,52,42
1566886603,52,58
1566890671,39,50
1566892843,52,39
1566894756,40,55
1566896660,37,39
1566898597,21,37
1566900762,17,23
1566902657,25,18
1566904825,21,25
1566906756,38,20
1566908655,34,38
1566910831,28,35
1566912744,34,24
1566914657,43,29
1566916836,42,42
1566919001,48,42
1566922836,48,53
1566926680,59,46
1566928582,52,61
1566930494,50,55
1566932432,52,51
1566936259,46,46
1566940106,51,47
1566942032,49,47
1566943940,57,55
1566945858,57,55
1566947803,59,55
1566949958,60,61
1566951857,60,59
1566953772,54,63
1566955699,58,55
1566959561,53,56
1566961466,48,49
1566963389,57,50
1566967454,43,60
1566969617,56,43
1566971533,45,52
1566973457,56,48
1566975393,53,59
1566977301,67,52
1566979484,51,67
1566985217,27,53
1566987161,19,28
1566989318,20,19
1566993158,66,19
1566995070,59,63
1566997243,54,58
1566999141,54,53
1567001325,48,51
1567003241,57,54
1567010918,58,55
1567012818,48,53
1567014754,61,48
1567018573,48,65
1567020761,64,51
1567022918,50,60
1567024828,54,52
1567026758,50,53
1567028670,48,50
1567030818,54,45
1567034670,61,54
1567036591,61,66
1567038761,54,58
1567040661,51,53
1567042590,67,55
1567044491,62,63
1567046440,56,64
1567048581,50,53
1567050760,61,51
1567052651,59,61
1567056513,65,64
1567060385,59,64
1567062524,58,56
1567064414,59,61
1567066359,35,59
1567068261,42,38
1567070184,30,43
1567072101,23,29
1567074040,21,21
1567079780,62,20
1567081712,68,63
1567083670,58,70
1567091539,53,53
1567093479,58,54
1567095408,53,60
1567097298,62,51
1567099215,59,60
1567101156,55,61
1567103052,59,55
1567104994,48,53
1567107138,49,51
1567110990,52,47
1567112924,55,54
1567114814,49,54
1567116985,50,48
1567118913,46,51
1567121057,46,48
1567122991,55,46
1567124895,55,56
1567126828,57,54
1567128760,57,59
1567130657,48,57
1567132594,53,45
1567134767,52,54
1567136667,47,53
1567138582,53,48
1567140520,56,55
1567144572,49,53
1567146775,55,53
1567148653,52,50
1567150581,49,50
1567152780,35,55
1567154660,64,36
1567156601,21,64
1567158752,26,20
1567160916,28,27
1567164737,20,29
1567166669,18,20
1567168834,43,19
1567170764,23,41
1567172672,66,23
1567174578,56,60
1567176523,58,57
1567178433,55,62
1567180345,65,55
1567184218,53,60
1567186094,54,54
1567188046,55,53
1567189960,55,56
1567191858,56,56
1567193790,61,55
1567195961,58,63
1567197875,64,61
1567199803,57,59
1567201699,45,57
1567205570,52,47
