DateTime,AddedIPs,RemovedIPs
1562426389,4,17
1562437435,3,19
1562448411,6,8
1562459544,7,11
1562470436,7,9
1562481042,20,14
1562492115,7,8
1562502924,6,13
1562513847,3,6
1562524732,2,15
1562535559,1,9
1562546424,2,11
1562557112,1,8
1562568050,1,8
1562578286,1,8
1562589298,5,14
1562600240,4,12
1562611216,0,5
1562621819,3,14
1562632246,3,11
1562643311,0,8
1562654281,14,12
1562664850,4,8
1562676006,2,12
1562687010,9,4
1562697990,6,14
1562709100,3,10
1562720181,9,10
1562730702,5,15
1562741734,1,9
1562750824,5,12
1562761920,4,12
1562772760,4,14
1562783722,5,10
1562794801,10,15
1562805622,15,10
1562816616,1,8
1562827591,2,9
1562838696,4,9
1562849074,7,9
1562860047,2,7
1562870977,17,6
1562881670,5,14
1562892626,3,7
1562902939,2,5
1562913891,1,11
1562924876,8,6
1562934895,6,8
1562945961,3,7
1562957015,2,11
1562968065,0,9
1562978648,1,7
1562989162,1,7
1563000169,7,2
1563011133,0,6
1563021373,6,9
1563032282,2,8
1563043150,5,8
1563053995,5,6
1563064593,3,6
1563074888,3,6
1563085926,4,10
1563096886,8,5
1563107749,4,12
1563118599,7,9
1563129520,3,9
1563140617,1,4
1563150034,6,7
1563160776,0,2
1563171407,2,4
1563182143,2,7
1563193187,5,8
1563204125,2,1
1563214862,5,5
1563225791,4,7
1563236731,3,0
1563247296,2,0
1563258259,1,0
1563269162,7,0
1563280053,2,0
1563291132,3,0
1563302019,2,0
1563312918,4,0
1563323711,3,0
1563334745,8,0
1563345736,2,2
1563356886,1,5
1563367282,5,5
1563376568,2,11
1563387566,2,4
1563398506,3,5
1563409157,4,7
1563419167,5,4
1563429913,3,5
1563440498,3,3
1563448822,2,4
1563457200,1,5
1563468265,3,4
1563479171,3,5
1563489841,1,3
1563500819,7,4
1563511222,3,2
1563521569,3,6
1563532538,3,4
1563543496,4,5
1563554215,2,8
1563565120,2,3
1563575512,2,5
1563586006,2,8
1563596947,7,3
1563607021,1,3
1563618018,0,6
1563629022,4,2
1563640037,5,3
1563651026,1,1
1563661008,2,9
1563671368,1,3
1563681229,1,2
1563691804,4,3
1563702695,0,6
1563713591,4,1
1563724565,1,2
1563735515,1,6
1563746587,4,7
1563757695,2,5
1563767628,2,6
1563777853,1,7
1563789104,3,3
1563800173,4,3
1563810800,3,4
1563821691,1,3
1563832381,4,5
1563843280,5,6
1563853914,2,5
1563864918,2,2
1563875463,7,4
1563886558,2,3
1563897363,2,10
1563908321,2,4
1563919555,0,5
1563930703,2,4
1563941518,6,3
1563952257,2,8
1563963259,0,6
1563973953,2,3
1563984829,1,2
1563996962,3,4
1564007213,3,3
1564018229,1,1
1564028788,1,5
1564039807,2,1
1564050073,3,2
1564060890,4,5
1564071550,5,2
1564082655,4,2
1564093445,3,4
1564104451,0,7
1564115421,3,2
1564126493,2,2
1564137134,1,6
1564147894,3,4
1564158877,1,3
1564169965,1,3
1564180973,3,4
1564191939,1,2
1564202822,3,3
1564213871,2,6
1564224839,3,0
1564235755,4,6
1564246729,3,1
1564257948,1,3
1564268219,0,2
1564279185,3,1
1564289957,2,6
1564301046,6,6
1564312085,4,3
1564322512,3,4
1564333400,3,3
1564344256,2,4
1564355250,4,3
1564365826,4,3
1564376845,1,2
1564387797,4,4
1564398570,1,2
1564409661,3,2
1564420710,3,2
1564431711,0,2
1564442410,1,1
1564452935,4,3
1564463995,2,2
1564474975,1,3
1564484246,3,4
1564495347,5,0
1564506477,2,1
1564517517,4,4
1564528132,1,7
1564538855,4,2
1564549950,3,1
1564560896,2,5
1564571867,2,1
1564582591,2,1
1564593314,3,0
1564604083,0,3
1564615057,1,0
1564625873,3,5
1564636775,3,11
1564647353,1,3
1564658374,1,2
1564669446,5,4
1564680043,2,2
1564690988,3,2
1564701517,3,2
1564712569,0,1
1564723668,1,4
1564733782,3,4
1564744716,2,6
1564755706,3,6
1564766545,6,19
1564777266,3,15
1564788166,3,6
1564798810,3,1
1564809541,2,7
1564820312,3,2
1564830539,1,6
1564841456,3,2
1564852564,5,0
1564863554,2,3
1564874182,3,5
1564884754,2,1
1564895706,1,1
1564906590,3,3
1564917620,4,1
1564928643,4,1
1564939608,2,3
1564950198,2,3
1564961073,1,0
1564971867,4,4
1564982757,8,4
1564993375,1,2
1565004382,3,4
1565015214,4,3
1565026201,4,3
1565036937,8,0
1565047733,2,5
1565058563,2,3
1565069485,3,0
1565080705,6,2
1565091710,3,0
1565102443,3,4
1565113240,0,2
1565124045,5,2
1565134746,0,2
1565145796,3,2
1565156806,0,4
1565167549,2,0
1565178313,5,4
1565189255,7,0
1565200049,2,3
1565210811,0,6
1565221711,3,5
1565232061,2,2
