DateTime,AddedIPs,RemovedIPs
1560416423,797,805
1560420509,817,7
1560424828,832,10
1560430582,875,808
1560437076,466,15
1560440412,816,824
1560444506,809,21
1560448098,844,15
1560458658,908,1576
1560461770,849,823
1560465618,811,9
1560469218,867,815
1560473550,844,837
1560486495,500,487
1560486732,360,402
1560491300,0,449
1560491573,14,381
1560504500,869,1588
1560507859,806,835
1560511228,858,26
1560517453,868,1313
1560521061,839,15
1560525140,806,843
1560529465,793,851
1560533787,828,805
1560537387,879,854
1560540977,794,20
1560545311,763,872
1560548669,795,835
1560552288,855,820
1560557784,812,888
1560562587,774,853
1560567370,819,10
1560571224,801,11
1560580096,796,847
1560601219,819,2371
1560614448,832,2462
1560622581,887,1603
1560625952,818,883
1560629554,796,778
1560633378,800,798
1560638656,747,821
1560644175,842,858
1560649476,864,1622
1560653058,789,20
1560666740,799,2516
1560673241,808,16
1560686440,754,24
1560754567,865,9123
1560756256,843,6
1560760115,859,872
1560763687,848,7
1560767565,902,5
1560774045,870,855
1560777402,835,11
1560782898,825,18
1560788658,817,13
1560829704,816,21
1560833357,835,14
1560838121,833,6
1560841962,832,706
1560849869,889,1669
1560864737,905,3290
1560865702,592,9
1560887790,850,1669
1560889470,803,30
1560893078,852,22
1560907240,780,20
1560910830,786,20
1560924747,861,2413
1560931250,862,854
1560936027,828,15
1560940380,846,886
1560947560,828,7
1560954761,795,1436
1560958820,836,11
1561026977,871,7468
1561027934,739,7
1561031068,931,6
1561034915,408,404
1561035153,439,496
1561039463,860,7
1561044034,888,826
1561054591,844,895
1561070906,838,22
1561098262,883,3
1561104033,871,7
1561131378,892,5022
1561153693,910,871
1561154937,553,15
1561166195,951,874
1561257376,930,5145
1561270114,954,3
1561283550,907,10
1561317394,897,9
1561328438,877,22
1561361769,913,1828
1561429943,498,1397
1561430441,413,1242
1561479654,500,448
1561480115,425,496
1561490426,500,0
1561491158,442,16
1561495472,829,17
1561500527,863,11
1561504336,858,16
1561510352,768,26
1561568894,916,1664
1561575390,836,20
1561593139,887,3472
1561603711,840,837
1561637807,908,20
1561648345,801,26
1561675708,903,1706
1561692982,901,1688
1561725403,895,920
1561731904,882,17
1561737391,877,866
1561746034,831,6
1561756600,879,15
1561759985,787,22
1561764999,854,853
1561771962,839,8
1561777963,815,17
1561783215,844,815
1561787769,836,20
1561794272,839,17
1561800040,805,28
1561833379,872,3176
1561836007,692,31
1561839151,855,22
1561842996,805,13
1561845702,494,778
1561849455,722,786
1561853292,731,857
1561857638,729,14
1561860998,581,857
1561866036,724,776
1561876812,819,1565
1561879490,567,21
1561883559,756,843
1561886431,574,22
1561920978,806,1469
1561922202,482,16
1561924351,527,743
1561927477,650,827
1561930355,529,498
1561933449,581,717
1561936336,499,710
1561940421,720,735
1561944269,627,634
1561947403,517,668
1561951231,603,12
1561956759,659,827
1561970178,785,1805
1561974977,806,834
1561978840,678,12
1561983644,697,12
1561986275,771,4
1561989392,447,17
1561992273,651,16
1561995876,818,6
1562023001,789,3798
1562023941,334,17
1562029476,790,649
1562032357,544,613
1562036197,624,532
1562039311,644,685
1562042662,604,13
1562046033,593,711
1562050354,657,22
1562053479,591,14
1562056846,591,736
1562059957,598,6
1562062831,795,700
1562065486,571,679
1562068871,730,15
1562072439,726,715
1562073891,371,499
1562075560,707,13
1562077696,677,671
1562079145,654,688
1562082273,784,8
1562085268,703,822
1562088995,757,11
1562115866,788,1009
1562117547,250,587
1562121398,560,618
1562124517,517,490
1562127651,482,650
1562131236,545,634
1562135559,574,676
1562138203,455,475
1562140844,425,621
1562144684,625,675
1562148250,485,679
1562151872,563,598
1562155722,711,1509
1562159065,630,407
1562162442,625,1326
1562166285,696,1442
1562170595,843,698
1562174440,622,826
1562178499,703,790
1562182833,682,20
1562185961,695,9
1562190511,672,13
1562195308,631,15
1562199626,635,18
1562204670,683,846
1562208996,630,426
1562212118,544,521
1562215719,524,559
1562219787,614,602
1562223387,614,343
1562226783,571,496
1562231317,777,1002
1562235649,760,615
1562239475,669,595
1562243537,808,662
1562247133,675,621
1562250515,703,715
1562253402,766,677
1562257706,724,678
1562264436,746,734
1562268036,732,720
1562273795,723,1279
1562278129,689,672
1562282444,748,705
1562287482,726,682
1562292522,695,673
1562296833,734,474
1562301875,775,590
1562306183,754,684
1562310527,746,1122
1562316282,730,786
1562319887,682,760
1562324194,785,758
1562328526,725,668
1562335489,778,1507
1562341473,767,1497
1562350120,773,759
1562356356,779,1517
1562361394,779,756
1562365468,743,706
1562369306,741,737
1562374384,752,719
1562378176,810,13
1562382056,778,717
1562387570,804,755
1562391883,642,765
1562396919,781,770
1562403428,813,1513
1562407724,769,742
1562412033,736,748
1562416110,710,807
1562419955,760,14
1562424514,631,766
1562428594,744,764
1562432197,733,15
1562436527,685,751
1562442280,692,20
1562452811,725,2246
1562463608,848,1510
1562485947,823,3786
1562489559,741,24
1562496271,807,1558
1562546168,824,6731
1562547145,563,16
1562553872,831,928
1562564434,821,24
1562568275,825,22
1562617964,870,2436
1562624205,841,9
1562628996,848,10
1562670078,870,3897
1562719212,930,2657
1562728121,918,9
1562821722,890,2697
1562863226,932,4
1562873551,862,20
1562886975,847,13
1562889648,784,13
1562894434,886,7
1562902352,822,23
1562906240,804,30
1562911063,842,810
1562915422,822,23
1562919634,776,27
1562925156,746,16
1562929960,733,27
1562934755,810,10
1562940516,765,19
1562946508,694,22
1563026670,936,10292
1563094820,910,1709
1563097218,580,11
1563138744,901,901
1563143560,828,17
1563150031,922,11
1563153630,816,21
1563158674,850,14
1563165162,753,27
1563169473,819,24
1563173073,739,12
1563177390,856,5
1563181953,853,513
1563187718,893,811
1563192046,693,16
1563197803,793,18
